Region,Vgat_alsoTRAPed_percent,Vglut_alsoTRAPed_percent,Brain
dmPAG,14.06,37.42,JKAY22.3d
dlPAG,23.46,48.62,JKAY22.3d
lPAG,37.29,53.23,JKAY22.3d
vlPAG,58.48,58.97,JKAY22.3d
dmPAG,22.56,40.58,JKAY22.3e
dlPAG,26.82,45.69,JKAY22.3e
lPAG,39.52,48.2,JKAY22.3e
vlPAG,49.02,47.68,JKAY22.3e
dmPAG,26.84,36.31,JKAY22.3f
dlPAG,53.09,58.26,JKAY22.3f
lPAG,61.33,57.96,JKAY22.3f
vlPAG,59.02,61.29,JKAY22.3f
dmPAG,41.53,57.21,JKAY22.3g
dlPAG,37.88,62.89,JKAY22.3g
lPAG,46.71,57.96,JKAY22.3g
vlPAG,48.73,56.13,JKAY22.3g
dmPAG,32.23,58.2,JKAY22.5d
dlPAG,27.88,59.38,JKAY22.5d
lPAG,31.39,49.03,JKAY22.5d
vlPAG,34.22,52.1,JKAY22.5d
dmPAG,15.63,31.16,JKAY23.5d
dlPAG,31.71,51.27,JKAY23.5d
lPAG,38.58,46.51,JKAY23.5d
vlPAG,43.23,49.49,JKAY23.5d
