Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Allen ID	Parent Allen ID	Side	Num Detections	Num Negative	Num Positive	Positive %	Num Positive per mm^2	Area µm^2	Perimeter µm
JKAY22.3d_2_Scan1_[6792,37086]_component_data_merged_Region 1.ome.tif	root	root	Image	Geometry	5482.3	3408.8	997	0	0	7020	3593	3427	48.82	70.36	48704325.1	45461.6
JKAY22.3d_2_Scan1_[6792,37086]_component_data_merged_Region 1.ome.tif	Basic cell groups and regions	grey	root	Geometry	5525.7	3285.4	8	997	0	7009	3585	3424	48.85	77.82	44001279.6	92533.2
JKAY22.3d_2_Scan1_[6792,37086]_component_data_merged_Region 1.ome.tif	Cerebellum	CB	Basic cell groups and regions	Geometry	5985.7	4919.7	512	8	0	0	0	0	NaN	0	55566.8	4290.4
JKAY22.3d_2_Scan1_[6792,37086]_component_data_merged_Region 1.ome.tif	Cerebrum	CH	Basic cell groups and regions	Geometry	5491.7	2898.3	567	8	0	0	0	0	NaN	0	20182692	42787.1
JKAY22.3d_2_Scan1_[6792,37086]_component_data_merged_Region 1.ome.tif	Cerebral cortex	CTX	Cerebrum	Geometry	5491.7	2898.3	688	567	0	0	0	0	NaN	0	20182692	42787.1
JKAY22.3d_2_Scan1_[6792,37086]_component_data_merged_Region 1.ome.tif	Cortical plate	CTXpl	Cerebral cortex	Geometry	5491.7	2898.3	695	688	0	0	0	0	NaN	0	20182692	42787.1
JKAY22.3d_2_Scan1_[6792,37086]_component_data_merged_Region 1.ome.tif	Isocortex	Isocortex	Cortical plate	Geometry	5760.6	1593.4	315	695	0	0	0	0	NaN	0	7860953.4	20991.7
JKAY22.3d_2_Scan1_[6792,37086]_component_data_merged_Region 1.ome.tif	Temporal association areas	TEa	Isocortex	Polygon	709.69	2214.9	541	315	0	0	0	0	NaN	0	17569	649.46
JKAY22.3d_2_Scan1_[6792,37086]_component_data_merged_Region 1.ome.tif	Temporal association areas, layer 1	TEa1	Temporal association areas	Polygon	709.38	2214.3	97	541	0	0	0	0	NaN	0	17433.9	635.27
JKAY22.3d_2_Scan1_[6792,37086]_component_data_merged_Region 1.ome.tif	Temporal association areas, layer 2/3	TEa2/3	Temporal association areas	Polygon	750.6	2289.4	1127	541	0	0	0	0	NaN	0	135.11	52.75
JKAY22.3d_2_Scan1_[6792,37086]_component_data_merged_Region 1.ome.tif	Ectorhinal area	ECT	Isocortex	Geometry	686.91	2465.4	895	315	0	0	0	0	NaN	0	53850.2	1181.5
JKAY22.3d_2_Scan1_[6792,37086]_component_data_merged_Region 1.ome.tif	Ectorhinal area/Layer 1	ECT1	Ectorhinal area	Geometry	651.52	2467.1	836	895	0	0	0	0	NaN	0	35087.1	948.19
JKAY22.3d_2_Scan1_[6792,37086]_component_data_merged_Region 1.ome.tif	Ectorhinal area/Layer 2/3	ECT2/3	Ectorhinal area	Polygon	753.33	2461.7	427	895	0	0	0	0	NaN	0	18762.8	797.59
JKAY22.3d_2_Scan1_[6792,37086]_component_data_merged_Region 1.ome.tif	Perirhinal area	PERI	Isocortex	Geometry	908.62	2714.4	922	315	0	0	0	0	NaN	0	69413.9	1419.2
JKAY22.3d_2_Scan1_[6792,37086]_component_data_merged_Region 1.ome.tif	Perirhinal area, layer 1	PERI1	Perirhinal area	Geometry	1120.1	2801.3	540	922	0	0	0	0	NaN	0	24954.2	1019.3
