Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Allen ID	Parent Allen ID	Side	Num Detections	Num Negative	Num Positive	Positive %	Num Positive per mm^2	Area µm^2	Perimeter µm
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 1.ome.tif	root	root	Image	Geometry	5263.2	3266.2	997	0	0	7723	7030	693	8.973	16.39	42275998.2	45928
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 1.ome.tif	Basic cell groups and regions	grey	root	Geometry	5270.4	3153	8	997	0	7695	7005	690	8.967	18.36	37575620.9	91011.9
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 1.ome.tif	Cerebellum	CB	Basic cell groups and regions	Geometry	6816.6	3913.6	512	8	0	0	0	0	NaN	0	1196967.4	11545.5
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 1.ome.tif	Cerebellar cortex	CBX	Cerebellum	Geometry	7182.5	3849.4	528	512	0	0	0	0	NaN	0	876270.3	6931.6
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 1.ome.tif	Hemispheric regions	HEM	Cerebellar cortex	Geometry	6707.8	4065.3	1073	528	0	0	0	0	NaN	0	497209.5	4943.7
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 1.ome.tif	Flocculus	FL	Hemispheric regions	Geometry	6414.9	4241.6	1049	1073	0	0	0	0	NaN	0	411213.9	3490.5
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 1.ome.tif	Simple lobule	SIM	Hemispheric regions	Geometry	8108.1	3222.1	1007	1073	0	0	0	0	NaN	0	85995.6	1453.2
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 1.ome.tif	Vermal regions	VERM	Cerebellar cortex	Geometry	7805.1	3566.2	645	528	0	0	0	0	NaN	0	379060.8	2557.2
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 1.ome.tif	Culmen	CUL	Vermal regions	Geometry	7805.1	3566.2	928	645	0	0	0	0	NaN	0	379060.8	2557.2
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 1.ome.tif	Lobules IV-V	CUL4, 5	Culmen	Geometry	7805.1	3566.2	1091	928	0	0	0	0	NaN	0	379060.8	2557.2
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 1.ome.tif	Cerebrum	CH	Basic cell groups and regions	Geometry	5030.1	2355.9	567	8	0	0	0	0	NaN	0	11845160.1	22066.3
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 1.ome.tif	Cerebral cortex	CTX	Cerebrum	Geometry	5030.1	2355.9	688	567	0	0	0	0	NaN	0	11845160.1	22066.3
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 1.ome.tif	Cortical plate	CTXpl	Cerebral cortex	Geometry	5030.1	2355.9	695	688	0	0	0	0	NaN	0	11845160.1	22066.3
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 1.ome.tif	Isocortex	Isocortex	Cortical plate	Geometry	5076.2	1168	315	695	0	0	0	0	NaN	0	3584781.2	14102.6
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 1.ome.tif	Visual areas	VIS	Isocortex	Geometry	5140.7	1213.3	669	315	0	0	0	0	NaN	0	2982822.5	15225.9
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 1.ome.tif	Postrhinal area	VISpor	Visual areas	Geometry	3836.2	1785.4	312782628	669	0	0	0	0	NaN	0	347651.2	3823
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 1.ome.tif	Postrhinal area, layer 2/3	VISpor2/3	Postrhinal area	Geometry	2437.3	1770.5	312782636	312782628	0	0	0	0	NaN	0	129102.3	2407.6
