Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Allen ID	Parent Allen ID	Side	Num Detections	Num Negative	Num Positive	Positive %	Num Positive per mm^2	Area µm^2	Perimeter µm
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	root	root	Image	Geometry	5095	3548.5	997	0	0	1921	781	1140	59.34	28.77	39626960.6	32567.4
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Basic cell groups and regions	grey	root	Geometry	5075.9	3478.3	8	997	0	1917	780	1137	59.31	32	35536513.4	85250.5
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Cerebellum	CB	Basic cell groups and regions	Geometry	5789.5	3038.7	512	8	0	0	0	0	NaN	0	6843888.8	25590.5
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Cerebellar cortex	CBX	Cerebellum	Geometry	5816	3025.8	528	512	0	0	0	0	NaN	0	6457154.1	22188.5
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Hemispheric regions	HEM	Cerebellar cortex	Geometry	6073.9	2961.2	1073	528	0	0	0	0	NaN	0	4673024.3	18200.9
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Paraflocculus	PFL	Hemispheric regions	Geometry	7236.7	4128.9	1041	1073	0	0	0	0	NaN	0	122927.8	2225
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Flocculus	FL	Hemispheric regions	Geometry	6062.6	4491.4	1049	1073	0	0	0	0	NaN	0	874854.8	5524
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Simple lobule	SIM	Hemispheric regions	Geometry	6037.6	2557.9	1007	1073	0	0	0	0	NaN	0	3675241.7	12074.5
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Vermal regions	VERM	Cerebellar cortex	Geometry	5140.5	3195	645	528	0	0	0	0	NaN	0	1784129.8	10177.6
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Central lobule	CENT	Vermal regions	Geometry	5874.4	2421.3	920	645	0	0	0	0	NaN	0	28677.8	1091
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Lobule II	CENT2	Central lobule	Geometry	5874.4	2421.3	976	920	0	0	0	0	NaN	0	28677.8	1091
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Culmen	CUL	Vermal regions	Geometry	5128.6	3207.6	928	645	0	0	0	0	NaN	0	1755452.2	9086.6
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Lobules IV-V	CUL4, 5	Culmen	Geometry	5128.6	3207.6	1091	928	0	0	0	0	NaN	0	1755452.2	9086.6
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Cerebrum	CH	Basic cell groups and regions	Geometry	1038.4	2628.2	567	8	0	0	0	0	NaN	0	2171218.6	6688
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Cerebral cortex	CTX	Cerebrum	Geometry	1038.4	2628.2	688	567	0	0	0	0	NaN	0	2171218.6	6688
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Cortical plate	CTXpl	Cerebral cortex	Geometry	1038.4	2628.2	695	688	0	0	0	0	NaN	0	2171218.6	6688
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Isocortex	Isocortex	Cortical plate	Geometry	1428.8	1572.3	315	695	0	0	0	0	NaN	0	93741	1858.7
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Visual areas	VIS	Isocortex	Geometry	1428.8	1572.3	669	315	0	0	0	0	NaN	0	93741	1858.7
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Posterolateral visual area	VISpl	Visual areas	Geometry	1428.8	1572.3	425	669	0	0	0	0	NaN	0	93741	1858.7
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Posterolateral visual area, layer 1	VISpl1	Posterolateral visual area	Geometry	1428.8	1572.3	750	425	0	0	0	0	NaN	0	93741	1858.7
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Hippocampal formation	HPF	Cortical plate	Geometry	1020.8	2675.8	1089	695	0	0	0	0	NaN	0	2077477.6	6132.5
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Retrohippocampal region	RHP	Hippocampal formation	Geometry	1020.8	2675.8	822	1089	0	0	0	0	NaN	0	2077477.6	6132.5
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Parasubiculum	PAR	Retrohippocampal region	Polygon	1245.3	1776.8	843	822	0	0	0	0	NaN	0	184932.2	2302.3
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Entorhinal area	ENT	Retrohippocampal region	Geometry	998.86	2763.6	909	822	0	0	0	0	NaN	0	1892545.2	5778.2
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Entorhinal area, medial part, dorsal zone	ENTm	Entorhinal area	Geometry	998.86	2763.6	926	909	0	0	0	0	NaN	0	1892545.2	5778.2
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Entorhinal area, medial part, dorsal zone, layer 1	ENTm1	Entorhinal area, medial part, dorsal zone	Geometry	1000.7	2739.6	526	926	0	0	0	0	NaN	0	1435725.2	8652.2
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Entorhinal area, medial part, dorsal zone, layer 2	ENTm2	Entorhinal area, medial part, dorsal zone	Geometry	993.03	2838.8	543	926	0	0	0	0	NaN	0	456628.5	2905.5
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Brain stem	BS	Basic cell groups and regions	Geometry	5222.9	3660	343	8	0	1917	780	1137	59.31	42.82	26550157.2	62565.3
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Midbrain	MB	Brain stem	Geometry	5382.6	1715.3	313	343	0	1908	777	1131	59.28	117.12	9656480.2	20761.5
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Midbrain, motor related	MBmot	Midbrain	Geometry	5328.7	2334.6	323	313	0	1905	777	1128	59.21	371.69	3034781.9	15607.8
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Periaqueductal gray	PAG	Midbrain, motor related	Geometry	5346.1	2197.7	795	323	0	1902	776	1126	59.2	529.61	2126074.9	12011.8
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Cuneiform nucleus	CUN	Midbrain, motor related	Geometry	5288	2655	616	323	0	3	1	2	66.67	2.201	908707	5782.3
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Midbrain, sensory related	MBsen	Midbrain	Geometry	5407.6	1358.4	339	313	0	0	0	0	NaN	0	5487566.8	13224.7
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Inferior colliculus	IC	Midbrain, sensory related	Geometry	5407.2	1357.2	4	339	0	0	0	0	NaN	0	5484303.3	12856.7
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Inferior colliculus, central nucleus	ICc	Inferior colliculus	Geometry	5416.1	1569.5	811	4	0	0	0	0	NaN	0	2309180.7	9448.6
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Inferior colliculus, dorsal nucleus	ICd	Inferior colliculus	Geometry	5349.5	1054.6	820	4	0	0	0	0	NaN	0	1516450.9	7341.5
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Inferior colliculus, external nucleus	ICe	Inferior colliculus	Geometry	5447.6	1338.2	828	4	0	0	0	0	NaN	0	1658671.7	11429.2
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Midbrain trigeminal nucleus	MEV	Midbrain, sensory related	Geometry	6145.1	3365.5	460	339	0	0	0	0	NaN	0	3263.4	368.02
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Midbrain, behavioral state related	MBsta	Midbrain	Polygon	5223.4	3650.5	348	313	0	0	0	0	NaN	0	44002.7	1063
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Midbrain raphe nuclei	RAmb	Midbrain, behavioral state related	Polygon	5223.4	3650.5	165	348	0	0	0	0	NaN	0	44002.7	1063
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	Dorsal nucleus raphe	DR	Midbrain raphe nuclei	Polygon	5223.4	3650.5	872	165	0	0	0	0	NaN	0	44002.7	1063
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	ventricular systems	VS	root	Geometry	5414.7	2302.3	73	997	0	1	1	0	0	0	1131795.1	5105
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	cerebral aqueduct	AQ	ventricular systems	Geometry	5415.2	2299.2	140	73	0	1	1	0	0	0	1126503.8	5053.1
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	fourth ventricle	V4	ventricular systems	Polygon	5306.1	2952.7	145	73	0	0	0	0	NaN	0	5291.5	409.91
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	fiber tracts	fiber tracts	root	Geometry	5203.8	4987.5	1009	997	0	3	0	3	100	1.059	2832010.4	49417.8
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	cerebellum related fiber tracts	cbf	fiber tracts	Geometry	5362.6	3905.6	960	1009	0	0	0	0	NaN	0	1035229.3	21004
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	arbor vitae	arb	cerebellum related fiber tracts	Geometry	5990.8	3815.1	728	960	0	0	0	0	NaN	0	319101.6	12185.5
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	cerebellar peduncles	cbp	cerebellum related fiber tracts	Geometry	5082.7	3945.9	752	960	0	0	0	0	NaN	0	716127.7	15172.5
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	superior cerebelar peduncles	scp	cerebellar peduncles	Geometry	5163.5	3887.1	326	752	0	0	0	0	NaN	0	432049.4	12008.5
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	ventral spinocerebellar tract	sctv	superior cerebelar peduncles	Geometry	4898.1	4774.7	866	326	0	0	0	0	NaN	0	128350.7	5357.2
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	middle cerebellar peduncle	mcp	cerebellar peduncles	Geometry	4959.9	4035.3	78	752	0	0	0	0	NaN	0	284078.3	3164
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	cranial nerves	cm	fiber tracts	Geometry	5118.9	5548.2	967	1009	0	3	0	3	100	2.123	1413334.6	24249.9
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	dorsal roots	drt	cranial nerves	Geometry	5025	6323	792	967	0	0	0	0	NaN	0	138085.3	2007.9
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	cervicothalamic tract	cett	dorsal roots	Geometry	5025	6323	932	792	0	0	0	0	NaN	0	138085.3	2007.9
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	medial lemniscus	ml	cervicothalamic tract	Geometry	5025	6323	697	932	0	0	0	0	NaN	0	138085.3	2007.9
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	facial nerve	VIIn	cranial nerves	Polygon	7010.2	5948.4	798	967	0	0	0	0	NaN	0	11407.5	415.85
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	oculomotor nerve	IIIn	cranial nerves	Geometry	5202.8	4079.2	832	967	0	0	0	0	NaN	0	25652.2	1243.2
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 3.ome.tif	medial longitudinal fascicle	mlf	oculomotor nerve	Geometry	5202.8	4079.2	62	832	0	0	0	0	NaN	0	25652.2	1243.2
