Region,Global slice index,TRAPed_alsoVgat,TRAPed_alsoVglut
dmPAG,Slice 2,0.3,1.16
dlPAG,Slice 2,0.0,1.12
lPAG,Slice 2,0.0,1.07
vlPAG,Slice 2,0.31,1.35
dmPAG,Slice 3,0.0,1.18
dlPAG,Slice 3,0.49,1.04
lPAG,Slice 3,0.72,1.03
vlPAG,Slice 3,0.23,1.19
dmPAG,Slice 4,0.3,1.02
dlPAG,Slice 4,0.0,1.1
lPAG,Slice 4,0.16,0.95
vlPAG,Slice 4,0.58,0.97
dmPAG,Slice 4,0.22,0.99
dlPAG,Slice 4,0.15,0.83
lPAG,Slice 4,0.42,0.95
vlPAG,Slice 4,0.6,0.82
dmPAG,Slice 5,0.07,1.1
dlPAG,Slice 5,0.29,1.13
lPAG,Slice 5,0.14,1.03
vlPAG,Slice 5,0.69,0.98
dmPAG,Slice 6,0.38,1.05
dlPAG,Slice 6,0.29,1.07
lPAG,Slice 6,0.43,0.95
vlPAG,Slice 6,0.62,0.86
dmPAG,Slice 7,0.55,1.03
dlPAG,Slice 7,0.56,1.02
lPAG,Slice 7,0.81,0.91
vlPAG,Slice 7,0.74,0.81
dmPAG,Slice 8,0.43,1.03
dlPAG,Slice 8,0.72,0.9
lPAG,Slice 8,0.63,0.85
vlPAG,Slice 8,0.59,0.73
dmPAG,Slice 9,0.6,0.84
dlPAG,Slice 9,0.81,0.76
lPAG,Slice 9,0.56,0.73
vlPAG,Slice 9,0.42,0.74
dmPAG,Slice 9,0.35,0.69
dlPAG,Slice 9,0.66,0.73
lPAG,Slice 9,0.47,0.68
vlPAG,Slice 9,0.31,0.56
dmPAG,Slice 10,0.69,0.94
dlPAG,Slice 10,0.68,0.9
lPAG,Slice 10,0.53,0.78
vlPAG,Slice 10,0.58,0.77
dmPAG,Slice 11,0.89,0.9
dlPAG,Slice 11,0.76,0.76
lPAG,Slice 11,0.5,0.79
vlPAG,Slice 11,0.6,0.61
dmPAG,Slice 12,0.51,0.96
dlPAG,Slice 12,0.89,0.91
lPAG,Slice 12,0.53,1.12
vlPAG,Slice 12,1.36,0.69
