Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Allen ID	Parent Allen ID	Side	Num Detections	Num Negative	Num Positive	Positive %	Num Positive per mm^2	Area µm^2	Perimeter µm
JKAY22.3e_2_Scan1_[4291,35714]_component_data_merged_Region 3.ome.tif	root	root	Image	Geometry	4782.3	4043	997	0	0	808	196	612	75.74	13.98	43778448.1	40802
JKAY22.3e_2_Scan1_[4291,35714]_component_data_merged_Region 3.ome.tif	Basic cell groups and regions	grey	root	Geometry	4819.4	3927.5	8	997	0	808	196	612	75.74	15.68	39034049.5	92063
JKAY22.3e_2_Scan1_[4291,35714]_component_data_merged_Region 3.ome.tif	Cerebellum	CB	Basic cell groups and regions	Geometry	3845.9	5726	512	8	0	0	0	0	NaN	0	65234.5	4216.7
JKAY22.3e_2_Scan1_[4291,35714]_component_data_merged_Region 3.ome.tif	Cerebrum	CH	Basic cell groups and regions	Geometry	4482.4	3666.2	567	8	0	0	0	0	NaN	0	17550839.8	41794.8
JKAY22.3e_2_Scan1_[4291,35714]_component_data_merged_Region 3.ome.tif	Cerebral cortex	CTX	Cerebrum	Geometry	4482.4	3666.2	688	567	0	0	0	0	NaN	0	17550839.8	41794.8
JKAY22.3e_2_Scan1_[4291,35714]_component_data_merged_Region 3.ome.tif	Cortical plate	CTXpl	Cerebral cortex	Geometry	4482.4	3666.2	695	688	0	0	0	0	NaN	0	17550839.8	41794.8
JKAY22.3e_2_Scan1_[4291,35714]_component_data_merged_Region 3.ome.tif	Hippocampal formation	HPF	Cortical plate	Geometry	4845.1	4351.2	1089	695	0	0	0	0	NaN	0	11092904.7	27962.5
JKAY22.3e_2_Scan1_[4291,35714]_component_data_merged_Region 3.ome.tif	Hippocampal region	HIP	Hippocampal formation	Polygon	2303.9	4771.1	1080	1089	0	0	0	0	NaN	0	871826	3991.8
JKAY22.3e_2_Scan1_[4291,35714]_component_data_merged_Region 3.ome.tif	Dentate gyrus	DG	Hippocampal region	Polygon	2303.9	4771.1	726	1080	0	0	0	0	NaN	0	871826	3991.8
JKAY22.3e_2_Scan1_[4291,35714]_component_data_merged_Region 3.ome.tif	Dentate gyrus, molecular layer	DG-mo	Dentate gyrus	Polygon	2303.9	4771.1	10703	726	0	0	0	0	NaN	0	871826	3991.8
JKAY22.3e_2_Scan1_[4291,35714]_component_data_merged_Region 3.ome.tif	Retrohippocampal region	RHP	Hippocampal formation	Geometry	4968.9	4361.2	822	1089	0	0	0	0	NaN	0	9881192	31694.5
JKAY22.3e_2_Scan1_[4291,35714]_component_data_merged_Region 3.ome.tif	Prosubiculum	ProS	Retrohippocampal region	Polygon	1693.8	4701.2	484682470	822	0	0	0	0	NaN	0	1879589.7	6812.7
JKAY22.3e_2_Scan1_[4291,35714]_component_data_merged_Region 3.ome.tif	Postsubiculum	POST	Retrohippocampal region	Geometry	5276.2	2157.8	1037	822	0	0	0	0	NaN	0	679986	5364.2
JKAY22.3e_2_Scan1_[4291,35714]_component_data_merged_Region 3.ome.tif	Presubiculum	PRE	Retrohippocampal region	Geometry	4488.1	3134	1084	822	0	0	0	0	NaN	0	719569.9	7266
JKAY22.3e_2_Scan1_[4291,35714]_component_data_merged_Region 3.ome.tif	Hippocampo-amygdalar transition area	HATA	Retrohippocampal region	Geometry	2214.6	5887.4	589508447	822	0	0	0	0	NaN	0	87093.5	1543
