Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Allen ID	Parent Allen ID	Side	Num Detections	Num Negative	Num Positive	Positive %	Num Positive per mm^2	Area µm^2	Perimeter µm
JKAY22.3e_1_Scan2_[5109,59637]_component_data_merged_Region 4.ome.tif	root	root	Image	Geometry	5059.9	3890.6	997	0	0	1306	1174	132	10.11	2.78	47478466.6	35686.3
JKAY22.3e_1_Scan2_[5109,59637]_component_data_merged_Region 4.ome.tif	Basic cell groups and regions	grey	root	Geometry	5079.1	3884.9	8	997	0	1306	1174	132	10.11	3.054	43224459.7	95475.3
JKAY22.3e_1_Scan2_[5109,59637]_component_data_merged_Region 4.ome.tif	Cerebrum	CH	Basic cell groups and regions	Geometry	4905	3748.7	567	8	0	0	0	0	NaN	0	28020738.3	65603.5
JKAY22.3e_1_Scan2_[5109,59637]_component_data_merged_Region 4.ome.tif	Cerebral cortex	CTX	Cerebrum	Geometry	4905	3748.7	688	567	0	0	0	0	NaN	0	28020738.3	65603.5
JKAY22.3e_1_Scan2_[5109,59637]_component_data_merged_Region 4.ome.tif	Cortical plate	CTXpl	Cerebral cortex	Geometry	4956.6	3644	695	688	0	0	0	0	NaN	0	26785084.7	67791.4
JKAY22.3e_1_Scan2_[5109,59637]_component_data_merged_Region 4.ome.tif	Hippocampal formation	HPF	Cortical plate	Geometry	5220	4266.9	1089	695	0	0	0	0	NaN	0	12482679.7	31530.7
JKAY22.3e_1_Scan2_[5109,59637]_component_data_merged_Region 4.ome.tif	Hippocampal region	HIP	Hippocampal formation	Geometry	5014.6	4270.9	1080	1089	0	0	0	0	NaN	0	9838773.8	21716
JKAY22.3e_1_Scan2_[5109,59637]_component_data_merged_Region 4.ome.tif	Dentate gyrus	DG	Hippocampal region	Geometry	5493.2	3617.2	726	1080	0	0	0	0	NaN	0	1922038.4	14359.7
JKAY22.3e_1_Scan2_[5109,59637]_component_data_merged_Region 4.ome.tif	Dentate gyrus, granule cell layer	DG-sg	Dentate gyrus	Geometry	5448.4	3563.5	632	726	0	0	0	0	NaN	0	469976.3	12795.3
JKAY22.3e_1_Scan2_[5109,59637]_component_data_merged_Region 4.ome.tif	Dentate gyrus, molecular layer	DG-mo	Dentate gyrus	Geometry	5530.8	3657	10703	726	0	0	0	0	NaN	0	1287439.9	18070.1
JKAY22.3e_1_Scan2_[5109,59637]_component_data_merged_Region 4.ome.tif	Dentate gyrus, polymorph layer	DG-po	Dentate gyrus	Geometry	5327.3	3458.8	10704	726	0	0	0	0	NaN	0	164622.1	5001.9
JKAY22.3e_1_Scan2_[5109,59637]_component_data_merged_Region 4.ome.tif	Ammon's horn	CA	Hippocampal region	Geometry	4898.4	4429.6	375	1080	0	0	0	0	NaN	0	7916735.5	24635.7
JKAY22.3e_1_Scan2_[5109,59637]_component_data_merged_Region 4.ome.tif	Field CA1	CA1	Ammon's horn	Geometry	5288.8	4191.5	382	375	0	0	0	0	NaN	0	4809069.7	19557
JKAY22.3e_1_Scan2_[5109,59637]_component_data_merged_Region 4.ome.tif	Field CA2	CA2	Ammon's horn	Polygon	2330.6	5087.8	423	375	0	0	0	0	NaN	0	199654.2	5661.9
JKAY22.3e_1_Scan2_[5109,59637]_component_data_merged_Region 4.ome.tif	Field CA3	CA3	Ammon's horn	Geometry	4429	4778.2	463	375	0	0	0	0	NaN	0	2908011.8	12727.4
JKAY22.3e_1_Scan2_[5109,59637]_component_data_merged_Region 4.ome.tif	Retrohippocampal region	RHP	Hippocampal formation	Geometry	6001.3	4253.4	822	1089	0	0	0	0	NaN	0	2610938.3	16137.1
JKAY22.3e_1_Scan2_[5109,59637]_component_data_merged_Region 4.ome.tif	Prosubiculum	ProS	Retrohippocampal region	Geometry	4945.9	2698.7	484682470	822	0	0	0	0	NaN	0	290872	3302.4
JKAY22.3e_1_Scan2_[5109,59637]_component_data_merged_Region 4.ome.tif	Postsubiculum	POST	Retrohippocampal region	Geometry	6157.3	2078.3	1037	822	0	0	0	0	NaN	0	118091.3	2371.2
JKAY22.3e_1_Scan2_[5109,59637]_component_data_merged_Region 4.ome.tif	Hippocampo-amygdalar transition area	HATA	Retrohippocampal region	Geometry	6048.2	6176.2	589508447	822	0	0	0	0	NaN	0	108985.7	1988.2
JKAY22.3e_1_Scan2_[5109,59637]_component_data_merged_Region 4.ome.tif	Entorhinal area	ENT	Retrohippocampal region	Geometry	6412.6	5193.7	909	822	0	0	0	0	NaN	0	1541132.3	7224.2
JKAY22.3e_1_Scan2_[5109,59637]_component_data_merged_Region 4.ome.tif	Entorhinal area, lateral part	ENTl	Entorhinal area	Geometry	6412.6	5193.7	918	909	0	0	0	0	NaN	0	1541132.3	7224.2
JKAY22.3e_1_Scan2_[5109,59637]_component_data_merged_Region 4.ome.tif	Entorhinal area, lateral part, layer 2	ENTl2	Entorhinal area, lateral part	Geometry	6648.8	5221.2	20	918	0	0	0	0	NaN	0	347494.6	4382.3
JKAY22.3e_1_Scan2_[5109,59637]_component_data_merged_Region 4.ome.tif	Entorhinal area, lateral part, layer 6a	ENTl6a	Entorhinal area, lateral part	Geometry	6298.4	5068.3	28	918	0	0	0	0	NaN	0	222347	4038.9
JKAY22.3e_1_Scan2_[5109,59637]_component_data_merged_Region 4.ome.tif	Entorhinal area, lateral part, layer 3	ENTl3	Entorhinal area, lateral part	Geometry	6404.4	5223.3	52	918	0	0	0	0	NaN	0	352264.5	4455.6
JKAY22.3e_1_Scan2_[5109,59637]_component_data_merged_Region 4.ome.tif	Entorhinal area, lateral part, layer 1	ENTl1	Entorhinal area, lateral part	Geometry	6530.8	5243.6	1121	918	0	0	0	0	NaN	0	208362.3	4222.4
JKAY22.3e_1_Scan2_[5109,59637]_component_data_merged_Region 4.ome.tif	Entorhinal area, lateral part, layer 5	ENTl5	Entorhinal area, lateral part	Geometry	6221.8	5187.5	139	918	0	0	0	0	NaN	0	410663.9	4474.9
JKAY22.3e_1_Scan2_[5109,59637]_component_data_merged_Region 4.ome.tif	Subiculum	SUB	Retrohippocampal region	Geometry	5366	2532.9	502	822	0	0	0	0	NaN	0	551856.9	4464.9
JKAY22.3e_1_Scan2_[5109,59637]_component_data_merged_Region 4.ome.tif	Olfactory areas	OLF	Cortical plate	Geometry	5399.7	6302.6	698	695	0	0	0	0	NaN	0	2737968.6	11240.1
JKAY22.3e_1_Scan2_[5109,59637]_component_data_merged_Region 4.ome.tif	Postpiriform transition area	TR	Olfactory areas	Geometry	7539.9	6031.8	566	698	0	0	0	0	NaN	0	1072229.4	5599.9
JKAY22.3e_1_Scan2_[5109,59637]_component_data_merged_Region 4.ome.tif	Cortical amygdalar area	COA	Olfactory areas	Geometry	5741.3	6501.7	631	698	0	0	0	0	NaN	0	999881.3	5549.4
JKAY22.3e_1_Scan2_[5109,59637]_component_data_merged_Region 4.ome.tif	Cortical amygdalar area, posterior part	COAp	Cortical amygdalar area	Geometry	5741.3	6501.7	647	631	0	0	0	0	NaN	0	999881.3	5549.4
JKAY22.3e_1_Scan2_[5109,59637]_component_data_merged_Region 4.ome.tif	Cortical amygdalar area, posterior part, lateral zone	COApl	Cortical amygdalar area, posterior part	Geometry	5524.6	6502.6	655	647	0	0	0	0	NaN	0	515272.5	4458.6
JKAY22.3e_1_Scan2_[5109,59637]_component_data_merged_Region 4.ome.tif	Cortical amygdalar area, posterior part, medial zone	COApm	Cortical amygdalar area, posterior part	Geometry	5971.6	6500.8	663	647	0	0	0	0	NaN	0	484608.9	3751.4
JKAY22.3e_1_Scan2_[5109,59637]_component_data_merged_Region 4.ome.tif	Piriform-amygdalar area	PAA	Olfactory areas	Geometry	1873	7010	788	698	0	0	0	0	NaN	0	6359.3	599.16
JKAY22.3e_1_Scan2_[5109,59637]_component_data_merged_Region 4.ome.tif	Piriform area	PIR	Olfactory areas	Polygon	1329.5	6439.7	961	698	0	0	0	0	NaN	0	631590.1	3189.1
JKAY22.3e_1_Scan2_[5109,59637]_component_data_merged_Region 4.ome.tif	Isocortex	Isocortex	Cortical plate	Geometry	4567.5	2342.2	315	695	0	0	0	0	NaN	0	11564436.4	32537.7
JKAY22.3e_1_Scan2_[5109,59637]_component_data_merged_Region 4.ome.tif	Posterior parietal association areas	PTLp	Isocortex	Geometry	1614.6	2544.8	22	315	0	0	0	0	NaN	0	196069.7	2349.4
JKAY22.3e_1_Scan2_[5109,59637]_component_data_merged_Region 4.ome.tif	Rostrolateral visual area	VISrl	Posterior parietal association areas	Geometry	1614.6	2544.8	417	22	0	0	0	0	NaN	0	196069.7	2349.4
JKAY22.3e_1_Scan2_[5109,59637]_component_data_merged_Region 4.ome.tif	Rostrolateral area, layer 6b	VISrl6b	Rostrolateral visual area	Polygon	1926.1	2940	312782624	417	0	0	0	0	NaN	0	4979.6	349.52
JKAY22.3e_1_Scan2_[5109,59637]_component_data_merged_Region 4.ome.tif	Rostrolateral area, layer 1	VISrl1	Rostrolateral visual area	Polygon	1415.3	2265.5	312782604	417	0	0	0	0	NaN	0	34548	803.15
JKAY22.3e_1_Scan2_[5109,59637]_component_data_merged_Region 4.ome.tif	Rostrolateral area, layer 4	VISrl4	Rostrolateral visual area	Geometry	1605.3	2539.2	312782612	417	0	0	0	0	NaN	0	27690.2	721.54
JKAY22.3e_1_Scan2_[5109,59637]_component_data_merged_Region 4.ome.tif	Rostrolateral area, layer 2/3	VISrl2/3	Rostrolateral visual area	Geometry	1509.3	2400.5	312782608	417	0	0	0	0	NaN	0	53962.9	919.11
JKAY22.3e_1_Scan2_[5109,59637]_component_data_merged_Region 4.ome.tif	Rostrolateral area, layer 6a	VISrl6a	Rostrolateral visual area	Polygon	1854.2	2860.2	312782620	417	0	0	0	0	NaN	0	27266.6	669.01
JKAY22.3e_1_Scan2_[5109,59637]_component_data_merged_Region 4.ome.tif	Rostrolateral area, layer 5	VISrl5	Rostrolateral visual area	Polygon	1714.6	2691.8	312782616	417	0	0	0	0	NaN	0	47621.9	916.16
JKAY22.3e_1_Scan2_[5109,59637]_component_data_merged_Region 4.ome.tif	Temporal association areas	TEa	Isocortex	Geometry	5943.8	3730	541	315	0	0	0	0	NaN	0	825555	7062.8
JKAY22.3e_1_Scan2_[5109,59637]_component_data_merged_Region 4.ome.tif	Temporal association areas, layer 1	TEa1	Temporal association areas	Geometry	6154.9	3647.5	97	541	0	0	0	0	NaN	0	127719.7	3074.8
JKAY22.3e_1_Scan2_[5109,59637]_component_data_merged_Region 4.ome.tif	Temporal association areas, layer 2/3	TEa2/3	Temporal association areas	Geometry	5956.1	3708.8	1127	541	0	0	0	0	NaN	0	179671.4	3346.7
JKAY22.3e_1_Scan2_[5109,59637]_component_data_merged_Region 4.ome.tif	Temporal association areas, layer 6a	TEa6a	Temporal association areas	Geometry	5627.4	3841.1	729	541	0	0	0	0	NaN	0	140105.4	2891.1
JKAY22.3e_1_Scan2_[5109,59637]_component_data_merged_Region 4.ome.tif	Temporal association areas, layer 4	TEa4	Temporal association areas	Geometry	6472.2	3524.3	234	541	0	0	0	0	NaN	0	78045.2	2675.3
JKAY22.3e_1_Scan2_[5109,59637]_component_data_merged_Region 4.ome.tif	Temporal association areas, layer 6b	TEa6b	Temporal association areas	Geometry	5871.3	3771.2	786	541	0	0	0	0	NaN	0	28871.1	2034.7
JKAY22.3e_1_Scan2_[5109,59637]_component_data_merged_Region 4.ome.tif	Temporal association areas, layer 5	TEa5	Temporal association areas	Geometry	5855.5	3780.2	289	541	0	0	0	0	NaN	0	271142.1	3700.2
JKAY22.3e_1_Scan2_[5109,59637]_component_data_merged_Region 4.ome.tif	Visual areas	VIS	Isocortex	Geometry	4557.9	1899.7	669	315	0	0	0	0	NaN	0	5156280.3	17608.4
JKAY22.3e_1_Scan2_[5109,59637]_component_data_merged_Region 4.ome.tif	posteromedial visual area	VISpm	Visual areas	Geometry	4597.4	1319.4	533	669	0	0	0	0	NaN	0	1018914.4	6338.5
JKAY22.3e_1_Scan2_[5109,59637]_component_data_merged_Region 4.ome.tif	posteromedial visual area, layer 2/3	VISpm2/3	posteromedial visual area	Geometry	4546.1	1146	41	533	0	0	0	0	NaN	0	258837.9	3562
JKAY22.3e_1_Scan2_[5109,59637]_component_data_merged_Region 4.ome.tif	posteromedial visual area, layer 5	VISpm5	posteromedial visual area	Geometry	4662.2	1458.2	565	533	0	0	0	0	NaN	0	290312	3739
JKAY22.3e_1_Scan2_[5109,59637]_component_data_merged_Region 4.ome.tif	posteromedial visual area, layer 6a	VISpm6a	posteromedial visual area	Geometry	4649.5	1697.3	257	533	0	0	0	0	NaN	0	157509.3	3052.8
JKAY22.3e_1_Scan2_[5109,59637]_component_data_merged_Region 4.ome.tif	posteromedial visual area, layer 1	VISpm1	posteromedial visual area	Geometry	4539.6	937.8	805	533	0	0	0	0	NaN	0	179672.7	3255.7
JKAY22.3e_1_Scan2_[5109,59637]_component_data_merged_Region 4.ome.tif	posteromedial visual area, layer 6b	VISpm6b	posteromedial visual area	Geometry	4747.6	1752.4	469	533	0	0	0	0	NaN	0	31707.4	2535.9
JKAY22.3e_1_Scan2_[5109,59637]_component_data_merged_Region 4.ome.tif	posteromedial visual area, layer 4	VISpm4	posteromedial visual area	Geometry	4517.5	1318.4	501	533	0	0	0	0	NaN	0	100875	3176
JKAY22.3e_1_Scan2_[5109,59637]_component_data_merged_Region 4.ome.tif	Laterointermediate area	VISli	Visual areas	Polygon	8580.3	2292.9	312782574	669	0	0	0	0	NaN	0	136684.4	1825
JKAY22.3e_1_Scan2_[5109,59637]_component_data_merged_Region 4.ome.tif	Laterointermediate area, layer 2/3	VISli2/3	Laterointermediate area	Polygon	8668.2	2169.2	312782582	312782574	0	0	0	0	NaN	0	32589.4	739.75
JKAY22.3e_1_Scan2_[5109,59637]_component_data_merged_Region 4.ome.tif	Laterointermediate area, layer 1	VISli1	Laterointermediate area	Polygon	8740.9	2062.5	312782578	312782574	0	0	0	0	NaN	0	23076	659.07
JKAY22.3e_1_Scan2_[5109,59637]_component_data_merged_Region 4.ome.tif	Laterointermediate area, layer 5	VISli5	Laterointermediate area	Polygon	8518.7	2385.6	312782590	312782574	0	0	0	0	NaN	0	39545.7	793.02
JKAY22.3e_1_Scan2_[5109,59637]_component_data_merged_Region 4.ome.tif	Laterointermediate area, layer 4	VISli4	Laterointermediate area	Polygon	8598	2263.7	312782586	312782574	0	0	0	0	NaN	0	15896.6	558.92
JKAY22.3e_1_Scan2_[5109,59637]_component_data_merged_Region 4.ome.tif	Laterointermediate area, layer 6b	VISli6b	Laterointermediate area	Polygon	8368.7	2587.2	312782598	312782574	0	0	0	0	NaN	0	4373.2	356.59
JKAY22.3e_1_Scan2_[5109,59637]_component_data_merged_Region 4.ome.tif	Laterointermediate area, layer 6a	VISli6a	Laterointermediate area	Polygon	8414.5	2523.6	312782594	312782574	0	0	0	0	NaN	0	21203.2	599.45
JKAY22.3e_1_Scan2_[5109,59637]_component_data_merged_Region 4.ome.tif	Primary visual area	VISp	Visual areas	Geometry	4574.9	1873.8	385	669	0	0	0	0	NaN	0	3079813	11003.8
JKAY22.3e_1_Scan2_[5109,59637]_component_data_merged_Region 4.ome.tif	Primary visual area, layer 6a	VISp6a	Primary visual area	Geometry	4575.3	2216.2	33	385	0	0	0	0	NaN	0	494193	7310.1
JKAY22.3e_1_Scan2_[5109,59637]_component_data_merged_Region 4.ome.tif	Primary visual area, layer 1	VISp1	Primary visual area	Geometry	4518.5	1511.5	593	385	0	0	0	0	NaN	0	479463.2	8083.2
JKAY22.3e_1_Scan2_[5109,59637]_component_data_merged_Region 4.ome.tif	Primary visual area, layer 4	VISp4	Primary visual area	Geometry	4586.4	1885.6	721	385	0	0	0	0	NaN	0	460534.5	7538.1
JKAY22.3e_1_Scan2_[5109,59637]_component_data_merged_Region 4.ome.tif	Primary visual area, layer 5	VISp5	Primary visual area	Geometry	4557.8	2047.7	778	385	0	0	0	0	NaN	0	716701.4	7811.8
