Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Allen ID	Parent Allen ID	Side	Num Detections	Num Negative	Num Positive	Positive %	Num Positive per mm^2	Area µm^2	Perimeter µm
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 1.ome.tif	dmPAG	PAG_subregions	Image	Polygon	4651.2	951.27	NaN	NaN	NaN	1599	863	736	46.03	1463.6	502869	2966.2
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 1.ome.tif	dlPAG-r	PAG_subregions	Image	Polygon	5072	1339.1	NaN	NaN	NaN	477	240	237	49.69	1548.2	153082.2	1612.3
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 1.ome.tif	lPAG-r	PAG_subregions	Image	Polygon	5219.9	1801.6	NaN	NaN	NaN	983	626	357	36.32	1177.5	303184.9	2249
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 1.ome.tif	vlPAG-r	PAG_subregions	Image	Polygon	5007.2	2266.5	NaN	NaN	NaN	756	634	122	16.14	445.98	273553.6	3120.7
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 1.ome.tif	dlPAG-l	PAG_subregions	Image	Polygon	4180.4	1289.9	NaN	NaN	NaN	446	288	158	35.43	938.29	168391.6	1710.2
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 1.ome.tif	lPAG-l	PAG_subregions	Image	Polygon	3936.4	1798.2	NaN	NaN	NaN	1375	907	468	34.04	1042.8	448772.8	2862.8
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 1.ome.tif	vlPAG-l	PAG_subregions	Image	Polygon	4153.8	2332.4	NaN	NaN	NaN	1004	839	165	16.43	448.57	367839.4	3677.8
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 1.ome.tif	Hindbrain	HB	Image	Geometry	4681.3	4174.6	1065	343	0	29	22	7	24.14	0.5229	13387020	51672
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 1.ome.tif	Pons	P	Hindbrain	Geometry	4642.1	4127.6	771	1065	0	29	22	7	24.14	0.5536	12643398.2	43327.6
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 1.ome.tif	Pons, behavioral state related	P-sat	Pons	Geometry	4530	3162.8	1117	771	0	11	8	3	27.27	3.322	903099.1	8990.1
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 1.ome.tif	Pontine reticular nucleus	PRNr	Pons, behavioral state related	Geometry	3609.3	3610.5	146	1117	0	0	0	0	NaN	0	69010.1	1796.7
