Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Allen ID	Parent Allen ID	Side	Num Detections	Num Negative	Num Positive	Positive %	Num Positive per mm^2	Area µm^2	Perimeter µm
JKAY22.3e_1_Scan2_[5109,59637]_component_data_merged_Region 3.ome.tif	root	root	Image	Geometry	5342.9	4110.4	997	0	0	690	452	238	34.49	4.736	50254580.7	38871.7
JKAY22.3e_1_Scan2_[5109,59637]_component_data_merged_Region 3.ome.tif	Basic cell groups and regions	grey	root	Geometry	5331.6	3987.5	8	997	0	690	452	238	34.49	5.306	44851811.4	94428.1
JKAY22.3e_1_Scan2_[5109,59637]_component_data_merged_Region 3.ome.tif	Cerebrum	CH	Basic cell groups and regions	Geometry	5222.8	4011.6	567	8	0	0	0	0	NaN	0	28455251.4	62524.2
JKAY22.3e_1_Scan2_[5109,59637]_component_data_merged_Region 3.ome.tif	Cerebral cortex	CTX	Cerebrum	Geometry	5222.8	4011.6	688	567	0	0	0	0	NaN	0	28455251.4	62524.2
JKAY22.3e_1_Scan2_[5109,59637]_component_data_merged_Region 3.ome.tif	Cortical plate	CTXpl	Cerebral cortex	Geometry	5247.9	3951.4	695	688	0	0	0	0	NaN	0	27718706.5	64790
JKAY22.3e_1_Scan2_[5109,59637]_component_data_merged_Region 3.ome.tif	Hippocampal formation	HPF	Cortical plate	Geometry	5519.1	4628.8	1089	695	0	0	0	0	NaN	0	13772819.6	32764.7
JKAY22.3e_1_Scan2_[5109,59637]_component_data_merged_Region 3.ome.tif	Hippocampal region	HIP	Hippocampal formation	Geometry	5167.5	4708.3	1080	1089	0	0	0	0	NaN	0	9504429	20365.4
JKAY22.3e_1_Scan2_[5109,59637]_component_data_merged_Region 3.ome.tif	Dentate gyrus	DG	Hippocampal region	Geometry	6054	4394.8	726	1080	0	0	0	0	NaN	0	2727630.7	17650.6
JKAY22.3e_1_Scan2_[5109,59637]_component_data_merged_Region 3.ome.tif	Dentate gyrus, granule cell layer	DG-sg	Dentate gyrus	Geometry	6113.5	4466.7	632	726	0	0	0	0	NaN	0	691925.1	16507.5
JKAY22.3e_1_Scan2_[5109,59637]_component_data_merged_Region 3.ome.tif	Dentate gyrus, molecular layer	DG-mo	Dentate gyrus	Geometry	5921.3	4302.7	10703	726	0	0	0	0	NaN	0	1685184.2	21730.5
JKAY22.3e_1_Scan2_[5109,59637]_component_data_merged_Region 3.ome.tif	Dentate gyrus, polymorph layer	DG-po	Dentate gyrus	Geometry	6574.4	4696.2	10704	726	0	0	0	0	NaN	0	350521.5	8045.7
JKAY22.3e_1_Scan2_[5109,59637]_component_data_merged_Region 3.ome.tif	Ammon's horn	CA	Hippocampal region	Geometry	4810.7	4834.5	375	1080	0	0	0	0	NaN	0	6776798.3	23411.9
JKAY22.3e_1_Scan2_[5109,59637]_component_data_merged_Region 3.ome.tif	Field CA1	CA1	Ammon's horn	Geometry	4926.3	4779.5	382	375	0	0	0	0	NaN	0	4995294.1	17123.4
JKAY22.3e_1_Scan2_[5109,59637]_component_data_merged_Region 3.ome.tif	Field CA2	CA2	Ammon's horn	Geometry	2312.7	4975.6	423	375	0	0	0	0	NaN	0	1726	332.52
JKAY22.3e_1_Scan2_[5109,59637]_component_data_merged_Region 3.ome.tif	Field CA3	CA3	Ammon's horn	Geometry	4488.7	4988.5	463	375	0	0	0	0	NaN	0	1779778.2	9186.5
JKAY22.3e_1_Scan2_[5109,59637]_component_data_merged_Region 3.ome.tif	Retrohippocampal region	RHP	Hippocampal formation	Geometry	6301.7	4453.8	822	1089	0	0	0	0	NaN	0	4245814.1	21087
JKAY22.3e_1_Scan2_[5109,59637]_component_data_merged_Region 3.ome.tif	Prosubiculum	ProS	Retrohippocampal region	Geometry	6097.9	3262.9	484682470	822	0	0	0	0	NaN	0	313671.9	3656.2
JKAY22.3e_1_Scan2_[5109,59637]_component_data_merged_Region 3.ome.tif	Postsubiculum	POST	Retrohippocampal region	Geometry	6407	2703.2	1037	822	0	0	0	0	NaN	0	558901.9	5969.5
JKAY22.3e_1_Scan2_[5109,59637]_component_data_merged_Region 3.ome.tif	Hippocampo-amygdalar transition area	HATA	Retrohippocampal region	Geometry	6513.3	6285.9	589508447	822	0	0	0	0	NaN	0	280441.4	3149.1
JKAY22.3e_1_Scan2_[5109,59637]_component_data_merged_Region 3.ome.tif	Entorhinal area	ENT	Retrohippocampal region	Geometry	6305	5211.4	909	822	0	0	0	0	NaN	0	2393282.9	9041.9
JKAY22.3e_1_Scan2_[5109,59637]_component_data_merged_Region 3.ome.tif	Entorhinal area, lateral part	ENTl	Entorhinal area	Geometry	6305	5211.4	918	909	0	0	0	0	NaN	0	2393282.9	9041.9
JKAY22.3e_1_Scan2_[5109,59637]_component_data_merged_Region 3.ome.tif	Entorhinal area, lateral part, layer 2	ENTl2	Entorhinal area, lateral part	Geometry	6781.1	5241.3	20	918	0	0	0	0	NaN	0	585663.9	6260.3
JKAY22.3e_1_Scan2_[5109,59637]_component_data_merged_Region 3.ome.tif	Entorhinal area, lateral part, layer 6a	ENTl6a	Entorhinal area, lateral part	Geometry	5764.3	5130.9	28	918	0	0	0	0	NaN	0	359981.8	5462.9
JKAY22.3e_1_Scan2_[5109,59637]_component_data_merged_Region 3.ome.tif	Entorhinal area, lateral part, layer 3	ENTl3	Entorhinal area, lateral part	Geometry	6315.1	5214.4	52	918	0	0	0	0	NaN	0	527117.3	6197.5
JKAY22.3e_1_Scan2_[5109,59637]_component_data_merged_Region 3.ome.tif	Entorhinal area, lateral part, layer 1	ENTl1	Entorhinal area, lateral part	Geometry	6323.9	5221.5	1121	918	0	0	0	0	NaN	0	319064.2	6043.2
JKAY22.3e_1_Scan2_[5109,59637]_component_data_merged_Region 3.ome.tif	Entorhinal area, lateral part, layer 5	ENTl5	Entorhinal area, lateral part	Geometry	6146	5222.6	139	918	0	0	0	0	NaN	0	601455.8	6104.5
JKAY22.3e_1_Scan2_[5109,59637]_component_data_merged_Region 3.ome.tif	Subiculum	SUB	Retrohippocampal region	Geometry	6212.9	3059.9	502	822	0	0	0	0	NaN	0	699515.9	4708.2
