Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Allen ID	Parent Allen ID	Side	Num Detections	Num Negative	Num Positive	Positive %	Num Positive per mm^2	Area µm^2	Perimeter µm
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	root	root	Image	Geometry	4375.2	3531.4	997	0	0	2026	775	1251	61.75	36.83	33966006.9	36779.9
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Basic cell groups and regions	grey	root	Geometry	4317.7	3444.6	8	997	0	2024	774	1250	61.76	41.74	29947830	88619.8
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Cerebellum	CB	Basic cell groups and regions	Geometry	5558.5	2826.4	512	8	0	0	0	0	NaN	0	3816648.3	24903.6
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Cerebellar cortex	CBX	Cerebellum	Geometry	5675.5	2776.8	528	512	0	0	0	0	NaN	0	3535750.7	22048.3
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Hemispheric regions	HEM	Cerebellar cortex	Geometry	6217.6	2644.7	1073	528	0	0	0	0	NaN	0	2345250.2	18288.8
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Paraflocculus	PFL	Hemispheric regions	Geometry	7888.5	3351.9	1041	1073	0	0	0	0	NaN	0	348991.5	4395.6
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Flocculus	FL	Hemispheric regions	Geometry	5563	4104.9	1049	1073	0	0	0	0	NaN	0	499999.1	4623.2
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Simple lobule	SIM	Hemispheric regions	Geometry	6046.6	1991.7	1007	1073	0	0	0	0	NaN	0	1496259.6	10377.3
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Vermal regions	VERM	Cerebellar cortex	Geometry	4607.6	3037.1	645	528	0	0	0	0	NaN	0	1190500.5	8407
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Culmen	CUL	Vermal regions	Geometry	4607.6	3037.1	928	645	0	0	0	0	NaN	0	1190500.5	8407
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Lobules IV-V	CUL4, 5	Culmen	Geometry	4607.6	3037.1	1091	928	0	0	0	0	NaN	0	1190500.5	8407
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Cerebrum	CH	Basic cell groups and regions	Geometry	1107.6	3391.8	567	8	0	0	0	0	NaN	0	4370318	10690.9
JKAY22.3e_3_Scan2_[2976,61543]_component_data_merged_Region 4.ome.tif	Cerebral cortex	CTX	Cerebrum	Geometry	1107.6	3391.8	688	567	0	0	0	0	NaN	0	4370318	10690.9
