Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Allen ID	Parent Allen ID	Side	Area µm^2	Perimeter µm
JKAY22.3e_3_Scan2_[5442,31195]_component_data_merged_Region 1.ome.tif	Retrosplenial area	RSP	Image	Geometry	1233.1	1540.1	254	315	0	15018.7	1176.5
JKAY22.3e_3_Scan2_[5442,31195]_component_data_merged_Region 1.ome.tif	Retrosplenial area, lateral agranular part	RSPagl	Retrosplenial area	Geometry	1233.1	1540.1	894	254	0	15018.7	1176.5
JKAY22.3e_3_Scan2_[5442,31195]_component_data_merged_Region 1.ome.tif	Retrosplenial area, lateral agranular part, layer 1	RSPagl1	Retrosplenial area, lateral agranular part	Geometry	1233.1	1540.1	671	894	0	15018.7	1176.5
JKAY22.3e_3_Scan2_[5442,31195]_component_data_merged_Region 1.ome.tif	ventricular systems	VS	Image	Geometry	3954.1	2117	73	997	0	514954.5	5572.6
JKAY22.3e_3_Scan2_[5442,31195]_component_data_merged_Region 1.ome.tif	cerebral aqueduct	AQ	ventricular systems	Geometry	3950.4	2097	140	73	0	500715.7	5525.7
JKAY22.3e_3_Scan2_[5442,31195]_component_data_merged_Region 1.ome.tif	fourth ventricle	V4	ventricular systems	Geometry	4084.4	2819.3	145	73	0	14238.7	622.69
JKAY22.3e_3_Scan2_[5442,31195]_component_data_merged_Region 1.ome.tif	fiber tracts	fiber tracts	Image	Geometry	4317.7	4660.1	1009	997	0	2989697.7	53045.8
JKAY22.3e_3_Scan2_[5442,31195]_component_data_merged_Region 1.ome.tif	cerebellum related fiber tracts	cbf	fiber tracts	Geometry	4896.1	3599.8	960	1009	0	1283192.2	25955.8
JKAY22.3e_3_Scan2_[5442,31195]_component_data_merged_Region 1.ome.tif	arbor vitae	arb	cerebellum related fiber tracts	Geometry	6052	3401.8	728	960	0	518233.8	18242.6
JKAY22.3e_3_Scan2_[5442,31195]_component_data_merged_Region 1.ome.tif	cerebellar peduncles	cbp	cerebellum related fiber tracts	Geometry	4113	3734	752	960	0	764958.3	14121.4
JKAY22.3e_3_Scan2_[5442,31195]_component_data_merged_Region 1.ome.tif	superior cerebelar peduncles	scp	cerebellar peduncles	Geometry	4366.9	3636.5	326	752	0	417332.4	10533.3
JKAY22.3e_3_Scan2_[5442,31195]_component_data_merged_Region 1.ome.tif	ventral spinocerebellar tract	sctv	superior cerebelar peduncles	Geometry	3911	4944.2	866	326	0	99212.6	4089.9
JKAY22.3e_3_Scan2_[5442,31195]_component_data_merged_Region 1.ome.tif	middle cerebellar peduncle	mcp	cerebellar peduncles	Geometry	3808.1	3850.9	78	752	0	347626	3588.1
JKAY22.3e_3_Scan2_[5442,31195]_component_data_merged_Region 1.ome.tif	cranial nerves	cm	fiber tracts	Geometry	3791.1	5378.3	967	1009	0	1323908.6	23082.1
