Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Allen ID	Parent Allen ID	Side	Num Detections	Num Negative	Num Positive	Positive %	Num Positive per mm^2	Area µm^2	Perimeter µm
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 3.ome.tif	root	root	Image	Geometry	4115.1	3422.7	997	0	0	7107	6694	413	5.811	12.17	33932356.7	34635.9
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 3.ome.tif	Basic cell groups and regions	grey	root	Geometry	4123.2	3332.1	8	997	0	7058	6645	413	5.852	13.54	30500149.5	80683.2
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 3.ome.tif	Cerebellum	CB	Basic cell groups and regions	Geometry	2378	3141.1	512	8	0	0	0	0	NaN	0	4091612.8	19385.9
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 3.ome.tif	Cerebellar cortex	CBX	Cerebellum	Geometry	2285.7	3110.9	528	512	0	0	0	0	NaN	0	3830116.5	16627.6
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 3.ome.tif	Hemispheric regions	HEM	Cerebellar cortex	Geometry	2073.1	3076.4	1073	528	0	0	0	0	NaN	0	2793707.8	14083.4
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 3.ome.tif	Paraflocculus	PFL	Hemispheric regions	Geometry	936.55	3772.8	1041	1073	0	0	0	0	NaN	0	107194.4	1832.6
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 3.ome.tif	Flocculus	FL	Hemispheric regions	Geometry	2743.7	4201.3	1049	1073	0	0	0	0	NaN	0	847785.9	5685.2
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 3.ome.tif	Simple lobule	SIM	Hemispheric regions	Geometry	1830.2	2517.1	1007	1073	0	0	0	0	NaN	0	1838727.5	7878.1
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 3.ome.tif	Vermal regions	VERM	Cerebellar cortex	Geometry	2858.7	3203.9	645	528	0	0	0	0	NaN	0	1036408.7	6815.3
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 3.ome.tif	Culmen	CUL	Vermal regions	Geometry	2858.7	3203.9	928	645	0	0	0	0	NaN	0	1036408.7	6815.3
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 3.ome.tif	Lobules IV-V	CUL4, 5	Culmen	Geometry	2858.7	3203.9	1091	928	0	0	0	0	NaN	0	1036408.7	6815.3
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 3.ome.tif	Cerebrum	CH	Basic cell groups and regions	Geometry	7016.3	2207.3	567	8	0	0	0	0	NaN	0	3745786.3	10158.7
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 3.ome.tif	Cerebral cortex	CTX	Cerebrum	Geometry	7016.3	2207.3	688	567	0	0	0	0	NaN	0	3745786.3	10158.7
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 3.ome.tif	Cortical plate	CTXpl	Cerebral cortex	Geometry	7016.3	2207.3	695	688	0	0	0	0	NaN	0	3745786.3	10158.7
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 3.ome.tif	Isocortex	Isocortex	Cortical plate	Polygon	6405.9	820.07	315	695	0	0	0	0	NaN	0	780466.6	4678.2
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 3.ome.tif	Visual areas	VIS	Isocortex	Polygon	6478	845.56	669	315	0	0	0	0	NaN	0	679135.8	4977.5
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 3.ome.tif	Postrhinal area	VISpor	Visual areas	Polygon	7165.3	1162.6	312782628	669	0	0	0	0	NaN	0	98077	1464.6
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 3.ome.tif	Postrhinal area, layer 2/3	VISpor2/3	Postrhinal area	Geometry	7079.7	1181.4	312782636	312782628	0	0	0	0	NaN	0	29318.4	975.15
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 3.ome.tif	Postrhinal area, layer 1	VISpor1	Postrhinal area	Polygon	7201.5	1154.8	312782632	312782628	0	0	0	0	NaN	0	68758.6	1390.1
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 3.ome.tif	Primary visual area	VISp	Visual areas	Geometry	6160.1	538.85	385	669	0	0	0	0	NaN	0	256478.1	2394.5
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 3.ome.tif	Primary visual area, layer 2/3	VISp2/3	Primary visual area	Geometry	6227.6	695.55	821	385	0	0	0	0	NaN	0	77500.3	1271.2
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 3.ome.tif	Primary visual area, layer 1	VISp1	Primary visual area	Geometry	6130.2	471.17	593	385	0	0	0	0	NaN	0	178977.4	2509.6
