Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Allen ID	Parent Allen ID	Side	Num Detections	Num Negative	Num Positive	Positive %	Num Positive per mm^2	Area µm^2	Perimeter µm
JKAY22.3f_2_Scan1_[5976,33335]_component_data_merged_Region 1.ome.tif	root	root	Image	Geometry	5493.2	3711	997	0	0	2063	1507	556	26.95	11.76	47288757	40630
JKAY22.3f_2_Scan1_[5976,33335]_component_data_merged_Region 1.ome.tif	Basic cell groups and regions	grey	root	Geometry	5545.3	3624.6	8	997	0	2063	1507	556	26.95	13.19	42166454.4	99138.9
JKAY22.3f_2_Scan1_[5976,33335]_component_data_merged_Region 1.ome.tif	Cerebellum	CB	Basic cell groups and regions	Geometry	4886.8	5434	512	8	0	0	0	0	NaN	0	53496.8	2794.6
JKAY22.3f_2_Scan1_[5976,33335]_component_data_merged_Region 1.ome.tif	Cerebrum	CH	Basic cell groups and regions	Geometry	5700.3	3350.6	567	8	0	0	0	0	NaN	0	22877104.7	54503.4
JKAY22.3f_2_Scan1_[5976,33335]_component_data_merged_Region 1.ome.tif	Cerebral cortex	CTX	Cerebrum	Geometry	5700.3	3350.6	688	567	0	0	0	0	NaN	0	22877104.7	54503.4
JKAY22.3f_2_Scan1_[5976,33335]_component_data_merged_Region 1.ome.tif	Cortical plate	CTXpl	Cerebral cortex	Geometry	5700.3	3350.6	695	688	0	0	0	0	NaN	0	22877104.7	54503.4
JKAY22.3f_2_Scan1_[5976,33335]_component_data_merged_Region 1.ome.tif	Hippocampal formation	HPF	Cortical plate	Geometry	5540.9	4169.2	1089	695	0	0	0	0	NaN	0	15032195.3	38874.4
JKAY22.3f_2_Scan1_[5976,33335]_component_data_merged_Region 1.ome.tif	Hippocampal region	HIP	Hippocampal formation	Polygon	7915.9	4253.4	1080	1089	0	0	0	0	NaN	0	1609969.4	5636.9
JKAY22.3f_2_Scan1_[5976,33335]_component_data_merged_Region 1.ome.tif	Dentate gyrus	DG	Hippocampal region	Polygon	7915.9	4253.4	726	1080	0	0	0	0	NaN	0	1609969.4	5636.9
JKAY22.3f_2_Scan1_[5976,33335]_component_data_merged_Region 1.ome.tif	Dentate gyrus, granule cell layer	DG-sg	Dentate gyrus	Geometry	7871.1	4581.2	632	726	0	0	0	0	NaN	0	303000.8	2984.8
JKAY22.3f_2_Scan1_[5976,33335]_component_data_merged_Region 1.ome.tif	Dentate gyrus, molecular layer	DG-mo	Dentate gyrus	Geometry	7926.2	4177.6	10703	726	0	0	0	0	NaN	0	1306886.3	8624
JKAY22.3f_2_Scan1_[5976,33335]_component_data_merged_Region 1.ome.tif	Retrohippocampal region	RHP	Hippocampal formation	Geometry	5287.7	4177.4	822	1089	0	0	0	0	NaN	0	13229002.2	37480.9
JKAY22.3f_2_Scan1_[5976,33335]_component_data_merged_Region 1.ome.tif	Prosubiculum	ProS	Retrohippocampal region	Polygon	8577	4135.7	484682470	822	0	0	0	0	NaN	0	2508313.3	8302.7
JKAY22.3f_2_Scan1_[5976,33335]_component_data_merged_Region 1.ome.tif	Postsubiculum	POST	Retrohippocampal region	Geometry	5639.4	2029.1	1037	822	0	0	0	0	NaN	0	1066476	6956
JKAY22.3f_2_Scan1_[5976,33335]_component_data_merged_Region 1.ome.tif	Presubiculum	PRE	Retrohippocampal region	Geometry	3627.6	3526.8	1084	822	0	0	0	0	NaN	0	1584733.7	8471.4
JKAY22.3f_2_Scan1_[5976,33335]_component_data_merged_Region 1.ome.tif	Hippocampo-amygdalar transition area	HATA	Retrohippocampal region	Geometry	6865.1	5616.8	589508447	822	0	0	0	0	NaN	0	341886.4	3910.7
JKAY22.3f_2_Scan1_[5976,33335]_component_data_merged_Region 1.ome.tif	Entorhinal area	ENT	Retrohippocampal region	Geometry	4794.5	4884.1	909	822	0	0	0	0	NaN	0	5819466.6	17033.5
JKAY22.3f_2_Scan1_[5976,33335]_component_data_merged_Region 1.ome.tif	Entorhinal area, lateral part	ENTl	Entorhinal area	Geometry	4447.1	4524.3	918	909	0	0	0	0	NaN	0	4088490.4	12562.6
JKAY22.3f_2_Scan1_[5976,33335]_component_data_merged_Region 1.ome.tif	Entorhinal area, lateral part, layer 2	ENTl2	Entorhinal area, lateral part	Geometry	4624.2	4623.9	20	918	0	0	0	0	NaN	0	1030391.3	10167.4
JKAY22.3f_2_Scan1_[5976,33335]_component_data_merged_Region 1.ome.tif	Entorhinal area, lateral part, layer 6a	ENTl6a	Entorhinal area, lateral part	Geometry	3797.3	4303.7	28	918	0	0	0	0	NaN	0	849786.4	8959.4
JKAY22.3f_2_Scan1_[5976,33335]_component_data_merged_Region 1.ome.tif	Entorhinal area, lateral part, layer 3	ENTl3	Entorhinal area, lateral part	Geometry	4610.6	4568.9	52	918	0	0	0	0	NaN	0	798329.1	9579.7
JKAY22.3f_2_Scan1_[5976,33335]_component_data_merged_Region 1.ome.tif	Entorhinal area, lateral part, layer 1	ENTl1	Entorhinal area, lateral part	Geometry	4382.7	4633.3	1121	918	0	0	0	0	NaN	0	542045.7	9936.4
JKAY22.3f_2_Scan1_[5976,33335]_component_data_merged_Region 1.ome.tif	Entorhinal area, lateral part, layer 5	ENTl5	Entorhinal area, lateral part	Geometry	4763	4513	139	918	0	0	0	0	NaN	0	867937.9	9139
JKAY22.3f_2_Scan1_[5976,33335]_component_data_merged_Region 1.ome.tif	Entorhinal area, medial part, dorsal zone	ENTm	Entorhinal area	Geometry	5614.9	5734	926	909	0	0	0	0	NaN	0	1730976.2	8600.6
JKAY22.3f_2_Scan1_[5976,33335]_component_data_merged_Region 1.ome.tif	Entorhinal area, medial part, dorsal zone, layer 1	ENTm1	Entorhinal area, medial part, dorsal zone	Geometry	5361.4	5872.2	526	926	0	0	0	0	NaN	0	450454.3	8058.3
JKAY22.3f_2_Scan1_[5976,33335]_component_data_merged_Region 1.ome.tif	Entorhinal area, medial part, dorsal zone, layer 2	ENTm2	Entorhinal area, medial part, dorsal zone	Geometry	5874.6	5826.1	543	926	0	0	0	0	NaN	0	451273.1	7142.1
