Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Allen ID	Parent Allen ID	Side	Num Detections	Num Negative	Num Positive	Positive %	Num Positive per mm^2	Area µm^2	Perimeter µm
JKAY22.3f_2_Scan1_[5873,46306]_component_data_merged_Region 3.ome.tif	root	root	Image	Geometry	5411.1	3886.8	997	0	0	423	350	73	17.26	1.508	48394709.1	37731.9
JKAY22.3f_2_Scan1_[5873,46306]_component_data_merged_Region 3.ome.tif	Basic cell groups and regions	grey	root	Geometry	5431.4	3831.3	8	997	0	423	350	73	17.26	1.651	44221477.4	103718
JKAY22.3f_2_Scan1_[5873,46306]_component_data_merged_Region 3.ome.tif	Cerebellum	CB	Basic cell groups and regions	Geometry	3981.9	6052.2	512	8	0	0	0	0	NaN	0	64527.1	3533.1
JKAY22.3f_2_Scan1_[5873,46306]_component_data_merged_Region 3.ome.tif	Cerebrum	CH	Basic cell groups and regions	Geometry	5532.5	3680.1	567	8	0	0	0	0	NaN	0	26080701.1	60302.2
JKAY22.3f_2_Scan1_[5873,46306]_component_data_merged_Region 3.ome.tif	Cerebral cortex	CTX	Cerebrum	Geometry	5532.5	3680.1	688	567	0	0	0	0	NaN	0	26080701.1	60302.2
JKAY22.3f_2_Scan1_[5873,46306]_component_data_merged_Region 3.ome.tif	Cortical plate	CTXpl	Cerebral cortex	Geometry	5520.8	3667.9	695	688	0	0	0	0	NaN	0	25957241.1	61387.9
JKAY22.3f_2_Scan1_[5873,46306]_component_data_merged_Region 3.ome.tif	Hippocampal formation	HPF	Cortical plate	Geometry	5278.1	4456.5	1089	695	0	0	0	0	NaN	0	14902921.5	34888.4
JKAY22.3f_2_Scan1_[5873,46306]_component_data_merged_Region 3.ome.tif	Hippocampal region	HIP	Hippocampal formation	Geometry	7320.3	4282	1080	1089	0	0	0	0	NaN	0	6126529.3	14968.7
JKAY22.3f_2_Scan1_[5873,46306]_component_data_merged_Region 3.ome.tif	Dentate gyrus	DG	Hippocampal region	Geometry	6283.8	4347.2	726	1080	0	0	0	0	NaN	0	3292536.7	11886.2
JKAY22.3f_2_Scan1_[5873,46306]_component_data_merged_Region 3.ome.tif	Dentate gyrus, granule cell layer	DG-sg	Dentate gyrus	Geometry	7682.9	4132.5	632	726	0	0	0	0	NaN	0	606147.8	10914.4
JKAY22.3f_2_Scan1_[5873,46306]_component_data_merged_Region 3.ome.tif	Dentate gyrus, molecular layer	DG-mo	Dentate gyrus	Geometry	5588.9	4347	10703	726	0	0	0	0	NaN	0	2223857.8	18629.2
JKAY22.3f_2_Scan1_[5873,46306]_component_data_merged_Region 3.ome.tif	Dentate gyrus, polymorph layer	DG-po	Dentate gyrus	Polygon	7794.8	4628.4	10704	726	0	0	0	0	NaN	0	462116.9	4178.9
JKAY22.3f_2_Scan1_[5873,46306]_component_data_merged_Region 3.ome.tif	Ammon's horn	CA	Hippocampal region	Polygon	8524.8	4206.1	375	1080	0	0	0	0	NaN	0	2833992.5	9104.4
JKAY22.3f_2_Scan1_[5873,46306]_component_data_merged_Region 3.ome.tif	Field CA1	CA1	Ammon's horn	Polygon	8524.8	4206.1	382	375	0	0	0	0	NaN	0	2833992.5	9104.4
JKAY22.3f_2_Scan1_[5873,46306]_component_data_merged_Region 3.ome.tif	Retrohippocampal region	RHP	Hippocampal formation	Geometry	3846.5	4584.1	822	1089	0	0	0	0	NaN	0	8736037	30887.8
JKAY22.3f_2_Scan1_[5873,46306]_component_data_merged_Region 3.ome.tif	Prosubiculum	ProS	Retrohippocampal region	Geometry	5437.6	3809.2	484682470	822	0	0	0	0	NaN	0	715812.9	10062.8
JKAY22.3f_2_Scan1_[5873,46306]_component_data_merged_Region 3.ome.tif	Postsubiculum	POST	Retrohippocampal region	Geometry	4929.1	2329.3	1037	822	0	0	0	0	NaN	0	905411.3	6984.6
JKAY22.3f_2_Scan1_[5873,46306]_component_data_merged_Region 3.ome.tif	Presubiculum	PRE	Retrohippocampal region	Geometry	3325.3	3734.9	1084	822	0	0	0	0	NaN	0	505309.9	6191.7
JKAY22.3f_2_Scan1_[5873,46306]_component_data_merged_Region 3.ome.tif	Hippocampo-amygdalar transition area	HATA	Retrohippocampal region	Geometry	4699.4	6019	589508447	822	0	0	0	0	NaN	0	333836.3	3586.6
JKAY22.3f_2_Scan1_[5873,46306]_component_data_merged_Region 3.ome.tif	Entorhinal area	ENT	Retrohippocampal region	Geometry	3894.9	5445.6	909	822	0	0	0	0	NaN	0	3956036.6	12313
JKAY22.3f_2_Scan1_[5873,46306]_component_data_merged_Region 3.ome.tif	Entorhinal area, lateral part	ENTl	Entorhinal area	Geometry	4282	5287.9	918	909	0	0	0	0	NaN	0	3289518.7	10639.1
JKAY22.3f_2_Scan1_[5873,46306]_component_data_merged_Region 3.ome.tif	Entorhinal area, lateral part, layer 2	ENTl2	Entorhinal area, lateral part	Geometry	4071	5368.7	20	918	0	0	0	0	NaN	0	852288.9	8077.8
JKAY22.3f_2_Scan1_[5873,46306]_component_data_merged_Region 3.ome.tif	Entorhinal area, lateral part, layer 6a	ENTl6a	Entorhinal area, lateral part	Geometry	4161	5106.1	28	918	0	0	0	0	NaN	0	541857.6	7151.5
JKAY22.3f_2_Scan1_[5873,46306]_component_data_merged_Region 3.ome.tif	Entorhinal area, lateral part, layer 3	ENTl3	Entorhinal area, lateral part	Geometry	4465.2	5294.8	52	918	0	0	0	0	NaN	0	692105.5	7776.1
JKAY22.3f_2_Scan1_[5873,46306]_component_data_merged_Region 3.ome.tif	Entorhinal area, lateral part, layer 1	ENTl1	Entorhinal area, lateral part	Geometry	3909.2	5400.3	1121	918	0	0	0	0	NaN	0	470143.1	7934.8
JKAY22.3f_2_Scan1_[5873,46306]_component_data_merged_Region 3.ome.tif	Entorhinal area, lateral part, layer 5	ENTl5	Entorhinal area, lateral part	Geometry	4682.6	5249.5	139	918	0	0	0	0	NaN	0	733123.6	7511.8
JKAY22.3f_2_Scan1_[5873,46306]_component_data_merged_Region 3.ome.tif	Entorhinal area, medial part, dorsal zone	ENTm	Entorhinal area	Polygon	1984.9	6223.6	926	909	0	0	0	0	NaN	0	666518.8	3444.9
