Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Allen ID	Parent Allen ID	Side	Num Detections	Num Negative	Num Positive	Positive %	Num Positive per mm^2	Area µm^2	Perimeter µm
JKAY22.3f_2_Scan1_[5873,46306]_component_data_merged_Region 1.ome.tif	root	root	Image	Geometry	5405.5	3756	997	0	0	1749	1221	528	30.19	10.88	48548329.3	42019.4
JKAY22.3f_2_Scan1_[5873,46306]_component_data_merged_Region 1.ome.tif	Basic cell groups and regions	grey	root	Geometry	5427.7	3682.3	8	997	0	1749	1221	528	30.19	12.07	43749362.6	102404.9
JKAY22.3f_2_Scan1_[5873,46306]_component_data_merged_Region 1.ome.tif	Cerebellum	CB	Basic cell groups and regions	Geometry	4877	5632.1	512	8	0	0	0	0	NaN	0	94349.1	4222.2
JKAY22.3f_2_Scan1_[5873,46306]_component_data_merged_Region 1.ome.tif	Cerebrum	CH	Basic cell groups and regions	Geometry	5499.7	3492.2	567	8	0	0	0	0	NaN	0	25452092.8	56994.8
JKAY22.3f_2_Scan1_[5873,46306]_component_data_merged_Region 1.ome.tif	Cerebral cortex	CTX	Cerebrum	Geometry	5499.7	3492.2	688	567	0	0	0	0	NaN	0	25452092.8	56994.8
JKAY22.3f_2_Scan1_[5873,46306]_component_data_merged_Region 1.ome.tif	Cortical plate	CTXpl	Cerebral cortex	Geometry	5488.3	3479.6	695	688	0	0	0	0	NaN	0	25338790.4	58305.6
JKAY22.3f_2_Scan1_[5873,46306]_component_data_merged_Region 1.ome.tif	Hippocampal formation	HPF	Cortical plate	Geometry	5135.9	4382.4	1089	695	0	0	0	0	NaN	0	14144158.1	35297.4
JKAY22.3f_2_Scan1_[5873,46306]_component_data_merged_Region 1.ome.tif	Hippocampal region	HIP	Hippocampal formation	Geometry	7768.1	4356.4	1080	1089	0	0	0	0	NaN	0	3899184.1	12692
JKAY22.3f_2_Scan1_[5873,46306]_component_data_merged_Region 1.ome.tif	Dentate gyrus	DG	Hippocampal region	Geometry	7144.3	4249.4	726	1080	0	0	0	0	NaN	0	2347952.7	9605.4
JKAY22.3f_2_Scan1_[5873,46306]_component_data_merged_Region 1.ome.tif	Dentate gyrus, granule cell layer	DG-sg	Dentate gyrus	Geometry	7843	4317.4	632	726	0	0	0	0	NaN	0	531739.3	6778.1
JKAY22.3f_2_Scan1_[5873,46306]_component_data_merged_Region 1.ome.tif	Dentate gyrus, molecular layer	DG-mo	Dentate gyrus	Geometry	6826.9	4159.6	10703	726	0	0	0	0	NaN	0	1588225.8	13961.6
JKAY22.3f_2_Scan1_[5873,46306]_component_data_merged_Region 1.ome.tif	Dentate gyrus, polymorph layer	DG-po	Dentate gyrus	Polygon	7726	4715.9	10704	726	0	0	0	0	NaN	0	227922.5	2420.2
JKAY22.3f_2_Scan1_[5873,46306]_component_data_merged_Region 1.ome.tif	Ammon's horn	CA	Hippocampal region	Polygon	8712.5	4518	375	1080	0	0	0	0	NaN	0	1551232.5	5900.7
JKAY22.3f_2_Scan1_[5873,46306]_component_data_merged_Region 1.ome.tif	Field CA1	CA1	Ammon's horn	Polygon	8712.5	4518	382	375	0	0	0	0	NaN	0	1551232.5	5900.7
JKAY22.3f_2_Scan1_[5873,46306]_component_data_merged_Region 1.ome.tif	Retrohippocampal region	RHP	Hippocampal formation	Geometry	4138.6	4400.2	822	1089	0	0	0	0	NaN	0	10151003.5	32456.1
JKAY22.3f_2_Scan1_[5873,46306]_component_data_merged_Region 1.ome.tif	Prosubiculum	ProS	Retrohippocampal region	Geometry	8270.6	4242.9	484682470	822	0	0	0	0	NaN	0	1189602.3	6526.1
JKAY22.3f_2_Scan1_[5873,46306]_component_data_merged_Region 1.ome.tif	Postsubiculum	POST	Retrohippocampal region	Geometry	5172.5	2338.8	1037	822	0	0	0	0	NaN	0	885841.1	5961.9
JKAY22.3f_2_Scan1_[5873,46306]_component_data_merged_Region 1.ome.tif	Presubiculum	PRE	Retrohippocampal region	Geometry	3228.9	3826.1	1084	822	0	0	0	0	NaN	0	1298941.1	8032.7
JKAY22.3f_2_Scan1_[5873,46306]_component_data_merged_Region 1.ome.tif	Hippocampo-amygdalar transition area	HATA	Retrohippocampal region	Geometry	5625.5	5888.5	589508447	822	0	0	0	0	NaN	0	433533.6	4131.2
JKAY22.3f_2_Scan1_[5873,46306]_component_data_merged_Region 1.ome.tif	Entorhinal area	ENT	Retrohippocampal region	Geometry	3543.6	5191.1	909	822	0	0	0	0	NaN	0	3769060.2	12667.6
JKAY22.3f_2_Scan1_[5873,46306]_component_data_merged_Region 1.ome.tif	Entorhinal area, lateral part	ENTl	Entorhinal area	Geometry	3779	5062.4	918	909	0	0	0	0	NaN	0	3267648.7	11093.5
JKAY22.3f_2_Scan1_[5873,46306]_component_data_merged_Region 1.ome.tif	Entorhinal area, lateral part, layer 2	ENTl2	Entorhinal area, lateral part	Geometry	3779.4	5143.4	20	918	0	0	0	0	NaN	0	806222.8	8317.3
JKAY22.3f_2_Scan1_[5873,46306]_component_data_merged_Region 1.ome.tif	Entorhinal area, lateral part, layer 6a	ENTl6a	Entorhinal area, lateral part	Geometry	3392.8	4878.2	28	918	0	0	0	0	NaN	0	650811.9	7838.1
JKAY22.3f_2_Scan1_[5873,46306]_component_data_merged_Region 1.ome.tif	Entorhinal area, lateral part, layer 3	ENTl3	Entorhinal area, lateral part	Geometry	3925.1	5095.3	52	918	0	0	0	0	NaN	0	647344.3	8041.4
JKAY22.3f_2_Scan1_[5873,46306]_component_data_merged_Region 1.ome.tif	Entorhinal area, lateral part, layer 1	ENTl1	Entorhinal area, lateral part	Geometry	3644.4	5164	1121	918	0	0	0	0	NaN	0	444596.5	8313.8
JKAY22.3f_2_Scan1_[5873,46306]_component_data_merged_Region 1.ome.tif	Entorhinal area, lateral part, layer 5	ENTl5	Entorhinal area, lateral part	Geometry	4080	5046	139	918	0	0	0	0	NaN	0	718673.3	7785.3
JKAY22.3f_2_Scan1_[5873,46306]_component_data_merged_Region 1.ome.tif	Entorhinal area, medial part, dorsal zone	ENTm	Entorhinal area	Polygon	2010.3	6029.1	926	909	0	0	0	0	NaN	0	501411.6	3103.2
JKAY22.3f_2_Scan1_[5873,46306]_component_data_merged_Region 1.ome.tif	Entorhinal area, medial part, dorsal zone, layer 1	ENTm1	Entorhinal area, medial part, dorsal zone	Polygon	2023.2	6180.5	526	926	0	0	0	0	NaN	0	151096.3	2975.1
