Region,Global slice index,TRAPed_alsoVgat,TRAPed_alsoVglut
dmPAG,Slice 2,0.0,1.1
dlPAG,Slice 2,0.0,0.65
lPAG,Slice 2,0.0,1.28
vlPAG,Slice 2,0.21,2.05
dmPAG,Slice 3,0.77,1.04
dlPAG,Slice 3,0.0,1.34
lPAG,Slice 3,0.0,1.19
vlPAG,Slice 3,0.1,1.72
dmPAG,Slice 4,0.39,0.97
dlPAG,Slice 4,0.0,0.9
lPAG,Slice 4,0.79,0.95
vlPAG,Slice 4,0.39,1.13
dmPAG,Slice 4,0.96,0.78
dlPAG,Slice 4,0.44,0.9
lPAG,Slice 4,0.0,0.85
vlPAG,Slice 4,0.42,0.9
dmPAG,Slice 5,0.38,1.1
dlPAG,Slice 5,0.2,1.1
lPAG,Slice 5,0.31,1.03
vlPAG,Slice 5,0.77,1.0
dmPAG,Slice 6,0.52,1.02
dlPAG,Slice 6,0.63,0.94
lPAG,Slice 6,0.7,0.91
vlPAG,Slice 6,0.83,0.87
dmPAG,Slice 7,0.58,1.1
dlPAG,Slice 7,0.56,1.05
lPAG,Slice 7,0.62,0.97
vlPAG,Slice 7,0.74,0.96
dmPAG,Slice 8,0.38,0.92
dlPAG,Slice 8,0.53,0.95
lPAG,Slice 8,0.47,0.66
vlPAG,Slice 8,0.59,0.75
dmPAG,Slice 9,0.76,0.87
dlPAG,Slice 9,0.74,0.8
lPAG,Slice 9,0.58,0.68
vlPAG,Slice 9,0.44,0.6
dmPAG,Slice 9,0.58,0.97
dlPAG,Slice 9,0.72,0.9
lPAG,Slice 9,0.7,0.93
vlPAG,Slice 9,0.58,0.78
dmPAG,Slice 10,0.74,1.02
dlPAG,Slice 10,0.55,0.89
lPAG,Slice 10,0.7,0.98
vlPAG,Slice 10,0.64,0.85
dmPAG,Slice 11,0.16,0.3
dlPAG,Slice 11,0.19,0.43
lPAG,Slice 11,0.15,1.0
vlPAG,Slice 11,0.2,0.74
dmPAG,Slice 12,0.1,0.09
dlPAG,Slice 12,0.03,0.07
lPAG,Slice 12,0.03,0.35
vlPAG,Slice 12,0.07,0.23
