Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Allen ID	Parent Allen ID	Side	Num Detections	Num Negative	Positive %	Area µm^2	Perimeter µm
JKAY22.3g_1_Scan1_[7081,62468]_component_data_merged_Region 2.ome.tif	root	root	Image	Geometry	5538.2	3987.4	997	0	0	74	74	0	56798891.4	37767.9
JKAY22.3g_1_Scan1_[7081,62468]_component_data_merged_Region 2.ome.tif	Basic cell groups and regions	grey	root	Geometry	5532.9	4009.3	8	997	0	74	74	0	51990389.1	103053.3
JKAY22.3g_1_Scan1_[7081,62468]_component_data_merged_Region 2.ome.tif	Cerebrum	CH	Basic cell groups and regions	Geometry	5488.6	3848.2	567	8	0	0	0	NaN	34894424.2	72151.5
JKAY22.3g_1_Scan1_[7081,62468]_component_data_merged_Region 2.ome.tif	Cerebral cortex	CTX	Cerebrum	Geometry	5488.6	3848.2	688	567	0	0	0	NaN	34894424.2	72151.5
JKAY22.3g_1_Scan1_[7081,62468]_component_data_merged_Region 2.ome.tif	Cortical plate	CTXpl	Cerebral cortex	Geometry	5430.1	3736.3	695	688	0	0	0	NaN	33320725	73903
JKAY22.3g_1_Scan1_[7081,62468]_component_data_merged_Region 2.ome.tif	Hippocampal formation	HPF	Cortical plate	Geometry	5446.1	4377.9	1089	695	0	0	0	NaN	15890457.6	35202.2
JKAY22.3g_1_Scan1_[7081,62468]_component_data_merged_Region 2.ome.tif	Hippocampal region	HIP	Hippocampal formation	Geometry	5583.4	4388.6	1080	1089	0	0	0	NaN	12769253.8	25402.8
JKAY22.3g_1_Scan1_[7081,62468]_component_data_merged_Region 2.ome.tif	Dentate gyrus	DG	Hippocampal region	Geometry	5383	3622.9	726	1080	0	0	0	NaN	2310855.5	16416.2
JKAY22.3g_1_Scan1_[7081,62468]_component_data_merged_Region 2.ome.tif	Dentate gyrus, granule cell layer	DG-sg	Dentate gyrus	Geometry	5326.6	3602.1	632	726	0	0	0	NaN	573417.6	14841
JKAY22.3g_1_Scan1_[7081,62468]_component_data_merged_Region 2.ome.tif	Dentate gyrus, molecular layer	DG-mo	Dentate gyrus	Geometry	5402.3	3655.8	10703	726	0	0	0	NaN	1541922	20007.2
