Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Allen ID	Parent Allen ID	Side	Num Detections	Num Negative	Num Positive	Positive %	Num Positive per mm^2	Area µm^2	Perimeter µm
JKAY22.3g_2_Scan1_[6021,36653]_component_data_merged_Region 1.ome.tif	root	root	Image	Geometry	5329.6	3527.1	997	0	0	625	559	66	10.56	1.301	50745091	42834.4
JKAY22.3g_2_Scan1_[6021,36653]_component_data_merged_Region 1.ome.tif	Basic cell groups and regions	grey	root	Geometry	5328.8	3434.8	8	997	0	625	559	66	10.56	1.464	45083902.3	104713.3
JKAY22.3g_2_Scan1_[6021,36653]_component_data_merged_Region 1.ome.tif	Cerebellum	CB	Basic cell groups and regions	Geometry	5875.1	5541.3	512	8	0	0	0	0	NaN	0	125832.4	5701.6
JKAY22.3g_2_Scan1_[6021,36653]_component_data_merged_Region 1.ome.tif	Cerebrum	CH	Basic cell groups and regions	Geometry	5239	3128.4	567	8	0	0	0	0	NaN	0	22542432.3	54193.8
JKAY22.3g_2_Scan1_[6021,36653]_component_data_merged_Region 1.ome.tif	Cerebral cortex	CTX	Cerebrum	Geometry	5239	3128.4	688	567	0	0	0	0	NaN	0	22542432.3	54193.8
JKAY22.3g_2_Scan1_[6021,36653]_component_data_merged_Region 1.ome.tif	Cortical plate	CTXpl	Cerebral cortex	Geometry	5239	3128.4	695	688	0	0	0	0	NaN	0	22542432.3	54193.8
JKAY22.3g_2_Scan1_[6021,36653]_component_data_merged_Region 1.ome.tif	Isocortex	Isocortex	Cortical plate	Geometry	5252.8	1546.8	315	695	0	0	0	0	NaN	0	7539353.7	22867.4
JKAY22.3g_2_Scan1_[6021,36653]_component_data_merged_Region 1.ome.tif	Temporal association areas	TEa	Isocortex	Geometry	7602.1	2445.3	541	315	0	0	0	0	NaN	0	669617.4	5731.4
JKAY22.3g_2_Scan1_[6021,36653]_component_data_merged_Region 1.ome.tif	Temporal association areas, layer 6b	TEa6b	Temporal association areas	Polygon	9291.7	2847.9	786	541	0	0	0	0	NaN	0	3193.6	262.01
JKAY22.3g_2_Scan1_[6021,36653]_component_data_merged_Region 1.ome.tif	Temporal association areas, layer 5	TEa5	Temporal association areas	Geometry	9460.8	2569.7	289	541	0	0	0	0	NaN	0	131185.4	1837.5
JKAY22.3g_2_Scan1_[6021,36653]_component_data_merged_Region 1.ome.tif	Temporal association areas, layer 1	TEa1	Temporal association areas	Geometry	6346.6	2353	97	541	0	0	0	0	NaN	0	205691.8	4402.5
JKAY22.3g_2_Scan1_[6021,36653]_component_data_merged_Region 1.ome.tif	Temporal association areas, layer 2/3	TEa2/3	Temporal association areas	Geometry	7027.2	2409.4	1127	541	0	0	0	0	NaN	0	226297.6	3849.2
JKAY22.3g_2_Scan1_[6021,36653]_component_data_merged_Region 1.ome.tif	Temporal association areas, layer 6a	TEa6a	Temporal association areas	Polygon	9353.1	2752.4	729	541	0	0	0	0	NaN	0	33462.2	856.98
JKAY22.3g_2_Scan1_[6021,36653]_component_data_merged_Region 1.ome.tif	Temporal association areas, layer 4	TEa4	Temporal association areas	Geometry	8756	2434.1	234	541	0	0	0	0	NaN	0	69786.2	2324.9
JKAY22.3g_2_Scan1_[6021,36653]_component_data_merged_Region 1.ome.tif	Ectorhinal area	ECT	Isocortex	Geometry	5941.2	2933.5	895	315	0	0	0	0	NaN	0	407061	5447.2
