Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Allen ID	Parent Allen ID	Side	Num Detections	Num Negative	Num Positive	Positive %	Num Positive per mm^2	Area µm^2	Perimeter µm
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	root	root	Image	Geometry	5291.7	3535.2	997	0	0	5497	4877	620	11.28	11.92	52018790.7	37355
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Basic cell groups and regions	grey	root	Geometry	5316	3426.8	8	997	0	5496	4876	620	11.28	13.39	46292830	103628.4
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Cerebellum	CB	Basic cell groups and regions	Geometry	5110.2	5847.2	512	8	0	0	0	0	NaN	0	95713.6	4797.4
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Cerebrum	CH	Basic cell groups and regions	Geometry	5261.2	3187.6	567	8	0	0	0	0	NaN	0	24994232.8	54722.3
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Cerebral cortex	CTX	Cerebrum	Geometry	5261.2	3187.6	688	567	0	0	0	0	NaN	0	24994232.8	54722.3
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Cortical plate	CTXpl	Cerebral cortex	Geometry	5253.6	3181.2	695	688	0	0	0	0	NaN	0	24933922.4	55913.1
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Hippocampal formation	HPF	Cortical plate	Geometry	5106.7	4133.5	1089	695	0	0	0	0	NaN	0	14007654.4	34876.8
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Hippocampal region	HIP	Hippocampal formation	Geometry	6443.8	4156.4	1080	1089	0	0	0	0	NaN	0	3064052.6	15167.5
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Dentate gyrus	DG	Hippocampal region	Geometry	5914.6	4190.7	726	1080	0	0	0	0	NaN	0	2555474.1	10609.3
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Dentate gyrus, granule cell layer	DG-sg	Dentate gyrus	Geometry	6804	4420.3	632	726	0	0	0	0	NaN	0	534253.3	6906.7
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Dentate gyrus, molecular layer	DG-mo	Dentate gyrus	Geometry	5561.7	4102.4	10703	726	0	0	0	0	NaN	0	1928612.9	16231.6
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Dentate gyrus, polymorph layer	DG-po	Dentate gyrus	Polygon	8143.1	4703.3	10704	726	0	0	0	0	NaN	0	92251.7	1288.2
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Ammon's horn	CA	Hippocampal region	Polygon	9102.7	3984	375	1080	0	0	0	0	NaN	0	508603.4	4779.8
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Field CA1	CA1	Ammon's horn	Polygon	9102.7	3984	382	375	0	0	0	0	NaN	0	508603.4	4779.8
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Retrohippocampal region	RHP	Hippocampal formation	Geometry	4730	4130.8	822	1089	0	0	0	0	NaN	0	10902544.5	38628.6
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Prosubiculum	ProS	Retrohippocampal region	Geometry	5029	4132.4	484682470	822	0	0	0	0	NaN	0	3535919.1	16031.1
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Postsubiculum	POST	Retrohippocampal region	Geometry	5394.4	2054.6	1037	822	0	0	0	0	NaN	0	1110502.9	6834
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Presubiculum	PRE	Retrohippocampal region	Geometry	4125.7	2959.7	1084	822	0	0	0	0	NaN	0	427852.3	5324.2
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Hippocampo-amygdalar transition area	HATA	Retrohippocampal region	Geometry	5651.2	5488.5	589508447	822	0	0	0	0	NaN	0	467187.6	4205.2
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Entorhinal area	ENT	Retrohippocampal region	Geometry	4389.9	4861	909	822	0	0	0	0	NaN	0	4506008.4	15481.9
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Entorhinal area, lateral part	ENTl	Entorhinal area	Geometry	4473.6	4568	918	909	0	0	0	0	NaN	0	3263130.6	11036
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Entorhinal area, lateral part, layer 2	ENTl2	Entorhinal area, lateral part	Geometry	4334.3	4601.8	20	918	0	0	0	0	NaN	0	888370.7	8733.6
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Entorhinal area, lateral part, layer 6a	ENTl6a	Entorhinal area, lateral part	Geometry	4547.9	4496.1	28	918	0	0	0	0	NaN	0	503196.3	7332.6
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Entorhinal area, lateral part, layer 3	ENTl3	Entorhinal area, lateral part	Geometry	4530.3	4568.7	52	918	0	0	0	0	NaN	0	667004.3	8102.6
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Entorhinal area, lateral part, layer 1	ENTl1	Entorhinal area, lateral part	Geometry	4112.3	4592.3	1121	918	0	0	0	0	NaN	0	480511.1	8531.8
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Entorhinal area, lateral part, layer 5	ENTl5	Entorhinal area, lateral part	Geometry	4780.2	4559.9	139	918	0	0	0	0	NaN	0	724048.2	7676.4
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Entorhinal area, medial part, dorsal zone	ENTm	Entorhinal area	Geometry	4170.3	5630.2	926	909	0	0	0	0	NaN	0	1242877.8	8047.2
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Entorhinal area, medial part, dorsal zone, layer 1	ENTm1	Entorhinal area, medial part, dorsal zone	Geometry	2164.2	5932.7	526	926	0	0	0	0	NaN	0	254010.8	4092.6
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Entorhinal area, medial part, dorsal zone, layer 2	ENTm2	Entorhinal area, medial part, dorsal zone	Geometry	2750.4	5781.2	543	926	0	0	0	0	NaN	0	249390.6	4386.3
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Entorhinal area, medial part, dorsal zone, layer 3	ENTm3	Entorhinal area, medial part, dorsal zone	Geometry	4970.2	5561.6	664	926	0	0	0	0	NaN	0	282616.7	6018.5
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 1.ome.tif	Entorhinal area, medial part, dorsal zone, layer 5	ENTm5	Entorhinal area, medial part, dorsal zone	Geometry	5699.2	5457.8	727	926	0	0	0	0	NaN	0	298659.4	4582.9
