Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Allen ID	Parent Allen ID	Side	Num Detections	Num Negative	Num Positive	Positive %	Num Positive per mm^2	Area µm^2	Perimeter µm
JKAY22.3g_1_Scan1_[7168,33055]_component_data_merged_Region 2.ome.tif	root	root	Image	Geometry	5565.8	3687.5	997	0	0	3803	3225	578	15.2	10.6	54552029.2	40353.9
JKAY22.3g_1_Scan1_[7168,33055]_component_data_merged_Region 2.ome.tif	Basic cell groups and regions	grey	root	Geometry	5571.4	3557.5	8	997	0	3801	3224	577	15.18	12.03	47954550	100530.8
JKAY22.3g_1_Scan1_[7168,33055]_component_data_merged_Region 2.ome.tif	Cerebrum	CH	Basic cell groups and regions	Geometry	5510.6	3499.4	567	8	0	0	0	0	NaN	0	29535885.5	64542.8
JKAY22.3g_1_Scan1_[7168,33055]_component_data_merged_Region 2.ome.tif	Cerebral cortex	CTX	Cerebrum	Geometry	5510.6	3499.4	688	567	0	0	0	0	NaN	0	29535885.5	64542.8
JKAY22.3g_1_Scan1_[7168,33055]_component_data_merged_Region 2.ome.tif	Cortical plate	CTXpl	Cerebral cortex	Geometry	5502.2	3455.6	695	688	0	0	0	0	NaN	0	28996755.9	67258
JKAY22.3g_1_Scan1_[7168,33055]_component_data_merged_Region 2.ome.tif	Hippocampal formation	HPF	Cortical plate	Geometry	5539.7	4111.1	1089	695	0	0	0	0	NaN	0	13665440.1	33229.7
JKAY22.3g_1_Scan1_[7168,33055]_component_data_merged_Region 2.ome.tif	Hippocampal region	HIP	Hippocampal formation	Geometry	5682.6	4216.9	1080	1089	0	0	0	0	NaN	0	9459276	20515.6
JKAY22.3g_1_Scan1_[7168,33055]_component_data_merged_Region 2.ome.tif	Dentate gyrus	DG	Hippocampal region	Geometry	5587.3	4054.9	726	1080	0	0	0	0	NaN	0	2852943.5	20765.3
JKAY22.3g_1_Scan1_[7168,33055]_component_data_merged_Region 2.ome.tif	Dentate gyrus, granule cell layer	DG-sg	Dentate gyrus	Geometry	5533.2	4005.4	632	726	0	0	0	0	NaN	0	698442	19950.3
JKAY22.3g_1_Scan1_[7168,33055]_component_data_merged_Region 2.ome.tif	Dentate gyrus, molecular layer	DG-mo	Dentate gyrus	Geometry	5717.5	4075.7	10703	726	0	0	0	0	NaN	0	1872429.6	25036.3
