Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Allen ID	Parent Allen ID	Side	Num Detections	Num Negative	Num Positive	Positive %	Num Positive per mm^2	Area µm^2	Perimeter µm
JKAY22.3g_3_Scan2_[6256,40483]_component_data_merged_Region 2.ome.tif	root	root	Image	Geometry	4733.7	3349	997	0	0	4799	3484	1315	27.4	33.45	39310989.6	43463.3
JKAY22.3g_3_Scan2_[6256,40483]_component_data_merged_Region 2.ome.tif	Basic cell groups and regions	grey	root	Geometry	4731.7	3241.4	8	997	0	4799	3484	1315	27.4	37.75	34835168.6	90165.5
JKAY22.3g_3_Scan2_[6256,40483]_component_data_merged_Region 2.ome.tif	Cerebellum	CB	Basic cell groups and regions	Geometry	3753.8	3792.9	512	8	0	0	0	0	NaN	0	587122.2	10045.1
JKAY22.3g_3_Scan2_[6256,40483]_component_data_merged_Region 2.ome.tif	Cerebellar cortex	CBX	Cerebellum	Geometry	2697.2	3720.9	528	512	0	0	0	0	NaN	0	217652.3	3943.6
JKAY22.3g_3_Scan2_[6256,40483]_component_data_merged_Region 2.ome.tif	Hemispheric regions	HEM	Cerebellar cortex	Geometry	2819.8	3971	1073	528	0	0	0	0	NaN	0	170268.4	2947.8
JKAY22.3g_3_Scan2_[6256,40483]_component_data_merged_Region 2.ome.tif	Flocculus	FL	Hemispheric regions	Geometry	2819.8	3971	1049	1073	0	0	0	0	NaN	0	170268.4	2947.8
JKAY22.3g_3_Scan2_[6256,40483]_component_data_merged_Region 2.ome.tif	Vermal regions	VERM	Cerebellar cortex	Geometry	2256.9	2822	645	528	0	0	0	0	NaN	0	47384.1	995.79
JKAY22.3g_3_Scan2_[6256,40483]_component_data_merged_Region 2.ome.tif	Culmen	CUL	Vermal regions	Geometry	2256.9	2822	928	645	0	0	0	0	NaN	0	47384.1	995.79
JKAY22.3g_3_Scan2_[6256,40483]_component_data_merged_Region 2.ome.tif	Lobules IV-V	CUL4, 5	Culmen	Geometry	2256.9	2822	1091	928	0	0	0	0	NaN	0	47384.1	995.79
JKAY22.3g_3_Scan2_[6256,40483]_component_data_merged_Region 2.ome.tif	Cerebrum	CH	Basic cell groups and regions	Geometry	4891.7	2554	567	8	0	0	0	0	NaN	0	10238274.7	21230
JKAY22.3g_3_Scan2_[6256,40483]_component_data_merged_Region 2.ome.tif	Cerebral cortex	CTX	Cerebrum	Geometry	4891.7	2554	688	567	0	0	0	0	NaN	0	10238274.7	21230
JKAY22.3g_3_Scan2_[6256,40483]_component_data_merged_Region 2.ome.tif	Cortical plate	CTXpl	Cerebral cortex	Geometry	4891.7	2554	695	688	0	0	0	0	NaN	0	10238274.7	21230
JKAY22.3g_3_Scan2_[6256,40483]_component_data_merged_Region 2.ome.tif	Isocortex	Isocortex	Cortical plate	Geometry	4910.6	1288.5	315	695	0	0	0	0	NaN	0	2765552.8	13278.6
JKAY22.3g_3_Scan2_[6256,40483]_component_data_merged_Region 2.ome.tif	Visual areas	VIS	Isocortex	Geometry	4936	1371.8	669	315	0	0	0	0	NaN	0	2161762.5	14188.6
JKAY22.3g_3_Scan2_[6256,40483]_component_data_merged_Region 2.ome.tif	Postrhinal area	VISpor	Visual areas	Geometry	5563.9	2018.5	312782628	669	0	0	0	0	NaN	0	358183.3	4197.2
JKAY22.3g_3_Scan2_[6256,40483]_component_data_merged_Region 2.ome.tif	Postrhinal area, layer 2/3	VISpor2/3	Postrhinal area	Geometry	6335.4	2036.9	312782636	312782628	0	0	0	0	NaN	0	158374.2	2957.4
