Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Allen ID	Parent Allen ID	Side	Num Detections	Num Negative	Num Positive	Positive %	Num Positive per mm^2	Area µm^2	Perimeter µm
JKAY22.3g_3_Scan2_[7017,50423]_component_data_merged_Region 1.ome.tif	root	root	Image	Geometry	4740.1	3241.6	997	0	0	4174	3562	612	14.66	14.39	42539943.6	44804.3
JKAY22.3g_3_Scan2_[7017,50423]_component_data_merged_Region 1.ome.tif	Basic cell groups and regions	grey	root	Geometry	4738.3	3080.9	8	997	0	4174	3562	612	14.66	16.47	37153991.5	103178.9
JKAY22.3g_3_Scan2_[7017,50423]_component_data_merged_Region 1.ome.tif	Cerebellum	CB	Basic cell groups and regions	Geometry	4649.2	4180	512	8	0	0	0	0	NaN	0	116357.3	5521.5
JKAY22.3g_3_Scan2_[7017,50423]_component_data_merged_Region 1.ome.tif	Cerebrum	CH	Basic cell groups and regions	Geometry	4772.8	2524.5	567	8	0	0	0	0	NaN	0	13525297.6	27373.1
JKAY22.3g_3_Scan2_[7017,50423]_component_data_merged_Region 1.ome.tif	Cerebral cortex	CTX	Cerebrum	Geometry	4772.8	2524.5	688	567	0	0	0	0	NaN	0	13525297.6	27373.1
JKAY22.3g_3_Scan2_[7017,50423]_component_data_merged_Region 1.ome.tif	Cortical plate	CTXpl	Cerebral cortex	Geometry	4772.8	2524.5	695	688	0	0	0	0	NaN	0	13525297.6	27373.1
JKAY22.3g_3_Scan2_[7017,50423]_component_data_merged_Region 1.ome.tif	Isocortex	Isocortex	Cortical plate	Geometry	4845.7	1166.5	315	695	0	0	0	0	NaN	0	3032901.3	17537.2
JKAY22.3g_3_Scan2_[7017,50423]_component_data_merged_Region 1.ome.tif	Visual areas	VIS	Isocortex	Geometry	4918.6	1392.5	669	315	0	0	0	0	NaN	0	2234446.4	16648.1
JKAY22.3g_3_Scan2_[7017,50423]_component_data_merged_Region 1.ome.tif	Laterointermediate area	VISli	Visual areas	Polygon	8604.7	1512.5	312782574	669	0	0	0	0	NaN	0	2326.8	271.74
JKAY22.3g_3_Scan2_[7017,50423]_component_data_merged_Region 1.ome.tif	Laterointermediate area, layer 1	VISli1	Laterointermediate area	Polygon	8604.7	1512.5	312782578	312782574	0	0	0	0	NaN	0	2326.8	271.74
JKAY22.3g_3_Scan2_[7017,50423]_component_data_merged_Region 1.ome.tif	Postrhinal area	VISpor	Visual areas	Geometry	5210.7	1965.8	312782628	669	0	0	0	0	NaN	0	884004.5	6677.1
JKAY22.3g_3_Scan2_[7017,50423]_component_data_merged_Region 1.ome.tif	Postrhinal area, layer 2/3	VISpor2/3	Postrhinal area	Geometry	4933.1	1973.4	312782636	312782628	0	0	0	0	NaN	0	358944	5132.2
JKAY22.3g_3_Scan2_[7017,50423]_component_data_merged_Region 1.ome.tif	Postrhinal area, layer 1	VISpor1	Postrhinal area	Geometry	4678.7	2074.5	312782632	312782628	0	0	0	0	NaN	0	228557.4	5634.4
JKAY22.3g_3_Scan2_[7017,50423]_component_data_merged_Region 1.ome.tif	Postrhinal area, layer 5	VISpor5	Postrhinal area	Geometry	5732.1	1886.4	312782644	312782628	0	0	0	0	NaN	0	271057.4	3922.7
JKAY22.3g_3_Scan2_[7017,50423]_component_data_merged_Region 1.ome.tif	Postrhinal area, layer 4	VISpor4	Postrhinal area	Geometry	8360	1608.5	312782640	312782628	0	0	0	0	NaN	0	13277.6	839.26
JKAY22.3g_3_Scan2_[7017,50423]_component_data_merged_Region 1.ome.tif	Postrhinal area, layer 6a	VISpor6a	Postrhinal area	Geometry	8335.8	1858.5	312782648	312782628	0	0	0	0	NaN	0	12168.1	1067.6
JKAY22.3g_3_Scan2_[7017,50423]_component_data_merged_Region 1.ome.tif	Primary visual area	VISp	Visual areas	Geometry	5050.8	799.32	385	669	0	0	0	0	NaN	0	801473.2	8860.2
JKAY22.3g_3_Scan2_[7017,50423]_component_data_merged_Region 1.ome.tif	Primary visual area, layer 5	VISp5	Primary visual area	Geometry	4935.6	866.9	778	385	0	0	0	0	NaN	0	205383.2	5147.8
JKAY22.3g_3_Scan2_[7017,50423]_component_data_merged_Region 1.ome.tif	Primary visual area, layer 6a	VISp6a	Primary visual area	Geometry	5960.8	924.4	33	385	0	0	0	0	NaN	0	107134.9	3124.6
JKAY22.3g_3_Scan2_[7017,50423]_component_data_merged_Region 1.ome.tif	Primary visual area, layer 2/3	VISp2/3	Primary visual area	Geometry	4961.9	739.1	821	385	0	0	0	0	NaN	0	217482	7574.7
JKAY22.3g_3_Scan2_[7017,50423]_component_data_merged_Region 1.ome.tif	Primary visual area, layer 1	VISp1	Primary visual area	Geometry	4816	680.92	593	385	0	0	0	0	NaN	0	158792.9	8573
JKAY22.3g_3_Scan2_[7017,50423]_component_data_merged_Region 1.ome.tif	Primary visual area, layer 4	VISp4	Primary visual area	Geometry	4898	840.28	721	385	0	0	0	0	NaN	0	112680.2	5849.9
JKAY22.3g_3_Scan2_[7017,50423]_component_data_merged_Region 1.ome.tif	Lateral visual area	VISl	Visual areas	Geometry	5960.7	1325.1	409	669	0	0	0	0	NaN	0	115151.9	2602.9
JKAY22.3g_3_Scan2_[7017,50423]_component_data_merged_Region 1.ome.tif	Lateral visual area, layer 4	VISl4	Lateral visual area	Geometry	7856.6	1331.9	573	409	0	0	0	0	NaN	0	12950.9	882.15
JKAY22.3g_3_Scan2_[7017,50423]_component_data_merged_Region 1.ome.tif	Lateral visual area, layer 5	VISl5	Lateral visual area	Geometry	8091.4	1326.8	613	409	0	0	0	0	NaN	0	7712.1	522.95
JKAY22.3g_3_Scan2_[7017,50423]_component_data_merged_Region 1.ome.tif	Lateral visual area, layer 1	VISl1	Lateral visual area	Geometry	5137.3	1323.7	421	409	0	0	0	0	NaN	0	42862.5	1925.1
