Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Allen ID	Parent Allen ID	Side	Num Detections	Num Negative	Num Positive	Positive %	Num Positive per mm^2	Area µm^2	Perimeter µm
JKAY22.3g_3_Scan2_[7017,50423]_component_data_merged_Region 3.ome.tif	root	root	Image	Geometry	5134.7	3612.5	997	0	0	30	9	21	70	0.4552	46129771.3	42920.8
JKAY22.3g_3_Scan2_[7017,50423]_component_data_merged_Region 3.ome.tif	Basic cell groups and regions	grey	root	Geometry	5085	3505.2	8	997	0	30	9	21	70	0.5053	41561775	90858.7
JKAY22.3g_3_Scan2_[7017,50423]_component_data_merged_Region 3.ome.tif	Cerebellum	CB	Basic cell groups and regions	Geometry	5138.2	5489.9	512	8	0	0	0	0	NaN	0	80284.3	4005.1
JKAY22.3g_3_Scan2_[7017,50423]_component_data_merged_Region 3.ome.tif	Cerebrum	CH	Basic cell groups and regions	Geometry	5021	3150.7	567	8	0	0	0	0	NaN	0	19312594.7	43807.2
JKAY22.3g_3_Scan2_[7017,50423]_component_data_merged_Region 3.ome.tif	Cerebral cortex	CTX	Cerebrum	Geometry	5021	3150.7	688	567	0	0	0	0	NaN	0	19312594.7	43807.2
JKAY22.3g_3_Scan2_[7017,50423]_component_data_merged_Region 3.ome.tif	Cortical plate	CTXpl	Cerebral cortex	Geometry	5021	3150.7	695	688	0	0	0	0	NaN	0	19312594.7	43807.2
JKAY22.3g_3_Scan2_[7017,50423]_component_data_merged_Region 3.ome.tif	Isocortex	Isocortex	Cortical plate	Geometry	4803.7	1651.9	315	695	0	0	0	0	NaN	0	5960138.9	18876.8
JKAY22.3g_3_Scan2_[7017,50423]_component_data_merged_Region 3.ome.tif	Temporal association areas	TEa	Isocortex	Geometry	9466	2520.7	541	315	0	0	0	0	NaN	0	54481.3	1318.6
JKAY22.3g_3_Scan2_[7017,50423]_component_data_merged_Region 3.ome.tif	Temporal association areas, layer 1	TEa1	Temporal association areas	Geometry	9489.1	2507	97	541	0	0	0	0	NaN	0	36887.9	1131.2
JKAY22.3g_3_Scan2_[7017,50423]_component_data_merged_Region 3.ome.tif	Temporal association areas, layer 2/3	TEa2/3	Temporal association areas	Geometry	9417.3	2549.6	1127	541	0	0	0	0	NaN	0	17593.6	810.98
JKAY22.3g_3_Scan2_[7017,50423]_component_data_merged_Region 3.ome.tif	Ectorhinal area	ECT	Isocortex	Geometry	9195.7	2782.4	895	315	0	0	0	0	NaN	0	67092.3	1690.9
JKAY22.3g_3_Scan2_[7017,50423]_component_data_merged_Region 3.ome.tif	Ectorhinal area/Layer 1	ECT1	Ectorhinal area	Geometry	8805.3	2846.5	836	895	0	0	0	0	NaN	0	25039.6	974.48
JKAY22.3g_3_Scan2_[7017,50423]_component_data_merged_Region 3.ome.tif	Ectorhinal area/Layer 2/3	ECT2/3	Ectorhinal area	Geometry	9444.6	2741.6	427	895	0	0	0	0	NaN	0	37373.5	936.96
JKAY22.3g_3_Scan2_[7017,50423]_component_data_merged_Region 3.ome.tif	Ectorhinal area/Layer 5	ECT5	Ectorhinal area	Geometry	9299	2765.4	988	895	0	0	0	0	NaN	0	4680.1	371.45
JKAY22.3g_3_Scan2_[7017,50423]_component_data_merged_Region 3.ome.tif	Perirhinal area	PERI	Isocortex	Geometry	7510.5	3018.3	922	315	0	0	0	0	NaN	0	93092.7	2310.7
