Region,Global slice index,TRAPed_alsoVgat,TRAPed_alsoVglut
dmPAG,Slice 0,0.0,1.13
dlPAG,Slice 0,0.0,0.63
lPAG,Slice 0,0.0,1.42
vlPAG,Slice 0,0.39,2.1
dmPAG,Slice 1,0.0,0.94
dlPAG,Slice 1,0.0,1.32
lPAG,Slice 1,1.17,1.11
vlPAG,Slice 1,0.0,1.68
dmPAG,Slice 2,0.56,1.21
dlPAG,Slice 2,0.0,1.06
lPAG,Slice 2,0.47,1.01
vlPAG,Slice 2,0.8,1.45
dmPAG,Slice 3,0.36,1.13
dlPAG,Slice 3,0.24,1.13
lPAG,Slice 3,0.56,1.13
vlPAG,Slice 3,0.42,1.18
dmPAG,Slice 4,0.45,0.66
dlPAG,Slice 4,0.05,0.75
lPAG,Slice 4,0.27,0.81
vlPAG,Slice 4,0.69,0.88
dmPAG,Slice 5,0.39,0.69
dlPAG,Slice 5,0.33,0.84
lPAG,Slice 5,0.15,0.79
vlPAG,Slice 5,0.44,0.68
dmPAG,Slice 6,0.39,0.98
dlPAG,Slice 6,0.18,0.94
lPAG,Slice 6,0.2,0.95
vlPAG,Slice 6,0.61,0.89
dmPAG,Slice 7,0.35,0.81
dlPAG,Slice 7,0.27,0.84
lPAG,Slice 7,0.29,0.87
vlPAG,Slice 7,0.59,0.72
dmPAG,Slice 9,0.55,0.96
dlPAG,Slice 9,0.46,1.03
lPAG,Slice 9,0.49,0.93
vlPAG,Slice 9,0.6,0.92
dmPAG,Slice 10,0.47,0.99
dlPAG,Slice 10,0.56,0.94
lPAG,Slice 10,0.34,0.93
vlPAG,Slice 10,0.75,0.82
dmPAG,Slice 12,0.4,0.46
dlPAG,Slice 12,0.36,0.29
lPAG,Slice 12,0.3,0.33
vlPAG,Slice 12,0.32,0.43
dmPAG,Slice 13,0.31,0.53
dlPAG,Slice 13,0.3,0.52
lPAG,Slice 13,0.36,0.58
vlPAG,Slice 13,0.37,0.54
dmPAG,Slice 14,0.54,0.61
dlPAG,Slice 14,0.52,0.53
lPAG,Slice 14,0.5,0.69
vlPAG,Slice 14,0.47,0.59
dmPAG,Slice 15,0.61,0.75
dlPAG,Slice 15,0.73,0.71
lPAG,Slice 15,0.56,0.76
vlPAG,Slice 15,0.54,0.74
dmPAG,Slice 16,0.73,0.8
dlPAG,Slice 16,0.89,0.77
lPAG,Slice 16,0.6,0.78
vlPAG,Slice 16,0.56,0.68
