Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Allen ID	Parent Allen ID	Side	Num Detections	Num Negative	Num Positive	Positive %	Num Positive per mm^2	Area µm^2	Perimeter µm
JKAY22.5d_3_Scan2_[6165,58983]_component_data_merged_Region 3.ome.tif	dmPAG	PAG_subregions	Image	Polygon	5031.4	1232.9	NaN	NaN	NaN	63	10	53	84.13	127.77	414796.5	3026.8
JKAY22.5d_3_Scan2_[6165,58983]_component_data_merged_Region 3.ome.tif	lPAG-r	PAG_subregions	Image	Polygon	5479.3	1881.6	NaN	NaN	NaN	97	9	88	90.72	228.4	385282.2	2642.1
JKAY22.5d_3_Scan2_[6165,58983]_component_data_merged_Region 3.ome.tif	dlPAG-r	PAG_subregions	Image	Polygon	5392.4	1479.6	NaN	NaN	NaN	13	0	13	100	84.64	153588.9	1872.1
JKAY22.5d_3_Scan2_[6165,58983]_component_data_merged_Region 3.ome.tif	vlPAG-r	PAG_subregions	Image	Polygon	5294.7	2484.4	NaN	NaN	NaN	161	37	124	77.02	223.03	555976.3	3079.4
JKAY22.5d_3_Scan2_[6165,58983]_component_data_merged_Region 3.ome.tif	dlPAG-l	PAG_subregions	Image	Polygon	4553.1	1438.6	NaN	NaN	NaN	27	2	25	92.59	146.38	170784.2	1882.3
JKAY22.5d_3_Scan2_[6165,58983]_component_data_merged_Region 3.ome.tif	lPAG-l	PAG_subregions	Image	Polygon	4406.8	1828.6	NaN	NaN	NaN	140	42	98	70	263.81	371480.7	2632.5
JKAY22.5d_3_Scan2_[6165,58983]_component_data_merged_Region 3.ome.tif	vlPAG-l	PAG_subregions	Image	Polygon	4503.2	2392.1	NaN	NaN	NaN	163	28	135	82.82	265.12	509205.9	3184.2
JKAY22.5d_3_Scan2_[6165,58983]_component_data_merged_Region 3.ome.tif	Parasubiculum	PAR	Image	Geometry	4597.5	2272	843	822	0	0	0	0	NaN	0	886339.1	8975.7
JKAY22.5d_3_Scan2_[6165,58983]_component_data_merged_Region 3.ome.tif	Area prostriata	APr	Image	Geometry	3797.7	1442.1	484682508	822	0	0	0	0	NaN	0	441780.3	4449.1
JKAY22.5d_3_Scan2_[6165,58983]_component_data_merged_Region 3.ome.tif	ventricular systems	VS	Image	Polygon	4944.6	1875.1	73	997	0	0	0	0	NaN	0	121874.3	1758.8
JKAY22.5d_3_Scan2_[6165,58983]_component_data_merged_Region 3.ome.tif	cerebral aqueduct	AQ	ventricular systems	Polygon	4944.6	1875.1	140	73	0	0	0	0	NaN	0	121874.3	1758.8
JKAY22.5d_3_Scan2_[6165,58983]_component_data_merged_Region 3.ome.tif	fiber tracts	fiber tracts	Image	Geometry	4799.9	4189.3	1009	997	0	1	1	0	0	0	3839228.8	54551.6
JKAY22.5d_3_Scan2_[6165,58983]_component_data_merged_Region 3.ome.tif	cerebellum related fiber tracts	cbf	fiber tracts	Geometry	5194.8	3988.7	960	1009	0	0	0	0	NaN	0	923090.2	12223
JKAY22.5d_3_Scan2_[6165,58983]_component_data_merged_Region 3.ome.tif	cerebellar peduncles	cbp	cerebellum related fiber tracts	Geometry	5194.8	3988.7	752	960	0	0	0	0	NaN	0	923090.2	12223
JKAY22.5d_3_Scan2_[6165,58983]_component_data_merged_Region 3.ome.tif	superior cerebelar peduncles	scp	cerebellar peduncles	Geometry	4950.9	3652.7	326	752	0	0	0	0	NaN	0	456265.4	7925.2
JKAY22.5d_3_Scan2_[6165,58983]_component_data_merged_Region 3.ome.tif	ventral spinocerebellar tract	sctv	superior cerebelar peduncles	Geometry	5057.6	4951.4	866	326	0	0	0	0	NaN	0	125797.6	3382.9
JKAY22.5d_3_Scan2_[6165,58983]_component_data_merged_Region 3.ome.tif	middle cerebellar peduncle	mcp	cerebellar peduncles	Geometry	5433.2	4317.1	78	752	0	0	0	0	NaN	0	466824.8	4297.8
JKAY22.5d_3_Scan2_[6165,58983]_component_data_merged_Region 3.ome.tif	lateral forebrain bundle system	lfbs	fiber tracts	Geometry	4494.6	6097.3	983	1009	0	0	0	0	NaN	0	156904.7	2424.5
JKAY22.5d_3_Scan2_[6165,58983]_component_data_merged_Region 3.ome.tif	corticospinal tract	cst	lateral forebrain bundle system	Geometry	4494.6	6097.3	784	983	0	0	0	0	NaN	0	156904.7	2424.5
JKAY22.5d_3_Scan2_[6165,58983]_component_data_merged_Region 3.ome.tif	pyramid	py	corticospinal tract	Geometry	4494.6	6097.3	190	784	0	0	0	0	NaN	0	156904.7	2424.5
JKAY22.5d_3_Scan2_[6165,58983]_component_data_merged_Region 3.ome.tif	extrapyramidal fiber systems	eps	fiber tracts	Geometry	4546.5	5028	1000	1009	0	0	0	0	NaN	0	300085.3	4901.4
JKAY22.5d_3_Scan2_[6165,58983]_component_data_merged_Region 3.ome.tif	rubrospinal tract	rust	extrapyramidal fiber systems	Geometry	4470.5	5378.7	863	1000	0	0	0	0	NaN	0	196418.6	2993.8
JKAY22.5d_3_Scan2_[6165,58983]_component_data_merged_Region 3.ome.tif	tectospinal pathway	tsp	extrapyramidal fiber systems	Geometry	4690.4	4363.5	877	1000	0	0	0	0	NaN	0	103666.7	1907.7
JKAY22.5d_3_Scan2_[6165,58983]_component_data_merged_Region 3.ome.tif	crossed tectospinal pathway	tspc	tectospinal pathway	Geometry	4690.4	4363.5	1043	877	0	0	0	0	NaN	0	103666.7	1907.7
JKAY22.5d_3_Scan2_[6165,58983]_component_data_merged_Region 3.ome.tif	Pons	P	Image	Geometry	4629.9	4654.5	771	1065	0	0	0	0	NaN	0	10460737.1	40678.9
JKAY22.5d_3_Scan2_[6165,58983]_component_data_merged_Region 3.ome.tif	Pons, behavioral state related	P-sat	Pons	Geometry	4550.7	4302.5	1117	771	0	0	0	0	NaN	0	3165376.3	12905.5
JKAY22.5d_3_Scan2_[6165,58983]_component_data_merged_Region 3.ome.tif	Pontine reticular nucleus	PRNr	Pons, behavioral state related	Geometry	4500.5	4352.1	146	1117	0	0	0	0	NaN	0	2477309.5	9166.2
JKAY22.5d_3_Scan2_[6165,58983]_component_data_merged_Region 3.ome.tif	Superior central nucleus raphe	CS	Pons, behavioral state related	Geometry	4730.6	4126.3	679	1117	0	0	0	0	NaN	0	682299	4118.7
JKAY22.5d_3_Scan2_[6165,58983]_component_data_merged_Region 3.ome.tif	Nucleus raphe pontis	RPO	Pons, behavioral state related	Geometry	4832	3885.7	238	1117	0	0	0	0	NaN	0	5767.8	379.4
JKAY22.5d_3_Scan2_[6165,58983]_component_data_merged_Region 3.ome.tif	Pons, motor related	P-mot	Pons	Geometry	4635.1	4930.3	987	771	0	0	0	0	NaN	0	2639310.2	16272.1
JKAY22.5d_3_Scan2_[6165,58983]_component_data_merged_Region 3.ome.tif	Supratrigeminal nucleus	SUT	Pons, motor related	Geometry	4596	4094.4	534	987	0	0	0	0	NaN	0	483468.4	4009.6
JKAY22.5d_3_Scan2_[6165,58983]_component_data_merged_Region 3.ome.tif	Tegmental reticular nucleus	TRN	Pons, motor related	Geometry	4678.5	5101.7	574	987	0	0	0	0	NaN	0	223371.2	2459.5
JKAY22.5d_3_Scan2_[6165,58983]_component_data_merged_Region 3.ome.tif	Pontine reticular nucleus, caudal part	PRNc	Pons, motor related	Geometry	4634.2	5369.4	1093	987	0	0	0	0	NaN	0	1288687.7	7628
JKAY22.5d_3_Scan2_[6165,58983]_component_data_merged_Region 3.ome.tif	Motor nucleus of trigeminal	V	Pons, motor related	Polygon	6389.7	4879.4	621	987	0	0	0	0	NaN	0	121861.6	1386.6
JKAY22.5d_3_Scan2_[6165,58983]_component_data_merged_Region 3.ome.tif	Peritrigeminal zone	P5	Pons, motor related	Geometry	4185.3	4518	549009215	987	0	0	0	0	NaN	0	487247	4135.4
JKAY22.5d_3_Scan2_[6165,58983]_component_data_merged_Region 3.ome.tif	Parvicellular motor 5 nucleus	PC5	Pons, motor related	Geometry	5075.3	5128.7	549009223	987	0	0	0	0	NaN	0	34914.8	1315.9
JKAY22.5d_3_Scan2_[6165,58983]_component_data_merged_Region 3.ome.tif	Medulla	MY	Image	Geometry	5054.7	5723.3	354	1065	0	0	0	0	NaN	0	645345	10832.4
JKAY22.5d_3_Scan2_[6165,58983]_component_data_merged_Region 3.ome.tif	Medulla, behavioral state related	MY-sat	Medulla	Polygon	4605.6	5408.7	379	354	0	0	0	0	NaN	0	72350.3	1296.9
JKAY22.5d_3_Scan2_[6165,58983]_component_data_merged_Region 3.ome.tif	Nucleus raphe magnus	RM	Medulla, behavioral state related	Polygon	4605.6	5408.7	206	379	0	0	0	0	NaN	0	72350.3	1296.9
JKAY22.5d_3_Scan2_[6165,58983]_component_data_merged_Region 3.ome.tif	Medulla, sensory related	MY-sen	Medulla	Geometry	5201.6	5691	386	354	0	0	0	0	NaN	0	323723.6	4356.4
JKAY22.5d_3_Scan2_[6165,58983]_component_data_merged_Region 3.ome.tif	Cochlear nuclei	CN	Medulla, sensory related	Polygon	7425.6	5205.9	607	386	0	0	0	0	NaN	0	78149.2	1358.4
