Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Allen ID	Parent Allen ID	Side	Num Detections	Num Negative	Num Positive	Positive %	Num Positive per mm^2	Area µm^2	Perimeter µm
JKAY22.5d_2_Scan2_[7191,44975]_component_data_merged_Region 1.ome.tif	dmPAG	PAG_subregions	Image	Polygon	5797.4	2636.7	NaN	NaN	NaN	108	94	14	12.96	45.65	306663.9	2285.1
JKAY22.5d_2_Scan2_[7191,44975]_component_data_merged_Region 1.ome.tif	dlPAG-r	PAG_subregions	Image	Polygon	6134.5	2784.1	NaN	NaN	NaN	61	49	12	19.67	93.1	128896.3	1751.2
JKAY22.5d_2_Scan2_[7191,44975]_component_data_merged_Region 1.ome.tif	dlPAG-l	PAG_subregions	Image	Polygon	5418.1	2812.9	NaN	NaN	NaN	42	35	7	16.67	56.46	123977.1	1660.9
JKAY22.5d_2_Scan2_[7191,44975]_component_data_merged_Region 1.ome.tif	lPAG-l	PAG_subregions	Image	Polygon	5321.7	3101.6	NaN	NaN	NaN	79	58	21	26.58	91.95	228374.4	1958.1
JKAY22.5d_2_Scan2_[7191,44975]_component_data_merged_Region 1.ome.tif	lPAG-r	PAG_subregions	Image	Polygon	6209.5	3104.5	NaN	NaN	NaN	39	26	13	33.33	50.36	258157.9	2091.8
JKAY22.5d_2_Scan2_[7191,44975]_component_data_merged_Region 1.ome.tif	vlPAG-r	PAG_subregions	Image	Polygon	6014.4	3611	NaN	NaN	NaN	45	34	11	24.44	34.66	317341.8	2616
JKAY22.5d_2_Scan2_[7191,44975]_component_data_merged_Region 1.ome.tif	vlPAG-l	PAG_subregions	Image	Polygon	5522.9	3592.2	NaN	NaN	NaN	75	54	21	28	75.6	277766.7	2509.3
JKAY22.5d_2_Scan2_[7191,44975]_component_data_merged_Region 1.ome.tif	cervicothalamic tract	cett	Image	Geometry	5703.2	5446.7	932	792	0	0	0	0	NaN	0	411353.3	4668.8
JKAY22.5d_2_Scan2_[7191,44975]_component_data_merged_Region 1.ome.tif	medial lemniscus	ml	cervicothalamic tract	Geometry	5703.2	5446.7	697	932	0	0	0	0	NaN	0	411353.3	4668.8
JKAY22.5d_2_Scan2_[7191,44975]_component_data_merged_Region 1.ome.tif	Entorhinal area, lateral part, layer 2	ENTl2	Image	Geometry	7758.8	5493.4	20	918	0	0	0	0	NaN	0	420362.1	4792.8
