Region,Global slice index,TRAPed_alsoVgat,TRAPed_alsoVglut
dmPAG,Slice 0,0.0,1.08
dlPAG,Slice 0,0.0,0.0
lPAG,Slice 0,0.88,1.05
vlPAG,Slice 0,0.0,0.0
dmPAG,Slice 1,0.0,1.2
dlPAG,Slice 1,0.0,0.63
lPAG,Slice 1,0.0,0.64
vlPAG,Slice 1,1.33,0.57
dmPAG,Slice 2,0.0,1.07
dlPAG,Slice 2,0.21,1.31
lPAG,Slice 2,0.5,1.08
vlPAG,Slice 2,0.76,1.27
dmPAG,Slice 3,0.36,1.17
dlPAG,Slice 3,0.0,1.2
lPAG,Slice 3,0.78,1.05
vlPAG,Slice 3,0.54,1.49
dmPAG,Slice 4,0.66,0.84
dlPAG,Slice 4,0.0,0.85
lPAG,Slice 4,0.0,0.89
vlPAG,Slice 4,0.31,1.14
dmPAG,Slice 5,0.28,0.72
dlPAG,Slice 5,0.12,0.63
lPAG,Slice 5,0.12,0.52
vlPAG,Slice 5,0.25,0.56
dmPAG,Slice 6,0.3,0.92
dlPAG,Slice 6,0.46,0.92
lPAG,Slice 6,0.46,0.91
vlPAG,Slice 6,0.79,0.85
dmPAG,Slice 7,0.44,0.91
dlPAG,Slice 7,0.33,0.99
lPAG,Slice 7,0.25,0.97
vlPAG,Slice 7,0.64,0.87
dmPAG,Slice 9,0.52,0.99
dlPAG,Slice 9,0.43,1.03
lPAG,Slice 9,0.41,0.97
vlPAG,Slice 9,0.62,0.98
dmPAG,Slice 10,0.32,0.93
dlPAG,Slice 10,0.51,0.99
lPAG,Slice 10,0.56,0.89
vlPAG,Slice 10,0.72,0.83
dmPAG,Slice 13,0.53,0.9
dlPAG,Slice 13,0.44,0.8
lPAG,Slice 13,0.32,0.83
vlPAG,Slice 13,0.37,0.67
dmPAG,Slice 14,0.45,0.87
dlPAG,Slice 14,0.21,0.78
lPAG,Slice 14,0.25,0.83
vlPAG,Slice 14,0.33,0.73
dmPAG,Slice 15,0.75,0.97
dlPAG,Slice 15,0.76,0.92
lPAG,Slice 15,0.63,0.94
vlPAG,Slice 15,0.53,0.77
dmPAG,Slice 16,0.72,0.94
dlPAG,Slice 16,0.72,0.91
lPAG,Slice 16,0.61,0.89
vlPAG,Slice 16,0.57,0.68
