Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Allen ID	Parent Allen ID	Side	Num Detections	Num Negative	Num Positive	Positive %	Num Positive per mm^2	Area µm^2	Perimeter µm
JKAY23.5d_2_Scan1_[3819,46070]_component_data_merged_Region 1.ome.tif	root	root	Image	Geometry	4642.6	3373.5	997	0	0	414	377	37	8.937	0.8102	45669047	39312.9
JKAY23.5d_2_Scan1_[3819,46070]_component_data_merged_Region 1.ome.tif	Basic cell groups and regions	grey	root	Geometry	4648	3208.2	8	997	0	414	377	37	8.937	0.9186	40278035.3	93214.3
JKAY23.5d_2_Scan1_[3819,46070]_component_data_merged_Region 1.ome.tif	Cerebellum	CB	Basic cell groups and regions	Geometry	5658.7	5130.9	512	8	0	0	0	0	NaN	0	87414.6	4087.7
JKAY23.5d_2_Scan1_[3819,46070]_component_data_merged_Region 1.ome.tif	Cerebrum	CH	Basic cell groups and regions	Geometry	4689.1	2899.8	567	8	0	0	0	0	NaN	0	19921601.6	45716.7
JKAY23.5d_2_Scan1_[3819,46070]_component_data_merged_Region 1.ome.tif	Cerebral cortex	CTX	Cerebrum	Geometry	4689.1	2899.8	688	567	0	0	0	0	NaN	0	19921601.6	45716.7
JKAY23.5d_2_Scan1_[3819,46070]_component_data_merged_Region 1.ome.tif	Cortical plate	CTXpl	Cerebral cortex	Geometry	4689.1	2899.8	695	688	0	0	0	0	NaN	0	19921601.6	45716.7
JKAY23.5d_2_Scan1_[3819,46070]_component_data_merged_Region 1.ome.tif	Hippocampal formation	HPF	Cortical plate	Geometry	4548.7	3597.3	1089	695	0	0	0	0	NaN	0	12690012.6	31101.9
JKAY23.5d_2_Scan1_[3819,46070]_component_data_merged_Region 1.ome.tif	Hippocampal region	HIP	Hippocampal formation	Geometry	7413.7	4046.8	1080	1089	0	0	0	0	NaN	0	1125472.5	5852.8
JKAY23.5d_2_Scan1_[3819,46070]_component_data_merged_Region 1.ome.tif	Dentate gyrus	DG	Hippocampal region	Geometry	7382	4057.3	726	1080	0	0	0	0	NaN	0	1098746.7	4388.3
JKAY23.5d_2_Scan1_[3819,46070]_component_data_merged_Region 1.ome.tif	Dentate gyrus, granule cell layer	DG-sg	Dentate gyrus	Geometry	7320.9	4278.2	632	726	0	0	0	0	NaN	0	190678.7	2093.8
JKAY23.5d_2_Scan1_[3819,46070]_component_data_merged_Region 1.ome.tif	Dentate gyrus, molecular layer	DG-mo	Dentate gyrus	Geometry	7394.5	4011	10703	726	0	0	0	0	NaN	0	908068	6482.1
JKAY23.5d_2_Scan1_[3819,46070]_component_data_merged_Region 1.ome.tif	Ammon's horn	CA	Hippocampal region	Geometry	8729.9	3610.1	375	1080	0	0	0	0	NaN	0	26725.5	1464.5
JKAY23.5d_2_Scan1_[3819,46070]_component_data_merged_Region 1.ome.tif	Field CA1	CA1	Ammon's horn	Geometry	8729.9	3610.1	382	375	0	0	0	0	NaN	0	26725.5	1464.5
JKAY23.5d_2_Scan1_[3819,46070]_component_data_merged_Region 1.ome.tif	Retrohippocampal region	RHP	Hippocampal formation	Geometry	4450.1	3620.2	822	1089	0	0	0	0	NaN	0	10834108.6	34062.8
JKAY23.5d_2_Scan1_[3819,46070]_component_data_merged_Region 1.ome.tif	Prosubiculum	ProS	Retrohippocampal region	Polygon	8078.4	3706.5	484682470	822	0	0	0	0	NaN	0	2118001.2	7482.2
JKAY23.5d_2_Scan1_[3819,46070]_component_data_merged_Region 1.ome.tif	Postsubiculum	POST	Retrohippocampal region	Geometry	4173.7	1721.7	1037	822	0	0	0	0	NaN	0	927918.8	6217.2
JKAY23.5d_2_Scan1_[3819,46070]_component_data_merged_Region 1.ome.tif	Presubiculum	PRE	Retrohippocampal region	Geometry	3718.9	2789.5	1084	822	0	0	0	0	NaN	0	899066.4	9557.4
JKAY23.5d_2_Scan1_[3819,46070]_component_data_merged_Region 1.ome.tif	Hippocampo-amygdalar transition area	HATA	Retrohippocampal region	Polygon	7538.3	5074.7	589508447	822	0	0	0	0	NaN	0	257591.1	2262.5
JKAY23.5d_2_Scan1_[3819,46070]_component_data_merged_Region 1.ome.tif	Parasubiculum	PAR	Retrohippocampal region	Geometry	1952	3393.2	843	822	0	0	0	0	NaN	0	486871.5	5078.6
JKAY23.5d_2_Scan1_[3819,46070]_component_data_merged_Region 1.ome.tif	Entorhinal area	ENT	Retrohippocampal region	Geometry	3286	4141.4	909	822	0	0	0	0	NaN	0	5141969.5	19662.4
JKAY23.5d_2_Scan1_[3819,46070]_component_data_merged_Region 1.ome.tif	Entorhinal area, lateral part	ENTl	Entorhinal area	Geometry	3024.4	3958.3	918	909	0	0	0	0	NaN	0	3366256.4	11896.1
JKAY23.5d_2_Scan1_[3819,46070]_component_data_merged_Region 1.ome.tif	Entorhinal area, lateral part, layer 2	ENTl2	Entorhinal area, lateral part	Geometry	3160.5	4133.8	20	918	0	0	0	0	NaN	0	804917.1	9459.7
JKAY23.5d_2_Scan1_[3819,46070]_component_data_merged_Region 1.ome.tif	Entorhinal area, lateral part, layer 6a	ENTl6a	Entorhinal area, lateral part	Geometry	2449	3607.3	28	918	0	0	0	0	NaN	0	787805.8	8434.4
JKAY23.5d_2_Scan1_[3819,46070]_component_data_merged_Region 1.ome.tif	Entorhinal area, lateral part, layer 3	ENTl3	Entorhinal area, lateral part	Geometry	3210.9	4041.6	52	918	0	0	0	0	NaN	0	626329.3	8815.1
JKAY23.5d_2_Scan1_[3819,46070]_component_data_merged_Region 1.ome.tif	Entorhinal area, lateral part, layer 1	ENTl1	Entorhinal area, lateral part	Geometry	3043.4	4188.5	1121	918	0	0	0	0	NaN	0	433667.2	9342.8
JKAY23.5d_2_Scan1_[3819,46070]_component_data_merged_Region 1.ome.tif	Entorhinal area, lateral part, layer 5	ENTl5	Entorhinal area, lateral part	Geometry	3330.8	3934.7	139	918	0	0	0	0	NaN	0	713537	8444.4
JKAY23.5d_2_Scan1_[3819,46070]_component_data_merged_Region 1.ome.tif	Entorhinal area, medial part, dorsal zone	ENTm	Entorhinal area	Geometry	3781.9	4488.6	926	909	0	0	0	0	NaN	0	1775713.1	11719.8
JKAY23.5d_2_Scan1_[3819,46070]_component_data_merged_Region 1.ome.tif	Entorhinal area, medial part, dorsal zone, layer 1	ENTm1	Entorhinal area, medial part, dorsal zone	Geometry	3187.1	5224.6	526	926	0	0	0	0	NaN	0	254701.8	5036.9
JKAY23.5d_2_Scan1_[3819,46070]_component_data_merged_Region 1.ome.tif	Entorhinal area, medial part, dorsal zone, layer 2	ENTm2	Entorhinal area, medial part, dorsal zone	Geometry	5069	5152.6	543	926	0	0	0	0	NaN	0	362743.6	6472.3
JKAY23.5d_2_Scan1_[3819,46070]_component_data_merged_Region 1.ome.tif	Entorhinal area, medial part, dorsal zone, layer 3	ENTm3	Entorhinal area, medial part, dorsal zone	Geometry	4975.8	4976.8	664	926	0	0	0	0	NaN	0	301428.9	5522.7
JKAY23.5d_2_Scan1_[3819,46070]_component_data_merged_Region 1.ome.tif	Entorhinal area, medial part, dorsal zone, layer 5	ENTm5	Entorhinal area, medial part, dorsal zone	Geometry	4589.2	4809.3	727	926	0	0	0	0	NaN	0	268621.1	4233.6
JKAY23.5d_2_Scan1_[3819,46070]_component_data_merged_Region 1.ome.tif	Entorhinal area, medial part, dorsal zone, layer 6	ENTm6	Entorhinal area, medial part, dorsal zone	Geometry	2265.4	3363.8	743	926	0	0	0	0	NaN	0	588217.7	6996.8
JKAY23.5d_2_Scan1_[3819,46070]_component_data_merged_Region 1.ome.tif	Area prostriata	APr	Retrohippocampal region	Geometry	3493.6	1216.9	484682508	822	0	0	0	0	NaN	0	92378.8	2058.3
JKAY23.5d_2_Scan1_[3819,46070]_component_data_merged_Region 1.ome.tif	Subiculum	SUB	Retrohippocampal region	Geometry	4148.1	3183.1	502	822	0	0	0	0	NaN	0	910311.5	7156.8
JKAY23.5d_2_Scan1_[3819,46070]_component_data_merged_Region 1.ome.tif	Olfactory areas	OLF	Cortical plate	Geometry	8261.4	5423.1	698	695	0	0	0	0	NaN	0	262267.3	3809.9
JKAY23.5d_2_Scan1_[3819,46070]_component_data_merged_Region 1.ome.tif	Postpiriform transition area	TR	Olfactory areas	Geometry	8763.8	5151.7	566	698	0	0	0	0	NaN	0	100993.6	1849.3
JKAY23.5d_2_Scan1_[3819,46070]_component_data_merged_Region 1.ome.tif	Cortical amygdalar area	COA	Olfactory areas	Geometry	7947.1	5592.8	631	698	0	0	0	0	NaN	0	161273.3	1960.6
JKAY23.5d_2_Scan1_[3819,46070]_component_data_merged_Region 1.ome.tif	Cortical amygdalar area, posterior part	COAp	Cortical amygdalar area	Geometry	7947.1	5592.8	647	631	0	0	0	0	NaN	0	161273.3	1960.6
JKAY23.5d_2_Scan1_[3819,46070]_component_data_merged_Region 1.ome.tif	Cortical amygdalar area, posterior part, medial zone	COApm	Cortical amygdalar area, posterior part	Geometry	7947.1	5592.8	663	647	0	0	0	0	NaN	0	161273.3	1960.6
JKAY23.5d_2_Scan1_[3819,46070]_component_data_merged_Region 1.ome.tif	Isocortex	Isocortex	Cortical plate	Geometry	4810.5	1534.9	315	695	0	0	0	0	NaN	0	6969321.7	21256.7
JKAY23.5d_2_Scan1_[3819,46070]_component_data_merged_Region 1.ome.tif	Temporal association areas	TEa	Isocortex	Geometry	8786.6	2338	541	315	0	0	0	0	NaN	0	935502	4069
JKAY23.5d_2_Scan1_[3819,46070]_component_data_merged_Region 1.ome.tif	Temporal association areas, layer 1	TEa1	Temporal association areas	Polygon	9028	2137.8	97	541	0	0	0	0	NaN	0	166155	3074.3
JKAY23.5d_2_Scan1_[3819,46070]_component_data_merged_Region 1.ome.tif	Temporal association areas, layer 2/3	TEa2/3	Temporal association areas	Polygon	8883.3	2193.7	1127	541	0	0	0	0	NaN	0	225018.7	3017
JKAY23.5d_2_Scan1_[3819,46070]_component_data_merged_Region 1.ome.tif	Temporal association areas, layer 6a	TEa6a	Temporal association areas	Polygon	8566.2	2642.7	729	541	0	0	0	0	NaN	0	113873.2	1685.7
JKAY23.5d_2_Scan1_[3819,46070]_component_data_merged_Region 1.ome.tif	Temporal association areas, layer 4	TEa4	Temporal association areas	Polygon	8761.2	2258.7	234	541	0	0	0	0	NaN	0	121847.5	2608.9
JKAY23.5d_2_Scan1_[3819,46070]_component_data_merged_Region 1.ome.tif	Temporal association areas, layer 6b	TEa6b	Temporal association areas	Polygon	8506.1	2740	786	541	0	0	0	0	NaN	0	23553.5	1184.2
JKAY23.5d_2_Scan1_[3819,46070]_component_data_merged_Region 1.ome.tif	Temporal association areas, layer 5	TEa5	Temporal association areas	Geometry	8692.2	2446.8	289	541	0	0	0	0	NaN	0	285054.2	2664.3
JKAY23.5d_2_Scan1_[3819,46070]_component_data_merged_Region 1.ome.tif	Visual areas	VIS	Isocortex	Geometry	3712.1	1464.3	669	315	0	0	0	0	NaN	0	4526671.8	16332.4
JKAY23.5d_2_Scan1_[3819,46070]_component_data_merged_Region 1.ome.tif	posteromedial visual area	VISpm	Visual areas	Geometry	6027.9	463.37	533	669	0	0	0	0	NaN	0	25963.9	1011.9
JKAY23.5d_2_Scan1_[3819,46070]_component_data_merged_Region 1.ome.tif	posteromedial visual area, layer 2/3	VISpm2/3	posteromedial visual area	Geometry	6245.1	503.84	41	533	0	0	0	0	NaN	0	13290.8	563.6
JKAY23.5d_2_Scan1_[3819,46070]_component_data_merged_Region 1.ome.tif	posteromedial visual area, layer 5	VISpm5	posteromedial visual area	Polygon	6274.4	654.81	565	533	0	0	0	0	NaN	0	661.3	129.77
JKAY23.5d_2_Scan1_[3819,46070]_component_data_merged_Region 1.ome.tif	posteromedial visual area, layer 1	VISpm1	posteromedial visual area	Geometry	5648.3	358.68	805	533	0	0	0	0	NaN	0	9634.9	582.94
JKAY23.5d_2_Scan1_[3819,46070]_component_data_merged_Region 1.ome.tif	posteromedial visual area, layer 4	VISpm4	posteromedial visual area	Polygon	6283.4	608.05	501	533	0	0	0	0	NaN	0	2377.1	214.12
JKAY23.5d_2_Scan1_[3819,46070]_component_data_merged_Region 1.ome.tif	Laterointermediate area	VISli	Visual areas	Geometry	6862.5	1957.8	312782574	669	0	0	0	0	NaN	0	224431.8	3327.8
JKAY23.5d_2_Scan1_[3819,46070]_component_data_merged_Region 1.ome.tif	Laterointermediate area, layer 2/3	VISli2/3	Laterointermediate area	Geometry	5785.2	1745.3	312782582	312782574	0	0	0	0	NaN	0	51766.4	1503.5
JKAY23.5d_2_Scan1_[3819,46070]_component_data_merged_Region 1.ome.tif	Laterointermediate area, layer 1	VISli1	Laterointermediate area	Geometry	4304.4	1645.9	312782578	312782574	0	0	0	0	NaN	0	39417	1271.8
JKAY23.5d_2_Scan1_[3819,46070]_component_data_merged_Region 1.ome.tif	Laterointermediate area, layer 5	VISli5	Laterointermediate area	Polygon	8087	2069.4	312782590	312782574	0	0	0	0	NaN	0	60327.7	1002
JKAY23.5d_2_Scan1_[3819,46070]_component_data_merged_Region 1.ome.tif	Laterointermediate area, layer 4	VISli4	Laterointermediate area	Polygon	8206.4	1912.5	312782586	312782574	0	0	0	0	NaN	0	19260.6	639.46
JKAY23.5d_2_Scan1_[3819,46070]_component_data_merged_Region 1.ome.tif	Laterointermediate area, layer 6b	VISli6b	Laterointermediate area	Polygon	7870.1	2363.6	312782598	312782574	0	0	0	0	NaN	0	10020	567.48
