Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Allen ID	Parent Allen ID	Side	Num Detections	Num Negative	Num Positive	Positive %	Num Positive per mm^2	Area µm^2	Perimeter µm
JKAY23.5d_3_Scan1_[5642,42684]_component_data_merged_Region 5.ome.tif	root	root	Image	Geometry	4613.7	3395.8	997	0	0	7642	5494	2148	28.11	51.38	41807090.3	44862.4
JKAY23.5d_3_Scan1_[5642,42684]_component_data_merged_Region 5.ome.tif	Basic cell groups and regions	grey	root	Geometry	4637.2	3245.5	8	997	0	7632	5484	2148	28.14	57.96	37059912.9	98515.6
JKAY23.5d_3_Scan1_[5642,42684]_component_data_merged_Region 5.ome.tif	Cerebellum	CB	Basic cell groups and regions	Geometry	2711.5	4266.9	512	8	0	0	0	0	NaN	0	248659.8	6579.1
JKAY23.5d_3_Scan1_[5642,42684]_component_data_merged_Region 5.ome.tif	Cerebellar cortex	CBX	Cerebellum	Polygon	1478.6	3968.8	528	512	0	0	0	0	NaN	0	52384.6	1193.7
JKAY23.5d_3_Scan1_[5642,42684]_component_data_merged_Region 5.ome.tif	Hemispheric regions	HEM	Cerebellar cortex	Polygon	1478.6	3968.8	1073	528	0	0	0	0	NaN	0	52384.6	1193.7
JKAY23.5d_3_Scan1_[5642,42684]_component_data_merged_Region 5.ome.tif	Flocculus	FL	Hemispheric regions	Polygon	1478.6	3968.8	1049	1073	0	0	0	0	NaN	0	52384.6	1193.7
JKAY23.5d_3_Scan1_[5642,42684]_component_data_merged_Region 5.ome.tif	Cerebrum	CH	Basic cell groups and regions	Geometry	5280	2556.5	567	8	0	0	0	0	NaN	0	13858992.7	26215.8
JKAY23.5d_3_Scan1_[5642,42684]_component_data_merged_Region 5.ome.tif	Cerebral cortex	CTX	Cerebrum	Geometry	5280	2556.5	688	567	0	0	0	0	NaN	0	13858992.7	26215.8
JKAY23.5d_3_Scan1_[5642,42684]_component_data_merged_Region 5.ome.tif	Cortical plate	CTXpl	Cerebral cortex	Geometry	5280	2556.5	695	688	0	0	0	0	NaN	0	13858992.7	26215.8
JKAY23.5d_3_Scan1_[5642,42684]_component_data_merged_Region 5.ome.tif	Isocortex	Isocortex	Cortical plate	Geometry	5266.3	1322.9	315	695	0	0	0	0	NaN	0	5182340.5	16339.6
JKAY23.5d_3_Scan1_[5642,42684]_component_data_merged_Region 5.ome.tif	Ectorhinal area	ECT	Isocortex	Geometry	8849.6	2812	895	315	0	0	0	0	NaN	0	7558.1	422.87
JKAY23.5d_3_Scan1_[5642,42684]_component_data_merged_Region 5.ome.tif	Ectorhinal area/Layer 1	ECT1	Ectorhinal area	Geometry	8849.6	2812	836	895	0	0	0	0	NaN	0	7558.1	422.87
JKAY23.5d_3_Scan1_[5642,42684]_component_data_merged_Region 5.ome.tif	Perirhinal area	PERI	Isocortex	Polygon	8773.4	2960.3	922	315	0	0	0	0	NaN	0	32018.4	897.43
JKAY23.5d_3_Scan1_[5642,42684]_component_data_merged_Region 5.ome.tif	Perirhinal area, layer 1	PERI1	Perirhinal area	Polygon	8780.9	2962	540	922	0	0	0	0	NaN	0	29589.5	790.95
JKAY23.5d_3_Scan1_[5642,42684]_component_data_merged_Region 5.ome.tif	Perirhinal area, layer 2/3	PERI2/3	Perirhinal area	Polygon	8686.3	2939.4	888	922	0	0	0	0	NaN	0	2428.5	293.16
JKAY23.5d_3_Scan1_[5642,42684]_component_data_merged_Region 5.ome.tif	Visual areas	VIS	Isocortex	Geometry	5480.5	1378.1	669	315	0	0	0	0	NaN	0	4039356.8	16464.5
JKAY23.5d_3_Scan1_[5642,42684]_component_data_merged_Region 5.ome.tif	Laterointermediate area	VISli	Visual areas	Geometry	8199.8	1622.9	312782574	669	0	0	0	0	NaN	0	32305	899.05
JKAY23.5d_3_Scan1_[5642,42684]_component_data_merged_Region 5.ome.tif	Laterointermediate area, layer 2/3	VISli2/3	Laterointermediate area	Geometry	8129.3	1635	312782582	312782574	0	0	0	0	NaN	0	9996.5	507.47
JKAY23.5d_3_Scan1_[5642,42684]_component_data_merged_Region 5.ome.tif	Laterointermediate area, layer 1	VISli1	Laterointermediate area	Polygon	8231.7	1617.6	312782578	312782574	0	0	0	0	NaN	0	22308.7	688.53
JKAY23.5d_3_Scan1_[5642,42684]_component_data_merged_Region 5.ome.tif	Postrhinal area	VISpor	Visual areas	Geometry	7384.8	2213	312782628	669	0	0	0	0	NaN	0	955128.6	5754.8
JKAY23.5d_3_Scan1_[5642,42684]_component_data_merged_Region 5.ome.tif	Postrhinal area, layer 2/3	VISpor2/3	Postrhinal area	Geometry	7490.6	2257.9	312782636	312782628	0	0	0	0	NaN	0	338195.3	4646
JKAY23.5d_3_Scan1_[5642,42684]_component_data_merged_Region 5.ome.tif	Postrhinal area, layer 1	VISpor1	Postrhinal area	Geometry	5837.9	2156.1	312782632	312782628	0	0	0	0	NaN	0	212324.6	4530
JKAY23.5d_3_Scan1_[5642,42684]_component_data_merged_Region 5.ome.tif	Postrhinal area, layer 5	VISpor5	Postrhinal area	Polygon	8136.8	2238.6	312782644	312782628	0	0	0	0	NaN	0	300694	2797.3
JKAY23.5d_3_Scan1_[5642,42684]_component_data_merged_Region 5.ome.tif	Postrhinal area, layer 4	VISpor4	Postrhinal area	Polygon	8128.3	1905.5	312782640	312782628	0	0	0	0	NaN	0	46951.8	1469.4
JKAY23.5d_3_Scan1_[5642,42684]_component_data_merged_Region 5.ome.tif	Postrhinal area, layer 6a	VISpor6a	Postrhinal area	Geometry	7940.8	2273.8	312782648	312782628	0	0	0	0	NaN	0	56963.4	1725.9
JKAY23.5d_3_Scan1_[5642,42684]_component_data_merged_Region 5.ome.tif	Primary visual area	VISp	Visual areas	Geometry	5056.3	893.12	385	669	0	0	0	0	NaN	0	2114320.5	9634.4
JKAY23.5d_3_Scan1_[5642,42684]_component_data_merged_Region 5.ome.tif	Primary visual area, layer 5	VISp5	Primary visual area	Geometry	6909	1069.4	778	385	0	0	0	0	NaN	0	311721.3	3623.1
JKAY23.5d_3_Scan1_[5642,42684]_component_data_merged_Region 5.ome.tif	Primary visual area, layer 6a	VISp6a	Primary visual area	Geometry	6963	1326.2	33	385	0	0	0	0	NaN	0	165196.8	2472.2
JKAY23.5d_3_Scan1_[5642,42684]_component_data_merged_Region 5.ome.tif	Primary visual area, layer 2/3	VISp2/3	Primary visual area	Geometry	4580.6	839.21	821	385	0	0	0	0	NaN	0	743381.3	7751.2
