Image	Name	Class	Parent	ROI
JKAY23.5d_3_Scan1_[5642,42684]_component_data_merged_Region 5.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY23.5d_3_Scan1_[5642,42684]_component_data_merged_Region 5.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY23.5d_3_Scan1_[5642,42684]_component_data_merged_Region 5.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY23.5d_3_Scan1_[5642,42684]_component_data_merged_Region 5.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY23.5d_3_Scan1_[5642,42684]_component_data_merged_Region 5.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY23.5d_3_Scan1_[5642,42684]_component_data_merged_Region 5.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY23.5d_3_Scan1_[5642,42684]_component_data_merged_Region 5.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY23.5d_3_Scan1_[5642,42684]_component_data_merged_Region 5.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY23.5d_3_Scan1_[5642,42684]_component_data_merged_Region 5.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY23.5d_3_Scan1_[5642,42684]_component_data_merged_Region 5.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY23.5d_3_Scan1_[5642,42684]_component_data_merged_Region 5.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY23.5d_3_Scan1_[5642,42684]_component_data_merged_Region 5.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY23.5d_3_Scan1_[5642,42684]_component_data_merged_Region 5.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY23.5d_3_Scan1_[5642,42684]_component_data_merged_Region 5.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY23.5d_3_Scan1_[5642,42684]_component_data_merged_Region 5.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY23.5d_3_Scan1_[5642,42684]_component_data_merged_Region 5.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY23.5d_3_Scan1_[5642,42684]_component_data_merged_Region 5.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY23.5d_3_Scan1_[5642,42684]_component_data_merged_Region 5.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY23.5d_3_Scan1_[5642,42684]_component_data_merged_Region 5.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY23.5d_3_Scan1_[5642,42684]_component_data_merged_Region 5.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY23.5d_3_Scan1_[5642,42684]_component_data_merged_Region 5.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY23.5d_3_Scan1_[5642,42684]_component_data_merged_Region 5.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY23.5d_3_Scan1_[5642,42684]_component_data_merged_Region 5.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY23.5d_3_Scan1_[5642,42684]_component_data_merged_Region 5.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY23.5d_3_Scan1_[5642,42684]_component_data_merged_Region 5.ome.tif	Negative	Negative	dmPAG	Polygon
