Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Allen ID	Parent Allen ID	Side	Num Detections	Num Negative	Positive %	Area µm^2	Perimeter µm
JKAY23.5d_1_Scan1_[4364,48981]_component_data_merged_Region 3.ome.tif	root	root	Image	Geometry	5594.5	3825.9	997	0	0	339	339	0	49939849.5	37594.2
JKAY23.5d_1_Scan1_[4364,48981]_component_data_merged_Region 3.ome.tif	Basic cell groups and regions	grey	root	Geometry	5607.3	3748.9	8	997	0	339	339	0	44894576.3	96999.6
JKAY23.5d_1_Scan1_[4364,48981]_component_data_merged_Region 3.ome.tif	Cerebrum	CH	Basic cell groups and regions	Geometry	5671.9	3599.1	567	8	0	0	0	NaN	28491582	64949.1
JKAY23.5d_1_Scan1_[4364,48981]_component_data_merged_Region 3.ome.tif	Cerebral cortex	CTX	Cerebrum	Geometry	5671.9	3599.1	688	567	0	0	0	NaN	28491582	64949.1
JKAY23.5d_1_Scan1_[4364,48981]_component_data_merged_Region 3.ome.tif	Cortical plate	CTXpl	Cerebral cortex	Geometry	5636.4	3519.7	695	688	0	0	0	NaN	27573909.2	66972.6
JKAY23.5d_1_Scan1_[4364,48981]_component_data_merged_Region 3.ome.tif	Hippocampal formation	HPF	Cortical plate	Geometry	5375.6	4186.2	1089	695	0	0	0	NaN	13195856.9	32906.6
JKAY23.5d_1_Scan1_[4364,48981]_component_data_merged_Region 3.ome.tif	Hippocampal region	HIP	Hippocampal formation	Geometry	5568.7	4258.5	1080	1089	0	0	0	NaN	9818004.8	21774.1
JKAY23.5d_1_Scan1_[4364,48981]_component_data_merged_Region 3.ome.tif	Dentate gyrus	DG	Hippocampal region	Geometry	4783.2	3886.4	726	1080	0	0	0	NaN	2273030.8	17809.2
JKAY23.5d_1_Scan1_[4364,48981]_component_data_merged_Region 3.ome.tif	Dentate gyrus, granule cell layer	DG-sg	Dentate gyrus	Geometry	4765.2	3868.6	632	726	0	0	0	NaN	557524.9	17258.8
JKAY23.5d_1_Scan1_[4364,48981]_component_data_merged_Region 3.ome.tif	Dentate gyrus, molecular layer	DG-mo	Dentate gyrus	Geometry	4847.8	3916.4	10703	726	0	0	0	NaN	1502585.6	21612.9
JKAY23.5d_1_Scan1_[4364,48981]_component_data_merged_Region 3.ome.tif	Dentate gyrus, polymorph layer	DG-po	Dentate gyrus	Geometry	4373.8	3721.9	10704	726	0	0	0	NaN	212920.3	6654.9
JKAY23.5d_1_Scan1_[4364,48981]_component_data_merged_Region 3.ome.tif	Ammon's horn	CA	Hippocampal region	Geometry	5805.3	4370.6	375	1080	0	0	0	NaN	7544974.1	25795.2
JKAY23.5d_1_Scan1_[4364,48981]_component_data_merged_Region 3.ome.tif	Field CA1	CA1	Ammon's horn	Geometry	5528.5	4208.9	382	375	0	0	0	NaN	5260905.8	19186.1
JKAY23.5d_1_Scan1_[4364,48981]_component_data_merged_Region 3.ome.tif	Field CA2	CA2	Ammon's horn	Geometry	8506.1	5088.7	423	375	0	0	0	NaN	105045.6	4609.6
JKAY23.5d_1_Scan1_[4364,48981]_component_data_merged_Region 3.ome.tif	Field CA3	CA3	Ammon's horn	Geometry	6343.5	4726.3	463	375	0	0	0	NaN	2179023.5	10892.4
JKAY23.5d_1_Scan1_[4364,48981]_component_data_merged_Region 3.ome.tif	Retrohippocampal region	RHP	Hippocampal formation	Geometry	4808.7	3975.8	822	1089	0	0	0	NaN	3356815.1	18841.2
JKAY23.5d_1_Scan1_[4364,48981]_component_data_merged_Region 3.ome.tif	Prosubiculum	ProS	Retrohippocampal region	Geometry	5122.6	2585	484682470	822	0	0	0	NaN	270774.9	3407.6
JKAY23.5d_1_Scan1_[4364,48981]_component_data_merged_Region 3.ome.tif	Postsubiculum	POST	Retrohippocampal region	Geometry	4991.9	2102.5	1037	822	0	0	0	NaN	396392.1	5202.7
JKAY23.5d_1_Scan1_[4364,48981]_component_data_merged_Region 3.ome.tif	Hippocampo-amygdalar transition area	HATA	Retrohippocampal region	Geometry	5234.6	6050.5	589508447	822	0	0	0	NaN	218002.9	2868.8
JKAY23.5d_1_Scan1_[4364,48981]_component_data_merged_Region 3.ome.tif	Entorhinal area	ENT	Retrohippocampal region	Geometry	4525.1	4787.2	909	822	0	0	0	NaN	1896763.8	8070.3
JKAY23.5d_1_Scan1_[4364,48981]_component_data_merged_Region 3.ome.tif	Entorhinal area, lateral part	ENTl	Entorhinal area	Geometry	4525.1	4787.2	918	909	0	0	0	NaN	1896763.8	8070.3
JKAY23.5d_1_Scan1_[4364,48981]_component_data_merged_Region 3.ome.tif	Entorhinal area, lateral part, layer 2	ENTl2	Entorhinal area, lateral part	Geometry	4170.1	4754.4	20	918	0	0	0	NaN	452162.1	5402.4
JKAY23.5d_1_Scan1_[4364,48981]_component_data_merged_Region 3.ome.tif	Entorhinal area, lateral part, layer 6a	ENTl6a	Entorhinal area, lateral part	Geometry	5128.7	4799.4	28	918	0	0	0	NaN	282196.5	4913.2
JKAY23.5d_1_Scan1_[4364,48981]_component_data_merged_Region 3.ome.tif	Entorhinal area, lateral part, layer 3	ENTl3	Entorhinal area, lateral part	Geometry	4507.5	4799.2	52	918	0	0	0	NaN	422077.6	5351.6
JKAY23.5d_1_Scan1_[4364,48981]_component_data_merged_Region 3.ome.tif	Entorhinal area, lateral part, layer 1	ENTl1	Entorhinal area, lateral part	Geometry	4497.6	4754.8	1121	918	0	0	0	NaN	259428	5174
JKAY23.5d_1_Scan1_[4364,48981]_component_data_merged_Region 3.ome.tif	Entorhinal area, lateral part, layer 5	ENTl5	Entorhinal area, lateral part	Geometry	4535	4817.7	139	918	0	0	0	NaN	480899.5	5315.3
JKAY23.5d_1_Scan1_[4364,48981]_component_data_merged_Region 3.ome.tif	Subiculum	SUB	Retrohippocampal region	Geometry	5308.6	2459.1	502	822	0	0	0	NaN	574881.4	4319.9
JKAY23.5d_1_Scan1_[4364,48981]_component_data_merged_Region 3.ome.tif	Olfactory areas	OLF	Cortical plate	Geometry	5601.8	6139.2	698	695	0	0	0	NaN	2930458.7	11365.1
JKAY23.5d_1_Scan1_[4364,48981]_component_data_merged_Region 3.ome.tif	Postpiriform transition area	TR	Olfactory areas	Geometry	3955.3	5800.2	566	698	0	0	0	NaN	1322558.3	6497.6
JKAY23.5d_1_Scan1_[4364,48981]_component_data_merged_Region 3.ome.tif	Cortical amygdalar area	COA	Olfactory areas	Geometry	5947.4	6503.1	631	698	0	0	0	NaN	1153407	5807.6
JKAY23.5d_1_Scan1_[4364,48981]_component_data_merged_Region 3.ome.tif	Cortical amygdalar area, posterior part	COAp	Cortical amygdalar area	Geometry	5947.4	6503.1	647	631	0	0	0	NaN	1153407	5807.6
JKAY23.5d_1_Scan1_[4364,48981]_component_data_merged_Region 3.ome.tif	Cortical amygdalar area, posterior part, lateral zone	COApl	Cortical amygdalar area, posterior part	Geometry	6200	6453.2	655	647	0	0	0	NaN	474912.9	4353.8
