Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Allen ID	Parent Allen ID	Side	Num Detections	Num Negative	Num Positive	Positive %	Num Positive per mm^2	Area µm^2	Perimeter µm
JKAY23.5d_2_Scan1_[3831,35846]_component_data_merged_Region 2.ome.tif	root	root	Image	Geometry	5161.2	3560.9	997	0	0	613	299	314	51.22	6.946	45207511.6	43319.6
JKAY23.5d_2_Scan1_[3831,35846]_component_data_merged_Region 2.ome.tif	Basic cell groups and regions	grey	root	Geometry	5141.2	3429.8	8	997	0	613	299	314	51.22	7.743	40552385.1	90100.3
JKAY23.5d_2_Scan1_[3831,35846]_component_data_merged_Region 2.ome.tif	Cerebellum	CB	Basic cell groups and regions	Geometry	5404.9	5049.1	512	8	0	0	0	0	NaN	0	86905.6	4869.6
JKAY23.5d_2_Scan1_[3831,35846]_component_data_merged_Region 2.ome.tif	Cerebrum	CH	Basic cell groups and regions	Geometry	5199.7	2985.3	567	8	0	0	0	0	NaN	0	18544490.1	39112.3
JKAY23.5d_2_Scan1_[3831,35846]_component_data_merged_Region 2.ome.tif	Cerebral cortex	CTX	Cerebrum	Geometry	5199.7	2985.3	688	567	0	0	0	0	NaN	0	18544490.1	39112.3
JKAY23.5d_2_Scan1_[3831,35846]_component_data_merged_Region 2.ome.tif	Cortical plate	CTXpl	Cerebral cortex	Geometry	5199.7	2985.3	695	688	0	0	0	0	NaN	0	18544490.1	39112.3
JKAY23.5d_2_Scan1_[3831,35846]_component_data_merged_Region 2.ome.tif	Hippocampal formation	HPF	Cortical plate	Geometry	4802.4	3673.3	1089	695	0	0	0	0	NaN	0	12065678.1	27178.1
JKAY23.5d_2_Scan1_[3831,35846]_component_data_merged_Region 2.ome.tif	Hippocampal region	HIP	Hippocampal formation	Geometry	7777.7	4194.9	1080	1089	0	0	0	0	NaN	0	415819.6	3166.1
JKAY23.5d_2_Scan1_[3831,35846]_component_data_merged_Region 2.ome.tif	Dentate gyrus	DG	Hippocampal region	Geometry	7777.7	4194.9	726	1080	0	0	0	0	NaN	0	415819.6	3166.1
JKAY23.5d_2_Scan1_[3831,35846]_component_data_merged_Region 2.ome.tif	Dentate gyrus, molecular layer	DG-mo	Dentate gyrus	Geometry	7777.7	4194.9	10703	726	0	0	0	0	NaN	0	415819.6	3166.1
