Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Allen ID	Parent Allen ID	Side	Num Detections	Num Negative	Num Positive	Positive %	Num Positive per mm^2	Area µm^2	Perimeter µm
JKAY23.5d_1_Scan1_[3248,37740]_component_data_merged_Region 2.ome.tif	root	root	Image	Geometry	5380.1	3791.3	997	0	0	1926	1886	40	2.077	0.8026	49835838.7	38025.8
JKAY23.5d_1_Scan1_[3248,37740]_component_data_merged_Region 2.ome.tif	Basic cell groups and regions	grey	root	Geometry	5406.6	3720.2	8	997	0	1926	1886	40	2.077	0.8988	44502688.9	103193.9
JKAY23.5d_1_Scan1_[3248,37740]_component_data_merged_Region 2.ome.tif	Cerebellum	CB	Basic cell groups and regions	Geometry	3988.1	6048.6	512	8	0	0	0	0	NaN	0	42520.4	3906.1
JKAY23.5d_1_Scan1_[3248,37740]_component_data_merged_Region 2.ome.tif	Cerebrum	CH	Basic cell groups and regions	Geometry	5448.8	3487.8	567	8	0	0	0	0	NaN	0	26532807.7	61474.9
JKAY23.5d_1_Scan1_[3248,37740]_component_data_merged_Region 2.ome.tif	Cerebral cortex	CTX	Cerebrum	Geometry	5448.8	3487.8	688	567	0	0	0	0	NaN	0	26532807.7	61474.9
JKAY23.5d_1_Scan1_[3248,37740]_component_data_merged_Region 2.ome.tif	Cortical plate	CTXpl	Cerebral cortex	Geometry	5421.1	3463.7	695	688	0	0	0	0	NaN	0	26263515.3	62708.9
JKAY23.5d_1_Scan1_[3248,37740]_component_data_merged_Region 2.ome.tif	Hippocampal formation	HPF	Cortical plate	Geometry	5003.4	4144.1	1089	695	0	0	0	0	NaN	0	15276131	35250
JKAY23.5d_1_Scan1_[3248,37740]_component_data_merged_Region 2.ome.tif	Hippocampal region	HIP	Hippocampal formation	Geometry	6876.6	4274.5	1080	1089	0	0	0	0	NaN	0	7193334.4	16740.1
JKAY23.5d_1_Scan1_[3248,37740]_component_data_merged_Region 2.ome.tif	Dentate gyrus	DG	Hippocampal region	Geometry	5013.9	4198	726	1080	0	0	0	0	NaN	0	3550507.8	16933.6
JKAY23.5d_1_Scan1_[3248,37740]_component_data_merged_Region 2.ome.tif	Dentate gyrus, granule cell layer	DG-sg	Dentate gyrus	Geometry	5012.5	4361	632	726	0	0	0	0	NaN	0	882185.7	15467.3
JKAY23.5d_1_Scan1_[3248,37740]_component_data_merged_Region 2.ome.tif	Dentate gyrus, molecular layer	DG-mo	Dentate gyrus	Geometry	4969.9	4104.7	10703	726	0	0	0	0	NaN	0	2378455.2	22521.1
JKAY23.5d_1_Scan1_[3248,37740]_component_data_merged_Region 2.ome.tif	Dentate gyrus, polymorph layer	DG-po	Dentate gyrus	Geometry	5381.1	4466.8	10704	726	0	0	0	0	NaN	0	289643.1	5765.5
JKAY23.5d_1_Scan1_[3248,37740]_component_data_merged_Region 2.ome.tif	Ammon's horn	CA	Hippocampal region	Geometry	8692	4349.1	375	1080	0	0	0	0	NaN	0	3642826.6	13743.7
JKAY23.5d_1_Scan1_[3248,37740]_component_data_merged_Region 2.ome.tif	Field CA1	CA1	Ammon's horn	Polygon	8873.9	4298.1	382	375	0	0	0	0	NaN	0	2852796.2	9174
JKAY23.5d_1_Scan1_[3248,37740]_component_data_merged_Region 2.ome.tif	Field CA3	CA3	Ammon's horn	Geometry	8037.5	4532.7	463	375	0	0	0	0	NaN	0	790030.7	4569.7
JKAY23.5d_1_Scan1_[3248,37740]_component_data_merged_Region 2.ome.tif	Retrohippocampal region	RHP	Hippocampal formation	Geometry	3330.8	4031.2	822	1089	0	0	0	0	NaN	0	8052814.7	30015.9
JKAY23.5d_1_Scan1_[3248,37740]_component_data_merged_Region 2.ome.tif	Prosubiculum	ProS	Retrohippocampal region	Geometry	2210.2	4003.1	484682470	822	0	0	0	0	NaN	0	2966812.8	10530.7
JKAY23.5d_1_Scan1_[3248,37740]_component_data_merged_Region 2.ome.tif	Postsubiculum	POST	Retrohippocampal region	Geometry	5295.6	2163.4	1037	822	0	0	0	0	NaN	0	848884	6738.7
JKAY23.5d_1_Scan1_[3248,37740]_component_data_merged_Region 2.ome.tif	Presubiculum	PRE	Retrohippocampal region	Geometry	3310.1	2634.4	1084	822	0	0	0	0	NaN	0	147257.9	1966.7
JKAY23.5d_1_Scan1_[3248,37740]_component_data_merged_Region 2.ome.tif	Hippocampo-amygdalar transition area	HATA	Retrohippocampal region	Geometry	4222.9	5837.5	589508447	822	0	0	0	0	NaN	0	324627	3807.3
JKAY23.5d_1_Scan1_[3248,37740]_component_data_merged_Region 2.ome.tif	Entorhinal area	ENT	Retrohippocampal region	Geometry	3419.4	4877.4	909	822	0	0	0	0	NaN	0	2947183.5	11606.7
JKAY23.5d_1_Scan1_[3248,37740]_component_data_merged_Region 2.ome.tif	Entorhinal area, lateral part	ENTl	Entorhinal area	Geometry	3873.6	4644.9	918	909	0	0	0	0	NaN	0	2350497.5	9483.7
JKAY23.5d_1_Scan1_[3248,37740]_component_data_merged_Region 2.ome.tif	Entorhinal area, lateral part, layer 2	ENTl2	Entorhinal area, lateral part	Geometry	3264.3	4636.9	20	918	0	0	0	0	NaN	0	563822.9	6933.6
JKAY23.5d_1_Scan1_[3248,37740]_component_data_merged_Region 2.ome.tif	Entorhinal area, lateral part, layer 6a	ENTl6a	Entorhinal area, lateral part	Geometry	3994.3	4617.9	28	918	0	0	0	0	NaN	0	403263.6	6668.1
JKAY23.5d_1_Scan1_[3248,37740]_component_data_merged_Region 2.ome.tif	Entorhinal area, lateral part, layer 3	ENTl3	Entorhinal area, lateral part	Geometry	4148.8	4647.1	52	918	0	0	0	0	NaN	0	497146.5	7014.5
JKAY23.5d_1_Scan1_[3248,37740]_component_data_merged_Region 2.ome.tif	Entorhinal area, lateral part, layer 1	ENTl1	Entorhinal area, lateral part	Geometry	3225.6	4599.4	1121	918	0	0	0	0	NaN	0	295561.1	6676.2
JKAY23.5d_1_Scan1_[3248,37740]_component_data_merged_Region 2.ome.tif	Entorhinal area, lateral part, layer 5	ENTl5	Entorhinal area, lateral part	Geometry	4465.3	4692	139	918	0	0	0	0	NaN	0	590703.4	7077.5
JKAY23.5d_1_Scan1_[3248,37740]_component_data_merged_Region 2.ome.tif	Entorhinal area, medial part, dorsal zone	ENTm	Entorhinal area	Polygon	1630.7	5792.8	926	909	0	0	0	0	NaN	0	596685.6	3955.5
JKAY23.5d_1_Scan1_[3248,37740]_component_data_merged_Region 2.ome.tif	Entorhinal area, medial part, dorsal zone, layer 1	ENTm1	Entorhinal area, medial part, dorsal zone	Geometry	1279.9	5837.4	526	926	0	0	0	0	NaN	0	117821.8	2684.7
JKAY23.5d_1_Scan1_[3248,37740]_component_data_merged_Region 2.ome.tif	Entorhinal area, medial part, dorsal zone, layer 2	ENTm2	Entorhinal area, medial part, dorsal zone	Polygon	1673.6	5868.1	543	926	0	0	0	0	NaN	0	172143.8	3538.3
JKAY23.5d_1_Scan1_[3248,37740]_component_data_merged_Region 2.ome.tif	Entorhinal area, medial part, dorsal zone, layer 3	ENTm3	Entorhinal area, medial part, dorsal zone	Polygon	1704.9	5789.7	664	926	0	0	0	0	NaN	0	134737.8	2858.2
JKAY23.5d_1_Scan1_[3248,37740]_component_data_merged_Region 2.ome.tif	Entorhinal area, medial part, dorsal zone, layer 5	ENTm5	Entorhinal area, medial part, dorsal zone	Polygon	1747	5714.7	727	926	0	0	0	0	NaN	0	112021.3	2203.8
JKAY23.5d_1_Scan1_[3248,37740]_component_data_merged_Region 2.ome.tif	Entorhinal area, medial part, dorsal zone, layer 6	ENTm6	Entorhinal area, medial part, dorsal zone	Polygon	1812.6	5641.9	743	926	0	0	0	0	NaN	0	59961.6	1517.8
JKAY23.5d_1_Scan1_[3248,37740]_component_data_merged_Region 2.ome.tif	Subiculum	SUB	Retrohippocampal region	Geometry	4686.1	2557	502	822	0	0	0	0	NaN	0	818049.5	5326.6
JKAY23.5d_1_Scan1_[3248,37740]_component_data_merged_Region 2.ome.tif	Olfactory areas	OLF	Cortical plate	Geometry	8577.7	5915.9	698	695	0	0	0	0	NaN	0	1581689.6	7705.8
JKAY23.5d_1_Scan1_[3248,37740]_component_data_merged_Region 2.ome.tif	Postpiriform transition area	TR	Olfactory areas	Polygon	9450	5687.2	566	698	0	0	0	0	NaN	0	947139.4	4223.6
JKAY23.5d_1_Scan1_[3248,37740]_component_data_merged_Region 2.ome.tif	Cortical amygdalar area	COA	Olfactory areas	Geometry	7260.9	6264.1	631	698	0	0	0	0	NaN	0	630103.8	4561.2
