Image	Object ID	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	ID	Side	Parent ID	Num Detections	Num Negative	Num Positive	Positive %	Num Positive per mm^2	Area µm^2	Perimeter µm
JKBY11.1b_A3_Scan1.qptiff - resolution #1_Region 5.ome.tif	8272c9d4-6ee1-43fc-a741-dbf6fc8ddf04	root	root	Image	Geometry	4569.4	3222.8	997	0	NaN	2157	1392	765	35.47	19.9	38433009.9	45303.2
JKBY11.1b_A3_Scan1.qptiff - resolution #1_Region 5.ome.tif	3f63c527-5e3d-4faa-a040-a488b9c427f1	grey	grey	root	Geometry	4604.8	3086.6	8	0	997	2157	1392	765	35.47	22.21	34436459.5	87718.4
JKBY11.1b_A3_Scan1.qptiff - resolution #1_Region 5.ome.tif	44605ee4-2c38-41ff-ad45-ac7f5fc1a655	CB	CB	grey	Geometry	3819.7	4707.9	512	0	8	0	0	0	NaN	0	91406.9	4231.8
JKBY11.1b_A3_Scan1.qptiff - resolution #1_Region 5.ome.tif	da824d1c-9bca-4961-8a57-1b322f04c560	CH	CH	grey	Geometry	4906.1	2927.2	567	0	8	0	0	0	NaN	0	16221634.7	32581.6
JKBY11.1b_A3_Scan1.qptiff - resolution #1_Region 5.ome.tif	8852f2e6-eb65-4049-8ae7-bec63c00001a	CTX	CTX	CH	Geometry	4906.1	2927.2	688	0	567	0	0	0	NaN	0	16221634.7	32581.6
JKBY11.1b_A3_Scan1.qptiff - resolution #1_Region 5.ome.tif	095334ca-94bd-43d2-a699-e06228b7559d	CTXpl	CTXpl	CTX	Geometry	4906.1	2927.2	695	0	688	0	0	0	NaN	0	16221634.7	32581.6
JKBY11.1b_A3_Scan1.qptiff - resolution #1_Region 5.ome.tif	7aa2eb76-8669-4215-ac8b-3d028a4a8477	Isocortex	Isocortex	CTXpl	Geometry	5337.4	1204	315	0	695	0	0	0	NaN	0	4230385.1	15337.7
JKBY11.1b_A3_Scan1.qptiff - resolution #1_Region 5.ome.tif	6a0017e0-5491-4791-8720-f0622f571551	ECT	ECT	Isocortex	Geometry	8294.4	3015.4	895	0	315	0	0	0	NaN	0	11085.8	600.06
JKBY11.1b_A3_Scan1.qptiff - resolution #1_Region 5.ome.tif	1626bfc0-eb67-42ab-a8c1-95dad3d82685	ECT1	ECT1	ECT	Geometry	8294.4	3015.4	836	0	895	0	0	0	NaN	0	11085.8	600.06
JKBY11.1b_A3_Scan1.qptiff - resolution #1_Region 5.ome.tif	e33ea023-c369-45a9-b8eb-166c37fa82f3	PERI	PERI	Isocortex	Geometry	8210.3	3208.2	922	0	315	0	0	0	NaN	0	51280.1	1234.9
