Image	Object ID	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	ID	Side	Parent ID	Num Detections	Num Negative	Num Positive	Positive %	Num Positive per mm^2	Area µm^2	Perimeter µm
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 1.ome.tif	c2d327a6-f699-445d-a4c8-d77a32d8652e	997	997	Image	Geometry	5020.7	3617.8	997	0	NaN	808	609	199	24.63	3.822	52070990.3	38131.6
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 1.ome.tif	8e2053fa-8fb5-4154-8d7a-6faa37ef9141	8	8	997	Geometry	5043.8	3533.7	8	0	997	808	609	199	24.63	4.259	46719580	98588.5
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 1.ome.tif	5c099157-b65d-4ae1-937c-9621d2312fff	567	567	8	Geometry	5084.3	3625.4	567	0	8	0	0	0	NaN	0	28756226.5	63483.3
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 1.ome.tif	949ab524-8775-4556-b286-0de1115d2e09	688	688	567	Geometry	5084.3	3625.4	688	0	567	0	0	0	NaN	0	28756226.5	63483.3
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 1.ome.tif	f2c67cee-3551-4617-8943-5f7bf626beb5	695	695	688	Geometry	5064.9	3578.5	695	0	688	0	0	0	NaN	0	28196523.1	65819.6
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 1.ome.tif	c811a2da-c9c5-4b7a-a61e-d5a2e94a7089	1089	1089	695	Geometry	4832.6	4169.4	1089	0	695	0	0	0	NaN	0	14917931.3	35598.1
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 1.ome.tif	c4f84861-4dcf-471a-ba12-13dcc332e190	1080	1080	1089	Geometry	5894.5	4443.9	1080	0	1089	0	0	0	NaN	0	7942706.8	20044.1
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 1.ome.tif	4ce77f99-3f17-472e-89e8-97ddd620b8fd	726	726	1080	Geometry	4710.5	4267.4	726	0	1080	0	0	0	NaN	0	3434500	17176.2
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 1.ome.tif	5768049e-5242-4971-bdf6-a06c213e5ede	632	632	726	Geometry	4701.9	4317.8	632	0	726	0	0	0	NaN	0	793258.2	16882.5
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 1.ome.tif	9d57416e-bd09-4a7b-ba1d-65c4ec686342	10703	10703	726	Geometry	4863.3	4190	10703	0	726	0	0	0	NaN	0	2135151.6	23244.5
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 1.ome.tif	96671074-b8e5-4e53-88a6-06dcf122769b	10704	10704	726	Geometry	4080.7	4514.1	10704	0	726	0	0	0	NaN	0	505776.1	6744.3
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 1.ome.tif	874db3c4-ad2b-4158-bfe0-ee05c81670ad	375	375	1080	Geometry	6796.4	4578.4	375	0	1080	0	0	0	NaN	0	4508206.8	19821.5
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 1.ome.tif	4e6d1bd7-cb89-4996-aeec-74b618ac541b	382	382	375	Geometry	6623.2	4587.5	382	0	375	0	0	0	NaN	0	3728661.7	14859.1
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 1.ome.tif	86f42b89-5ea8-4e25-beb6-a07030ee02c3	463	463	375	Geometry	7624.7	4534.8	463	0	375	0	0	0	NaN	0	779545.1	4962.4
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 1.ome.tif	3159fdea-8102-46ad-b674-f0ab20c3e43f	822	822	1089	Geometry	3622.2	3868	822	0	1089	0	0	0	NaN	0	6913708.3	30343.3
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 1.ome.tif	ed71b5bb-b7b8-48f9-b206-28572143fb3a	484682470	484682470	822	Geometry	2166.4	3851.8	484682470	0	822	0	0	0	NaN	0	1401409.9	8485
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 1.ome.tif	83d8fed1-4e00-48ed-9d4b-f4057507da93	1037	1037	822	Geometry	4771.6	2053.6	1037	0	822	0	0	0	NaN	0	1201223.3	7052
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 1.ome.tif	dda5dd66-5b18-4da3-bbe4-badf09a78d7b	1084	1084	822	Geometry	2695.3	2933.6	1084	0	822	0	0	0	NaN	0	401193.5	4054.2
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 1.ome.tif	acd7826f-91fa-4de1-852b-5f23cf46eccd	589508447	589508447	822	Geometry	4007.6	5961.2	589508447	0	822	0	0	0	NaN	0	306570.4	3304
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 1.ome.tif	69a93869-97d3-4f28-836e-250258254bcd	909	909	822	Geometry	4028.1	5006.7	909	0	822	0	0	0	NaN	0	2657619.2	9803.3
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 1.ome.tif	3efc097e-2a15-4fb2-a0da-6da5b9097317	918	918	909	Geometry	4028.1	5006.7	918	0	909	0	0	0	NaN	0	2657619.2	9803.3
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 1.ome.tif	de6817ac-2c53-461e-8fc9-ddfb14e4568b	20	20	918	Geometry	3637.9	5047.9	20	0	918	0	0	0	NaN	0	664545	7197.1
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 1.ome.tif	d53e40c3-9525-446a-ae4e-99e3f34ee671	28	28	918	Geometry	4067.4	4884.4	28	0	918	0	0	0	NaN	0	397628.7	6623.2
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 1.ome.tif	03d78daa-14b6-4644-96ac-8f6534934f50	52	52	918	Geometry	4233.1	5025.7	52	0	918	0	0	0	NaN	0	571676.8	7147.4
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 1.ome.tif	15696103-e1de-4c8e-9869-8a52b8dafee3	1121	1121	918	Geometry	3853.2	5008.5	1121	0	918	0	0	0	NaN	0	369413.9	6988.2
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 1.ome.tif	87d1fc40-e627-4df8-a17d-b15271ee8c22	139	139	918	Geometry	4320.1	5021.5	139	0	918	0	0	0	NaN	0	654354.8	7049.1
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 1.ome.tif	c0f8f52b-5d47-42fc-ba87-53de0cea752b	484682508	484682508	822	Geometry	3402.1	1422	484682508	0	822	0	0	0	NaN	0	38081.4	1042.9
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 1.ome.tif	7b4d0d09-94d7-4a47-938c-b3a188c5e1a3	502	502	822	Geometry	3449.4	2768.7	502	0	822	0	0	0	NaN	0	907610.7	6039
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 1.ome.tif	c5a443c1-d85c-4e3e-b539-9055a8637ba2	698	698	695	Geometry	5511.2	6276.6	698	0	695	0	0	0	NaN	0	3061289.4	11400.6
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 1.ome.tif	c5f9c906-8ee2-4bac-bd02-380e651fe27f	566	566	698	Geometry	5470.8	6121.9	566	0	698	0	0	0	NaN	0	1871451.5	7948.5
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 1.ome.tif	7836227e-61df-41d6-aafd-e66d1ed4dade	631	631	698	Geometry	5504.3	6543.9	631	0	698	0	0	0	NaN	0	1150025.3	5736.9
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 1.ome.tif	3145503a-abc7-4bb3-a02b-9d31dab6bf6a	647	647	631	Geometry	5504.3	6543.9	647	0	631	0	0	0	NaN	0	1150025.3	5736.9
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 1.ome.tif	3fed71cb-9050-4246-9d26-c226da3aaca0	655	655	647	Geometry	6338.2	6504.6	655	0	647	0	0	0	NaN	0	434275.4	4321.7
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 1.ome.tif	ad64f5fe-8985-430d-bdcb-4e31c5c27dfa	663	663	647	Geometry	4998.4	6567.8	663	0	647	0	0	0	NaN	0	715749.8	4596.9
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 1.ome.tif	6b0c5d51-4743-4586-af6a-2f423883aaa7	961	961	698	Geometry	9317.6	6060.1	961	0	698	0	0	0	NaN	0	18766.2	851.42
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 1.ome.tif	d5f860b8-4c66-4223-8a73-66e8b8b4b019	315	315	695	Geometry	5270.4	1907.3	315	0	695	0	0	0	NaN	0	10217302.5	27261.1
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 1.ome.tif	98e3dbad-56b6-45ad-9518-62b8b681a7ea	541	541	315	Geometry	7526.6	2964.3	541	0	315	0	0	0	NaN	0	1599957.4	9524.4
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 1.ome.tif	04e8159f-6945-498f-8c5e-b1672f1d71c0	97	97	541	Geometry	6044.2	2871.9	97	0	541	0	0	0	NaN	0	273681.9	5545.6
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 1.ome.tif	1919abfe-9e09-4be4-b4bc-f14c72e0c00f	1127	1127	541	Geometry	6547.2	2909	1127	0	541	0	0	0	NaN	0	365559.8	5963.2
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 1.ome.tif	ae7ebcc2-7b6a-4eec-9af9-6b50b857dc93	729	729	541	Geometry	8945.3	3064.1	729	0	541	0	0	0	NaN	0	225869.8	3669.3
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 1.ome.tif	f94729a5-553d-4dfd-b785-93d00167d7d1	234	234	541	Geometry	7611.3	2883.4	234	0	541	0	0	0	NaN	0	179458.2	4787.2
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 1.ome.tif	255781e8-021b-497f-9ec3-0b53a80036c1	786	786	541	Geometry	9124.7	3064	786	0	541	0	0	0	NaN	0	49107.2	2867.5
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 1.ome.tif	fdf783cc-dc24-48a4-81a6-4e6cddbc4835	289	289	541	Geometry	8217.3	3028.7	289	0	541	0	0	0	NaN	0	506280.7	5314.8
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 1.ome.tif	175d2ba6-6ae6-4af3-8fbf-430725af4593	669	669	315	Geometry	4629.1	1509.6	669	0	315	0	0	0	NaN	0	5971708.3	17964.4
