Image	Object ID	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	ID	Side	Parent ID	Num Detections	Num Negative	Num Positive	Positive %	Num Positive per mm^2	Area µm^2	Perimeter µm
JKBY11.1b_A4_Scan1.qptiff - resolution #1_Region 2.ome.tif	ef235c05-e241-4a7a-bd07-928587f20095	root	root	Image	Geometry	4070.2	3173.9	997	0	NaN	2003	1232	771	38.49	22.02	35017103.3	42547.4
JKBY11.1b_A4_Scan1.qptiff - resolution #1_Region 2.ome.tif	6acda84b-caa4-40e4-b457-1e4f61ed30d7	grey	grey	root	Geometry	4108.4	3096.4	8	0	997	1991	1221	770	38.67	25.05	30742784.5	87924.3
JKBY11.1b_A4_Scan1.qptiff - resolution #1_Region 2.ome.tif	03f890ff-4017-48fe-83fd-201c4892cd5d	CB	CB	grey	Geometry	1698.6	2807.9	512	0	8	0	0	0	NaN	0	1122407.6	11202.8
JKBY11.1b_A4_Scan1.qptiff - resolution #1_Region 2.ome.tif	54e1caaa-4032-49b1-86aa-84b253e28494	CBX	CBX	CB	Geometry	1478.1	2545.6	528	0	512	0	0	0	NaN	0	842146.5	6615.4
JKBY11.1b_A4_Scan1.qptiff - resolution #1_Region 2.ome.tif	7039edd9-1b08-4f37-8840-6414a8af8efd	HEM	HEM	CBX	Geometry	1378.4	2505.8	1073	0	528	0	0	0	NaN	0	516800.4	5060.9
JKBY11.1b_A4_Scan1.qptiff - resolution #1_Region 2.ome.tif	b4f5000d-7552-402f-a940-df1304c24e5f	FL	FL	HEM	Geometry	1188.4	3584.5	1049	0	1073	0	0	0	NaN	0	173800.9	1860.2
JKBY11.1b_A4_Scan1.qptiff - resolution #1_Region 2.ome.tif	29109539-76b5-48e1-8ff2-baec592b22c2	SIM	SIM	HEM	Geometry	1474.7	1959.2	1007	0	1073	0	0	0	NaN	0	342999.5	3200.7
JKBY11.1b_A4_Scan1.qptiff - resolution #1_Region 2.ome.tif	0511b02b-6a8c-41d4-b4e3-7b14aac3741b	VERM	VERM	CBX	Geometry	1636.4	2608.8	645	0	528	0	0	0	NaN	0	325346.2	2512
JKBY11.1b_A4_Scan1.qptiff - resolution #1_Region 2.ome.tif	488ab5ce-0206-45c1-b6b0-996bd97fe12e	CUL	CUL	VERM	Geometry	1636.4	2608.8	928	0	645	0	0	0	NaN	0	325346.2	2512
JKBY11.1b_A4_Scan1.qptiff - resolution #1_Region 2.ome.tif	a2b4d77e-b8d7-439f-8c07-5a6b9cfeb6f1	CUL4, 5	CUL4, 5	CUL	Geometry	1636.4	2608.8	1091	0	928	0	0	0	NaN	0	325346.2	2512
JKBY11.1b_A4_Scan1.qptiff - resolution #1_Region 2.ome.tif	75cff1b8-1664-4470-9ea4-9cda7ed52b97	CH	CH	grey	Geometry	4958.4	2604.3	567	0	8	0	0	0	NaN	0	9146619.6	19699.5
JKBY11.1b_A4_Scan1.qptiff - resolution #1_Region 2.ome.tif	2bb9e132-455f-46b9-9839-50b9c5a564df	CTX	CTX	CH	Geometry	4958.4	2604.3	688	0	567	0	0	0	NaN	0	9146619.6	19699.5
JKBY11.1b_A4_Scan1.qptiff - resolution #1_Region 2.ome.tif	0e5b8ad2-7f44-49e7-9d8a-ab52b85d056d	CTXpl	CTXpl	CTX	Geometry	4958.4	2604.3	695	0	688	0	0	0	NaN	0	9146619.6	19699.5
JKBY11.1b_A4_Scan1.qptiff - resolution #1_Region 2.ome.tif	8c4fee3a-0d6d-4d1f-9006-7d68a74c8cff	Isocortex	Isocortex	CTXpl	Geometry	6763.3	1537.5	315	0	695	0	0	0	NaN	0	1568867.3	8033.6
JKBY11.1b_A4_Scan1.qptiff - resolution #1_Region 2.ome.tif	624f20b4-b7fc-4e10-b638-33cbcf36f2a9	VIS	VIS	Isocortex	Geometry	6843.5	1564.2	669	0	315	0	0	0	NaN	0	1328275.9	8470.9
JKBY11.1b_A4_Scan1.qptiff - resolution #1_Region 2.ome.tif	3613c3d8-f090-4f24-8b90-6ed4b54d24e3	VISpor	VISpor	VIS	Geometry	7963.6	2105.6	312782628	0	669	0	0	0	NaN	0	278182.4	2548.2
JKBY11.1b_A4_Scan1.qptiff - resolution #1_Region 2.ome.tif	5891861f-6e94-47cd-a92b-645faf1a6ea4	VISpor2/3	VISpor2/3	VISpor	Geometry	7901.9	2109.5	312782636	0	312782628	0	0	0	NaN	0	141364.7	1877
JKBY11.1b_A4_Scan1.qptiff - resolution #1_Region 2.ome.tif	ca0bc4da-5dca-4cbb-ad56-ca3c999e6c8c	VISpor1	VISpor1	VISpor	Geometry	8077.9	2105.1	312782632	0	312782628	0	0	0	NaN	0	119652.3	2295.4
JKBY11.1b_A4_Scan1.qptiff - resolution #1_Region 2.ome.tif	ea71e69a-43a1-4c56-a592-a32555d8a0b9	VISpor5	VISpor5	VISpor	Geometry	7672.4	2074.1	312782644	0	312782628	0	0	0	NaN	0	17165.4	731.64
JKBY11.1b_A4_Scan1.qptiff - resolution #1_Region 2.ome.tif	0592d4f0-9515-4dc5-9234-c8ddf0b61bfb	VISp	VISp	VIS	Geometry	6765.3	1205.4	385	0	669	0	0	0	NaN	0	424874.8	3232
JKBY11.1b_A4_Scan1.qptiff - resolution #1_Region 2.ome.tif	bbd8f779-1ca6-4143-bb7b-edcf1d2e26a3	VISp2/3	VISp2/3	VISp	Geometry	6783.8	1291	821	0	385	0	0	0	NaN	0	200031.2	2262.9
JKBY11.1b_A4_Scan1.qptiff - resolution #1_Region 2.ome.tif	d22be1b8-3fb9-42ba-bc5b-5521c791a948	VISp1	VISp1	VISp	Geometry	6745.3	1104.5	593	0	385	0	0	0	NaN	0	209326.8	3124.9
JKBY11.1b_A4_Scan1.qptiff - resolution #1_Region 2.ome.tif	9243222d-a5df-4fb0-97a8-3f57dd26f4f1	VISp4	VISp4	VISp	Geometry	6794.5	1467.8	721	0	385	0	0	0	NaN	0	15516.1	660.07
JKBY11.1b_A4_Scan1.qptiff - resolution #1_Region 2.ome.tif	a5dae429-40ad-4b72-8b12-df22597b3997	VISpl	VISpl	VIS	Geometry	6398.7	1567.3	425	0	669	0	0	0	NaN	0	625218.7	5345.8
JKBY11.1b_A4_Scan1.qptiff - resolution #1_Region 2.ome.tif	1b092e21-7209-4e39-b525-ab4cde7bb583	VISpl2/3	VISpl2/3	VISpl	Geometry	7071	1661.4	269	0	425	0	0	0	NaN	0	188673.4	3411.8
JKBY11.1b_A4_Scan1.qptiff - resolution #1_Region 2.ome.tif	80b52d50-01cc-4078-9911-7e3f7ffdf1ce	VISpl4	VISpl4	VISpl	Geometry	7057.4	1623.1	869	0	425	0	0	0	NaN	0	69730.9	2534.9
JKBY11.1b_A4_Scan1.qptiff - resolution #1_Region 2.ome.tif	7435a03b-d888-406b-a5f8-13a733939c2a	VISpl5	VISpl5	VISpl	Geometry	7070.4	1791.4	902	0	425	0	0	0	NaN	0	227699.9	2451.2
JKBY11.1b_A4_Scan1.qptiff - resolution #1_Region 2.ome.tif	b77a9be8-0de0-4c92-8c86-ff60a216a418	VISpl1	VISpl1	VISpl	Geometry	4057.8	1045.7	750	0	425	0	0	0	NaN	0	139114.2	3189.9
JKBY11.1b_A4_Scan1.qptiff - resolution #1_Region 2.ome.tif	a90cced7-3aa2-40d0-af8c-b8b7d10b3f26	RSP	RSP	Isocortex	Geometry	6320.9	1390.9	254	0	315	0	0	0	NaN	0	240591.4	3017.2
JKBY11.1b_A4_Scan1.qptiff - resolution #1_Region 2.ome.tif	57e7cfb9-53e2-4da4-837a-c85295bd95cd	RSPd	RSPd	RSP	Geometry	6368.4	1672.3	879	0	254	0	0	0	NaN	0	66252	1564.6
JKBY11.1b_A4_Scan1.qptiff - resolution #1_Region 2.ome.tif	809c3d31-a28f-413e-ae2e-c31bcda98835	RSPd2/3	RSPd2/3	RSPd	Geometry	6509.5	1812	434	0	879	0	0	0	NaN	0	5345.7	626.83
JKBY11.1b_A4_Scan1.qptiff - resolution #1_Region 2.ome.tif	fab44f01-e657-4fee-892f-71634ec0b2b2	RSPd1	RSPd1	RSPd	Geometry	6356	1660.1	442	0	879	0	0	0	NaN	0	60906.2	1408
JKBY11.1b_A4_Scan1.qptiff - resolution #1_Region 2.ome.tif	b6cdc561-40d8-4c61-94db-b540d7cde5e8	RSPagl	RSPagl	RSP	Geometry	6303	1283.9	894	0	254	0	0	0	NaN	0	174339.7	2025.8
JKBY11.1b_A4_Scan1.qptiff - resolution #1_Region 2.ome.tif	4aea9731-4a48-4dd4-8a63-843015f03740	RSPagl1	RSPagl1	RSPagl	Geometry	6204.6	1223.6	671	0	894	0	0	0	NaN	0	110156.6	1627.8
JKBY11.1b_A4_Scan1.qptiff - resolution #1_Region 2.ome.tif	ba3dd2ba-1b62-41a1-8ac7-f0c9324392d4	RSPagl2/3	RSPagl2/3	RSPagl	Geometry	6471.6	1387.3	965	0	894	0	0	0	NaN	0	64182.5	1252.5
JKBY11.1b_A4_Scan1.qptiff - resolution #1_Region 2.ome.tif	2c8312a1-a445-4a48-8ff0-f7d603d330bc	HPF	HPF	CTXpl	Geometry	4584.8	2825.1	1089	0	695	0	0	0	NaN	0	7577752.2	17261.3
JKBY11.1b_A4_Scan1.qptiff - resolution #1_Region 2.ome.tif	d3881404-157c-4511-9a99-2c83a61e6920	RHP	RHP	HPF	Geometry	4584.8	2825.1	822	0	1089	0	0	0	NaN	0	7577752.2	17261.3
JKBY11.1b_A4_Scan1.qptiff - resolution #1_Region 2.ome.tif	91240aa5-0ebb-4d4d-a862-80ccf5987479	PAR	PAR	RHP	Geometry	5375.5	2326.8	843	0	822	0	0	0	NaN	0	667591.8	7271.2
JKBY11.1b_A4_Scan1.qptiff - resolution #1_Region 2.ome.tif	b09ad663-7c1d-4dbb-9c79-fe48566492d7	ENT	ENT	RHP	Geometry	4492.7	2880.2	909	0	822	0	0	0	NaN	0	6856546.4	15950.1
JKBY11.1b_A4_Scan1.qptiff - resolution #1_Region 2.ome.tif	c7bfc86c-6949-441f-9af6-e04034fef9cd	ENTl	ENTl	ENT	Geometry	7976.6	3487.3	918	0	909	0	0	0	NaN	0	1792655.6	6127.9
JKBY11.1b_A4_Scan1.qptiff - resolution #1_Region 2.ome.tif	cd6c3889-fb1a-49db-8cd6-f2eee1990764	ENTl2	ENTl2	ENTl	Geometry	8097.3	3572.2	20	0	918	0	0	0	NaN	0	529823.7	5836.4
JKBY11.1b_A4_Scan1.qptiff - resolution #1_Region 2.ome.tif	0fa7e8d7-2f74-4169-858a-e6473a5e3ab0	ENTl6a	ENTl6a	ENTl	Geometry	7691.9	3286.1	28	0	918	0	0	0	NaN	0	140365.9	2527.5
JKBY11.1b_A4_Scan1.qptiff - resolution #1_Region 2.ome.tif	726b07d9-e88c-4744-84fb-8a02cd7e647c	ENTl3	ENTl3	ENTl	Geometry	7920.8	3440.4	52	0	918	0	0	0	NaN	0	423374.6	5536
JKBY11.1b_A4_Scan1.qptiff - resolution #1_Region 2.ome.tif	ca549022-9ddb-4e78-871d-6b3705691bcd	ENTl1	ENTl1	ENTl	Geometry	8257.6	3653.9	1121	0	918	0	0	0	NaN	0	274964.3	5586.8
JKBY11.1b_A4_Scan1.qptiff - resolution #1_Region 2.ome.tif	12296bf6-9915-4bb7-a2f2-bdec07e9de7d	ENTl5	ENTl5	ENTl	Geometry	7793	3387.6	139	0	918	0	0	0	NaN	0	424127.7	4568.8
JKBY11.1b_A4_Scan1.qptiff - resolution #1_Region 2.ome.tif	37c6856d-bcf6-419d-b192-e6646f6ef83f	ENTm	ENTm	ENT	Geometry	3259.5	2665.3	926	0	909	0	0	0	NaN	0	5063890.1	15248.4
JKBY11.1b_A4_Scan1.qptiff - resolution #1_Region 2.ome.tif	5a3f8276-d697-4342-9a43-3ea9480153c7	ENTm1	ENTm1	ENTm	Geometry	898.24	2355.7	526	0	926	0	0	0	NaN	0	1626024.3	17020.2
JKBY11.1b_A4_Scan1.qptiff - resolution #1_Region 2.ome.tif	1242f00d-e39d-49e0-9846-a6576d780405	ENTm2	ENTm2	ENTm	Geometry	1859.3	2444.5	543	0	926	0	0	0	NaN	0	1844262.3	12923.8
JKBY11.1b_A4_Scan1.qptiff - resolution #1_Region 2.ome.tif	91cc2fae-d300-488e-a043-ac90778c29fa	ENTm3	ENTm3	ENTm	Geometry	7137.7	3207.7	664	0	926	0	0	0	NaN	0	570240	7696.9
JKBY11.1b_A4_Scan1.qptiff - resolution #1_Region 2.ome.tif	f48b00df-b20b-4299-ad2f-6e202b2940ad	ENTm5	ENTm5	ENTm	Geometry	7320.8	3255.8	727	0	926	0	0	0	NaN	0	699676.2	6408.7
JKBY11.1b_A4_Scan1.qptiff - resolution #1_Region 2.ome.tif	e1125f5e-9af0-428a-aa8b-d34327c5a97b	ENTm6	ENTm6	ENTm	Geometry	7491.1	3246	743	0	926	0	0	0	NaN	0	323440.9	3450.4
JKBY11.1b_A4_Scan1.qptiff - resolution #1_Region 2.ome.tif	3a59af15-0b44-494c-805f-f21d39931527	APr	APr	RHP	Geometry	6513.2	1986.3	484682508	0	822	0	0	0	NaN	0	53614.2	978.59
JKBY11.1b_A4_Scan1.qptiff - resolution #1_Region 2.ome.tif	e1e5d444-0155-4d76-8009-67478c4fd451	BS	BS	grey	Geometry	3860.7	3332.1	343	0	8	1991	1221	770	38.67	37.61	20473757	58031
JKBY11.1b_A4_Scan1.qptiff - resolution #1_Region 2.ome.tif	6a20b1a5-e46d-4476-8854-de970f51385e	HB	HB	BS	Geometry	3611.1	4822	1065	0	343	0	0	0	NaN	0	9130271.2	40212.2
JKBY11.1b_A4_Scan1.qptiff - resolution #1_Region 2.ome.tif	2e3595d6-a61d-4e64-b581-2315ed80e936	P	P	HB	Geometry	3614.8	4812.6	771	0	1065	0	0	0	NaN	0	9058936	40144.1
JKBY11.1b_A4_Scan1.qptiff - resolution #1_Region 2.ome.tif	2faa4b8b-8f63-419b-8d5a-fe96843a8c69	P-sat	P-sat	P	Geometry	3898.9	4682.4	1117	0	771	0	0	0	NaN	0	3482459.3	14162.1
JKBY11.1b_A4_Scan1.qptiff - resolution #1_Region 2.ome.tif	e25c0d62-6446-4310-8062-397d87b53934	PRNr	PRNr	P-sat	Geometry	3878.3	4717.5	146	0	1117	0	0	0	NaN	0	2801171.8	10161.3
JKBY11.1b_A4_Scan1.qptiff - resolution #1_Region 2.ome.tif	9b6b691f-752c-497b-8fee-4b67b19250fd	CS	CS	P-sat	Geometry	3984	4538	679	0	1117	0	0	0	NaN	0	681287.3	4000.8
