Image	Object ID	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	ID	Side	Parent ID	Num Detections	Num Negative	Num Positive	Positive %	Num Positive per mm^2	Area µm^2	Perimeter µm
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 2.ome.tif	ff02e50c-32f6-44bc-91bf-e9696dc57e76	root	root	Image	Geometry	5310	3549.6	997	0	NaN	1333	889	444	33.31	9.289	47800542.9	36705.8
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 2.ome.tif	bb1eb1ab-af76-4685-a412-dd1867f973b3	grey	grey	root	Geometry	5335.4	3476.5	8	0	997	1332	889	443	33.26	10.29	43040834.4	95980.7
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 2.ome.tif	8ccc07de-f8ec-4d81-9d90-5135975a7745	CB	CB	grey	Geometry	3549.8	5917.4	512	0	8	0	0	0	NaN	0	1135.2	507.02
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 2.ome.tif	4e2ba109-7c94-4bfe-ac8c-e58882ab2280	CH	CH	grey	Geometry	5359.1	3518	567	0	8	0	0	0	NaN	0	25797904.7	59379.1
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 2.ome.tif	e0a0f675-0c14-46b0-af30-f18cc934cf0a	CTX	CTX	CH	Geometry	5359.1	3518	688	0	567	0	0	0	NaN	0	25797904.7	59379.1
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 2.ome.tif	ee41a44b-2fa0-47ff-b644-d9908815bb4f	CTXpl	CTXpl	CTX	Geometry	5346.8	3475.7	695	0	688	0	0	0	NaN	0	25366360	62692.9
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 2.ome.tif	ca97b340-a574-46e2-b518-16ea41e18c36	HPF	HPF	CTXpl	Geometry	5048.7	3968.9	1089	0	695	0	0	0	NaN	0	14087714.8	36119.2
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 2.ome.tif	6680c359-8fcd-4b8f-9a51-f87ae2e03c7c	HIP	HIP	HPF	Geometry	6733.4	4246.8	1080	0	1089	0	0	0	NaN	0	6243389.7	15533.3
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 2.ome.tif	630919c9-d1f7-4379-bd3f-c025a045807d	DG	DG	HIP	Geometry	5169.1	4093	726	0	1080	0	0	0	NaN	0	3136507	16084
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 2.ome.tif	d206e45f-3648-465a-9274-48079f598855	DG-sg	DG-sg	DG	Geometry	5236.6	4206.8	632	0	726	0	0	0	NaN	0	719252.7	15666
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 2.ome.tif	f9da849b-8efe-4ffd-9551-b94b509f92c2	DG-mo	DG-mo	DG	Geometry	5061.9	4024.5	10703	0	726	0	0	0	NaN	0	2022590.1	21570.5
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 2.ome.tif	829dd09d-b327-409a-84db-8adc2cfd4a06	DG-po	DG-po	DG	Geometry	5597.5	4236.1	10704	0	726	0	0	0	NaN	0	394365.8	7056.4
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 2.ome.tif	29132ac7-b6c8-4fdd-b7cd-2a1ed6740dbd	CA	CA	HIP	Geometry	8312.6	4402.2	375	0	1080	0	0	0	NaN	0	3106882.6	13045.5
