Image	Object ID	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	ID	Side	Parent ID	Num Detections	Num Negative	Num Positive	Positive %	Num Positive per mm^2	Area µm^2	Perimeter µm
JKBY11.1d_A1_Scan2.qptiff - resolution #1_Region 6.ome.tif	27741584-1d48-46fb-ae4b-f63cc225b4a5	root	root	Image	Geometry	5838.8	3768.3	997	0	NaN	770	713	57	7.403	1.112	51260533.4	37676.7
JKBY11.1d_A1_Scan2.qptiff - resolution #1_Region 6.ome.tif	4b7a7d8f-0c77-4bb8-ab07-6d1eb4a413be	grey	grey	root	Geometry	5861.6	3679.5	8	0	997	770	713	57	7.403	1.241	45918022.7	98534.2
JKBY11.1d_A1_Scan2.qptiff - resolution #1_Region 6.ome.tif	7d8fa523-23e1-4c10-a5b5-1b57318c7508	CH	CH	grey	Geometry	6028.3	3812.6	567	0	8	0	0	0	NaN	0	28809601.9	64695
JKBY11.1d_A1_Scan2.qptiff - resolution #1_Region 6.ome.tif	255981e2-eee9-4751-9a40-dc4d8a83552b	CTX	CTX	CH	Geometry	6028.3	3812.6	688	0	567	0	0	0	NaN	0	28809601.9	64695
JKBY11.1d_A1_Scan2.qptiff - resolution #1_Region 6.ome.tif	fdeede35-b901-4c18-8a15-24b0491920d7	CTXpl	CTXpl	CTX	Geometry	6012.6	3753.6	695	0	688	0	0	0	NaN	0	28122002	66818.2
JKBY11.1d_A1_Scan2.qptiff - resolution #1_Region 6.ome.tif	3ad67b18-3b47-4c16-b06f-e0e022d4a458	HPF	HPF	CTXpl	Geometry	5723.6	4283.2	1089	0	695	0	0	0	NaN	0	14510812.4	35798.4
JKBY11.1d_A1_Scan2.qptiff - resolution #1_Region 6.ome.tif	3381f5a3-eda1-445c-bd44-356b01419ed1	HIP	HIP	HPF	Geometry	6192.6	4627.9	1080	0	1089	0	0	0	NaN	0	8725098.9	19303.5
JKBY11.1d_A1_Scan2.qptiff - resolution #1_Region 6.ome.tif	2606621e-7075-47cd-bfdc-ed50fbb3342c	DG	DG	HIP	Geometry	5318.9	4231.2	726	0	1080	0	0	0	NaN	0	3162744.1	19510.8
JKBY11.1d_A1_Scan2.qptiff - resolution #1_Region 6.ome.tif	4787b413-1320-4ea4-ab69-782069f8ef0c	DG-sg	DG-sg	DG	Geometry	5300.7	4194.6	632	0	726	0	0	0	NaN	0	696209.9	17109.4
JKBY11.1d_A1_Scan2.qptiff - resolution #1_Region 6.ome.tif	da15815a-1e13-467e-a0fd-f7bc633606d2	DG-mo	DG-mo	DG	Geometry	5691.4	4214	10703	0	726	0	0	0	NaN	0	1935884.6	24734.9
