Image	Object ID	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	ID	Side	Parent ID	Num Detections	Num Negative	Num Positive	Positive %	Num Positive per mm^2	Area µm^2	Perimeter µm
JKBY11.1b_A3_Scan1.qptiff - resolution #1_Region 6.ome.tif	61c9a8ea-1225-475e-8b2c-f7054e99415a	root	root	Image	Geometry	4709.8	3106.3	997	0	NaN	1361	274	1087	79.87	30.47	35672265.5	43432.3
JKBY11.1b_A3_Scan1.qptiff - resolution #1_Region 6.ome.tif	a58eb1f9-79c2-4a55-9b69-bfc576a1101e	grey	grey	root	Geometry	4771.7	3011.5	8	0	997	1360	274	1086	79.85	33.86	32069235.3	80022.9
JKBY11.1b_A3_Scan1.qptiff - resolution #1_Region 6.ome.tif	7c8d94a7-1e3e-4d51-937d-293fe0f90e80	CB	CB	grey	Geometry	3393.1	3911.7	512	0	8	0	0	0	NaN	0	76095	3937.5
JKBY11.1b_A3_Scan1.qptiff - resolution #1_Region 6.ome.tif	f17fd3aa-c534-430d-b547-b4fc1d847a63	CH	CH	grey	Geometry	5178.3	3005.2	567	0	8	0	0	0	NaN	0	13955826.8	25819.2
JKBY11.1b_A3_Scan1.qptiff - resolution #1_Region 6.ome.tif	9eadd5df-a2c5-40e3-a203-91800957b34e	CTX	CTX	CH	Geometry	5178.3	3005.2	688	0	567	0	0	0	NaN	0	13955826.8	25819.2
JKBY11.1b_A3_Scan1.qptiff - resolution #1_Region 6.ome.tif	9dfc9121-ee9b-4438-bfc6-041261f1ba8a	CTXpl	CTXpl	CTX	Geometry	5178.3	3005.2	695	0	688	0	0	0	NaN	0	13955826.8	25819.2
JKBY11.1b_A3_Scan1.qptiff - resolution #1_Region 6.ome.tif	616d3766-2fe5-406f-a126-aa478dce66ab	Isocortex	Isocortex	CTXpl	Geometry	6057.4	1725.8	315	0	695	0	0	0	NaN	0	3637657.8	14136.8
JKBY11.1b_A3_Scan1.qptiff - resolution #1_Region 6.ome.tif	80ba9e9c-a445-4822-8f27-15a38a3b57ab	PERI	PERI	Isocortex	Geometry	8463.6	4226	922	0	315	0	0	0	NaN	0	3224.9	326.21
JKBY11.1b_A3_Scan1.qptiff - resolution #1_Region 6.ome.tif	1f7a6068-8d73-4fb1-9aae-6a669ac977a0	PERI1	PERI1	PERI	Geometry	8463.6	4226	540	0	922	0	0	0	NaN	0	3224.9	326.21
JKBY11.1b_A3_Scan1.qptiff - resolution #1_Region 6.ome.tif	fa3184ec-d1b0-4dd1-831f-6407afb0f85a	VIS	VIS	Isocortex	Geometry	6113.2	1819.1	669	0	315	0	0	0	NaN	0	3010875.6	14275.5
JKBY11.1b_A3_Scan1.qptiff - resolution #1_Region 6.ome.tif	fa894d9e-1f7a-4194-a065-a57073b93fd5	VISpor	VISpor	VIS	Geometry	7598	3064	312782628	0	669	0	0	0	NaN	0	811279.5	5321.9
JKBY11.1b_A3_Scan1.qptiff - resolution #1_Region 6.ome.tif	7abf0a0b-58f1-4975-bf32-29da1eefaef2	VISpor2/3	VISpor2/3	VISpor	Geometry	7982.4	3197.5	312782636	0	312782628	0	0	0	NaN	0	323866.5	3950.8
JKBY11.1b_A3_Scan1.qptiff - resolution #1_Region 6.ome.tif	7ead892b-80df-4974-8a9b-fcbb517d7063	VISpor1	VISpor1	VISpor	Geometry	6721.5	2734.3	312782632	0	312782628	0	0	0	NaN	0	262106.4	4877.7
JKBY11.1b_A3_Scan1.qptiff - resolution #1_Region 6.ome.tif	d88794d1-c946-4819-a5ec-d49ebe374662	VISpor5	VISpor5	VISpor	Geometry	8064.7	3258.6	312782644	0	312782628	0	0	0	NaN	0	223793.1	2391.3
JKBY11.1b_A3_Scan1.qptiff - resolution #1_Region 6.ome.tif	086b6b94-b403-489e-b7f4-30205eae8730	VISpor4	VISpor4	VISpor	Geometry	8108.5	2837.1	312782640	0	312782628	0	0	0	NaN	0	1513.4	155.43
JKBY11.1b_A3_Scan1.qptiff - resolution #1_Region 6.ome.tif	cb5e1d17-9e1d-4150-8cb0-b0e7f0ca5b8a	VISp	VISp	VIS	Geometry	6290.3	1260.3	385	0	669	0	0	0	NaN	0	1113173.9	6775.4
JKBY11.1b_A3_Scan1.qptiff - resolution #1_Region 6.ome.tif	e9873293-91a1-47cf-9940-0274efbfeed2	VISp5	VISp5	VISp	Geometry	7501.2	1963.2	778	0	385	0	0	0	NaN	0	147148.3	2067.4
JKBY11.1b_A3_Scan1.qptiff - resolution #1_Region 6.ome.tif	59c2bb35-29e7-4671-b162-cab2adc810a9	VISp2/3	VISp2/3	VISp	Geometry	6600.7	1343.7	821	0	385	0	0	0	NaN	0	356497.8	4549.3
JKBY11.1b_A3_Scan1.qptiff - resolution #1_Region 6.ome.tif	62a651a8-e675-46bd-b382-147cafe1f440	VISp1	VISp1	VISp	Geometry	5263.8	803.05	593	0	385	0	0	0	NaN	0	462884.2	6542.9
JKBY11.1b_A3_Scan1.qptiff - resolution #1_Region 6.ome.tif	af815020-92d7-439b-9d52-79df36f97027	VISp4	VISp4	VISp	Geometry	7560.9	1795.9	721	0	385	0	0	0	NaN	0	146643.5	2514.5
JKBY11.1b_A3_Scan1.qptiff - resolution #1_Region 6.ome.tif	a808e746-b42d-4b46-88a7-4f9e4a03dea2	VISl	VISl	VIS	Geometry	8129.6	2277.6	409	0	669	0	0	0	NaN	0	51492.7	1089.1
JKBY11.1b_A3_Scan1.qptiff - resolution #1_Region 6.ome.tif	3304112e-9bd5-4217-b452-b889f88c161c	VISl1	VISl1	VISl	Geometry	8170.8	2270.1	421	0	409	0	0	0	NaN	0	32788.7	877.33
JKBY11.1b_A3_Scan1.qptiff - resolution #1_Region 6.ome.tif	365ec41f-801c-40cd-a728-af5ce4566e1d	VISl2/3	VISl2/3	VISl	Geometry	8057.4	2290.7	973	0	409	0	0	0	NaN	0	18704	660.06
JKBY11.1b_A3_Scan1.qptiff - resolution #1_Region 6.ome.tif	3ac9812c-c0e1-4e21-8815-a4c573f3f099	VISpl	VISpl	VIS	Geometry	4658.5	1421.6	425	0	669	0	0	0	NaN	0	1034929.6	7384.2
JKBY11.1b_A3_Scan1.qptiff - resolution #1_Region 6.ome.tif	16d09a05-ab58-4f90-ae3d-d8718f5b6a93	VISpl2/3	VISpl2/3	VISpl	Geometry	2852.7	782.43	269	0	425	0	0	0	NaN	0	399801.5	4258.3
JKBY11.1b_A3_Scan1.qptiff - resolution #1_Region 6.ome.tif	b0395e83-81c3-4b0c-8b70-650a8ea3ec47	VISpl4	VISpl4	VISpl	Geometry	7967.3	2508.3	869	0	425	0	0	0	NaN	0	37808.8	1200.6
JKBY11.1b_A3_Scan1.qptiff - resolution #1_Region 6.ome.tif	843fa533-6a5e-46d1-a465-d9c58e799597	VISpl6a	VISpl6a	VISpl	Geometry	7518.3	2500.1	377	0	425	0	0	0	NaN	0	120447.7	1993.9
JKBY11.1b_A3_Scan1.qptiff - resolution #1_Region 6.ome.tif	7a541a31-e22f-4959-908d-8625c2976b63	VISpl5	VISpl5	VISpl	Geometry	7693.9	2496.9	902	0	425	0	0	0	NaN	0	244419.2	3097.7
JKBY11.1b_A3_Scan1.qptiff - resolution #1_Region 6.ome.tif	9395b292-743a-4adf-8f10-d0a7d28612c6	VISpl1	VISpl1	VISpl	Geometry	2552.9	654.66	750	0	425	0	0	0	NaN	0	232452.6	4163.7
JKBY11.1b_A3_Scan1.qptiff - resolution #1_Region 6.ome.tif	33fbfb0e-fffd-4d60-9b94-2e7d8688c6f9	RSP	RSP	Isocortex	Geometry	5775.4	1261.9	254	0	315	0	0	0	NaN	0	623557.4	6822.2
JKBY11.1b_A3_Scan1.qptiff - resolution #1_Region 6.ome.tif	4f58eb65-7b9e-4a91-b92d-465d85df898c	RSPd	RSPd	RSP	Geometry	6597.7	1712.4	879	0	254	0	0	0	NaN	0	216172.1	3854.7
JKBY11.1b_A3_Scan1.qptiff - resolution #1_Region 6.ome.tif	d7f64da8-a6a7-42f7-8791-401930453d58	RSPd6a	RSPd6a	RSPd	Geometry	7245.3	2314.5	274	0	879	0	0	0	NaN	0	1879.4	194.87
JKBY11.1b_A3_Scan1.qptiff - resolution #1_Region 6.ome.tif	cb10eb2e-b3e5-447d-ad14-226a957fe5ec	RSPd5	RSPd5	RSPd	Geometry	7124.8	2029.9	610	0	879	0	0	0	NaN	0	53239.1	1357.5
JKBY11.1b_A3_Scan1.qptiff - resolution #1_Region 6.ome.tif	af8b0f53-2bce-4f80-9f7e-f183d3d68ad8	RSPd2/3	RSPd2/3	RSPd	Geometry	7001.4	1770.9	434	0	879	0	0	0	NaN	0	62831.1	1530.9
JKBY11.1b_A3_Scan1.qptiff - resolution #1_Region 6.ome.tif	d57cbf04-1f8d-4083-ab3a-287f6e1a425b	RSPd1	RSPd1	RSPd	Geometry	6041.3	1491.4	442	0	879	0	0	0	NaN	0	98222.5	3052.1
JKBY11.1b_A3_Scan1.qptiff - resolution #1_Region 6.ome.tif	7bb7b276-d921-4290-9fdc-c24085eef058	RSPagl	RSPagl	RSP	Geometry	5339.1	1022.8	894	0	254	0	0	0	NaN	0	407385.3	4930.3
JKBY11.1b_A3_Scan1.qptiff - resolution #1_Region 6.ome.tif	30f2977d-5793-4964-8fb7-db1340055d87	RSPagl5	RSPagl5	RSPagl	Geometry	7235.4	1821.5	774	0	894	0	0	0	NaN	0	87924.8	1371
JKBY11.1b_A3_Scan1.qptiff - resolution #1_Region 6.ome.tif	7e2a699b-37a6-4f87-a910-b87476024e57	RSPagl1	RSPagl1	RSPagl	Geometry	4121.8	602.77	671	0	894	0	0	0	NaN	0	223701.3	3189.5
JKBY11.1b_A3_Scan1.qptiff - resolution #1_Region 6.ome.tif	113329cf-b034-4e82-96f0-d0d4adeb3084	RSPagl2/3	RSPagl2/3	RSPagl	Geometry	6441.5	1271.1	965	0	894	0	0	0	NaN	0	95759.3	1996.3
JKBY11.1b_A3_Scan1.qptiff - resolution #1_Region 6.ome.tif	27d06685-eb90-4119-b213-7b94b3580108	HPF	HPF	CTXpl	Geometry	4868.3	3456.2	1089	0	695	0	0	0	NaN	0	10318168.9	21035
JKBY11.1b_A3_Scan1.qptiff - resolution #1_Region 6.ome.tif	f26a32e3-a4c8-4532-9135-b0a267590c97	RHP	RHP	HPF	Geometry	4838	3444.4	822	0	1089	0	0	0	NaN	0	10197695.1	23187.7
JKBY11.1b_A3_Scan1.qptiff - resolution #1_Region 6.ome.tif	1f68e497-8f27-4dcc-973e-1333d678d8e7	PAR	PAR	RHP	Geometry	5574.8	3188.9	843	0	822	0	0	0	NaN	0	1302968.8	11124.5
JKBY11.1b_A3_Scan1.qptiff - resolution #1_Region 6.ome.tif	0d3b9b39-8d04-4f70-a4ca-39c551bd1cb1	ENT	ENT	RHP	Geometry	4600.4	3489.9	909	0	822	0	0	0	NaN	0	8408257	25557.8
JKBY11.1b_A3_Scan1.qptiff - resolution #1_Region 6.ome.tif	2d152da1-4683-4149-954c-a93487b30823	ENTl	ENTl	ENT	Geometry	6952.5	4566.2	918	0	909	0	0	0	NaN	0	2957430.4	11332.4
JKBY11.1b_A3_Scan1.qptiff - resolution #1_Region 6.ome.tif	bcbb58f0-190f-4ef9-af7d-ba0a2a9588c9	ENTl2	ENTl2	ENTl	Geometry	6449.8	4562.9	20	0	918	0	0	0	NaN	0	669400.7	8283.3
JKBY11.1b_A3_Scan1.qptiff - resolution #1_Region 6.ome.tif	1e3fe9c9-3ca6-4c60-93dd-1b9fdaa3d875	ENTl6a	ENTl6a	ENTl	Geometry	7577.8	4465	28	0	918	0	0	0	NaN	0	843483.7	6091.9
JKBY11.1b_A3_Scan1.qptiff - resolution #1_Region 6.ome.tif	246f614a-966d-4a9e-9f8f-6622c92ecc01	ENTl3	ENTl3	ENTl	Geometry	7825.7	5062.2	52	0	918	0	0	0	NaN	0	429479.9	5637
JKBY11.1b_A3_Scan1.qptiff - resolution #1_Region 6.ome.tif	965f5bff-b9b4-4393-ab01-fc54bb509165	ENTl1	ENTl1	ENTl	Geometry	4966.4	4051.4	1121	0	918	0	0	0	NaN	0	488677.8	8921.7
JKBY11.1b_A3_Scan1.qptiff - resolution #1_Region 6.ome.tif	0c5bd8cf-9fca-400d-b087-5c2073ff4aac	ENTl5	ENTl5	ENTl	Geometry	7721.3	4806.6	139	0	918	0	0	0	NaN	0	526387.4	6377.1
