Image	Object ID	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	ID	Side	Parent ID	Num Detections	Num Negative	Num Positive	Positive %	Num Positive per mm^2	Area µm^2	Perimeter µm
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 5.ome.tif	e3aadc61-a33f-4e4b-8086-06bf04b35591	root	root	Image	Geometry	5094.1	3603	997	0	NaN	2207	504	1703	77.16	38.64	44068472.2	39395.6
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 5.ome.tif	96fdfe95-88fe-4aeb-a2f9-d12d336d6975	grey	grey	root	Geometry	5073.4	3526.4	8	0	997	2207	504	1703	77.16	42.3	40258693.7	88609.9
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 5.ome.tif	6a86514c-f5ea-43fe-aa7f-fe05c2163616	CB	CB	grey	Geometry	3690.8	5512	512	0	8	0	0	0	NaN	0	56091.1	3824.3
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 5.ome.tif	595513ae-1d43-4d82-b8ba-6768080eb763	CH	CH	grey	Geometry	5079.1	3619.1	567	0	8	0	0	0	NaN	0	22747490.1	50567.3
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 5.ome.tif	e3c6cb90-d077-4b7d-b564-f222c5835a4c	CTX	CTX	CH	Geometry	5079.1	3619.1	688	0	567	0	0	0	NaN	0	22747490.1	50567.3
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 5.ome.tif	e11e5cf5-28ca-4714-9440-1be2c0a3e0f2	CTXpl	CTXpl	CTX	Geometry	5059.5	3604.2	695	0	688	0	0	0	NaN	0	22589763.7	51859.6
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 5.ome.tif	4e899042-4aae-489e-8dbe-8e695deb37cd	HPF	HPF	CTXpl	Geometry	4634.7	4291.7	1089	0	695	0	0	0	NaN	0	13027531	33721.4
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 5.ome.tif	02ace408-2b24-4ee6-a4c1-635511f1c6d1	HIP	HIP	HPF	Geometry	7713.8	4620.1	1080	0	1089	0	0	0	NaN	0	3082769.2	9537
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 5.ome.tif	69e6e31c-bc1b-47bc-bc6a-c35af7b93877	DG	DG	HIP	Geometry	7126.8	4465.5	726	0	1080	0	0	0	NaN	0	1672725.5	7263.4
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 5.ome.tif	3b967d4f-be60-4dd2-9906-bc23ddab82fd	DG-sg	DG-sg	DG	Geometry	7792.6	4429.5	632	0	726	0	0	0	NaN	0	351002.2	6335.8
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 5.ome.tif	c5c49d6e-43a2-454f-bbab-e45b16217a5d	DG-mo	DG-mo	DG	Geometry	6752	4426.9	10703	0	726	0	0	0	NaN	0	1039119.1	11003.3
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 5.ome.tif	8572aa51-e267-4c2c-b26f-53c434def914	DG-po	DG-po	DG	Geometry	7678.2	4651.7	10704	0	726	0	0	0	NaN	0	282436.4	2595.7
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 5.ome.tif	3c3baa86-f746-4ab6-8e55-8a1b26c8d661	CA	CA	HIP	Geometry	8410.5	4803.7	375	0	1080	0	0	0	NaN	0	1410065.7	5593.5
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 5.ome.tif	b6a35cc7-36b3-461a-a21e-6efa861bfb19	CA1	CA1	CA	Geometry	8410.5	4803.7	382	0	375	0	0	0	NaN	0	1410065.7	5593.5
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 5.ome.tif	a8481247-15f4-4ab8-bd95-3cf485b27844	RHP	RHP	HPF	Geometry	3786.1	4251.4	822	0	1089	0	0	0	NaN	0	9360680.2	32096.3
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 5.ome.tif	5e797231-6178-478a-aeb8-09cf1b094951	ProS	ProS	RHP	Geometry	8647.2	3561.6	484682470	0	822	0	0	0	NaN	0	594119.8	3374.5
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 5.ome.tif	0b537dda-1365-4670-b5fc-e643f7e3ef2c	POST	POST	RHP	Geometry	4862.6	2494.4	1037	0	822	0	0	0	NaN	0	1014221.6	5959.8
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 5.ome.tif	085c2505-b307-43ef-bb8f-ccad70e50667	PRE	PRE	RHP	Geometry	3205.6	3775.3	1084	0	822	0	0	0	NaN	0	1545973.2	7915.3
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 5.ome.tif	99c96f8e-d440-4724-83be-0afd36ed09d9	HATA	HATA	RHP	Geometry	4112.8	5595.9	589508447	0	822	0	0	0	NaN	0	431755.4	3888.6
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 5.ome.tif	3b7c26c2-6b71-423b-836e-ff3db067aa3a	ENT	ENT	RHP	Geometry	3349.2	4959.5	909	0	822	0	0	0	NaN	0	3806705.6	15251
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 5.ome.tif	c87b90d0-05aa-498c-9814-c30ca52ed27a	ENTl	ENTl	ENT	Geometry	3703.9	4867.9	918	0	909	0	0	0	NaN	0	3076879.9	11522.7
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 5.ome.tif	2cdcbd41-2f56-4869-bc06-58bc8fedda16	ENTl2	ENTl2	ENTl	Geometry	3761.7	4976.4	20	0	918	0	0	0	NaN	0	749588.5	8210.9
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 5.ome.tif	d15d7a1f-cde8-425a-aff5-33b2acd47118	ENTl6a	ENTl6a	ENTl	Geometry	2863.8	4597.1	28	0	918	0	0	0	NaN	0	656430.9	8520.9
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 5.ome.tif	552c3a27-81b9-4a51-8605-3fff477df4b7	ENTl3	ENTl3	ENTl	Geometry	4053.9	4922.1	52	0	918	0	0	0	NaN	0	601973.1	7979
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 5.ome.tif	363eeeb9-7249-490f-86d3-d44a7b55a802	ENTl1	ENTl1	ENTl	Geometry	3745.6	5016.3	1121	0	918	0	0	0	NaN	0	407007.2	7927.5
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 5.ome.tif	266b8b79-6f9c-4d5e-826a-3a617041e05f	ENTl5	ENTl5	ENTl	Geometry	4127.4	4873.2	139	0	918	0	0	0	NaN	0	661880.2	7811.1
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 5.ome.tif	724290c0-c3ef-4701-86ff-154b30c4b418	ENTm	ENTm	ENT	Geometry	1854.1	5345.7	926	0	909	0	0	0	NaN	0	729825.6	5373.3
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 5.ome.tif	5e840569-0508-49f9-a240-aab293bd688b	ENTm1	ENTm1	ENTm	Geometry	1742.9	6036.9	526	0	926	0	0	0	NaN	0	128123	2940.7
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 5.ome.tif	bbd51219-32a1-476d-8c31-da6dcadcad9b	ENTm2	ENTm2	ENTm	Geometry	1881.8	5967.5	543	0	926	0	0	0	NaN	0	162760.9	2979.9
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 5.ome.tif	7c207b7c-44b5-420b-bd66-1c847baf0c02	ENTm3	ENTm3	ENTm	Geometry	1842.3	5861	664	0	926	0	0	0	NaN	0	115047.2	2384.6
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 5.ome.tif	56972ac2-3d8f-45c6-82e3-fbdf0a718f2e	ENTm5	ENTm5	ENTm	Geometry	1876.2	5763.9	727	0	926	0	0	0	NaN	0	108771.1	1873.4
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 5.ome.tif	2b5de678-675e-4c8f-b0ff-2a9a2662f3cc	ENTm6	ENTm6	ENTm	Geometry	1894.8	3976.6	743	0	926	0	0	0	NaN	0	215123.5	3221.3
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 5.ome.tif	639a1d6f-33cf-4fec-b984-3f4e6c89f625	APr	APr	RHP	Geometry	3994.3	2008.3	484682508	0	822	0	0	0	NaN	0	187060.9	2738.5
