Image	Object ID	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	ID	Side	Parent ID	Num Detections	Num Negative	Num Positive	Positive %	Num Positive per mm^2	Area µm^2	Perimeter µm
JKBY11.1b_A3_Scan1.qptiff - resolution #1_Region 1.ome.tif	46b21b97-3a08-4ed9-87c8-c709f8743077	root	root	Image	Geometry	4789.7	3510.3	997	0	NaN	478	87	391	81.8	8.735	44762772.6	42829.2
JKBY11.1b_A3_Scan1.qptiff - resolution #1_Region 1.ome.tif	0f1f00a7-a89c-4e11-aedd-6d06caf9775a	grey	grey	root	Geometry	4754.1	3426.4	8	0	997	478	87	391	81.8	9.598	40737134.6	84832.5
JKBY11.1b_A3_Scan1.qptiff - resolution #1_Region 1.ome.tif	50581646-242a-4441-9af1-706caaf882e1	CB	CB	grey	Geometry	4435.9	5174.4	512	0	8	0	0	0	NaN	0	120170.5	5101.5
JKBY11.1b_A3_Scan1.qptiff - resolution #1_Region 1.ome.tif	76fc2cdc-1f88-49a6-a500-b7086ea72bc1	CH	CH	grey	Geometry	4739	3516.3	567	0	8	0	0	0	NaN	0	24372882.3	44125.5
JKBY11.1b_A3_Scan1.qptiff - resolution #1_Region 1.ome.tif	6a1d0350-2a09-42ed-ab8d-438346f75494	CTX	CTX	CH	Geometry	4739	3516.3	688	0	567	0	0	0	NaN	0	24372882.3	44125.5
JKBY11.1b_A3_Scan1.qptiff - resolution #1_Region 1.ome.tif	6dcdb088-6f79-4804-8b87-ea290a9bdeaa	CTXpl	CTXpl	CTX	Geometry	4725.6	3504.7	695	0	688	0	0	0	NaN	0	24241695	45473.1
JKBY11.1b_A3_Scan1.qptiff - resolution #1_Region 1.ome.tif	30c2bebd-0742-4fbd-a39e-dd4eb6bb22ac	Isocortex	Isocortex	CTXpl	Geometry	5439.1	1880.1	315	0	695	0	0	0	NaN	0	7326965.5	21714.1
JKBY11.1b_A3_Scan1.qptiff - resolution #1_Region 1.ome.tif	62c84be3-7679-4515-af09-b8599452362d	TEa	TEa	Isocortex	Geometry	9335.8	3366.7	541	0	315	0	0	0	NaN	0	362047.8	3090
JKBY11.1b_A3_Scan1.qptiff - resolution #1_Region 1.ome.tif	aa59973a-07e5-4b33-ae3a-ce8ac43320fe	TEa5	TEa5	TEa	Geometry	9092.8	3423.8	289	0	541	0	0	0	NaN	0	67009.9	1295.6
JKBY11.1b_A3_Scan1.qptiff - resolution #1_Region 1.ome.tif	221b8f3a-5751-433b-aefb-6ce1fe2d4d57	TEa1	TEa1	TEa	Geometry	9493.6	3336.2	97	0	541	0	0	0	NaN	0	117311.2	2319
