Region,Global slice index,TRAPed_alsoVgat,TRAPed_alsoVglut
dlPAG,Slice 0,0.505,0.935
dlPAG,Slice 1,0.585,0.76
dlPAG,Slice 2,0.995,0.96
dlPAG,Slice 3,0.16,0.19
dlPAG,Slice 4,0.615,0.675
dlPAG,Slice 5,0.23,1.26
dlPAG,Slice 6,0.53,0.6950000000000001
dlPAG,Slice 7,0.96,0.795
dlPAG,Slice 8,0.86,0.99
dmPAG,Slice 0,0.605,1.005
dmPAG,Slice 1,0.65,0.86
dmPAG,Slice 2,0.9650000000000001,1.03
dmPAG,Slice 3,0.155,0.165
dmPAG,Slice 4,0.59,0.755
dmPAG,Slice 5,0.3,1.37
dmPAG,Slice 6,0.485,0.76
dmPAG,Slice 7,0.875,0.935
dmPAG,Slice 8,0.3,1.15
lPAG,Slice 0,0.635,0.9
lPAG,Slice 1,0.68,0.71
lPAG,Slice 2,1.07,0.9450000000000001
lPAG,Slice 3,0.195,0.235
lPAG,Slice 4,0.73,0.775
lPAG,Slice 5,0.38,1.24
lPAG,Slice 6,0.8400000000000001,0.85
lPAG,Slice 7,0.7749999999999999,0.88
lPAG,Slice 8,0.88,1.03
vlPAG,Slice 0,0.745,1.115
vlPAG,Slice 1,0.645,0.675
vlPAG,Slice 2,1.08,0.975
vlPAG,Slice 3,0.435,0.5449999999999999
vlPAG,Slice 4,0.8049999999999999,0.78
vlPAG,Slice 5,1.22,0.6
vlPAG,Slice 6,0.735,0.8600000000000001
vlPAG,Slice 7,0.8,0.96
vlPAG,Slice 8,0.74,1.21
