Image	Object ID	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	ID	Parent ID	Side	Num Detections	Num Negative	Num Positive	Positive %	Num Positive per mm^2	Area µm^2	Perimeter µm
JKAY11.2g_TRAP_retr_RNAScope_A2_Scan1_[5256,38764]_component_data_merged_Region 2.ome.tif	66a05cd4-c865-4230-a2f5-70d63efeb5ba	421	421	409	Geometry	5652.5	1031.5	421	409	0	0	0	0	NaN	0	98297.1	2432.9
JKAY11.2g_TRAP_retr_RNAScope_A2_Scan1_[5256,38764]_component_data_merged_Region 2.ome.tif	484e4aa6-a418-4c11-b16a-ff9e0c03f730	dlPAG-l		Image	Polygon	5406.5	2420.3	NaN	NaN	NaN	78	70	8	10.26	44.28	180658.2	1911.5
JKAY11.2g_TRAP_retr_RNAScope_A2_Scan1_[5256,38764]_component_data_merged_Region 2.ome.tif	d0fc19da-d333-4bda-bd3b-535e368a8d4d	894	894	254	Geometry	5387.6	557.02	894	254	0	0	0	0	NaN	0	390332.4	6439.5
JKAY11.2g_TRAP_retr_RNAScope_A2_Scan1_[5256,38764]_component_data_merged_Region 2.ome.tif	bd0c22fa-3a88-49a3-ba94-1c4472ba6d4d	443	443	618	Geometry	5761.4	1725.7	443	618	0	0	0	0	NaN	0	457895	5026.3
JKAY11.2g_TRAP_retr_RNAScope_A2_Scan1_[5256,38764]_component_data_merged_Region 2.ome.tif	8c1b5e68-f7e3-4950-aa24-2697dd19f6f4	591	591	165	Geometry	6116.1	3741.7	591	165	0	0	0	0	NaN	0	74537.4	1223.9
JKAY11.2g_TRAP_retr_RNAScope_A2_Scan1_[5256,38764]_component_data_merged_Region 2.ome.tif	ae484425-a43c-4154-962b-d46351859325	62	62	832	Geometry	6080.6	3560.7	62	832	0	0	0	0	NaN	0	38967.9	1472.1
JKAY11.2g_TRAP_retr_RNAScope_A2_Scan1_[5256,38764]_component_data_merged_Region 2.ome.tif	5e743f7a-26db-4ae3-aba1-2ed1ebdb49c6	78	78	752	Geometry	6554.4	4819.2	78	752	0	0	0	0	NaN	0	679316.8	9430.7
JKAY11.2g_TRAP_retr_RNAScope_A2_Scan1_[5256,38764]_component_data_merged_Region 2.ome.tif	7b14c3f6-342b-43e1-91a0-88a6ac4ef713	901	901	967	Geometry	6580.1	5129.3	901	967	0	0	0	0	NaN	0	902414.5	8058.4
JKAY11.2g_TRAP_retr_RNAScope_A2_Scan1_[5256,38764]_component_data_merged_Region 2.ome.tif	882dd78d-42b7-4022-ba7a-ca530e24cc9d	482	482	948	Geometry	5954.6	2277.2	482	948	0	0	0	0	NaN	0	129944.6	3042.2
JKAY11.2g_TRAP_retr_RNAScope_A2_Scan1_[5256,38764]_component_data_merged_Region 2.ome.tif	b597ff19-22e6-4868-8d72-281886c63928	lPAG-r		Image	Polygon	6381.9	2571.6	NaN	NaN	NaN	276	273	3	1.087	12.4	241939.4	2066
JKAY11.2g_TRAP_retr_RNAScope_A2_Scan1_[5256,38764]_component_data_merged_Region 2.ome.tif	db5e2f22-5d74-41d7-a91b-73e72cc85a6e	533	533	669	Geometry	5357.6	396.08	533	669	0	0	0	0	NaN	0	75685	1935.8
JKAY11.2g_TRAP_retr_RNAScope_A2_Scan1_[5256,38764]_component_data_merged_Region 2.ome.tif	3d9b126a-b76c-4a49-b914-2b6d836afb89	vlPAG-r		Image	Polygon	6290.7	2986.1	NaN	NaN	NaN	608	452	156	25.66	530.16	294252	2150.8
JKAY11.2g_TRAP_retr_RNAScope_A2_Scan1_[5256,38764]_component_data_merged_Region 2.ome.tif	f2944bb0-9e38-4d51-97da-b182d8fcda39	20	20	918	Geometry	6389.7	3720.9	20	918	0	0	0	0	NaN	0	860378.4	9899.3
JKAY11.2g_TRAP_retr_RNAScope_A2_Scan1_[5256,38764]_component_data_merged_Region 2.ome.tif	bf808dbd-cf46-4240-bfae-fec1725fab3d	679	679	1117	Geometry	6164.2	4537.9	679	1117	0	0	0	0	NaN	0	591910	3497.3
JKAY11.2g_TRAP_retr_RNAScope_A2_Scan1_[5256,38764]_component_data_merged_Region 2.ome.tif	43c835a9-10e0-4bc0-b310-ae457b3d7a16	305	305	385	Geometry	5599.7	1335.6	305	385	0	0	0	0	NaN	0	71013.6	4787.3
JKAY11.2g_TRAP_retr_RNAScope_A2_Scan1_[5256,38764]_component_data_merged_Region 2.ome.tif	cd7c1170-3e73-4f71-b05c-b40791527343	466	466	1099	Geometry	6137.9	2679.9	466	1099	0	0	0	0	NaN	0	184921.7	11756
JKAY11.2g_TRAP_retr_RNAScope_A2_Scan1_[5256,38764]_component_data_merged_Region 2.ome.tif	98f5554c-a861-4271-9c28-84199ffdf380	430	430	886	Geometry	5425.3	1355.1	430	886	0	0	0	0	NaN	0	8379.1	614.05
JKAY11.2g_TRAP_retr_RNAScope_A2_Scan1_[5256,38764]_component_data_merged_Region 2.ome.tif	ccc2f84c-6cd0-4199-9d49-b8e71a74c82c	933	933	967	Geometry	6312.2	3410	933	967	0	0	0	0	NaN	0	381883.4	10429
JKAY11.2g_TRAP_retr_RNAScope_A2_Scan1_[5256,38764]_component_data_merged_Region 2.ome.tif	61972e6b-d74a-4628-9bdc-be2d5650d21e	752	752	960	Geometry	6496.4	4699.9	752	960	0	0	0	0	NaN	0	790414.4	11180.4
JKAY11.2g_TRAP_retr_RNAScope_A2_Scan1_[5256,38764]_component_data_merged_Region 2.ome.tif	450a4252-1e8f-4531-9f64-674fa7c90e24	409	409	669	Geometry	5707.3	1313.2	409	669	0	0	0	0	NaN	0	770236.8	5343.5
JKAY11.2g_TRAP_retr_RNAScope_A2_Scan1_[5256,38764]_component_data_merged_Region 2.ome.tif	695f08f9-1bd8-4879-966d-d3317b03f6f1	543	543	926	Geometry	6560.1	4614.7	543	926	0	0	0	0	NaN	0	300460.8	5731.9
JKAY11.2g_TRAP_retr_RNAScope_A2_Scan1_[5256,38764]_component_data_merged_Region 2.ome.tif	a6e3cb05-3be7-48e3-9e1d-1061423bc365	771	771	1065	Geometry	6300	5036.9	771	1065	0	0	0	0	NaN	0	6726618.1	19232.2
JKAY11.2g_TRAP_retr_RNAScope_A2_Scan1_[5256,38764]_component_data_merged_Region 2.ome.tif	49000a90-1468-4afb-82a7-88df0e841fb0	254	254	315	Geometry	5409.9	795.14	254	315	0	0	0	0	NaN	0	1373832.2	7827.2
JKAY11.2g_TRAP_retr_RNAScope_A2_Scan1_[5256,38764]_component_data_merged_Region 2.ome.tif	32b35315-1b89-4415-ad1b-a1e25d76859b	848	848	967	Geometry	5578.1	1791.3	848	967	0	0	0	0	NaN	0	17310.7	1810.6
JKAY11.2g_TRAP_retr_RNAScope_A2_Scan1_[5256,38764]_component_data_merged_Region 2.ome.tif	f5bd7827-3bfc-4480-971f-f31c021ddf60	312782578	312782578	312782574	Geometry	5747.2	1285.2	312782578	312782574	0	0	0	0	NaN	0	51001.3	1475.7
JKAY11.2g_TRAP_retr_RNAScope_A2_Scan1_[5256,38764]_component_data_merged_Region 2.ome.tif	bb6c512b-b951-4f3d-bf51-f1c74cfe5f71	128	128	323	Geometry	6005.4	3210.6	128	323	0	0	0	0	NaN	0	2515579	10999.1
JKAY11.2g_TRAP_retr_RNAScope_A2_Scan1_[5256,38764]_component_data_merged_Region 2.ome.tif	ec5bdb2e-da38-4700-b6ef-a9ecca64ee5c	692	692	922	Geometry	6127.1	2501.9	692	922	0	0	0	0	NaN	0	43307.8	1432
JKAY11.2g_TRAP_retr_RNAScope_A2_Scan1_[5256,38764]_component_data_merged_Region 2.ome.tif	266ec172-17f2-4f22-9f37-81d54d0522d0	1065	1065	343	Geometry	6300	5036.9	1065	343	0	0	0	0	NaN	0	6726618.1	19232.2
JKAY11.2g_TRAP_retr_RNAScope_A2_Scan1_[5256,38764]_component_data_merged_Region 2.ome.tif	399281b7-8e12-4503-9736-4ed3a80ff1dc	971	971	776	Geometry	5631.3	1440.6	971	776	0	0	0	0	NaN	0	114759.3	4816.5
JKAY11.2g_TRAP_retr_RNAScope_A2_Scan1_[5256,38764]_component_data_merged_Region 2.ome.tif	1f0f2f99-feed-4487-9d6e-08320c28f522	526	526	926	Geometry	6572.3	4732.8	526	926	0	0	0	0	NaN	0	317638.9	6433.5
JKAY11.2g_TRAP_retr_RNAScope_A2_Scan1_[5256,38764]_component_data_merged_Region 2.ome.tif	868e2545-7032-47ea-80b5-427fc9d36ce0	967	967	1009	Geometry	6452.8	4598.8	967	1009	0	0	0	0	NaN	0	1434762	23443.6
JKAY11.2g_TRAP_retr_RNAScope_A2_Scan1_[5256,38764]_component_data_merged_Region 2.ome.tif	c3b529b7-5526-416a-9c50-8b4e14a510ad	593	593	385	Geometry	5429.7	551.81	593	385	0	0	0	0	NaN	0	422447.9	9089.4
JKAY11.2g_TRAP_retr_RNAScope_A2_Scan1_[5256,38764]_component_data_merged_Region 2.ome.tif	539dc989-77f1-44db-a371-6ee24ebf04ca	822	822	1089	Geometry	6265.3	3234.6	822	1089	0	0	0	0	NaN	0	10968184.2	29341.3
JKAY11.2g_TRAP_retr_RNAScope_A2_Scan1_[5256,38764]_component_data_merged_Region 2.ome.tif	281cadd6-76c4-455d-963f-af0109160256	795	795	323	Geometry	5845.1	2677.8	795	323	0	1816	1487	329	18.12	186.28	1766169.1	6578.6
JKAY11.2g_TRAP_retr_RNAScope_A2_Scan1_[5256,38764]_component_data_merged_Region 2.ome.tif	bbbb9c0a-8f38-4d5c-a0b8-be649ecdca45	922	922	315	Geometry	6139.9	2556.4	922	315	0	0	0	0	NaN	0	185090.3	3215.3
JKAY11.2g_TRAP_retr_RNAScope_A2_Scan1_[5256,38764]_component_data_merged_Region 2.ome.tif	ecdb1700-cc3a-4128-a1d7-f5c2b887d6fb	743	743	926	Geometry	6508.8	4237.9	743	926	0	0	0	0	NaN	0	140847.6	2064.1
JKAY11.2g_TRAP_retr_RNAScope_A2_Scan1_[5256,38764]_component_data_merged_Region 2.ome.tif	007989e3-2400-4d8e-8c8f-0b5bf333a1f6	312782648	312782648	312782628	Geometry	5968.9	2046.9	312782648	312782628	0	0	0	0	NaN	0	328056	4741.3
JKAY11.2g_TRAP_retr_RNAScope_A2_Scan1_[5256,38764]_component_data_merged_Region 2.ome.tif	b16cf096-26ff-4205-b187-9057f0e7a4ec	315	315	695	Geometry	5630.6	1218.9	315	695	0	0	0	0	NaN	0	7590760.3	21505.7
JKAY11.2g_TRAP_retr_RNAScope_A2_Scan1_[5256,38764]_component_data_merged_Region 2.ome.tif	038975d2-393e-45f8-87f9-a7e6a5da35cf	312782640	312782640	312782628	Geometry	5923.2	1845.2	312782640	312782628	0	0	0	0	NaN	0	129363.4	3538.2
JKAY11.2g_TRAP_retr_RNAScope_A2_Scan1_[5256,38764]_component_data_merged_Region 2.ome.tif	4f84c4d5-27d0-49f5-a85e-d4ac892a641b	610	610	879	Geometry	5403.5	960.35	610	879	0	0	0	0	NaN	0	273531.6	4757
JKAY11.2g_TRAP_retr_RNAScope_A2_Scan1_[5256,38764]_component_data_merged_Region 2.ome.tif	39525e65-fa92-474b-9d4b-3721b12d6bba	348	348	313	Geometry	6253.6	3713.6	348	313	0	0	0	0	NaN	0	589672.3	4954.9
JKAY11.2g_TRAP_retr_RNAScope_A2_Scan1_[5256,38764]_component_data_merged_Region 2.ome.tif	d8161368-d113-4b3e-a70e-f0bc03376888	540	540	922	Geometry	6153.3	2618.3	540	922	0	0	0	0	NaN	0	51931.7	1433.5
JKAY11.2g_TRAP_retr_RNAScope_A2_Scan1_[5256,38764]_component_data_merged_Region 2.ome.tif	d6971dee-68d3-47d4-af93-4fbf55dbb575	812	812	326	Geometry	6143.2	3982.4	812	326	0	0	0	0	NaN	0	102100.4	1168.3
JKAY11.2g_TRAP_retr_RNAScope_A2_Scan1_[5256,38764]_component_data_merged_Region 2.ome.tif	e50e2e8e-0439-4843-912f-d37654937673	877	877	1000	Geometry	6149.9	4010.1	877	1000	0	0	0	0	NaN	0	208795.2	3612.9
JKAY11.2g_TRAP_retr_RNAScope_A2_Scan1_[5256,38764]_component_data_merged_Region 2.ome.tif	4398dc21-cef9-4105-8926-9f3f52695c2a	778	778	385	Geometry	5488.1	962.93	778	385	0	0	0	0	NaN	0	722424.2	8489.5
JKAY11.2g_TRAP_retr_RNAScope_A2_Scan1_[5256,38764]_component_data_merged_Region 2.ome.tif	28ee1d7f-dac3-494a-ab64-1bb1505a8355	664	664	926	Geometry	6545	4490.2	664	926	0	0	0	0	NaN	0	272729.2	5037.5
JKAY11.2g_TRAP_retr_RNAScope_A2_Scan1_[5256,38764]_component_data_merged_Region 2.ome.tif	8325f75b-edbf-4f6e-927f-2a5a61a07cfe	312782582	312782582	312782574	Geometry	5764.9	1373.4	312782582	312782574	0	0	0	0	NaN	0	92062.3	1816.1
JKAY11.2g_TRAP_retr_RNAScope_A2_Scan1_[5256,38764]_component_data_merged_Region 2.ome.tif	9be8c8ca-be8b-4030-ab2b-a5a19e59611b	565	565	533	Geometry	5383.3	586.94	565	533	0	0	0	0	NaN	0	3096.2	442.11
JKAY11.2g_TRAP_retr_RNAScope_A2_Scan1_[5256,38764]_component_data_merged_Region 2.ome.tif	fdcd8442-a161-4fa5-bd95-7ef7d9efc8bd	302	302	339	Geometry	5499.5	1126.9	302	339	0	0	0	0	NaN	0	1173369.4	7895
JKAY11.2g_TRAP_retr_RNAScope_A2_Scan1_[5256,38764]_component_data_merged_Region 2.ome.tif	ad34c744-5206-4802-a9b3-32c80bccf4e1	271	271	339	Geometry	6223	3055	271	339	0	0	0	0	NaN	0	179491	2314.2
JKAY11.2g_TRAP_retr_RNAScope_A2_Scan1_[5256,38764]_component_data_merged_Region 2.ome.tif	12434927-6fc9-4baf-bf1c-6ebc030c9eac	541	541	315	Geometry	5993.5	2032.2	541	315	0	0	0	0	NaN	0	254616.7	3751
JKAY11.2g_TRAP_retr_RNAScope_A2_Scan1_[5256,38764]_component_data_merged_Region 2.ome.tif	8fa0125e-2b1f-4b53-bf18-85c262c2fe65	1089	1089	695	Geometry	6260.1	3218.3	1089	695	0	0	0	0	NaN	0	11120195	33036.6
JKAY11.2g_TRAP_retr_RNAScope_A2_Scan1_[5256,38764]_component_data_merged_Region 2.ome.tif	3f66ef4a-1379-4818-b4b4-8e3729fb68f1	842	842	302	Geometry	5488.7	1079.7	842	302	0	0	0	0	NaN	0	652375.9	8016.5
JKAY11.2g_TRAP_retr_RNAScope_A2_Scan1_[5256,38764]_component_data_merged_Region 2.ome.tif	beb85cc1-3854-4ebe-b3e4-56db0a3fc1dc	73	73	997	Geometry	5866.6	2641.8	73	997	0	0	0	0	NaN	0	39240.1	783.3
JKAY11.2g_TRAP_retr_RNAScope_A2_Scan1_[5256,38764]_component_data_merged_Region 2.ome.tif	87cbcc74-5235-4ae4-be90-5c07dd93a149	909	909	822	Geometry	6420.5	3850.1	909	822	0	0	0	0	NaN	0	4887313.1	15021.5
JKAY11.2g_TRAP_retr_RNAScope_A2_Scan1_[5256,38764]_component_data_merged_Region 2.ome.tif	15cd3b92-2bf4-4f21-aafd-d5051db4f471	140	140	73	Geometry	5866.6	2641.8	140	73	0	0	0	0	NaN	0	39240.1	783.3
JKAY11.2g_TRAP_retr_RNAScope_A2_Scan1_[5256,38764]_component_data_merged_Region 2.ome.tif	a9a6c030-f48f-429c-8fcf-86d3a4b6cc87	792	792	967	Geometry	6117.6	5281.9	792	967	0	0	0	0	NaN	0	94185.4	1710.7
JKAY11.2g_TRAP_retr_RNAScope_A2_Scan1_[5256,38764]_component_data_merged_Region 2.ome.tif	26e6de30-6329-42ce-9002-6456c2e92f98	229	229	901	Geometry	6585.1	5148.8	229	901	0	0	0	0	NaN	0	803558.2	5079.2
JKAY11.2g_TRAP_retr_RNAScope_A2_Scan1_[5256,38764]_component_data_merged_Region 2.ome.tif	7042e2da-f1af-4d44-afc8-5b320a251d83	687	687	886	Geometry	5420.4	1353.2	687	886	0	0	0	0	NaN	0	1161.8	300.56
JKAY11.2g_TRAP_retr_RNAScope_A2_Scan1_[5256,38764]_component_data_merged_Region 2.ome.tif	80511209-dca5-4c74-83c1-f30f660a8f63	618	618	1099	Geometry	5761.4	1725.7	618	1099	0	0	0	0	NaN	0	457895	5026.3
JKAY11.2g_TRAP_retr_RNAScope_A2_Scan1_[5256,38764]_component_data_merged_Region 2.ome.tif	eca49b40-d820-40a1-95c2-228b9bf3ede4	851	851	302	Geometry	5526.3	1256.4	851	302	0	0	0	0	NaN	0	366911.5	7598.7
JKAY11.2g_TRAP_retr_RNAScope_A2_Scan1_[5256,38764]_component_data_merged_Region 2.ome.tif	17f7744e-ff47-4c20-bd0e-a549f3f651b4	484682520	484682520	896	Geometry	5798.5	1717.7	484682520	896	0	0	0	0	NaN	0	150614.5	6676.3
JKAY11.2g_TRAP_retr_RNAScope_A2_Scan1_[5256,38764]_component_data_merged_Region 2.ome.tif	970f8205-9b4c-41bc-a2de-b32707c3b64b	312782594	312782594	312782574	Geometry	5822.6	1684.1	312782594	312782574	0	0	0	0	NaN	0	33627.3	1300
JKAY11.2g_TRAP_retr_RNAScope_A2_Scan1_[5256,38764]_component_data_merged_Region 2.ome.tif	00a3d9fd-2616-4085-b82c-e5238285c076	17	17	294	Geometry	5642	1855.8	17	294	0	0	0	0	NaN	0	1126564.3	8357.8
JKAY11.2g_TRAP_retr_RNAScope_A2_Scan1_[5256,38764]_component_data_merged_Region 2.ome.tif	5a979a38-c629-483b-97b9-43aa66943f02	1052	1052	348	Geometry	6273.6	3709.6	1052	348	0	0	0	0	NaN	0	515134.8	3731.1
JKAY11.2g_TRAP_retr_RNAScope_A2_Scan1_[5256,38764]_component_data_merged_Region 2.ome.tif	d31a3b47-8dfd-44db-afa2-edf12589c4ac	231	231	323	Geometry	6160.2	4136.5	231	323	0	0	0	0	NaN	0	22645.2	774.11
JKAY11.2g_TRAP_retr_RNAScope_A2_Scan1_[5256,38764]_component_data_merged_Region 2.ome.tif	0ac861cf-6079-4735-ac8c-94a7ba5c5558	312782586	312782586	312782574	Geometry	5782.2	1457.9	312782586	312782574	0	0	0	0	NaN	0	47009.1	1505.6
JKAY11.2g_TRAP_retr_RNAScope_A2_Scan1_[5256,38764]_component_data_merged_Region 2.ome.tif	7b1f2683-c8f1-465a-8f1e-4584ce455fc3	1121	1121	918	Geometry	6389	3744	1121	918	0	0	0	0	NaN	0	473024.4	10065.8
JKAY11.2g_TRAP_retr_RNAScope_A2_Scan1_[5256,38764]_component_data_merged_Region 2.ome.tif	5941feed-eed2-4cb8-8e72-9dc44c5722f7	312782652	312782652	312782628	Geometry	5970.9	2065.7	312782652	312782628	0	0	0	0	NaN	0	65385.9	3930
JKAY11.2g_TRAP_retr_RNAScope_A2_Scan1_[5256,38764]_component_data_merged_Region 2.ome.tif	e472f811-dd24-48a8-b43d-ee06811d7996	874	874	339	Geometry	6292.2	3032.2	874	339	0	0	0	0	NaN	0	94947.7	1775.8
JKAY11.2g_TRAP_retr_RNAScope_A2_Scan1_[5256,38764]_component_data_merged_Region 2.ome.tif	5fa76c14-c145-4d8c-af95-179f36199906	42	42	294	Geometry	5788	2179.9	42	294	0	0	0	0	NaN	0	174768.7	4910.1
JKAY11.2g_TRAP_retr_RNAScope_A2_Scan1_[5256,38764]_component_data_merged_Region 2.ome.tif	7a79d813-1ff5-47ec-9464-be1d8e4884ec	997	997	Image	Geometry	6043	3010.8	997	NaN	0	1816	1487	329	18.12	7.976	41246545.8	41838.5
JKAY11.2g_TRAP_retr_RNAScope_A2_Scan1_[5256,38764]_component_data_merged_Region 2.ome.tif	e1f1d9de-e4ef-41c3-9418-5e93e9eedd71	906	906	894	Geometry	5394.2	949.44	906	894	0	0	0	0	NaN	0	50044.5	2633
