Image	Object ID	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	ID	Parent ID	Side	Num Detections	Num Negative	Num Positive	Positive %	Num Positive per mm^2	Area µm^2	Perimeter µm
JKAY11.2g_TRAP_retr_RNAScope_A3_Scan1_[6997,31941]_component_data_merged_Region 4.ome.tif	b4408e53-19af-4064-a94b-acc2d34a9291	dlPAG-r		Image	Polygon	6074.5	2038	NaN	NaN	NaN	265	84	181	68.3	891.26	203084.3	2091.6
JKAY11.2g_TRAP_retr_RNAScope_A3_Scan1_[6997,31941]_component_data_merged_Region 4.ome.tif	8d4d9447-481c-4ef7-a845-3533ba540255	VTN	VTN	MBmot	Geometry	5806.3	3998.6	757	323	0	0	0	0	NaN	0	74028.9	1466.8
JKAY11.2g_TRAP_retr_RNAScope_A3_Scan1_[6997,31941]_component_data_merged_Region 4.ome.tif	7125351a-9832-4b3b-a0a7-1118d3a9e82d	cett	cett	drt	Geometry	5759.9	5664.7	932	792	0	0	0	0	NaN	0	61967.8	1327.7
JKAY11.2g_TRAP_retr_RNAScope_A3_Scan1_[6997,31941]_component_data_merged_Region 4.ome.tif	58c082d3-f7e7-4cd7-a7d2-873daafca889	MY	MY	HB	Geometry	5654.8	5166.4	354	1065	0	0	0	0	NaN	0	517288	10447.5
JKAY11.2g_TRAP_retr_RNAScope_A3_Scan1_[6997,31941]_component_data_merged_Region 4.ome.tif	91587108-62d6-4c55-815e-a04147f8cb2c	RAmb	RAmb	MBsta	Geometry	5765.2	3559.1	165	348	0	8	7	1	12.5	5.474	182667.1	2488.3
JKAY11.2g_TRAP_retr_RNAScope_A3_Scan1_[6997,31941]_component_data_merged_Region 4.ome.tif	e20cc824-93b2-490c-9845-db3dd7e630ca	P-sat	P-sat	P	Geometry	5821	4491.5	1117	771	0	0	0	0	NaN	0	861811.8	6991.9
JKAY11.2g_TRAP_retr_RNAScope_A3_Scan1_[6997,31941]_component_data_merged_Region 4.ome.tif	0e1d51b7-bd29-467e-a895-0412fada3ed4	cst	cst	lfbs	Geometry	5644.6	5904.5	784	983	0	0	0	0	NaN	0	89707.5	1855.6
JKAY11.2g_TRAP_retr_RNAScope_A3_Scan1_[6997,31941]_component_data_merged_Region 4.ome.tif	366c1ad0-99ee-40c2-88d2-e1911b41ac38	vlPAG-r		Image	Polygon	6107.9	3087.8	NaN	NaN	NaN	1057	911	146	13.81	290.62	502374.5	2911.6
JKAY11.2g_TRAP_retr_RNAScope_A3_Scan1_[6997,31941]_component_data_merged_Region 4.ome.tif	684699eb-2ad3-4719-8596-667eac2dd575	CBX	CBX	CB	Geometry	5842.5	3982.2	528	512	0	0	0	0	NaN	0	696805.6	6411
JKAY11.2g_TRAP_retr_RNAScope_A3_Scan1_[6997,31941]_component_data_merged_Region 4.ome.tif	53cdb339-4a70-4d7b-a320-8863c716ca83	VISpl5	VISpl5	VISpl	Geometry	5696.8	1568.5	902	425	0	0	0	0	NaN	0	697695.5	5703.3
JKAY11.2g_TRAP_retr_RNAScope_A3_Scan1_[6997,31941]_component_data_merged_Region 4.ome.tif	b125a10d-bc80-4795-bf56-a287e7fd2ff3	tb	tb	cVIIIn	Geometry	5632.3	5808	841	948	0	0	0	0	NaN	0	208474.9	7739.8
JKAY11.2g_TRAP_retr_RNAScope_A3_Scan1_[6997,31941]_component_data_merged_Region 4.ome.tif	70d71dcc-fdae-461a-8dd7-456f8406a43a	VIS	VIS	Isocortex	Geometry	5701.5	1158.7	669	315	0	0	0	0	NaN	0	3509958.3	15334.2
JKAY11.2g_TRAP_retr_RNAScope_A3_Scan1_[6997,31941]_component_data_merged_Region 4.ome.tif	e2902485-eab6-4855-934f-81ab3638ce6c	RSP	RSP	Isocortex	Geometry	5709.6	1083.6	254	315	0	0	0	0	NaN	0	1146297.5	8536.1
JKAY11.2g_TRAP_retr_RNAScope_A3_Scan1_[6997,31941]_component_data_merged_Region 4.ome.tif	6c24b678-93a1-4960-b0c8-fd8601e98133	ENTm1	ENTm1	ENTm	Geometry	5778.3	3279.6	526	926	0	0	0	0	NaN	0	1513443.9	17625.3
JKAY11.2g_TRAP_retr_RNAScope_A3_Scan1_[6997,31941]_component_data_merged_Region 4.ome.tif	2a301078-ddb7-4c22-b3dc-39e58ad453a2	root	root	Image	Geometry	5728.6	2950	997	NaN	0	3954	2535	1419	35.89	41.84	33912683.1	41721.1
JKAY11.2g_TRAP_retr_RNAScope_A3_Scan1_[6997,31941]_component_data_merged_Region 4.ome.tif	2766c706-f7f8-40f6-a723-32f37ae447f2	SCig	SCig	SCm	Geometry	5524.2	967.14	10	294	0	0	0	0	NaN	0	348408.5	5132
JKAY11.2g_TRAP_retr_RNAScope_A3_Scan1_[6997,31941]_component_data_merged_Region 4.ome.tif	b27ff34e-bc9a-4ea3-a84b-d0b47467e9f1	RSPd	RSPd	RSP	Geometry	5693.2	1334	879	254	0	0	0	0	NaN	0	453867.9	6277.5
JKAY11.2g_TRAP_retr_RNAScope_A3_Scan1_[6997,31941]_component_data_merged_Region 4.ome.tif	c2b52fc4-ebfa-4a82-a83e-f195dc2bd47c	dlPAG-l		Image	Polygon	5088.2	2163.3	NaN	NaN	NaN	224	63	161	71.88	953.12	168918.6	1919.2
JKAY11.2g_TRAP_retr_RNAScope_A3_Scan1_[6997,31941]_component_data_merged_Region 4.ome.tif	f94bbc22-f040-41db-bf48-c733dcd562e5	IC	IC	MBsen	Geometry	5747.3	1926.6	4	339	0	0	0	0	NaN	0	2421475.3	8769
JKAY11.2g_TRAP_retr_RNAScope_A3_Scan1_[6997,31941]_component_data_merged_Region 4.ome.tif	73331034-1523-4955-8002-814ec9c80faf	MB	MB	BS	Geometry	5695	2262.6	313	343	0	3935	2520	1415	35.96	118.37	11954227.4	25554.9
JKAY11.2g_TRAP_retr_RNAScope_A3_Scan1_[6997,31941]_component_data_merged_Region 4.ome.tif	2bb41466-04b5-4c05-9cb8-e7ac594bc3f5	P5	P5	P-mot	Geometry	5722.6	4652	549009215	987	0	0	0	0	NaN	0	343407.7	3740.3
