Image	Object ID	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	ID	Parent ID	Side	Num Detections	Num Negative	Num Positive	Positive %	Num Positive per mm^2	Area µm^2	Perimeter µm
JKAY11.2g_TRAP_retr_RNAScope_A3_Scan1_[6997,31941]_component_data_merged_Region 1.ome.tif	c0ae2e22-f63a-4157-a56d-bb8747a42144	671	671	894	Geometry	5014.8	303.61	671	894	0	0	0	0	NaN	0	107263.4	2059.8
JKAY11.2g_TRAP_retr_RNAScope_A3_Scan1_[6997,31941]_component_data_merged_Region 1.ome.tif	cf0da615-6ce3-4d06-963b-21de28e5eed9	128	128	323	Geometry	5199.7	3237.4	128	323	0	1	0	1	100	0.6572	1521576.5	16525.7
JKAY11.2g_TRAP_retr_RNAScope_A3_Scan1_[6997,31941]_component_data_merged_Region 1.ome.tif	4b38e07a-2072-4962-a373-296ff74c32bc	812	812	326	Geometry	5147.7	3980.7	812	326	0	0	0	0	NaN	0	11921.3	455.03
JKAY11.2g_TRAP_retr_RNAScope_A3_Scan1_[6997,31941]_component_data_merged_Region 1.ome.tif	bf26b6d5-6b91-4c0d-b50a-ce257c8d438d	877	877	1000	Geometry	5135.3	4500	877	1000	0	0	0	0	NaN	0	90311.6	2572.7
JKAY11.2g_TRAP_retr_RNAScope_A3_Scan1_[6997,31941]_component_data_merged_Region 1.ome.tif	9ea7c160-ea8e-4915-b8ec-a6bad2f8fcc9	820	820	4	Geometry	5145.5	2195.3	820	4	0	0	0	0	NaN	0	1985.4	297.98
JKAY11.2g_TRAP_retr_RNAScope_A3_Scan1_[6997,31941]_component_data_merged_Region 1.ome.tif	83aa8688-f413-476e-9435-e1c22b359c70	421	421	409	Geometry	5150.5	913.91	421	409	0	0	0	0	NaN	0	108541	2506
JKAY11.2g_TRAP_retr_RNAScope_A3_Scan1_[6997,31941]_component_data_merged_Region 1.ome.tif	c3705090-6678-4ee3-a151-022477fc787d	313	313	343	Geometry	5122.2	2387.2	313	343	0	527	274	253	48.01	20.95	12073692	21848.4
JKAY11.2g_TRAP_retr_RNAScope_A3_Scan1_[6997,31941]_component_data_merged_Region 1.ome.tif	b8c48d17-28c8-44a5-a64f-f15f4ff0522a	574	574	987	Geometry	5087.7	5269.9	574	987	0	0	0	0	NaN	0	242241.8	2528.7
JKAY11.2g_TRAP_retr_RNAScope_A3_Scan1_[6997,31941]_component_data_merged_Region 1.ome.tif	f04262c8-2cca-4cf2-9e5e-9bdaffc53f9a	1009	1009	997	Geometry	5062.2	4491.6	1009	997	0	0	0	0	NaN	0	2710790.3	47403
JKAY11.2g_TRAP_retr_RNAScope_A3_Scan1_[6997,31941]_component_data_merged_Region 1.ome.tif	6a4c6d27-2e76-40b9-befb-27558ec5e50a	834	834	302	Geometry	4984.6	727.36	834	302	0	0	0	0	NaN	0	153228.1	7688.9
