Image	Object ID	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	ID	Parent ID	Side	Num Detections	Num Negative	Num Positive	Positive %	Num Positive per mm^2	Area µm^2	Perimeter µm
JKAY11.6c_TRAP_retr_RNAScope_A2_Scan1_[5415,44976]_component_data_merged_Region 5.ome.tif	70cee08c-4a2f-489f-85f5-eae1506dd22a	743	743	926	Geometry	6071.6	4174	743	926	0	0	0	0	NaN	0	629136.2	6689.8
JKAY11.6c_TRAP_retr_RNAScope_A2_Scan1_[5415,44976]_component_data_merged_Region 5.ome.tif	b1da5952-e157-45d2-aa39-b5360e478154	549009223	549009223	987	Geometry	3974.1	5984.8	549009223	987	0	0	0	0	NaN	0	43010.4	1302.8
JKAY11.6c_TRAP_retr_RNAScope_A2_Scan1_[5415,44976]_component_data_merged_Region 5.ome.tif	fb349721-812d-4b64-8888-7572869d840f	97	97	541	Geometry	573.81	2194.2	97	541	0	0	0	0	NaN	0	74456.1	1584.6
JKAY11.6c_TRAP_retr_RNAScope_A2_Scan1_[5415,44976]_component_data_merged_Region 5.ome.tif	7223ee7d-cd21-46f7-a565-917d95753430	398	398	1132	Geometry	4974.5	6583.6	398	1132	0	0	0	0	NaN	0	692992.5	5020.4
JKAY11.6c_TRAP_retr_RNAScope_A2_Scan1_[5415,44976]_component_data_merged_Region 5.ome.tif	1749d5fc-74b4-4451-822f-59adc8d408d3	484682512	484682512	1009	Geometry	2596.1	1592.9	484682512	1009	0	0	0	0	NaN	0	34371.2	1608.6
JKAY11.6c_TRAP_retr_RNAScope_A2_Scan1_[5415,44976]_component_data_merged_Region 5.ome.tif	57c1c8c2-8a7e-4212-a921-a576a6d4f9c8	1117	1117	771	Geometry	4859.7	5282.3	1117	771	0	0	0	0	NaN	0	3374523.2	13621.9
JKAY11.6c_TRAP_retr_RNAScope_A2_Scan1_[5415,44976]_component_data_merged_Region 5.ome.tif	ecd845f5-f213-47c9-b79c-61fb6d3f670b	427	427	895	Geometry	660.47	2564.8	427	895	0	0	0	0	NaN	0	61083.2	1095
JKAY11.6c_TRAP_retr_RNAScope_A2_Scan1_[5415,44976]_component_data_merged_Region 5.ome.tif	3a8cd726-d1ea-4163-8948-0f0af2c8a62d	896	896	983	Geometry	1871.2	2027.8	896	983	0	0	0	0	NaN	0	45728	2280.7
JKAY11.6c_TRAP_retr_RNAScope_A2_Scan1_[5415,44976]_component_data_merged_Region 5.ome.tif	a6bce23d-1d81-4acf-983a-2b87aabd1f82	721	721	385	Geometry	5501.3	1598.6	721	385	0	0	0	0	NaN	0	510791.8	9104.4
JKAY11.6c_TRAP_retr_RNAScope_A2_Scan1_[5415,44976]_component_data_merged_Region 5.ome.tif	3a964a0c-f9bb-4068-8419-7ef64bf8d467	302	302	339	Geometry	5360.4	1546.7	302	339	0	0	0	0	NaN	0	1400012	8437.2
