Image	Object ID	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	ID	Parent ID	Side	Num Detections	Num Negative	Num Positive	Positive %	Num Positive per mm^2	Area µm^2	Perimeter µm
JKAY11.6c_TRAP_retr_RNAScope_A3_Scan1_[5186,33759]_component_data_merged_Region 4.ome.tif	72c3b3db-2519-4db0-a9de-4709c93b36f8	869	869	425	Geometry	602.56	894.49	869	425	0	0	0	0	NaN	0	90063.7	3242.9
JKAY11.6c_TRAP_retr_RNAScope_A3_Scan1_[5186,33759]_component_data_merged_Region 4.ome.tif	0b81f2cf-9d1b-4da2-a304-909b28fb1c0b	105	105	398	Geometry	4077.3	6269.3	105	398	0	0	0	0	NaN	0	214942.1	2516.4
JKAY11.6c_TRAP_retr_RNAScope_A3_Scan1_[5186,33759]_component_data_merged_Region 4.ome.tif	dbb742b8-f666-4fe4-8d39-14d1a1870351	1009	1009	997	Geometry	4147.5	4587.7	1009	997	0	0	0	0	NaN	0	3416101	52209
JKAY11.6c_TRAP_retr_RNAScope_A3_Scan1_[5186,33759]_component_data_merged_Region 4.ome.tif	986e69ef-e5f4-46ea-96f2-bebd1a3eded8	794	794	229	Geometry	4063.1	5417.7	794	229	0	0	0	0	NaN	0	613814.7	6890
JKAY11.6c_TRAP_retr_RNAScope_A3_Scan1_[5186,33759]_component_data_merged_Region 4.ome.tif	8abb996e-2428-483b-8867-9fce64671082	238	238	1117	Geometry	4033	4315.2	238	1117	0	0	0	0	NaN	0	177258.6	2534.2
JKAY11.6c_TRAP_retr_RNAScope_A3_Scan1_[5186,33759]_component_data_merged_Region 4.ome.tif	7f5f5755-a491-465d-8ec6-7cd057367e6f	822	822	1089	Geometry	205.28	2391.4	822	1089	0	0	0	0	NaN	0	3887724.9	8947.7
JKAY11.6c_TRAP_retr_RNAScope_A3_Scan1_[5186,33759]_component_data_merged_Region 4.ome.tif	8d6011d4-73aa-4234-93ef-dcf24f51e1dd	dmPAG		Image	Polygon	4045.3	1677.7	NaN	NaN	NaN	144	140	4	2.778	11.72	341328.8	2387.9
JKAY11.6c_TRAP_retr_RNAScope_A3_Scan1_[5186,33759]_component_data_merged_Region 4.ome.tif	5704110c-85da-4028-8260-4a1848228bb0	549009215	549009215	987	Geometry	3929	4595.8	549009215	987	0	0	0	0	NaN	0	389624.4	4599.8
JKAY11.6c_TRAP_retr_RNAScope_A3_Scan1_[5186,33759]_component_data_merged_Region 4.ome.tif	1c417659-6027-4a4e-b1b3-bc4ccca1bf1d	983	983	1009	Geometry	4196.7	6546.6	983	1009	0	0	0	0	NaN	0	190622.6	2473.6
JKAY11.6c_TRAP_retr_RNAScope_A3_Scan1_[5186,33759]_component_data_merged_Region 4.ome.tif	8b9d5bb3-7a61-454b-b7c9-04caac67c783	750	750	425	Geometry	1710.9	907.53	750	425	0	0	0	0	NaN	0	142352.2	3243.1
