Image	Object ID	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	ID	Parent ID	Side	Num Detections	Num Negative	Num Positive	Positive %	Num Positive per mm^2	Area µm^2	Perimeter µm
JKAY11.6c_TRAP_retr_RNAScope_A3_Scan1_[5186,33759]_component_data_merged_Region 1.ome.tif	ff3e1ea7-ed40-435b-900d-691ff6336a75	965	965	894	Geometry	5630.7	1491.1	965	894	0	0	0	0	NaN	0	190861.9	3163
JKAY11.6c_TRAP_retr_RNAScope_A3_Scan1_[5186,33759]_component_data_merged_Region 1.ome.tif	e41c6bf5-3f15-49d9-b089-9fb55f27a623	872	872	165	Geometry	4081	3237.3	872	165	0	1	0	1	100	5.825	171676.1	2218.7
JKAY11.6c_TRAP_retr_RNAScope_A3_Scan1_[5186,33759]_component_data_merged_Region 1.ome.tif	3427d415-b133-4b49-a2eb-c851c52ba6b2	398	398	1132	Geometry	4550.4	6265.2	398	1132	0	0	0	0	NaN	0	826785.6	6555.9
JKAY11.6c_TRAP_retr_RNAScope_A3_Scan1_[5186,33759]_component_data_merged_Region 1.ome.tif	05773f79-c564-4e5b-8030-ad1997f07141	983	983	1009	Geometry	4093.1	5792.3	983	1009	0	0	0	0	NaN	0	165867	3268.1
JKAY11.6c_TRAP_retr_RNAScope_A3_Scan1_[5186,33759]_component_data_merged_Region 1.ome.tif	1e9b9f85-9bf3-4e03-8a1b-062375170e21	8	8	997	Geometry	4179.5	3278.1	8	997	0	1645	335	1310	79.64	38.45	34072528.2	86903.8
JKAY11.6c_TRAP_retr_RNAScope_A3_Scan1_[5186,33759]_component_data_merged_Region 1.ome.tif	c71aa178-0b3b-40b8-ba2c-b0a8f62eb426	1093	1093	987	Geometry	4471.1	5654.8	1093	987	0	0	0	0	NaN	0	1296325.7	7259.8
JKAY11.6c_TRAP_retr_RNAScope_A3_Scan1_[5186,33759]_component_data_merged_Region 1.ome.tif	5cad1c15-62ae-471a-a751-250b601870fa	828	828	4	Geometry	4704.9	2355.3	828	4	0	0	0	0	NaN	0	1009776.2	6131.2
JKAY11.6c_TRAP_retr_RNAScope_A3_Scan1_[5186,33759]_component_data_merged_Region 1.ome.tif	ec6e22a2-45b5-46cb-b446-fb47b771deb4	442	442	879	Geometry	5279.9	1651.6	442	879	0	0	0	0	NaN	0	234234.1	5277.6
JKAY11.6c_TRAP_retr_RNAScope_A3_Scan1_[5186,33759]_component_data_merged_Region 1.ome.tif	b9d73644-f4fb-40b9-82b1-b6d24cbd2fe9	413	413	933	Geometry	6801.2	6244.3	413	933	0	0	0	0	NaN	0	13759.5	449.8
JKAY11.6c_TRAP_retr_RNAScope_A3_Scan1_[5186,33759]_component_data_merged_Region 1.ome.tif	97c51446-2464-45b7-9245-6aba43fdc4af	894	894	254	Geometry	5027.9	1387.1	894	254	0	0	0	0	NaN	0	573151.6	7544.3
JKAY11.6c_TRAP_retr_RNAScope_A3_Scan1_[5186,33759]_component_data_merged_Region 1.ome.tif	d26d5f0d-0a17-42b4-857e-f4be024be717	771	771	1065	Geometry	4379.5	5170.8	771	1065	0	0	0	0	NaN	0	8042792.5	36184.2
JKAY11.6c_TRAP_retr_RNAScope_A3_Scan1_[5186,33759]_component_data_merged_Region 1.ome.tif	06bb4d07-361f-449a-82b7-4ae04ce0767f	512	512	8	Geometry	6301.5	5034.6	512	8	0	0	0	0	NaN	0	492510.8	7576.6
JKAY11.6c_TRAP_retr_RNAScope_A3_Scan1_[5186,33759]_component_data_merged_Region 1.ome.tif	96f27d25-3772-4068-a0ef-493bea6bca2b	909	909	822	Geometry	3782.1	3583.6	909	822	0	0	0	0	NaN	0	6703352.1	14995.4
JKAY11.6c_TRAP_retr_RNAScope_A3_Scan1_[5186,33759]_component_data_merged_Region 1.ome.tif	bdcf3d2f-97f2-418a-a199-c4c2b039b70b	574	574	987	Geometry	4174.9	5417.7	574	987	0	0	0	0	NaN	0	42341.8	1164.2
JKAY11.6c_TRAP_retr_RNAScope_A3_Scan1_[5186,33759]_component_data_merged_Region 1.ome.tif	7f2ef644-5e2e-4020-98d4-43e8a65d7113	671	671	894	Geometry	5235.9	1084.1	671	894	0	0	0	0	NaN	0	136543	2350.3
JKAY11.6c_TRAP_retr_RNAScope_A3_Scan1_[5186,33759]_component_data_merged_Region 1.ome.tif	ad8346d2-0ca4-46ac-b66e-11aca72c8fb3	105	105	398	Geometry	4485.5	6207.6	105	398	0	0	0	0	NaN	0	228304.6	2731.9
JKAY11.6c_TRAP_retr_RNAScope_A3_Scan1_[5186,33759]_component_data_merged_Region 1.ome.tif	f72c29cf-5f41-4eff-b1e5-0935bee19549	62	62	832	Geometry	4045.3	3647.7	62	832	0	0	0	0	NaN	0	26137	990.07
JKAY11.6c_TRAP_retr_RNAScope_A3_Scan1_[5186,33759]_component_data_merged_Region 1.ome.tif	7ed689f2-b45c-4844-acf1-e72d6142cb6a	123	123	867	Geometry	6051	4898.7	123	867	0	0	0	0	NaN	0	41846	801.8
JKAY11.6c_TRAP_retr_RNAScope_A3_Scan1_[5186,33759]_component_data_merged_Region 1.ome.tif	459ebb44-b8ce-4b43-8eea-14f81cadf850	315	315	695	Geometry	4141.2	1545.5	315	695	0	0	0	0	NaN	0	5368748.4	16793.6
JKAY11.6c_TRAP_retr_RNAScope_A3_Scan1_[5186,33759]_component_data_merged_Region 1.ome.tif	d04bd8b7-6845-4c04-b73a-a344e0f503cf	960	960	1009	Geometry	4247.5	4469.3	960	1009	0	0	0	0	NaN	0	743679	11190.4
JKAY11.6c_TRAP_retr_RNAScope_A3_Scan1_[5186,33759]_component_data_merged_Region 1.ome.tif	d89dc1b6-ddcf-46c7-aa0a-09a6f4ca3eaf	1043	1043	877	Geometry	4162.9	4841.2	1043	877	0	0	0	0	NaN	0	64884.3	1611.3
JKAY11.6c_TRAP_retr_RNAScope_A3_Scan1_[5186,33759]_component_data_merged_Region 1.ome.tif	4570ac60-2742-410b-9df3-54f460bf9cd9	393	393	425	Geometry	1363	1282.6	393	425	0	0	0	0	NaN	0	11311.4	876.93
JKAY11.6c_TRAP_retr_RNAScope_A3_Scan1_[5186,33759]_component_data_merged_Region 1.ome.tif	7ed37ffa-2d3d-46f3-bd9c-853d38c9d440	616	616	323	Geometry	4136.1	3029.9	616	323	0	3	3	0	0	0	804691.3	5240
JKAY11.6c_TRAP_retr_RNAScope_A3_Scan1_[5186,33759]_component_data_merged_Region 1.ome.tif	613a1351-ab85-4d89-821c-b34ec658a3c0	7	7	1132	Geometry	4803.2	5390.3	7	1132	0	0	0	0	NaN	0	709794.4	5418.6
JKAY11.6c_TRAP_retr_RNAScope_A3_Scan1_[5186,33759]_component_data_merged_Region 1.ome.tif	2a5d52d2-af65-449e-930e-c293127787e4	911	911	967	Geometry	3798.5	3175.6	911	967	0	0	0	0	NaN	0	10240.8	583.17
JKAY11.6c_TRAP_retr_RNAScope_A3_Scan1_[5186,33759]_component_data_merged_Region 1.ome.tif	3a4161d3-51e9-4d3b-8588-64a2598b01ac	973	973	409	Geometry	984.54	764.57	973	409	0	0	0	0	NaN	0	89757	1316
JKAY11.6c_TRAP_retr_RNAScope_A3_Scan1_[5186,33759]_component_data_merged_Region 1.ome.tif	4333525d-ea61-4633-bf37-038b5a36ca04	1132	1132	771	Geometry	4550.3	5277.5	1132	771	0	0	0	0	NaN	0	2242679.8	18612.6
JKAY11.6c_TRAP_retr_RNAScope_A3_Scan1_[5186,33759]_component_data_merged_Region 1.ome.tif	f46a490b-1daa-4017-be3a-0b1d253b8595	313	313	343	Geometry	4245.5	2480.7	313	343	0	1645	335	1310	79.64	114.7	11420667.2	25070.8
JKAY11.6c_TRAP_retr_RNAScope_A3_Scan1_[5186,33759]_component_data_merged_Region 1.ome.tif	74d6e0e6-77cd-4103-bf10-491a9f164fbb	101	101	607	Geometry	6816.5	5870.3	101	607	0	0	0	0	NaN	0	119831.3	1673.1
JKAY11.6c_TRAP_retr_RNAScope_A3_Scan1_[5186,33759]_component_data_merged_Region 1.ome.tif	51ceee9c-3e28-48fa-9a32-25fe50d544ff	543	543	926	Geometry	6534.8	4333.9	543	926	0	0	0	0	NaN	0	1336806.1	12744.2
JKAY11.6c_TRAP_retr_RNAScope_A3_Scan1_[5186,33759]_component_data_merged_Region 1.ome.tif	ae718d97-f748-4d29-abb0-3d5e8afec92b	549009223	549009223	987	Geometry	5415.3	5493.7	549009223	987	0	0	0	0	NaN	0	69202.8	2101.4
JKAY11.6c_TRAP_retr_RNAScope_A3_Scan1_[5186,33759]_component_data_merged_Region 1.ome.tif	1b9fe244-73e3-49c4-bd53-a7378a4e3032	386	386	354	Geometry	5408.2	6085.2	386	354	0	0	0	0	NaN	0	293713.4	4165.4
JKAY11.6c_TRAP_retr_RNAScope_A3_Scan1_[5186,33759]_component_data_merged_Region 1.ome.tif	6d4d6467-dcf8-4d51-95fa-0cfa58bd2598	679	679	1117	Geometry	4130.7	4606.5	679	1117	0	0	0	0	NaN	0	370178.7	4384.3
JKAY11.6c_TRAP_retr_RNAScope_A3_Scan1_[5186,33759]_component_data_merged_Region 1.ome.tif	538b2842-72aa-448b-bc4a-1b15cfe1835f	vlPAG-right		Image	Polygon	4550.6	3076.7	NaN	NaN	NaN	222	16	206	92.79	356.84	577293.3	3475.8
JKAY11.6c_TRAP_retr_RNAScope_A3_Scan1_[5186,33759]_component_data_merged_Region 1.ome.tif	883248de-8968-4046-a4a8-e0a27769c1ee	879	879	254	Geometry	4676.2	1532.5	879	254	0	0	0	0	NaN	0	608052.6	6940.2
JKAY11.6c_TRAP_retr_RNAScope_A3_Scan1_[5186,33759]_component_data_merged_Region 1.ome.tif	766eaf78-5655-4e43-a876-806389488311	312782648	312782648	312782628	Geometry	948.69	1537.4	312782648	312782628	0	0	0	0	NaN	0	15073.2	1030.2
JKAY11.6c_TRAP_retr_RNAScope_A3_Scan1_[5186,33759]_component_data_merged_Region 1.ome.tif	e2b57e88-8174-43a2-acc8-a5a5bcdbf10d	967	967	1009	Geometry	4491.1	4701.6	967	1009	0	0	0	0	NaN	0	2016939.1	34131.8
JKAY11.6c_TRAP_retr_RNAScope_A3_Scan1_[5186,33759]_component_data_merged_Region 1.ome.tif	fb3953c9-78a2-4d15-80eb-ae76bde45ae5	dlPAG-right		Image	Polygon	4593.7	2060.1	NaN	NaN	NaN	129	17	112	86.82	472.27	237152.4	2108.8
JKAY11.6c_TRAP_retr_RNAScope_A3_Scan1_[5186,33759]_component_data_merged_Region 1.ome.tif	65165d08-2ce3-409c-99be-103dc0370a07	326	326	752	Geometry	4313.8	4243.7	326	752	0	0	0	0	NaN	0	352429.2	7229.4
JKAY11.6c_TRAP_retr_RNAScope_A3_Scan1_[5186,33759]_component_data_merged_Region 1.ome.tif	a97af4dc-df6d-44ee-9df0-6fa7b6008c24	607	607	386	Geometry	6816.5	5870.3	607	386	0	0	0	0	NaN	0	119831.3	1673.1
JKAY11.6c_TRAP_retr_RNAScope_A3_Scan1_[5186,33759]_component_data_merged_Region 1.ome.tif	e5d74f8e-2a32-4b06-bed3-6aafc23ac142	549009215	549009215	987	Geometry	4211.6	4975.4	549009215	987	0	0	0	0	NaN	0	398027.6	4125
JKAY11.6c_TRAP_retr_RNAScope_A3_Scan1_[5186,33759]_component_data_merged_Region 1.ome.tif	c38c0b0f-5404-49d7-a522-ee8c2d27b30f	52	52	918	Geometry	543.13	3042.3	52	918	0	0	0	0	NaN	0	317214.7	4876
JKAY11.6c_TRAP_retr_RNAScope_A3_Scan1_[5186,33759]_component_data_merged_Region 1.ome.tif	12d690e3-17dc-4293-a406-47e140bd3ab3	lPAG-right		Image	Polygon	4768.1	2522.5	NaN	NaN	NaN	344	43	301	87.5	700.78	429522.1	2769.8
JKAY11.6c_TRAP_retr_RNAScope_A3_Scan1_[5186,33759]_component_data_merged_Region 1.ome.tif	abeb7f96-7bcf-4071-990b-5f91232e3121	621	621	987	Geometry	5665.1	5212.3	621	987	0	0	0	0	NaN	0	174792	1769.9
