Region,Global slice index,TRAPed_alsoVgat,TRAPed_alsoVglut
dlPAG,Slice 0,0.13,0.97
dlPAG,Slice 1,0.23,0.94
dlPAG,Slice 2,0.41,0.9
dlPAG,Slice 3,0.34,0.85
dlPAG,Slice 4,0.37,0.79
dlPAG,Slice 5,0.64,0.92
dlPAG,Slice 6,0.75,0.89
dlPAG,Slice 7,0.55,0.64
dlPAG,Slice 8,0.34,1.06
dmPAG,Slice 0,0.38,1.13
dmPAG,Slice 1,0.44,1.0
dmPAG,Slice 2,0.44,0.94
dmPAG,Slice 3,0.43,0.93
dmPAG,Slice 4,0.43,0.93
dmPAG,Slice 5,0.63,0.98
dmPAG,Slice 6,0.87,1.05
dmPAG,Slice 7,0.48,0.78
dmPAG,Slice 8,0.27,0.86
lPAG,Slice 0,0.85,0.93
lPAG,Slice 1,0.82,0.95
lPAG,Slice 2,0.52,0.865
lPAG,Slice 3,0.41,0.78
lPAG,Slice 4,0.58,0.81
lPAG,Slice 5,0.85,0.87
lPAG,Slice 6,0.87,0.89
lPAG,Slice 7,0.575,0.62
lPAG,Slice 8,0.58,0.69
vlPAG,Slice 0,0.68,0.87
vlPAG,Slice 1,0.7,0.95
vlPAG,Slice 2,0.635,0.94
vlPAG,Slice 3,0.44,0.8
vlPAG,Slice 4,0.62,0.8
vlPAG,Slice 5,0.68,0.67
vlPAG,Slice 6,0.77,0.81
vlPAG,Slice 7,0.45499999999999996,0.47
vlPAG,Slice 8,0.57,0.63
