Image	Object ID	Object type	Name	Classification	Parent	ROI	Centroid X µm	Centroid Y µm	ID	Side	Parent ID	Num Detections	Num Negative	Num Positive	Positive %	Num Positive per mm^2	Area µm^2	Perimeter µm
JKBY4.2b_A3_Scan1.qptiff - resolution #1_Region 5.ome.tif	e6706e86-56cd-4f5e-9f20-4a29ed05f20a	Annotation	root	root	Root object (Image)	Geometry	5436.8	2912.1	997	0	NaN	715	459	256	35.8	5.592	45778316.6	45936.8
JKBY4.2b_A3_Scan1.qptiff - resolution #1_Region 5.ome.tif	8ff8c15e-de28-40c6-8be9-2ba945908d94	Annotation	grey	grey	root	Geometry	5446.6	2791.4	8	0	997	715	459	256	35.8	6.144	41666630.4	90890.5
JKBY4.2b_A3_Scan1.qptiff - resolution #1_Region 5.ome.tif	3e364b81-70e1-4b83-9d4e-a8bd08e44d07	Annotation	CB	CB	grey	Geometry	6396.8	4242.9	512	0	8	0	0	0	NaN	0	161294.9	5161.3
JKBY4.2b_A3_Scan1.qptiff - resolution #1_Region 5.ome.tif	e55c29b8-beab-43b9-a18c-dc9d9734f543	Annotation	CH	CH	grey	Geometry	5284.3	2111.7	567	0	8	0	0	0	NaN	0	17770665.2	27623.2
JKBY4.2b_A3_Scan1.qptiff - resolution #1_Region 5.ome.tif	b988a2be-a4c1-4821-9f0a-78ee949b8811	Annotation	CTX	CTX	CH	Geometry	5284.3	2111.7	688	0	567	0	0	0	NaN	0	17770665.2	27623.2
JKBY4.2b_A3_Scan1.qptiff - resolution #1_Region 5.ome.tif	4947b287-06b8-4ea5-9ea9-c3427f0ce171	Annotation	CTXpl	CTXpl	CTX	Geometry	5284.3	2111.7	695	0	688	0	0	0	NaN	0	17770665.2	27623.2
JKBY4.2b_A3_Scan1.qptiff - resolution #1_Region 5.ome.tif	83d417a5-95bb-4cd4-8fec-7c53a96cf100	Annotation	Isocortex	Isocortex	CTXpl	Geometry	5416.1	948.77	315	0	695	0	0	0	NaN	0	6832971.1	19319.9
JKBY4.2b_A3_Scan1.qptiff - resolution #1_Region 5.ome.tif	bfb66814-3a73-4808-9dc1-5e21d6ef5434	Annotation	VIS	VIS	Isocortex	Geometry	5311.8	1005	669	0	315	0	0	0	NaN	0	5340256.9	19260
JKBY4.2b_A3_Scan1.qptiff - resolution #1_Region 5.ome.tif	1731002a-7f37-4c47-9a07-f538343addfd	Annotation	VISli	VISli	VIS	Geometry	960.29	1315.8	312782574	0	669	0	0	0	NaN	0	1777.1	168.56
JKBY4.2b_A3_Scan1.qptiff - resolution #1_Region 5.ome.tif	a2058021-4ec9-4086-a63e-b18538b5d9d6	Annotation	VISli1	VISli1	VISli	Geometry	960.29	1315.8	312782578	0	312782574	0	0	0	NaN	0	1777.1	168.56
