Image	Object ID	Object type	Name	Classification	Parent	ROI	Centroid X µm	Centroid Y µm	ID	Side	Parent ID	Num Detections	Num Negative	Num Positive	Positive %	Num Positive per mm^2	Area µm^2	Perimeter µm
JKBY4.2b_A3_Scan1.qptiff - resolution #1_Region 6.ome.tif	3d2bc018-c732-4629-8ee1-344940106d10	Annotation	root	root	Root object (Image)	Geometry	5221.6	2851	997	0	NaN	603	143	460	76.29	9.772	47074289.1	48135
JKBY4.2b_A3_Scan1.qptiff - resolution #1_Region 6.ome.tif	fa72c8a7-275f-4d36-954f-72e432d9aeda	Annotation	grey	grey	root	Geometry	5207.7	2725.6	8	0	997	600	141	459	76.5	10.76	42674054	93972.2
JKBY4.2b_A3_Scan1.qptiff - resolution #1_Region 6.ome.tif	a14d69ed-87b0-498a-a281-65b3f394a7b8	Annotation	CB	CB	grey	Geometry	6961.6	3801.1	512	0	8	0	0	0	NaN	0	305211.3	6188
JKBY4.2b_A3_Scan1.qptiff - resolution #1_Region 6.ome.tif	ca521622-df35-4ed1-abef-64a0cdf4ecb0	Annotation	CBX	CBX	CB	Geometry	8408.8	3523.3	528	0	512	0	0	0	NaN	0	113341.9	1357
JKBY4.2b_A3_Scan1.qptiff - resolution #1_Region 6.ome.tif	415a271f-116e-4958-acb4-948ca66d1529	Annotation	HEM	HEM	CBX	Geometry	8408.8	3523.3	1073	0	528	0	0	0	NaN	0	113341.9	1357
JKBY4.2b_A3_Scan1.qptiff - resolution #1_Region 6.ome.tif	b1f706fc-2ddb-4561-913b-a54561595aa2	Annotation	FL	FL	HEM	Geometry	8408.8	3523.3	1049	0	1073	0	0	0	NaN	0	113341.9	1357
JKBY4.2b_A3_Scan1.qptiff - resolution #1_Region 6.ome.tif	5a41dacb-d6be-4641-8a0a-809ca2d84518	Annotation	CH	CH	grey	Geometry	5040.2	1882	567	0	8	0	0	0	NaN	0	18067235.8	28105.1
JKBY4.2b_A3_Scan1.qptiff - resolution #1_Region 6.ome.tif	bfdd8ac6-ee6e-42aa-9b0b-7810e6e45200	Annotation	CTX	CTX	CH	Geometry	5040.2	1882	688	0	567	0	0	0	NaN	0	18067235.8	28105.1
JKBY4.2b_A3_Scan1.qptiff - resolution #1_Region 6.ome.tif	4f43d23d-c540-4f23-a532-03f5215a579a	Annotation	CTXpl	CTXpl	CTX	Geometry	5040.2	1882	695	0	688	0	0	0	NaN	0	18067235.8	28105.1
JKBY4.2b_A3_Scan1.qptiff - resolution #1_Region 6.ome.tif	65bfec85-911c-4c05-bc9f-5006f9dbed55	Annotation	Isocortex	Isocortex	CTXpl	Geometry	4982.4	733.18	315	0	695	0	0	0	NaN	0	7227997.5	20224.7
