Image	Object ID	Object type	Name	Classification	Parent	ROI	Centroid X µm	Centroid Y µm	ID	Side	Parent ID	Num Detections	Num Negative	Num Positive	Positive %	Num Positive per mm^2	Area µm^2	Perimeter µm
JKBY4.2b_A4_Scan1.qptiff - resolution #1_Region 4.ome.tif	4226efb5-816b-4120-a077-b52ae6d18a67	Annotation	root	root	Root object (Image)	Geometry	4908.5	2947.4	997	0	NaN	589	369	220	37.35	5.133	42864007.4	45288.7
JKBY4.2b_A4_Scan1.qptiff - resolution #1_Region 4.ome.tif	bbc81376-2cb0-47ff-97c3-04e7392c939b	Annotation	grey	grey	root	Geometry	4917.1	2866.7	8	0	997	589	369	220	37.35	5.683	38708549.6	93950.3
JKBY4.2b_A4_Scan1.qptiff - resolution #1_Region 4.ome.tif	8688536d-65e8-403d-aa0a-b82261c7ef9e	Annotation	CB	CB	grey	Geometry	5646.6	3427.8	512	0	8	0	0	0	NaN	0	3466150.1	16784.7
JKBY4.2b_A4_Scan1.qptiff - resolution #1_Region 4.ome.tif	92faa3d3-0169-416c-a791-7db7c290ebb6	Annotation	CBX	CBX	CB	Geometry	5713.5	3418.1	528	0	512	0	0	0	NaN	0	3138226.8	13857.9
JKBY4.2b_A4_Scan1.qptiff - resolution #1_Region 4.ome.tif	915905ac-ebd7-4c58-bf05-e7e8754d2343	Annotation	HEM	HEM	CBX	Geometry	5942.4	3613.9	1073	0	528	0	0	0	NaN	0	1875797.5	11015.3
JKBY4.2b_A4_Scan1.qptiff - resolution #1_Region 4.ome.tif	44150878-5a04-486a-97d4-a31275cc4bb7	Annotation	PFL	PFL	HEM	Geometry	8316.2	3971.3	1041	0	1073	0	0	0	NaN	0	26090.1	680.21
JKBY4.2b_A4_Scan1.qptiff - resolution #1_Region 4.ome.tif	6b8fe263-c570-4d45-bfaf-4e7b5db8398d	Annotation	FL	FL	HEM	Geometry	5416	4091.2	1049	0	1073	0	0	0	NaN	0	1121443.9	5841.5
JKBY4.2b_A4_Scan1.qptiff - resolution #1_Region 4.ome.tif	79845d54-3bb2-4602-8be0-0d6935ac3c12	Annotation	SIM	SIM	HEM	Geometry	6667.9	2866.2	1007	0	1073	0	0	0	NaN	0	728263.5	5029.5
JKBY4.2b_A4_Scan1.qptiff - resolution #1_Region 4.ome.tif	48679b1e-82c2-44a3-a040-e2313b8f7268	Annotation	VERM	VERM	CBX	Geometry	5373.4	3127.1	645	0	528	0	0	0	NaN	0	1262429.3	6343.4
JKBY4.2b_A4_Scan1.qptiff - resolution #1_Region 4.ome.tif	8a569d13-03e7-443d-a40a-ae6409418549	Annotation	CUL	CUL	VERM	Geometry	5373.4	3127.1	928	0	645	0	0	0	NaN	0	1262429.3	6343.4
JKBY4.2b_A4_Scan1.qptiff - resolution #1_Region 4.ome.tif	92feae91-6cb4-4b7b-a044-a914a738114c	Annotation	CUL4, 5	CUL4, 5	CUL	Geometry	5373.4	3127.1	1091	0	928	0	0	0	NaN	0	1262429.3	6343.4
JKBY4.2b_A4_Scan1.qptiff - resolution #1_Region 4.ome.tif	16b789d0-b8c9-4666-8fc5-14603eebe0da	Annotation	CH	CH	grey	Geometry	4430.4	1616.5	567	0	8	0	0	0	NaN	0	9605045.2	20534.6
JKBY4.2b_A4_Scan1.qptiff - resolution #1_Region 4.ome.tif	dad76cb1-a189-4882-ad6a-df51e09533b1	Annotation	CTX	CTX	CH	Geometry	4430.4	1616.5	688	0	567	0	0	0	NaN	0	9605045.2	20534.6
JKBY4.2b_A4_Scan1.qptiff - resolution #1_Region 4.ome.tif	4e026786-b7ac-4959-9642-028ae5967085	Annotation	CTXpl	CTXpl	CTX	Geometry	4430.4	1616.5	695	0	688	0	0	0	NaN	0	9605045.2	20534.6
JKBY4.2b_A4_Scan1.qptiff - resolution #1_Region 4.ome.tif	cda0f084-6c5c-4bd3-b087-2868b25e0af2	Annotation	Isocortex	Isocortex	CTXpl	Geometry	4703.5	751.93	315	0	695	0	0	0	NaN	0	4041306.6	14566.8
JKBY4.2b_A4_Scan1.qptiff - resolution #1_Region 4.ome.tif	96669ebc-2717-4f52-82c7-58205bfd47df	Annotation	VIS	VIS	Isocortex	Geometry	4703.3	776.4	669	0	315	0	0	0	NaN	0	3308742.7	15817.4
JKBY4.2b_A4_Scan1.qptiff - resolution #1_Region 4.ome.tif	5cb7faac-5c88-4fb3-8046-62e10511df2b	Annotation	VISpor	VISpor	VIS	Geometry	2600.2	1118.9	312782628	0	669	0	0	0	NaN	0	248329.5	3471.2
JKBY4.2b_A4_Scan1.qptiff - resolution #1_Region 4.ome.tif	e3f7ba3a-fbbb-4d83-86ef-bbc15afedc25	Annotation	VISpor2/3	VISpor2/3	VISpor	Geometry	633.59	869.39	312782636	0	312782628	0	0	0	NaN	0	70953.4	1500.4
JKBY4.2b_A4_Scan1.qptiff - resolution #1_Region 4.ome.tif	6ce530de-b921-49b5-8adb-ceef6544e8e8	Annotation	VISpor1	VISpor1	VISpor	Geometry	3386.9	1218.8	312782632	0	312782628	0	0	0	NaN	0	177376.1	3229.4
JKBY4.2b_A4_Scan1.qptiff - resolution #1_Region 4.ome.tif	a5a500b3-ce45-4c10-b5b3-f0eb07c621e8	Annotation	VISp	VISp	VIS	Geometry	4760.5	412.04	385	0	669	0	0	0	NaN	0	1495057.8	8564.9
JKBY4.2b_A4_Scan1.qptiff - resolution #1_Region 4.ome.tif	0b0be19f-7176-4652-a9fd-26116e07fe3a	Annotation	VISp2/3	VISp2/3	VISp	Geometry	4232.7	466.53	821	0	385	0	0	0	NaN	0	672304.5	5671.8
JKBY4.2b_A4_Scan1.qptiff - resolution #1_Region 4.ome.tif	55a04054-e87c-4913-91fa-502d0b6eb377	Annotation	VISp1	VISp1	VISp	Geometry	5366	360.36	593	0	385	0	0	0	NaN	0	778747.6	8493.3
JKBY4.2b_A4_Scan1.qptiff - resolution #1_Region 4.ome.tif	4a64245e-4f62-4f12-9fa8-f63a32ae4faf	Annotation	VISp4	VISp4	VISp	Geometry	2107.6	494.49	721	0	385	0	0	0	NaN	0	44005.7	1059.7
JKBY4.2b_A4_Scan1.qptiff - resolution #1_Region 4.ome.tif	df53efa8-4cbd-4f15-9a19-aa1e657f8190	Annotation	VISpl	VISpl	VIS	Geometry	4982.3	1070.1	425	0	669	0	0	0	NaN	0	1565355.7	8986.6
JKBY4.2b_A4_Scan1.qptiff - resolution #1_Region 4.ome.tif	d476f94c-71f5-4ef6-99b7-c47784ad6d5b	Annotation	VISpl2/3	VISpl2/3	VISpl	Geometry	4965.6	1061.8	269	0	425	0	0	0	NaN	0	881100.8	8323.4
JKBY4.2b_A4_Scan1.qptiff - resolution #1_Region 4.ome.tif	8b45683e-5c01-44d5-add7-e5a41d8c2d81	Annotation	VISpl4	VISpl4	VISpl	Geometry	1994.1	561.37	869	0	425	0	0	0	NaN	0	22682.5	992.98
JKBY4.2b_A4_Scan1.qptiff - resolution #1_Region 4.ome.tif	8d5a412f-f6bf-4127-acbd-01158c22c86b	Annotation	VISpl5	VISpl5	VISpl	Geometry	1653.2	790.05	902	0	425	0	0	0	NaN	0	160309.4	2059.1
JKBY4.2b_A4_Scan1.qptiff - resolution #1_Region 4.ome.tif	a2f2b499-1350-4c15-8438-7223e7ed122b	Annotation	VISpl1	VISpl1	VISpl	Geometry	6211.7	1197.1	750	0	425	0	0	0	NaN	0	501263.1	7681
JKBY4.2b_A4_Scan1.qptiff - resolution #1_Region 4.ome.tif	2aa23cfa-d2ea-4487-beb9-86176a184f59	Annotation	RSP	RSP	Isocortex	Geometry	4704.5	641.42	254	0	315	0	0	0	NaN	0	732563.9	6718.4
JKBY4.2b_A4_Scan1.qptiff - resolution #1_Region 4.ome.tif	bd680b88-3a03-4a57-b9b4-012eacc82fce	Annotation	RSPd	RSPd	RSP	Geometry	2647	817.59	879	0	254	0	0	0	NaN	0	100945.9	2309.2
JKBY4.2b_A4_Scan1.qptiff - resolution #1_Region 4.ome.tif	39fb72c3-f0d5-4798-b66f-482880c51b7b	Annotation	RSPd1	RSPd1	RSPd	Geometry	2647	817.59	442	0	879	0	0	0	NaN	0	100945.9	2309.2
JKBY4.2b_A4_Scan1.qptiff - resolution #1_Region 4.ome.tif	e764fbd1-220d-43c8-bf1a-0403d2bd7ac3	Annotation	RSPagl	RSPagl	RSP	Geometry	5033.3	613.26	894	0	254	0	0	0	NaN	0	631618	5805.7
JKBY4.2b_A4_Scan1.qptiff - resolution #1_Region 4.ome.tif	8b952b61-5725-409d-bf0a-e2c02f242915	Annotation	RSPagl1	RSPagl1	RSPagl	Geometry	5826.6	638.13	671	0	894	0	0	0	NaN	0	409136.9	4836.9
JKBY4.2b_A4_Scan1.qptiff - resolution #1_Region 4.ome.tif	956ae48c-aa49-465e-890d-f8ab3e7a38cb	Annotation	RSPagl2/3	RSPagl2/3	RSPagl	Geometry	3574.4	567.53	965	0	894	0	0	0	NaN	0	222481.2	3310
JKBY4.2b_A4_Scan1.qptiff - resolution #1_Region 4.ome.tif	12247b62-be1f-4c3f-bdee-f927bbe62865	Annotation	HPF	HPF	CTXpl	Geometry	4232.1	2244.5	1089	0	695	0	0	0	NaN	0	5563738.5	13920.5
JKBY4.2b_A4_Scan1.qptiff - resolution #1_Region 4.ome.tif	0f8324fb-e24a-42fb-a5dd-51cbec82ed69	Annotation	RHP	RHP	HPF	Geometry	4232.1	2244.5	822	0	1089	0	0	0	NaN	0	5563738.5	13920.5
JKBY4.2b_A4_Scan1.qptiff - resolution #1_Region 4.ome.tif	99d9b5da-274a-43e9-809c-d2bb20b5a5b2	Annotation	PAR	PAR	RHP	Geometry	5226.6	1566.7	843	0	822	0	0	0	NaN	0	595534.9	6451.7
JKBY4.2b_A4_Scan1.qptiff - resolution #1_Region 4.ome.tif	95996c6e-8819-4802-970e-e8b69f318141	Annotation	ENT	ENT	RHP	Geometry	4112.9	2325.7	909	0	822	0	0	0	NaN	0	4968203.6	12219.2
JKBY4.2b_A4_Scan1.qptiff - resolution #1_Region 4.ome.tif	3d6a274b-99b3-4886-b491-7d16d8a922d5	Annotation	ENTm	ENTm	ENT	Geometry	4112.9	2325.7	926	0	909	0	0	0	NaN	0	4968203.6	12219.2
JKBY4.2b_A4_Scan1.qptiff - resolution #1_Region 4.ome.tif	5cd53975-c7d5-4310-b552-0ba3aed79985	Annotation	ENTm1	ENTm1	ENTm	Geometry	5068.4	2661.2	526	0	926	0	0	0	NaN	0	2057277.1	17963.2
JKBY4.2b_A4_Scan1.qptiff - resolution #1_Region 4.ome.tif	77fdd385-02c1-456b-b645-710284b43564	Annotation	ENTm2	ENTm2	ENTm	Geometry	4410.4	2252.5	543	0	926	0	0	0	NaN	0	2150445.4	13801.4
JKBY4.2b_A4_Scan1.qptiff - resolution #1_Region 4.ome.tif	e97a408a-6673-4df9-8cae-faa2cf690b8b	Annotation	ENTm3	ENTm3	ENTm	Geometry	686.66	1625.2	664	0	926	0	0	0	NaN	0	760354.4	3806.8
JKBY4.2b_A4_Scan1.qptiff - resolution #1_Region 4.ome.tif	51ba5e67-1eb5-49fa-baa3-9558f3c7989c	Annotation	BS	BS	grey	Geometry	5000.8	3259.3	343	0	8	589	369	220	37.35	8.581	25637483.1	61998.6
JKBY4.2b_A4_Scan1.qptiff - resolution #1_Region 4.ome.tif	234019b4-d9f1-4ae5-8966-04ec2356ae66	Annotation	HB	HB	BS	Geometry	4755.8	4475.9	1065	0	343	0	0	0	NaN	0	13428338	50570.8
JKBY4.2b_A4_Scan1.qptiff - resolution #1_Region 4.ome.tif	d941ff7e-8df1-4fbc-8bbf-e356a7ca24a8	Annotation	P	P	HB	Geometry	4733.8	4421.6	771	0	1065	0	0	0	NaN	0	12222326.1	39193
JKBY4.2b_A4_Scan1.qptiff - resolution #1_Region 4.ome.tif	ae54764e-781a-4992-a93d-88aaa5df3283	Annotation	P-sat	P-sat	P	Geometry	4988.9	3610.8	1117	0	771	0	0	0	NaN	0	803413.5	9388
JKBY4.2b_A4_Scan1.qptiff - resolution #1_Region 4.ome.tif	7707af13-357e-45e3-99a2-7bde322beb81	Annotation	PRNr	PRNr	P-sat	Geometry	4131.4	3810.1	146	0	1117	0	0	0	NaN	0	60338	3133.5
