Image	Object ID	Object type	Name	Classification	Parent	ROI	Centroid X µm	Centroid Y µm	ID	Side	Parent ID	Num Detections	Num Negative	Num Positive	Positive %	Num Positive per mm^2	Area µm^2	Perimeter µm
JKBY4.2b_A3_Scan1.qptiff - resolution #1_Region 3.ome.tif	4be5a693-8989-465e-ad9f-058f5ed5ab42	Annotation	root	root	Root object (Image)	Geometry	5026.1	2959	997	0	NaN	1190	832	358	30.08	7.463	47973074.5	46233.5
JKBY4.2b_A3_Scan1.qptiff - resolution #1_Region 3.ome.tif	d5ad56b4-8b5c-4eda-8b99-f54d5488ddae	Annotation	grey	grey	root	Geometry	5039.5	2836.4	8	0	997	1190	832	358	30.08	8.146	43950019.8	94749.1
JKBY4.2b_A3_Scan1.qptiff - resolution #1_Region 3.ome.tif	f7f544a0-2e03-4c07-aa0b-053cf7031496	Annotation	CB	CB	grey	Geometry	4877.3	4376.6	512	0	8	0	0	0	NaN	0	101411.8	3910
JKBY4.2b_A3_Scan1.qptiff - resolution #1_Region 3.ome.tif	3f111882-daf7-4937-86ce-5314f8757ef8	Annotation	CH	CH	grey	Geometry	4907.2	2334.7	567	0	8	0	0	0	NaN	0	20392300	31736.8
JKBY4.2b_A3_Scan1.qptiff - resolution #1_Region 3.ome.tif	dce566fd-d5a2-4f4c-b247-e3a84bcaa26e	Annotation	CTX	CTX	CH	Geometry	4907.2	2334.7	688	0	567	0	0	0	NaN	0	20392300	31736.8
JKBY4.2b_A3_Scan1.qptiff - resolution #1_Region 3.ome.tif	2a9e5ee4-1b94-4a84-87eb-dc6ce9788d8f	Annotation	CTXpl	CTXpl	CTX	Geometry	4907.2	2334.7	695	0	688	0	0	0	NaN	0	20392300	31736.8
JKBY4.2b_A3_Scan1.qptiff - resolution #1_Region 3.ome.tif	b31e4c35-f24b-4744-8646-1a7065129226	Annotation	Isocortex	Isocortex	CTXpl	Geometry	5104.8	1136.9	315	0	695	0	0	0	NaN	0	8180255.3	21405.3
JKBY4.2b_A3_Scan1.qptiff - resolution #1_Region 3.ome.tif	024dbf84-f4a3-4365-a0b5-306fba58938d	Annotation	VIS	VIS	Isocortex	Geometry	4987.5	1227.6	669	0	315	0	0	0	NaN	0	6463687.1	20432
JKBY4.2b_A3_Scan1.qptiff - resolution #1_Region 3.ome.tif	2a530c53-a489-4b67-8cf4-4bd5d98aff7b	Annotation	VISli	VISli	VIS	Geometry	662.69	1405.5	312782574	0	669	0	0	0	NaN	0	60102.3	1183.7
JKBY4.2b_A3_Scan1.qptiff - resolution #1_Region 3.ome.tif	39ee46cd-94dd-45ac-8d3b-007a284e3b51	Annotation	VISli2/3	VISli2/3	VISli	Geometry	736.55	1430.7	312782582	0	312782574	0	0	0	NaN	0	27701.9	819.6
JKBY4.2b_A3_Scan1.qptiff - resolution #1_Region 3.ome.tif	439f65fa-5395-4618-abb9-8f2b1fa908a6	Annotation	VISli1	VISli1	VISli	Geometry	599.35	1384	312782578	0	312782574	0	0	0	NaN	0	32400.6	875.92
JKBY4.2b_A3_Scan1.qptiff - resolution #1_Region 3.ome.tif	92f0c5d5-0aad-4a5d-b269-c3555dccacd5	Annotation	VISpor	VISpor	VIS	Geometry	4279.9	2025.8	312782628	0	669	0	0	0	NaN	0	1648157.6	7898.9
JKBY4.2b_A3_Scan1.qptiff - resolution #1_Region 3.ome.tif	d6ee8593-9e95-436a-8092-dfbd4186ab23	Annotation	VISpor2/3	VISpor2/3	VISpor	Geometry	4789.2	2042.9	312782636	0	312782628	0	0	0	NaN	0	586905.8	5924.6
JKBY4.2b_A3_Scan1.qptiff - resolution #1_Region 3.ome.tif	7a424397-7863-486c-8db6-40bf1d3ac47a	Annotation	VISpor1	VISpor1	VISpor	Geometry	4941	2065.4	312782632	0	312782628	0	0	0	NaN	0	363557.9	6125.6
JKBY4.2b_A3_Scan1.qptiff - resolution #1_Region 3.ome.tif	0ea345f5-d4ad-46fe-9dfa-d943e046811d	Annotation	VISpor5	VISpor5	VISpor	Geometry	3916.7	2024.8	312782644	0	312782628	0	0	0	NaN	0	555473.1	4849.3
