Region,Global slice index,TRAPed_alsoVgat,TRAPed_alsoVglut
dlPAG,Slice 3,0.0,0.355
dlPAG,Slice 4,0.47,1.1549999999999998
dlPAG,Slice 5,0.885,0.915
dlPAG,Slice 6,1.01,0.9950000000000001
dlPAG,Slice 7,1.355,0.95
dlPAG,Slice 8,0.65,1.11
dmPAG,Slice 3,0.0,0.0
dmPAG,Slice 4,0.0,0.0
dmPAG,Slice 5,0.605,0.9
dmPAG,Slice 6,0.77,1.075
dmPAG,Slice 7,1.26,1.0150000000000001
dmPAG,Slice 8,0.0,1.12
lPAG,Slice 3,1.1800000000000002,0.855
lPAG,Slice 4,0.95,1.045
lPAG,Slice 5,0.96,0.905
lPAG,Slice 6,1.01,0.9650000000000001
lPAG,Slice 7,0.995,1.03
lPAG,Slice 8,1.32,1.06
vlPAG,Slice 3,0.505,1.08
vlPAG,Slice 4,0.885,1.2149999999999999
vlPAG,Slice 5,0.755,0.855
vlPAG,Slice 6,0.77,1.2650000000000001
vlPAG,Slice 7,0.79,1.2000000000000002
vlPAG,Slice 8,0.93,1.15
