Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Allen ID	Parent Allen ID	Side	Num Detections	Num Negative	Num Positive	Positive %	Num Positive per mm^2	Area µm^2	Perimeter µm
JKAY22.3d_1_Scan1_[4323,36851]_component_data_merged_Region 1.ome.tif	root	root	Image	Geometry	5828.9	3832.2	997	0	0	785	601	184	23.44	3.172	57999686.3	41960.8
JKAY22.3d_1_Scan1_[4323,36851]_component_data_merged_Region 1.ome.tif	Basic cell groups and regions	grey	root	Geometry	5826.8	3767.6	8	997	0	785	601	184	23.44	3.546	51883498	110721.1
JKAY22.3d_1_Scan1_[4323,36851]_component_data_merged_Region 1.ome.tif	Cerebellum	CB	Basic cell groups and regions	Geometry	6375.4	6079.1	512	8	0	0	0	0	NaN	0	31312.6	4392
JKAY22.3d_1_Scan1_[4323,36851]_component_data_merged_Region 1.ome.tif	Cerebrum	CH	Basic cell groups and regions	Geometry	5824.1	3650.6	567	8	0	0	0	0	NaN	0	30841701.4	64997.8
JKAY22.3d_1_Scan1_[4323,36851]_component_data_merged_Region 1.ome.tif	Cerebral cortex	CTX	Cerebrum	Geometry	5824.1	3650.6	688	567	0	0	0	0	NaN	0	30841701.4	64997.8
JKAY22.3d_1_Scan1_[4323,36851]_component_data_merged_Region 1.ome.tif	Cortical plate	CTXpl	Cerebral cortex	Geometry	5819.9	3624.7	695	688	0	0	0	0	NaN	0	30530059.5	67730.2
JKAY22.3d_1_Scan1_[4323,36851]_component_data_merged_Region 1.ome.tif	Hippocampal formation	HPF	Cortical plate	Geometry	5933.9	4322.9	1089	695	0	0	0	0	NaN	0	15137585.9	36288.8
JKAY22.3d_1_Scan1_[4323,36851]_component_data_merged_Region 1.ome.tif	Hippocampal region	HIP	Hippocampal formation	Geometry	5368.4	4505.8	1080	1089	0	0	0	0	NaN	0	7725920.7	18657.6
JKAY22.3d_1_Scan1_[4323,36851]_component_data_merged_Region 1.ome.tif	Dentate gyrus	DG	Hippocampal region	Geometry	5897.5	4448.9	726	1080	0	0	0	0	NaN	0	4283608.3	15377.3
JKAY22.3d_1_Scan1_[4323,36851]_component_data_merged_Region 1.ome.tif	Dentate gyrus, granule cell layer	DG-sg	Dentate gyrus	Geometry	6188.7	4487.5	632	726	0	0	0	0	NaN	0	999032.6	18565.6
JKAY22.3d_1_Scan1_[4323,36851]_component_data_merged_Region 1.ome.tif	Dentate gyrus, molecular layer	DG-mo	Dentate gyrus	Geometry	5997.3	4289.7	10703	726	0	0	0	0	NaN	0	2193782.9	24842.5
JKAY22.3d_1_Scan1_[4323,36851]_component_data_merged_Region 1.ome.tif	Dentate gyrus, polymorph layer	DG-po	Dentate gyrus	Geometry	5429.5	4733.2	10704	726	0	0	0	0	NaN	0	1090387.2	8461.9
JKAY22.3d_1_Scan1_[4323,36851]_component_data_merged_Region 1.ome.tif	Ammon's horn	CA	Hippocampal region	Geometry	4710.1	4576.6	375	1080	0	0	0	0	NaN	0	3442217	15437.6
JKAY22.3d_1_Scan1_[4323,36851]_component_data_merged_Region 1.ome.tif	Field CA1	CA1	Ammon's horn	Geometry	4763.6	4563.2	382	375	0	0	0	0	NaN	0	3330467.8	14024.6
JKAY22.3d_1_Scan1_[4323,36851]_component_data_merged_Region 1.ome.tif	Field CA3	CA3	Ammon's horn	Geometry	3116.8	4974.1	463	375	0	0	0	0	NaN	0	111749.1	1413
JKAY22.3d_1_Scan1_[4323,36851]_component_data_merged_Region 1.ome.tif	Retrohippocampal region	RHP	Hippocampal formation	Geometry	6524.5	4138.5	822	1089	0	0	0	0	NaN	0	7366336.2	30699.1
JKAY22.3d_1_Scan1_[4323,36851]_component_data_merged_Region 1.ome.tif	Prosubiculum	ProS	Retrohippocampal region	Geometry	7907.2	3695.3	484682470	822	0	0	0	0	NaN	0	1582276.3	9833.2
JKAY22.3d_1_Scan1_[4323,36851]_component_data_merged_Region 1.ome.tif	Postsubiculum	POST	Retrohippocampal region	Geometry	5785.5	2187.8	1037	822	0	0	0	0	NaN	0	1304113.7	8050.5
JKAY22.3d_1_Scan1_[4323,36851]_component_data_merged_Region 1.ome.tif	Presubiculum	PRE	Retrohippocampal region	Geometry	7278.2	2953.5	1084	822	0	0	0	0	NaN	0	116480	2509.2
JKAY22.3d_1_Scan1_[4323,36851]_component_data_merged_Region 1.ome.tif	Hippocampo-amygdalar transition area	HATA	Retrohippocampal region	Geometry	6502.3	6048.8	589508447	822	0	0	0	0	NaN	0	223920.7	3024.3
JKAY22.3d_1_Scan1_[4323,36851]_component_data_merged_Region 1.ome.tif	Entorhinal area	ENT	Retrohippocampal region	Geometry	6309.2	5409.1	909	822	0	0	0	0	NaN	0	3292438.9	11103.1
JKAY22.3d_1_Scan1_[4323,36851]_component_data_merged_Region 1.ome.tif	Entorhinal area, lateral part	ENTl	Entorhinal area	Geometry	6309.2	5409.1	918	909	0	0	0	0	NaN	0	3292438.9	11103.1
JKAY22.3d_1_Scan1_[4323,36851]_component_data_merged_Region 1.ome.tif	Entorhinal area, lateral part, layer 2	ENTl2	Entorhinal area, lateral part	Geometry	6450.1	5469.5	20	918	0	0	0	0	NaN	0	927403.3	7783.3
JKAY22.3d_1_Scan1_[4323,36851]_component_data_merged_Region 1.ome.tif	Entorhinal area, lateral part, layer 6a	ENTl6a	Entorhinal area, lateral part	Geometry	6337.6	5272.4	28	918	0	0	0	0	NaN	0	410997.5	6442.7
JKAY22.3d_1_Scan1_[4323,36851]_component_data_merged_Region 1.ome.tif	Entorhinal area, lateral part, layer 3	ENTl3	Entorhinal area, lateral part	Geometry	6069.7	5404.1	52	918	0	0	0	0	NaN	0	715318.7	7235.1
JKAY22.3d_1_Scan1_[4323,36851]_component_data_merged_Region 1.ome.tif	Entorhinal area, lateral part, layer 1	ENTl1	Entorhinal area, lateral part	Geometry	6555.3	5447.9	1121	918	0	0	0	0	NaN	0	512565.5	7532.7
JKAY22.3d_1_Scan1_[4323,36851]_component_data_merged_Region 1.ome.tif	Entorhinal area, lateral part, layer 5	ENTl5	Entorhinal area, lateral part	Geometry	6175.4	5387	139	918	0	0	0	0	NaN	0	726154	6932.5
JKAY22.3d_1_Scan1_[4323,36851]_component_data_merged_Region 1.ome.tif	Subiculum	SUB	Retrohippocampal region	Geometry	5818.7	2688.8	502	822	0	0	0	0	NaN	0	847106.6	5390.8
JKAY22.3d_1_Scan1_[4323,36851]_component_data_merged_Region 1.ome.tif	Olfactory areas	OLF	Cortical plate	Geometry	5490.3	6329.4	698	695	0	0	0	0	NaN	0	2575764.1	10992.7
JKAY22.3d_1_Scan1_[4323,36851]_component_data_merged_Region 1.ome.tif	Postpiriform transition area	TR	Olfactory areas	Geometry	5441.7	6200	566	698	0	0	0	0	NaN	0	1721304.8	8133
JKAY22.3d_1_Scan1_[4323,36851]_component_data_merged_Region 1.ome.tif	Cortical amygdalar area	COA	Olfactory areas	Geometry	5588.4	6595.4	631	698	0	0	0	0	NaN	0	848732.1	5160.8
JKAY22.3d_1_Scan1_[4323,36851]_component_data_merged_Region 1.ome.tif	Cortical amygdalar area, posterior part	COAp	Cortical amygdalar area	Geometry	5588.4	6595.4	647	631	0	0	0	0	NaN	0	848732.1	5160.8
JKAY22.3d_1_Scan1_[4323,36851]_component_data_merged_Region 1.ome.tif	Cortical amygdalar area, posterior part, lateral zone	COApl	Cortical amygdalar area, posterior part	Geometry	3804	6458.1	655	647	0	0	0	0	NaN	0	184631.8	3543.8
JKAY22.3d_1_Scan1_[4323,36851]_component_data_merged_Region 1.ome.tif	Cortical amygdalar area, posterior part, medial zone	COApm	Cortical amygdalar area, posterior part	Geometry	6084.4	6633.6	663	647	0	0	0	0	NaN	0	664100.3	4500.1
JKAY22.3d_1_Scan1_[4323,36851]_component_data_merged_Region 1.ome.tif	Isocortex	Isocortex	Cortical plate	Geometry	5751.6	2256.6	315	695	0	0	0	0	NaN	0	12816709.5	31536.5
JKAY22.3d_1_Scan1_[4323,36851]_component_data_merged_Region 1.ome.tif	Temporal association areas	TEa	Isocortex	Geometry	5723.2	3189.1	541	315	0	0	0	0	NaN	0	3183156	10914.6
JKAY22.3d_1_Scan1_[4323,36851]_component_data_merged_Region 1.ome.tif	Temporal association areas, layer 1	TEa1	Temporal association areas	Geometry	5876	3026.8	97	541	0	0	0	0	NaN	0	558240.9	8215.1
JKAY22.3d_1_Scan1_[4323,36851]_component_data_merged_Region 1.ome.tif	Temporal association areas, layer 2/3	TEa2/3	Temporal association areas	Geometry	5974.7	3077.4	1127	541	0	0	0	0	NaN	0	726508.4	8012.3
JKAY22.3d_1_Scan1_[4323,36851]_component_data_merged_Region 1.ome.tif	Temporal association areas, layer 6a	TEa6a	Temporal association areas	Geometry	5290.1	3403.1	729	541	0	0	0	0	NaN	0	434223.6	5699.4
JKAY22.3d_1_Scan1_[4323,36851]_component_data_merged_Region 1.ome.tif	Temporal association areas, layer 4	TEa4	Temporal association areas	Geometry	5798.5	3099.4	234	541	0	0	0	0	NaN	0	388386	6964.4
JKAY22.3d_1_Scan1_[4323,36851]_component_data_merged_Region 1.ome.tif	Temporal association areas, layer 6b	TEa6b	Temporal association areas	Geometry	5074.5	3465.5	786	541	0	0	0	0	NaN	0	95106.1	4463.7
