Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Allen ID	Parent Allen ID	Side	Num Detections	Num Negative	Num Positive	Positive %	Num Positive per mm^2	Area µm^2	Perimeter µm
JKAY22.3d_2_Scan1_[6881,59359]_component_data_merged_Region 4.ome.tif	dmPAG	PAG_subregions	Image	Polygon	5105.6	1914.6	NaN	NaN	NaN	62	47	15	24.19	48.6	308634.2	2517.5
JKAY22.3d_2_Scan1_[6881,59359]_component_data_merged_Region 4.ome.tif	dlPAG-r	PAG_subregions	Image	Polygon	5552.1	2054.4	NaN	NaN	NaN	31	28	3	9.677	13.03	230231.3	2078.8
JKAY22.3d_2_Scan1_[6881,59359]_component_data_merged_Region 4.ome.tif	lPAG-r	PAG_subregions	Image	Polygon	5600.4	2474.9	NaN	NaN	NaN	126	119	7	5.556	21.29	328719.2	2418.1
JKAY22.3d_2_Scan1_[6881,59359]_component_data_merged_Region 4.ome.tif	vlPAG-r	PAG_subregions	Image	Polygon	5423.9	2956.9	NaN	NaN	NaN	141	107	34	24.11	86.3	393986.3	2530.4
JKAY22.3d_2_Scan1_[6881,59359]_component_data_merged_Region 4.ome.tif	dlPAG-l	PAG_subregions	Image	Polygon	4676.3	2117.6	NaN	NaN	NaN	52	38	14	26.92	79.81	175422.7	1854.9
JKAY22.3d_2_Scan1_[6881,59359]_component_data_merged_Region 4.ome.tif	lPAG-l	PAG_subregions	Image	Polygon	4560.1	2466.3	NaN	NaN	NaN	122	120	2	1.639	6.892	290182.8	2273.2
JKAY22.3d_2_Scan1_[6881,59359]_component_data_merged_Region 4.ome.tif	vlPAG-l	PAG_subregions	Image	Polygon	4742.5	2883.5	NaN	NaN	NaN	142	112	30	21.13	84.75	353990.5	2398.1
JKAY22.3d_2_Scan1_[6881,59359]_component_data_merged_Region 4.ome.tif	Cerebellum	CB	Image	Geometry	5298.5	5129.5	512	8	0	0	0	0	NaN	0	77371.5	4251.9
JKAY22.3d_2_Scan1_[6881,59359]_component_data_merged_Region 4.ome.tif	Cerebrum	CH	Image	Geometry	4737.1	2921.4	567	8	0	0	0	0	NaN	0	19369456.2	50593.8
JKAY22.3d_2_Scan1_[6881,59359]_component_data_merged_Region 4.ome.tif	Brain stem	BS	Image	Geometry	5150.2	3598.7	343	8	0	675	570	105	15.56	4.529	23185575.6	47257.6
JKAY22.3d_2_Scan1_[6881,59359]_component_data_merged_Region 4.ome.tif	Hindbrain	HB	Brain stem	Geometry	5172.3	5410.9	1065	343	0	0	0	0	NaN	0	8373321.6	31024.6
JKAY22.3d_2_Scan1_[6881,59359]_component_data_merged_Region 4.ome.tif	Pons	P	Hindbrain	Geometry	5172.3	5410.9	771	1065	0	0	0	0	NaN	0	8373321.6	31024.6
JKAY22.3d_2_Scan1_[6881,59359]_component_data_merged_Region 4.ome.tif	Pons, behavioral state related	P-sat	Pons	Geometry	5180.2	4923.6	1117	771	0	0	0	0	NaN	0	3152136.7	13063.4
JKAY22.3d_2_Scan1_[6881,59359]_component_data_merged_Region 4.ome.tif	Pontine reticular nucleus	PRNr	Pons, behavioral state related	Geometry	5198.8	4930.4	146	1117	0	0	0	0	NaN	0	2611413.2	9203.4
JKAY22.3d_2_Scan1_[6881,59359]_component_data_merged_Region 4.ome.tif	Superior central nucleus raphe	CS	Pons, behavioral state related	Polygon	5090.8	4890.4	679	1117	0	0	0	0	NaN	0	540724.8	3860
JKAY22.3d_2_Scan1_[6881,59359]_component_data_merged_Region 4.ome.tif	Pons, sensory related	P-sen	Pons	Geometry	5339.2	5293	1132	771	0	0	0	0	NaN	0	1363167.7	8509.9
JKAY22.3d_2_Scan1_[6881,59359]_component_data_merged_Region 4.ome.tif	Nucleus of the lateral lemniscus	NLL	Pons, sensory related	Geometry	5339.2	5293	612	1132	0	0	0	0	NaN	0	1363167.7	8509.9
JKAY22.3d_2_Scan1_[6881,59359]_component_data_merged_Region 4.ome.tif	Pons, motor related	P-mot	Pons	Geometry	5121.3	6095.3	987	771	0	0	0	0	NaN	0	2085080.9	13729
JKAY22.3d_2_Scan1_[6881,59359]_component_data_merged_Region 4.ome.tif	Tegmental reticular nucleus	TRN	Pons, motor related	Geometry	5069.9	5939	574	987	0	0	0	0	NaN	0	1505454.2	12410
JKAY22.3d_2_Scan1_[6881,59359]_component_data_merged_Region 4.ome.tif	Pontine gray	PG	Pons, motor related	Geometry	5254.8	6501.4	931	987	0	0	0	0	NaN	0	579626.6	6838.3
JKAY22.3d_2_Scan1_[6881,59359]_component_data_merged_Region 4.ome.tif	Midbrain	MB	Brain stem	Geometry	5137.7	2574.2	313	343	0	675	570	105	15.56	7.089	14812254	24455.5
JKAY22.3d_2_Scan1_[6881,59359]_component_data_merged_Region 4.ome.tif	Midbrain, motor related	MBmot	Midbrain	Geometry	5111	2547.1	323	313	0	673	568	105	15.6	10.84	9688824.3	23125.4
JKAY22.3d_2_Scan1_[6881,59359]_component_data_merged_Region 4.ome.tif	Periaqueductal gray	PAG	Midbrain, motor related	Polygon	5121.9	2473.4	795	323	0	670	567	103	15.37	49.84	2066745	7402.3
JKAY22.3d_2_Scan1_[6881,59359]_component_data_merged_Region 4.ome.tif	Oculomotor nucleus	III	Midbrain, motor related	Geometry	5060.3	3410.8	35	323	0	0	0	0	NaN	0	55056.6	1292.1
JKAY22.3d_2_Scan1_[6881,59359]_component_data_merged_Region 4.ome.tif	Superior colliculus, motor related	SCm	Midbrain, motor related	Polygon	5121.9	1686.5	294	323	0	1	1	0	0	0	3587602.7	10790.7
JKAY22.3d_2_Scan1_[6881,59359]_component_data_merged_Region 4.ome.tif	Superior colliculus, motor related, intermediate gray layer	SCig	Superior colliculus, motor related	Polygon	5010.6	1415.3	10	294	0	0	0	0	NaN	0	1077010	10350.3
JKAY22.3d_2_Scan1_[6881,59359]_component_data_merged_Region 4.ome.tif	Superior colliculus, motor related, intermediate white layer	SCiw	Superior colliculus, motor related	Polygon	5142.7	1677.3	17	294	0	0	0	0	NaN	0	1336101.2	9460
JKAY22.3d_2_Scan1_[6881,59359]_component_data_merged_Region 4.ome.tif	Superior colliculus, motor related, deep gray layer	SCdg	Superior colliculus, motor related	Polygon	5214.3	1947.8	26	294	0	0	0	0	NaN	0	977109.5	7887.5
JKAY22.3d_2_Scan1_[6881,59359]_component_data_merged_Region 4.ome.tif	Superior colliculus, motor related, deep white layer	SCdw	Superior colliculus, motor related	Polygon	5131.8	1936.5	42	294	0	1	1	0	0	0	197383.5	5526.2
JKAY22.3d_2_Scan1_[6881,59359]_component_data_merged_Region 4.ome.tif	Midbrain reticular nucleus	MRN	Midbrain, motor related	Geometry	5114.2	3342.8	128	323	0	2	0	2	100	0.5093	3926775.3	12742.8
JKAY22.3d_2_Scan1_[6881,59359]_component_data_merged_Region 4.ome.tif	Midbrain reticular nucleus, retrorubral area	RR	Midbrain, motor related	Polygon	3786.4	3789.8	246	323	0	0	0	0	NaN	0	52665.9	986.21
JKAY22.3d_2_Scan1_[6881,59359]_component_data_merged_Region 4.ome.tif	Entorhinal area, lateral part	ENTl	Image	Geometry	4633.5	4250.7	918	909	0	0	0	0	NaN	0	4092070	13394.2
JKAY22.3d_2_Scan1_[6881,59359]_component_data_merged_Region 4.ome.tif	Entorhinal area, lateral part, layer 2	ENTl2	Entorhinal area, lateral part	Geometry	4474.6	4371.6	20	918	0	0	0	0	NaN	0	995123.7	11080.2
JKAY22.3d_2_Scan1_[6881,59359]_component_data_merged_Region 4.ome.tif	Entorhinal area, lateral part, layer 6a	ENTl6a	Entorhinal area, lateral part	Geometry	5091.3	4015.4	28	918	0	0	0	0	NaN	0	921496.7	10224
