Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Allen ID	Parent Allen ID	Side	Num Detections	Num Negative	Num Positive	Positive %	Num Positive per mm^2	Area µm^2	Perimeter µm
JKAY22.3d_1_Scan1_[4323,36851]_component_data_merged_Region 2.ome.tif	root	root	Image	Geometry	5717.4	3804.4	997	0	0	743	160	583	78.47	10.4	56067241.3	41259.1
JKAY22.3d_1_Scan1_[4323,36851]_component_data_merged_Region 2.ome.tif	ventricular systems	VS	root	Polygon	5829.6	3033.6	73	997	0	0	0	0	NaN	0	2357.1	183.04
JKAY22.3d_1_Scan1_[4323,36851]_component_data_merged_Region 2.ome.tif	cerebral aqueduct	AQ	ventricular systems	Polygon	5829.6	3033.6	140	73	0	0	0	0	NaN	0	2357.1	183.04
JKAY22.3d_1_Scan1_[4323,36851]_component_data_merged_Region 2.ome.tif	fiber tracts	fiber tracts	root	Geometry	5746.4	3987.9	1009	997	0	0	0	0	NaN	0	4032718.6	60870.7
JKAY22.3d_1_Scan1_[4323,36851]_component_data_merged_Region 2.ome.tif	cerebellum related fiber tracts	cbf	fiber tracts	Geometry	6066.8	6221.2	960	1009	0	0	0	0	NaN	0	321821	3871.8
JKAY22.3d_1_Scan1_[4323,36851]_component_data_merged_Region 2.ome.tif	cerebellar peduncles	cbp	cerebellum related fiber tracts	Geometry	6066.8	6221.2	752	960	0	0	0	0	NaN	0	321821	3871.8
JKAY22.3d_1_Scan1_[4323,36851]_component_data_merged_Region 2.ome.tif	middle cerebellar peduncle	mcp	cerebellar peduncles	Geometry	6066.8	6221.2	78	752	0	0	0	0	NaN	0	321821	3871.8
JKAY22.3d_1_Scan1_[4323,36851]_component_data_merged_Region 2.ome.tif	cranial nerves	cm	fiber tracts	Geometry	5828.2	5035.4	967	1009	0	0	0	0	NaN	0	613384.8	12622.9
JKAY22.3d_1_Scan1_[4323,36851]_component_data_merged_Region 2.ome.tif	dorsal roots	drt	cranial nerves	Geometry	5688.9	5593.8	792	967	0	0	0	0	NaN	0	475768.2	4640
JKAY22.3d_1_Scan1_[4323,36851]_component_data_merged_Region 2.ome.tif	cervicothalamic tract	cett	dorsal roots	Geometry	5688.9	5593.8	932	792	0	0	0	0	NaN	0	475768.2	4640
JKAY22.3d_1_Scan1_[4323,36851]_component_data_merged_Region 2.ome.tif	medial lemniscus	ml	cervicothalamic tract	Geometry	5688.9	5593.8	697	932	0	0	0	0	NaN	0	475768.2	4640
JKAY22.3d_1_Scan1_[4323,36851]_component_data_merged_Region 2.ome.tif	oculomotor nerve	IIIn	cranial nerves	Geometry	5621.5	4147.1	832	967	0	0	0	0	NaN	0	18177.6	2019.5
JKAY22.3d_1_Scan1_[4323,36851]_component_data_merged_Region 2.ome.tif	medial longitudinal fascicle	mlf	oculomotor nerve	Geometry	5773.3	4005.8	62	832	0	0	0	0	NaN	0	16348.7	1587.2
JKAY22.3d_1_Scan1_[4323,36851]_component_data_merged_Region 2.ome.tif	optic nerve	IIn	cranial nerves	Geometry	5863.6	2616.7	848	967	0	0	0	0	NaN	0	65494.4	4408.6
JKAY22.3d_1_Scan1_[4323,36851]_component_data_merged_Region 2.ome.tif	brachium of the superior colliculus	bsc	optic nerve	Geometry	5863.6	2616.7	916	848	0	0	0	0	NaN	0	65494.4	4408.6
JKAY22.3d_1_Scan1_[4323,36851]_component_data_merged_Region 2.ome.tif	vestibulocochlear nerve	VIIIn	cranial nerves	Geometry	7083.2	3346.9	933	967	0	0	0	0	NaN	0	53944.6	1554.9
JKAY22.3d_1_Scan1_[4323,36851]_component_data_merged_Region 2.ome.tif	cochlear nerve	cVIIIn	vestibulocochlear nerve	Geometry	7083.2	3346.9	948	933	0	0	0	0	NaN	0	53944.6	1554.9
JKAY22.3d_1_Scan1_[4323,36851]_component_data_merged_Region 2.ome.tif	brachium of the inferior colliculus	bic	cochlear nerve	Geometry	7083.2	3346.9	482	948	0	0	0	0	NaN	0	53944.6	1554.9
JKAY22.3d_1_Scan1_[4323,36851]_component_data_merged_Region 2.ome.tif	lateral forebrain bundle system	lfbs	fiber tracts	Geometry	5689.2	3670	983	1009	0	0	0	0	NaN	0	1975246.6	36833.7
JKAY22.3d_1_Scan1_[4323,36851]_component_data_merged_Region 2.ome.tif	corpus callosum	cc	lateral forebrain bundle system	Geometry	5713.4	2997.7	776	983	0	0	0	0	NaN	0	812731.4	29263.7
JKAY22.3d_1_Scan1_[4323,36851]_component_data_merged_Region 2.ome.tif	corpus callosum, anterior forceps	fa	corpus callosum	Geometry	6124.3	4843.5	956	776	0	0	0	0	NaN	0	238520.4	12532.7
JKAY22.3d_1_Scan1_[4323,36851]_component_data_merged_Region 2.ome.tif	external capsule	ec	corpus callosum, anterior forceps	Geometry	6124.3	4843.5	579	956	0	0	0	0	NaN	0	238520.4	12532.7
JKAY22.3d_1_Scan1_[4323,36851]_component_data_merged_Region 2.ome.tif	corpus callosum, posterior forceps	fp	corpus callosum	Geometry	5542.7	2230.9	971	776	0	0	0	0	NaN	0	574211	16909.8
JKAY22.3d_1_Scan1_[4323,36851]_component_data_merged_Region 2.ome.tif	corticospinal tract	cst	lateral forebrain bundle system	Geometry	5606	5410.6	784	983	0	0	0	0	NaN	0	640321.9	9824
JKAY22.3d_1_Scan1_[4323,36851]_component_data_merged_Region 2.ome.tif	cerebal peduncle	cpd	corticospinal tract	Geometry	5606	5410.6	924	784	0	0	0	0	NaN	0	640321.9	9824
JKAY22.3d_1_Scan1_[4323,36851]_component_data_merged_Region 2.ome.tif	thalamus related	lfbst	lateral forebrain bundle system	Geometry	5753.9	2582.1	896	983	0	0	0	0	NaN	0	522193.3	16831.8
JKAY22.3d_1_Scan1_[4323,36851]_component_data_merged_Region 2.ome.tif	optic radiation	or	thalamus related	Geometry	5732.7	2496.6	484682520	896	0	0	0	0	NaN	0	473383.1	15194.2
JKAY22.3d_1_Scan1_[4323,36851]_component_data_merged_Region 2.ome.tif	auditory radiation	ar	thalamus related	Geometry	5959.3	3411.3	484682524	896	0	0	0	0	NaN	0	48810.1	3460.5
JKAY22.3d_1_Scan1_[4323,36851]_component_data_merged_Region 2.ome.tif	medial forebrain bundle system	mfbs	fiber tracts	Geometry	5689.8	2812.5	991	1009	0	0	0	0	NaN	0	758918.6	28616.3
JKAY22.3d_1_Scan1_[4323,36851]_component_data_merged_Region 2.ome.tif	cerebrum related	mfbc	medial forebrain bundle system	Geometry	5686.8	2713.5	768	991	0	0	0	0	NaN	0	717388.2	26299.1
JKAY22.3d_1_Scan1_[4323,36851]_component_data_merged_Region 2.ome.tif	fornix system	fxs	cerebrum related	Geometry	5706.3	2734.8	1099	768	0	0	0	0	NaN	0	706706.4	25707.1
JKAY22.3d_1_Scan1_[4323,36851]_component_data_merged_Region 2.ome.tif	hippocampal commissures	hc	fornix system	Geometry	5644.1	1989.4	618	1099	0	0	0	0	NaN	0	441998.6	4374.4
JKAY22.3d_1_Scan1_[4323,36851]_component_data_merged_Region 2.ome.tif	dorsal hippocampal commissure	dhc	hippocampal commissures	Geometry	5644.1	1989.4	443	618	0	0	0	0	NaN	0	441998.6	4374.4
JKAY22.3d_1_Scan1_[4323,36851]_component_data_merged_Region 2.ome.tif	alveus	alv	fornix system	Geometry	5810.3	3979.5	466	1099	0	0	0	0	NaN	0	264707.8	22608.8
JKAY22.3d_1_Scan1_[4323,36851]_component_data_merged_Region 2.ome.tif	cingulum bundle	cing	cerebrum related	Geometry	4395.4	1301	940	768	0	0	0	0	NaN	0	10681.8	591.96
JKAY22.3d_1_Scan1_[4323,36851]_component_data_merged_Region 2.ome.tif	hypothalamus related	mfsbshy	medial forebrain bundle system	Geometry	5742.2	4523.1	824	991	0	0	0	0	NaN	0	41530.4	2317.2
JKAY22.3d_1_Scan1_[4323,36851]_component_data_merged_Region 2.ome.tif	mammillary related	mfbsma	hypothalamus related	Geometry	5742.2	4523.1	46	824	0	0	0	0	NaN	0	41530.4	2317.2
JKAY22.3d_1_Scan1_[4323,36851]_component_data_merged_Region 2.ome.tif	mammillotegmental tract	mtg	mammillary related	Geometry	5742.2	4523.1	681	46	0	0	0	0	NaN	0	41530.4	2317.2
JKAY22.3d_1_Scan1_[4323,36851]_component_data_merged_Region 2.ome.tif	extrapyramidal fiber systems	eps	fiber tracts	Geometry	5737.9	4917.9	1000	1009	0	0	0	0	NaN	0	308260.6	6342.9
JKAY22.3d_1_Scan1_[4323,36851]_component_data_merged_Region 2.ome.tif	rubrospinal tract	rust	extrapyramidal fiber systems	Geometry	5734.4	4990.4	863	1000	0	0	0	0	NaN	0	251571.7	3473.9
JKAY22.3d_1_Scan1_[4323,36851]_component_data_merged_Region 2.ome.tif	ventral tegmental decussation	vtd	rubrospinal tract	Polygon	5721.4	4793.5	397	863	0	0	0	0	NaN	0	87842.3	1081.8
JKAY22.3d_1_Scan1_[4323,36851]_component_data_merged_Region 2.ome.tif	tectospinal pathway	tsp	extrapyramidal fiber systems	Geometry	5753.2	4596.2	877	1000	0	0	0	0	NaN	0	56688.8	2869
JKAY22.3d_1_Scan1_[4323,36851]_component_data_merged_Region 2.ome.tif	crossed tectospinal pathway	tspc	tectospinal pathway	Geometry	5751.9	4655.7	1043	877	0	0	0	0	NaN	0	46467.8	1697.7
JKAY22.3d_1_Scan1_[4323,36851]_component_data_merged_Region 2.ome.tif	doral tegmental decussation	dtd	tectospinal pathway	Geometry	5759.1	4325.9	1060	877	0	0	0	0	NaN	0	10221	1220.5
JKAY22.3d_1_Scan1_[4323,36851]_component_data_merged_Region 2.ome.tif	supra-callosal cerebral white matter	scwm	fiber tracts	Geometry	5795.3	1352.6	484682512	1009	0	0	0	0	NaN	0	40661.1	1832.8
JKAY22.3d_1_Scan1_[4323,36851]_component_data_merged_Region 2.ome.tif	dmPAG	PAG_subregions	Image	Polygon	5867.2	2650.3	NaN	NaN	NaN	114	34	80	70.18	262.36	304925.2	2325
JKAY22.3d_1_Scan1_[4323,36851]_component_data_merged_Region 2.ome.tif	dlPAG-r	PAG_subregions	Image	Polygon	6249.6	2822.5	NaN	NaN	NaN	57	6	51	89.47	315.11	161848.1	1865.3
JKAY22.3d_1_Scan1_[4323,36851]_component_data_merged_Region 2.ome.tif	lPAG-r	PAG_subregions	Image	Polygon	6288.3	3149.8	NaN	NaN	NaN	137	17	120	87.59	518.78	231311.4	2015.3
JKAY22.3d_1_Scan1_[4323,36851]_component_data_merged_Region 2.ome.tif	vlPAG-r	PAG_subregions	Image	Polygon	6004.3	3534.2	NaN	NaN	NaN	138	37	101	73.19	444.35	227297.6	2274.6
JKAY22.3d_1_Scan1_[4323,36851]_component_data_merged_Region 2.ome.tif	dlPAG-l	PAG_subregions	Image	Polygon	5475.5	2800.2	NaN	NaN	NaN	47	7	40	85.11	288.35	138719.6	1725.4
JKAY22.3d_1_Scan1_[4323,36851]_component_data_merged_Region 2.ome.tif	lPAG-l	PAG_subregions	Image	Polygon	5383	3103.6	NaN	NaN	NaN	115	14	101	87.83	512.73	196985.8	1870.6
JKAY22.3d_1_Scan1_[4323,36851]_component_data_merged_Region 2.ome.tif	vlPAG-l	PAG_subregions	Image	Polygon	5567.1	3514.2	NaN	NaN	NaN	135	45	90	66.67	357.29	251894.6	2360.6
JKAY22.3d_1_Scan1_[4323,36851]_component_data_merged_Region 2.ome.tif	Cerebellum	CB	Image	Geometry	6343.7	5971.1	512	8	0	0	0	0	NaN	0	6744.9	1641.9
JKAY22.3d_1_Scan1_[4323,36851]_component_data_merged_Region 2.ome.tif	Cerebrum	CH	Image	Geometry	5661.4	3629.6	567	8	0	0	0	0	NaN	0	30209367.2	65717.8
JKAY22.3d_1_Scan1_[4323,36851]_component_data_merged_Region 2.ome.tif	Brain stem	BS	Image	Geometry	5783.1	3944.4	343	8	0	743	160	583	78.47	28.32	20584156.1	41924.4
JKAY22.3d_1_Scan1_[4323,36851]_component_data_merged_Region 2.ome.tif	Hindbrain	HB	Brain stem	Geometry	5636.9	6565.2	1065	343	0	0	0	0	NaN	0	2530008.5	9196.6
JKAY22.3d_1_Scan1_[4323,36851]_component_data_merged_Region 2.ome.tif	Pons	P	Hindbrain	Geometry	5636.9	6565.2	771	1065	0	0	0	0	NaN	0	2530008.5	9196.6
JKAY22.3d_1_Scan1_[4323,36851]_component_data_merged_Region 2.ome.tif	Pons, motor related	P-mot	Pons	Geometry	5658.1	6492.3	987	771	0	0	0	0	NaN	0	1570699.2	6948.5
JKAY22.3d_1_Scan1_[4323,36851]_component_data_merged_Region 2.ome.tif	Pontine gray	PG	Pons, motor related	Geometry	5658.1	6492.3	931	987	0	0	0	0	NaN	0	1570699.2	6948.5
JKAY22.3d_1_Scan1_[4323,36851]_component_data_merged_Region 2.ome.tif	Interbrain	IB	Brain stem	Geometry	5122.8	3753.2	1129	343	0	0	0	0	NaN	0	850119.2	5198.7
JKAY22.3d_1_Scan1_[4323,36851]_component_data_merged_Region 2.ome.tif	Thalamus	TH	Interbrain	Geometry	5122.8	3753.2	549	1129	0	0	0	0	NaN	0	850119.2	5198.7
JKAY22.3d_1_Scan1_[4323,36851]_component_data_merged_Region 2.ome.tif	Thalamus, polymodal association cortex related	DORpm	Thalamus	Geometry	4705	3738.3	856	549	0	0	0	0	NaN	0	290511.7	4728.4
JKAY22.3d_1_Scan1_[4323,36851]_component_data_merged_Region 2.ome.tif	Intralaminar nuclei of the dorsal thalamus	ILM	Thalamus, polymodal association cortex related	Geometry	5234.8	4022.8	51	856	0	0	0	0	NaN	0	162886.7	2277.9
JKAY22.3d_1_Scan1_[4323,36851]_component_data_merged_Region 2.ome.tif	Posterior intralaminar thalamic nucleus	PIL	Intralaminar nuclei of the dorsal thalamus	Geometry	5234.8	4022.8	560581563	51	0	0	0	0	NaN	0	162886.7	2277.9
JKAY22.3d_1_Scan1_[4323,36851]_component_data_merged_Region 2.ome.tif	Lateral group of the dorsal thalamus	LAT	Thalamus, polymodal association cortex related	Geometry	4028.8	3375.2	138	856	0	0	0	0	NaN	0	127625.1	2450.5
JKAY22.3d_1_Scan1_[4323,36851]_component_data_merged_Region 2.ome.tif	Posterior limiting nucleus of the thalamus	POL	Lateral group of the dorsal thalamus	Polygon	3875.8	3429.6	1029	138	0	0	0	0	NaN	0	50214.5	903
JKAY22.3d_1_Scan1_[4323,36851]_component_data_merged_Region 2.ome.tif	Suprageniculate nucleus	SGN	Lateral group of the dorsal thalamus	Geometry	4128.1	3339.7	325	138	0	0	0	0	NaN	0	77410.6	1547.5
JKAY22.3d_1_Scan1_[4323,36851]_component_data_merged_Region 2.ome.tif	Thalamus, sensory-motor cortex related	DORsm	Thalamus	Geometry	5485.9	3767.9	864	549	0	0	0	0	NaN	0	431016.8	4538.8
JKAY22.3d_1_Scan1_[4323,36851]_component_data_merged_Region 2.ome.tif	Peripeduncular nucleus	PP	Thalamus, sensory-motor cortex related	Polygon	3525.7	4128.3	1044	864	0	0	0	0	NaN	0	19029	593.99
JKAY22.3d_1_Scan1_[4323,36851]_component_data_merged_Region 2.ome.tif	Geniculate group, dorsal thalamus	GENd	Thalamus, sensory-motor cortex related	Geometry	5576.5	3751.2	1008	864	0	0	0	0	NaN	0	411987.8	3944.8
JKAY22.3d_1_Scan1_[4323,36851]_component_data_merged_Region 2.ome.tif	Medial geniculate complex	MG	Geniculate group, dorsal thalamus	Geometry	5576.5	3751.2	475	1008	0	0	0	0	NaN	0	411987.8	3944.8
JKAY22.3d_1_Scan1_[4323,36851]_component_data_merged_Region 2.ome.tif	Medial geniculate complex, dorsal part	MGd	Medial geniculate complex	Geometry	5739.9	3600.5	1072	475	0	0	0	0	NaN	0	184553.6	2721.6
JKAY22.3d_1_Scan1_[4323,36851]_component_data_merged_Region 2.ome.tif	Medial geniculate complex, ventral part	MGv	Medial geniculate complex	Geometry	5489.6	3910.4	1079	475	0	0	0	0	NaN	0	148320	2075.9
