Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Allen ID	Parent Allen ID	Side	Num Detections	Num Negative	Num Positive	Positive %	Num Positive per mm^2	Area µm^2	Perimeter µm
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 2.ome.tif	dmPAG	PAG_subregions	Image	Polygon	4076.5	1329.5	NaN	NaN	NaN	2122	936	1186	55.89	1997.2	593832.2	3252.6
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 2.ome.tif	vlPAG-r	PAG_subregions	Image	Polygon	4683.4	2918.4	NaN	NaN	NaN	655	433	222	33.89	965.65	229896.7	2659.7
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 2.ome.tif	dlPAG-r	PAG_subregions	Image	Polygon	4711.9	1808.9	NaN	NaN	NaN	764	329	435	56.94	2340.8	185831.2	1803.7
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 2.ome.tif	lPAG-r	PAG_subregions	Image	Polygon	5007.4	2364.8	NaN	NaN	NaN	774	647	127	16.41	510.48	248787.4	2231.4
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 2.ome.tif	dlPAG-l	PAG_subregions	Image	Polygon	3471.6	1823	NaN	NaN	NaN	808	408	400	49.5	1994.2	200586	1870.9
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 2.ome.tif	lPAG-l	PAG_subregions	Image	Polygon	3098	2433.4	NaN	NaN	NaN	1127	688	439	38.95	1365.4	321517.4	2529.6
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 2.ome.tif	vlPAG-l	PAG_subregions	Image	Polygon	3386.6	2989.2	NaN	NaN	NaN	712	446	266	37.36	1056.8	251710	2805.6
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 2.ome.tif	Cerebellum	CB	Image	Geometry	4732.9	2893.1	512	8	0	0	0	0	NaN	0	7658907.6	24755.4
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 2.ome.tif	Cerebellar cortex	CBX	Cerebellum	Geometry	4772.3	2873.4	528	512	0	0	0	0	NaN	0	7344063.1	22151.1
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 2.ome.tif	Hemispheric regions	HEM	Cerebellar cortex	Geometry	5025	2837	1073	528	0	0	0	0	NaN	0	5673925.8	19506.3
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 2.ome.tif	Paraflocculus	PFL	Hemispheric regions	Geometry	6398.4	3585.7	1041	1073	0	0	0	0	NaN	0	205414.4	2967.1
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 2.ome.tif	Flocculus	FL	Hemispheric regions	Geometry	5074.4	4149.6	1049	1073	0	0	0	0	NaN	0	1516205.2	7065.4
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 2.ome.tif	Simple lobule	SIM	Hemispheric regions	Geometry	4934.7	2294.5	1007	1073	0	0	0	0	NaN	0	3952306.1	11929.7
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 2.ome.tif	Vermal regions	VERM	Cerebellar cortex	Geometry	3913.6	2997	645	528	0	0	0	0	NaN	0	1670137.3	8932.1
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 2.ome.tif	Culmen	CUL	Vermal regions	Geometry	3913.6	2997	928	645	0	0	0	0	NaN	0	1670137.3	8932.1
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 2.ome.tif	Lobules IV-V	CUL4, 5	Culmen	Geometry	3913.6	2997	1091	928	0	0	0	0	NaN	0	1670137.3	8932.1
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 2.ome.tif	Brain stem	BS	Image	Geometry	4008.8	3751.7	343	8	0	6856	3807	3049	44.47	138.95	21942455.3	58503.9
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 2.ome.tif	Hindbrain	HB	Brain stem	Geometry	4027.9	4789.7	1065	343	0	25	19	6	24	0.4125	14547037.3	52477.6
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 2.ome.tif	Pons	P	Hindbrain	Geometry	3999.1	4742.5	771	1065	0	25	19	6	24	0.4561	13153645.6	41837.9
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 2.ome.tif	Pons, behavioral state related	P-sat	Pons	Geometry	4049.6	3606.8	1117	771	0	7	4	3	42.86	4.683	640680.3	6543.8
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 2.ome.tif	Laterodorsal tegmental nucleus	LDT	Pons, behavioral state related	Geometry	4057.4	3272.5	162	1117	0	7	4	3	42.86	6.978	429931.4	3590.9
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 2.ome.tif	Superior central nucleus raphe	CS	Pons, behavioral state related	Geometry	3947.9	4592.1	679	1117	0	0	0	0	NaN	0	14686.2	780.96
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 2.ome.tif	Nucleus raphe pontis	RPO	Pons, behavioral state related	Polygon	4040.5	4266	238	1117	0	0	0	0	NaN	0	196062.8	2648.4
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 2.ome.tif	Pons, sensory related	P-sen	Pons	Geometry	3978.2	4758.6	1132	771	0	2	1	1	50	0.2693	3713623.8	23790
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 2.ome.tif	Principal sensory nucleus of the trigeminal	PSV	Pons, sensory related	Geometry	4053.1	4742.5	7	1132	0	0	0	0	NaN	0	1398347.4	7920.6
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 2.ome.tif	Parabrachial nucleus	PB	Pons, sensory related	Geometry	3937.2	3460.4	867	1132	0	2	1	1	50	0.8464	1181468	9890.8
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 2.ome.tif	Koelliker-Fuse subnucleus	KF	Parabrachial nucleus	Geometry	3973.5	3801.3	123	867	0	0	0	0	NaN	0	226240.3	2863.9
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 2.ome.tif	Superior olivary complex	SOC	Pons, sensory related	Geometry	3928.4	6131.2	398	1132	0	0	0	0	NaN	0	1133808.4	7172.7
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 2.ome.tif	Superior olivary complex, medial part	SOCm	Superior olivary complex	Geometry	3877.6	6199.3	105	398	0	0	0	0	NaN	0	261688.5	2870.8
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 2.ome.tif	Superior olivary complex, lateral part	SOCl	Superior olivary complex	Geometry	3959.6	5981.6	114	398	0	0	0	0	NaN	0	618471.1	5039.3
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 2.ome.tif	Superior olivary complex, periolivary region	POR	Superior olivary complex	Geometry	3904.6	6425.6	122	398	0	0	0	0	NaN	0	253648.8	3743.7
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 2.ome.tif	Pons, motor related	P-mot	Pons	Geometry	3987.6	4798.7	987	771	0	12	12	0	0	0	5884003.1	24128.4
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 2.ome.tif	Supratrigeminal nucleus	SUT	Pons, motor related	Geometry	3947.7	3949.2	534	987	0	0	0	0	NaN	0	325267.4	3874.9
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 2.ome.tif	Pontine reticular nucleus, caudal part	PRNc	Pons, motor related	Geometry	3993.6	5108.7	1093	987	0	0	0	0	NaN	0	3846883.8	14841.2
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 2.ome.tif	Motor nucleus of trigeminal	V	Pons, motor related	Geometry	3977	4458.6	621	987	0	0	0	0	NaN	0	652341.5	4735.2
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 2.ome.tif	Dorsal tegmental nucleus	DTN	Pons, motor related	Geometry	4067.1	3389.9	880	987	0	0	0	0	NaN	0	170098.4	2184.4
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 2.ome.tif	Pontine central gray	PCG	Pons, motor related	Geometry	4064.4	3498.2	898	987	0	12	12	0	0	0	224835.6	5529.5
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 2.ome.tif	Peritrigeminal zone	P5	Pons, motor related	Geometry	3892.4	4446.2	549009215	987	0	0	0	0	NaN	0	398965.8	4929.4
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 2.ome.tif	Intertrigeminal nucleus	I5	Pons, motor related	Geometry	4471	4354.2	549009227	987	0	0	0	0	NaN	0	71546.3	1995.8
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 2.ome.tif	Accessory trigeminal nucleus	Acs5	Pons, motor related	Geometry	3987.8	4787.2	549009219	987	0	0	0	0	NaN	0	69474.7	1354.6
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 2.ome.tif	Parvicellular motor 5 nucleus	PC5	Pons, motor related	Geometry	3741.5	4886.1	549009223	987	0	0	0	0	NaN	0	124607.5	2454.5
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 2.ome.tif	Medulla	MY	Hindbrain	Geometry	4299.4	5235.2	354	1065	0	0	0	0	NaN	0	1393817.9	16384.2
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 2.ome.tif	Medulla, behavioral state related	MY-sat	Medulla	Polygon	4022.4	5882.6	379	354	0	0	0	0	NaN	0	77573.1	1684.5
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 2.ome.tif	Nucleus raphe magnus	RM	Medulla, behavioral state related	Polygon	4022.4	5882.6	206	379	0	0	0	0	NaN	0	77573.1	1684.5
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 2.ome.tif	Medulla, sensory related	MY-sen	Medulla	Geometry	4340.5	5103.7	386	354	0	0	0	0	NaN	0	796679.8	7808.2
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 2.ome.tif	Cochlear nuclei	CN	Medulla, sensory related	Geometry	4447.5	4781.7	607	386	0	0	0	0	NaN	0	630101.5	5488.9
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 2.ome.tif	Ventral cochlear nucleus	VCO	Cochlear nuclei	Geometry	4447.5	4781.7	101	607	0	0	0	0	NaN	0	630101.5	5488.9
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 2.ome.tif	Nucleus of the trapezoid body	NTB	Medulla, sensory related	Geometry	3935.9	6321.8	642	386	0	0	0	0	NaN	0	166578.3	2319.3
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 2.ome.tif	Midbrain	MB	Brain stem	Geometry	3971.2	1710.2	313	343	0	6831	3788	3043	44.55	411.43	7396170.3	23296.7
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 2.ome.tif	Midbrain, motor related	MBmot	Midbrain	Geometry	4006.5	2284.5	323	313	0	6748	3747	3001	44.47	1169.5	2566001.9	17683.3
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 2.ome.tif	Periaqueductal gray	PAG	Midbrain, motor related	Geometry	4016.9	2107.7	795	323	0	6746	3745	3001	44.49	1499.9	2000788.2	12928.7
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 2.ome.tif	Cuneiform nucleus	CUN	Midbrain, motor related	Geometry	4032	2534.7	616	323	0	2	2	0	0	0	395490.3	3931.5
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 2.ome.tif	Midbrain reticular nucleus	MRN	Midbrain, motor related	Geometry	3825	3785.4	128	323	0	0	0	0	NaN	0	169723.4	2661.8
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 2.ome.tif	Midbrain, sensory related	MBsen	Midbrain	Geometry	3949.7	1258.2	339	313	0	0	0	0	NaN	0	3754616.7	10986.5
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 2.ome.tif	Inferior colliculus	IC	Midbrain, sensory related	Geometry	3949.6	1258.2	4	339	0	0	0	0	NaN	0	3754598	10948.9
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 2.ome.tif	Inferior colliculus, central nucleus	ICc	Inferior colliculus	Geometry	3974.5	1468.6	811	4	0	0	0	0	NaN	0	1320522.7	8100
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 2.ome.tif	Inferior colliculus, dorsal nucleus	ICd	Inferior colliculus	Geometry	3908	1056.4	820	4	0	0	0	0	NaN	0	1229482.4	7351.5
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 2.ome.tif	Inferior colliculus, external nucleus	ICe	Inferior colliculus	Geometry	3964.9	1233.5	828	4	0	0	0	0	NaN	0	1204592.9	9375.3
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 2.ome.tif	Midbrain trigeminal nucleus	MEV	Midbrain, sensory related	Geometry	5037.8	2968.7	460	339	0	0	0	0	NaN	0	18.74	37.52
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 2.ome.tif	Midbrain, behavioral state related	MBsta	Midbrain	Polygon	4057.3	3540.5	348	313	0	0	0	0	NaN	0	82507.7	1526.9
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 2.ome.tif	Midbrain raphe nuclei	RAmb	Midbrain, behavioral state related	Polygon	4057.3	3540.5	165	348	0	0	0	0	NaN	0	82507.7	1526.9
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 2.ome.tif	Dorsal nucleus raphe	DR	Midbrain raphe nuclei	Polygon	4057.3	3540.5	872	165	0	0	0	0	NaN	0	82507.7	1526.9
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 2.ome.tif	Primary visual area	VISp	Image	Polygon	1046.3	1101.7	385	669	0	0	0	0	NaN	0	48999.2	1256.7
JKAY22.3d_3_Scan1_[3751,62275]_component_data_merged_Region 2.ome.tif	Primary visual area, layer 1	VISp1	Primary visual area	Polygon	1046.3	1101.7	593	385	0	0	0	0	NaN	0	48999.2	1256.7
