Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Allen ID	Parent Allen ID	Side	Num Detections	Num Negative	Num Positive	Positive %	Num Positive per mm^2	Area µm^2	Perimeter µm
JKAY22.3d_2_Scan1_[6881,59359]_component_data_merged_Region 3.ome.tif	root	root	Image	Geometry	5700.1	3977	997	0	0	322	237	85	26.4	1.499	56698117.5	41051.1
JKAY22.3d_2_Scan1_[6881,59359]_component_data_merged_Region 3.ome.tif	Basic cell groups and regions	grey	root	Geometry	5673.6	3869.1	8	997	0	322	237	85	26.4	1.695	50140727.6	110318.7
JKAY22.3d_2_Scan1_[6881,59359]_component_data_merged_Region 3.ome.tif	Cerebellum	CB	Basic cell groups and regions	Geometry	6758.3	6191.7	512	8	0	0	0	0	NaN	0	130523.3	6108.6
JKAY22.3d_2_Scan1_[6881,59359]_component_data_merged_Region 3.ome.tif	Cerebrum	CH	Basic cell groups and regions	Geometry	5699.7	3740.8	567	8	0	0	0	0	NaN	0	28538640.1	60448.4
JKAY22.3d_2_Scan1_[6881,59359]_component_data_merged_Region 3.ome.tif	Cerebral cortex	CTX	Cerebrum	Geometry	5699.7	3740.8	688	567	0	0	0	0	NaN	0	28538640.1	60448.4
JKAY22.3d_2_Scan1_[6881,59359]_component_data_merged_Region 3.ome.tif	Cortical plate	CTXpl	Cerebral cortex	Geometry	5717.5	3727.4	695	688	0	0	0	0	NaN	0	28371299.7	61982.2
JKAY22.3d_2_Scan1_[6881,59359]_component_data_merged_Region 3.ome.tif	Hippocampal formation	HPF	Cortical plate	Geometry	6176.4	4608	1089	695	0	0	0	0	NaN	0	15400131.5	36296.8
JKAY22.3d_2_Scan1_[6881,59359]_component_data_merged_Region 3.ome.tif	Hippocampal region	HIP	Hippocampal formation	Geometry	4569	4499	1080	1089	0	0	0	0	NaN	0	4429314.9	13986.2
JKAY22.3d_2_Scan1_[6881,59359]_component_data_merged_Region 3.ome.tif	Dentate gyrus	DG	Hippocampal region	Geometry	5703.4	4531.9	726	1080	0	0	0	0	NaN	0	3092173.4	11428.1
JKAY22.3d_2_Scan1_[6881,59359]_component_data_merged_Region 3.ome.tif	Dentate gyrus, granule cell layer	DG-sg	Dentate gyrus	Geometry	5749	4736.7	632	726	0	0	0	0	NaN	0	786261.2	11089.8
JKAY22.3d_2_Scan1_[6881,59359]_component_data_merged_Region 3.ome.tif	Dentate gyrus, molecular layer	DG-mo	Dentate gyrus	Geometry	6332.6	4410	10703	726	0	0	0	0	NaN	0	1889534.3	19061.4
JKAY22.3d_2_Scan1_[6881,59359]_component_data_merged_Region 3.ome.tif	Dentate gyrus, polymorph layer	DG-po	Dentate gyrus	Geometry	2757.2	4697.3	10704	726	0	0	0	0	NaN	0	415913.5	3454.2
JKAY22.3d_2_Scan1_[6881,59359]_component_data_merged_Region 3.ome.tif	Ammon's horn	CA	Hippocampal region	Polygon	1946.2	4422.9	375	1080	0	0	0	0	NaN	0	1337148.5	5813
JKAY22.3d_2_Scan1_[6881,59359]_component_data_merged_Region 3.ome.tif	Field CA1	CA1	Ammon's horn	Polygon	1946.2	4422.9	382	375	0	0	0	0	NaN	0	1337148.5	5813
JKAY22.3d_2_Scan1_[6881,59359]_component_data_merged_Region 3.ome.tif	Retrohippocampal region	RHP	Hippocampal formation	Geometry	6827.8	4657	822	1089	0	0	0	0	NaN	0	10932073.2	35320.7
JKAY22.3d_2_Scan1_[6881,59359]_component_data_merged_Region 3.ome.tif	Prosubiculum	ProS	Retrohippocampal region	Geometry	7903.1	4399.4	484682470	822	0	0	0	0	NaN	0	2836295.1	12514.3
