Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Allen ID	Parent Allen ID	Side	Num Detections	Num Negative	Positive %	Area µm^2	Perimeter µm
JKAY22.3e_1_Scan2_[5109,59637]_component_data_merged_Region 1.ome.tif	dmPAG	PAG_subregions	Image	Polygon	5158.1	2782.6	NaN	NaN	NaN	37	37	0	164209	1612.3
JKAY22.3e_1_Scan2_[5109,59637]_component_data_merged_Region 1.ome.tif	dlPAG-r	PAG_subregions	Image	Polygon	5380.6	2916.3	NaN	NaN	NaN	17	17	0	67173.7	1213.9
JKAY22.3e_1_Scan2_[5109,59637]_component_data_merged_Region 1.ome.tif	lPAG-r	PAG_subregions	Image	Polygon	5421	3210.1	NaN	NaN	NaN	55	55	0	126304.2	1426.5
JKAY22.3e_1_Scan2_[5109,59637]_component_data_merged_Region 1.ome.tif	vlPAG-r	PAG_subregions	Image	Polygon	5263.8	3691.8	NaN	NaN	NaN	46	46	0	178882.2	2525.4
JKAY22.3e_1_Scan2_[5109,59637]_component_data_merged_Region 1.ome.tif	dlPAG-l	PAG_subregions	Image	Polygon	4944.5	2981	NaN	NaN	NaN	20	20	0	67145.2	1174.9
JKAY22.3e_1_Scan2_[5109,59637]_component_data_merged_Region 1.ome.tif	lPAG-l	PAG_subregions	Image	Polygon	4888.4	3202.5	NaN	NaN	NaN	30	30	0	99763.4	1379.8
JKAY22.3e_1_Scan2_[5109,59637]_component_data_merged_Region 1.ome.tif	vlPAG-l	PAG_subregions	Image	Polygon	4957	3634.7	NaN	NaN	NaN	99	99	0	229055	2860.2
JKAY22.3e_1_Scan2_[5109,59637]_component_data_merged_Region 1.ome.tif	Temporal association areas, layer 2/3	TEa2/3	Image	Geometry	5557.5	3644.6	1127	541	0	0	0	NaN	184932.9	3382.5
JKAY22.3e_1_Scan2_[5109,59637]_component_data_merged_Region 1.ome.tif	Temporal association areas, layer 6a	TEa6a	Image	Geometry	5813.1	3722.4	729	541	0	0	0	NaN	147581.8	3060.8
JKAY22.3e_1_Scan2_[5109,59637]_component_data_merged_Region 1.ome.tif	Temporal association areas, layer 4	TEa4	Image	Geometry	6056.5	3520.9	234	541	0	0	0	NaN	86983.8	2712.8
JKAY22.3e_1_Scan2_[5109,59637]_component_data_merged_Region 1.ome.tif	Temporal association areas, layer 6b	TEa6b	Image	Geometry	6245.3	3646.2	786	541	0	0	0	NaN	32359.2	2384.2
JKAY22.3e_1_Scan2_[5109,59637]_component_data_merged_Region 1.ome.tif	Temporal association areas, layer 5	TEa5	Image	Geometry	5619.9	3709.7	289	541	0	0	0	NaN	285859.1	4041.2
JKAY22.3e_1_Scan2_[5109,59637]_component_data_merged_Region 1.ome.tif	Posterior auditory area	AUDpo	Image	Geometry	2490.2	3086.9	1027	247	0	0	0	NaN	536983.2	5090.9
JKAY22.3e_1_Scan2_[5109,59637]_component_data_merged_Region 1.ome.tif	Posterior auditory area, layer 2/3	AUDpo2/3	Posterior auditory area	Geometry	2482.2	2964.9	643	1027	0	0	0	NaN	126097.3	2079.4
JKAY22.3e_1_Scan2_[5109,59637]_component_data_merged_Region 1.ome.tif	Posterior auditory area, layer 1	AUDpo1	Posterior auditory area	Geometry	2884.2	2854.7	696	1027	0	0	0	NaN	98426.6	2050
JKAY22.3e_1_Scan2_[5109,59637]_component_data_merged_Region 1.ome.tif	Posterior auditory area, layer 4	AUDpo4	Posterior auditory area	Geometry	2741	3065.4	759	1027	0	0	0	NaN	60246.2	1667.6
JKAY22.3e_1_Scan2_[5109,59637]_component_data_merged_Region 1.ome.tif	Posterior auditory area, layer 6a	AUDpo6a	Posterior auditory area	Geometry	2215.3	3335.6	249	1027	0	0	0	NaN	72034.9	1574.6
JKAY22.3e_1_Scan2_[5109,59637]_component_data_merged_Region 1.ome.tif	Posterior auditory area, layer 5	AUDpo5	Posterior auditory area	Geometry	2351.9	3188.9	791	1027	0	0	0	NaN	165356.1	2432.4
JKAY22.3e_1_Scan2_[5109,59637]_component_data_merged_Region 1.ome.tif	Posterior auditory area, layer 6b	AUDpo6b	Posterior auditory area	Geometry	1800	3407.2	456	1027	0	0	0	NaN	14822.2	965.19
JKAY22.3e_1_Scan2_[5109,59637]_component_data_merged_Region 1.ome.tif	Posterior parietal association areas	PTLp	Image	Geometry	1534.9	2213.8	22	315	0	0	0	NaN	21024.9	1153.6
JKAY22.3e_1_Scan2_[5109,59637]_component_data_merged_Region 1.ome.tif	Rostrolateral visual area	VISrl	Posterior parietal association areas	Geometry	1534.9	2213.8	417	22	0	0	0	NaN	21024.9	1153.6
