Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Allen ID	Parent Allen ID	Side	Num Detections	Num Negative	Num Positive	Positive %	Num Positive per mm^2	Area µm^2	Perimeter µm
JKAY22.3e_2_Scan1_[4291,35714]_component_data_merged_Region 6.ome.tif	root	root	Image	Polygon	5089.7	3641.8	997	0	0	7380	6395	985	13.35	21.88	45011374.4	43781.5
JKAY22.3e_2_Scan1_[4291,35714]_component_data_merged_Region 6.ome.tif	Basic cell groups and regions	grey	root	Geometry	5108.1	3540.2	8	997	0	7375	6391	984	13.34	24.59	40012871.1	94095.5
JKAY22.3e_2_Scan1_[4291,35714]_component_data_merged_Region 6.ome.tif	Cerebellum	CB	Basic cell groups and regions	Geometry	5072.7	5055.5	512	8	0	0	0	0	NaN	0	87363.2	5220
JKAY22.3e_2_Scan1_[4291,35714]_component_data_merged_Region 6.ome.tif	Cerebrum	CH	Basic cell groups and regions	Geometry	4668	3228	567	8	0	0	0	0	NaN	0	17865484.3	43070.5
JKAY22.3e_2_Scan1_[4291,35714]_component_data_merged_Region 6.ome.tif	Cerebral cortex	CTX	Cerebrum	Geometry	4668	3228	688	567	0	0	0	0	NaN	0	17865484.3	43070.5
JKAY22.3e_2_Scan1_[4291,35714]_component_data_merged_Region 6.ome.tif	Cortical plate	CTXpl	Cerebral cortex	Geometry	4668	3228	695	688	0	0	0	0	NaN	0	17865484.3	43070.5
JKAY22.3e_2_Scan1_[4291,35714]_component_data_merged_Region 6.ome.tif	Hippocampal formation	HPF	Cortical plate	Geometry	5058	3770.3	1089	695	0	0	0	0	NaN	0	12593012.4	29606.8
JKAY22.3e_2_Scan1_[4291,35714]_component_data_merged_Region 6.ome.tif	Hippocampal region	HIP	Hippocampal formation	Geometry	2626.3	3998.1	1080	1089	0	0	0	0	NaN	0	648159.6	3929
JKAY22.3e_2_Scan1_[4291,35714]_component_data_merged_Region 6.ome.tif	Dentate gyrus	DG	Hippocampal region	Geometry	2626.3	3998.1	726	1080	0	0	0	0	NaN	0	648159.6	3929
JKAY22.3e_2_Scan1_[4291,35714]_component_data_merged_Region 6.ome.tif	Dentate gyrus, molecular layer	DG-mo	Dentate gyrus	Geometry	2626.3	3998.1	10703	726	0	0	0	0	NaN	0	648159.6	3929
JKAY22.3e_2_Scan1_[4291,35714]_component_data_merged_Region 6.ome.tif	Retrohippocampal region	RHP	Hippocampal formation	Geometry	5181.3	3770.8	822	1089	0	0	0	0	NaN	0	11851540.2	32363.4
JKAY22.3e_2_Scan1_[4291,35714]_component_data_merged_Region 6.ome.tif	Prosubiculum	ProS	Retrohippocampal region	Polygon	1880.1	3842.7	484682470	822	0	0	0	0	NaN	0	1699746.9	6529
JKAY22.3e_2_Scan1_[4291,35714]_component_data_merged_Region 6.ome.tif	Postsubiculum	POST	Retrohippocampal region	Geometry	5468.8	1638.3	1037	822	0	0	0	0	NaN	0	801866.6	5698.4
JKAY22.3e_2_Scan1_[4291,35714]_component_data_merged_Region 6.ome.tif	Presubiculum	PRE	Retrohippocampal region	Geometry	4098.4	2678.6	1084	822	0	0	0	0	NaN	0	1061874.3	8859.2
JKAY22.3e_2_Scan1_[4291,35714]_component_data_merged_Region 6.ome.tif	Hippocampo-amygdalar transition area	HATA	Retrohippocampal region	Geometry	2505.3	5223.5	589508447	822	0	0	0	0	NaN	0	117793.5	1761.3
JKAY22.3e_2_Scan1_[4291,35714]_component_data_merged_Region 6.ome.tif	Parasubiculum	PAR	Retrohippocampal region	Geometry	8104.8	3227.3	843	822	0	0	0	0	NaN	0	643287.5	5613.3
JKAY22.3e_2_Scan1_[4291,35714]_component_data_merged_Region 6.ome.tif	Entorhinal area	ENT	Retrohippocampal region	Geometry	6308.8	4338.1	909	822	0	0	0	0	NaN	0	6454005.6	17747.2
JKAY22.3e_2_Scan1_[4291,35714]_component_data_merged_Region 6.ome.tif	Entorhinal area, lateral part	ENTl	Entorhinal area	Geometry	5809.4	4293.5	918	909	0	0	0	0	NaN	0	4029984.7	14075.2
JKAY22.3e_2_Scan1_[4291,35714]_component_data_merged_Region 6.ome.tif	Entorhinal area, lateral part, layer 2	ENTl2	Entorhinal area, lateral part	Geometry	5695.8	4558	20	918	0	0	0	0	NaN	0	1042790.1	11485.4
JKAY22.3e_2_Scan1_[4291,35714]_component_data_merged_Region 6.ome.tif	Entorhinal area, lateral part, layer 6a	ENTl6a	Entorhinal area, lateral part	Geometry	6270.4	3640.2	28	918	0	0	0	0	NaN	0	798459.1	8698
JKAY22.3e_2_Scan1_[4291,35714]_component_data_merged_Region 6.ome.tif	Entorhinal area, lateral part, layer 3	ENTl3	Entorhinal area, lateral part	Geometry	5674.5	4441	52	918	0	0	0	0	NaN	0	779540.1	10702.4
JKAY22.3e_2_Scan1_[4291,35714]_component_data_merged_Region 6.ome.tif	Entorhinal area, lateral part, layer 1	ENTl1	Entorhinal area, lateral part	Geometry	5700	4635.7	1121	918	0	0	0	0	NaN	0	563057.6	11393.9
JKAY22.3e_2_Scan1_[4291,35714]_component_data_merged_Region 6.ome.tif	Entorhinal area, lateral part, layer 5	ENTl5	Entorhinal area, lateral part	Geometry	5711.5	4220.2	139	918	0	0	0	0	NaN	0	846137.9	10051.9
JKAY22.3e_2_Scan1_[4291,35714]_component_data_merged_Region 6.ome.tif	Entorhinal area, medial part, dorsal zone	ENTm	Entorhinal area	Geometry	7139.1	4412.3	926	909	0	0	0	0	NaN	0	2424020.9	12690.2
JKAY22.3e_2_Scan1_[4291,35714]_component_data_merged_Region 6.ome.tif	Entorhinal area, medial part, dorsal zone, layer 1	ENTm1	Entorhinal area, medial part, dorsal zone	Geometry	5214	5770.3	526	926	0	0	0	0	NaN	0	296779.3	7150.9
JKAY22.3e_2_Scan1_[4291,35714]_component_data_merged_Region 6.ome.tif	Entorhinal area, medial part, dorsal zone, layer 2	ENTm2	Entorhinal area, medial part, dorsal zone	Geometry	5939.4	5610.8	543	926	0	0	0	0	NaN	0	311344.6	6417
JKAY22.3e_2_Scan1_[4291,35714]_component_data_merged_Region 6.ome.tif	Entorhinal area, medial part, dorsal zone, layer 3	ENTm3	Entorhinal area, medial part, dorsal zone	Geometry	6634.3	5325.6	664	926	0	0	0	0	NaN	0	317324.6	5852.3
JKAY22.3e_2_Scan1_[4291,35714]_component_data_merged_Region 6.ome.tif	Entorhinal area, medial part, dorsal zone, layer 5	ENTm5	Entorhinal area, medial part, dorsal zone	Geometry	7562	4102.6	727	926	0	0	0	0	NaN	0	643151.2	9634.6
JKAY22.3e_2_Scan1_[4291,35714]_component_data_merged_Region 6.ome.tif	Entorhinal area, medial part, dorsal zone, layer 6	ENTm6	Entorhinal area, medial part, dorsal zone	Geometry	8113	3399	743	926	0	0	0	0	NaN	0	855421.1	7535.3
JKAY22.3e_2_Scan1_[4291,35714]_component_data_merged_Region 6.ome.tif	Area prostriata	APr	Retrohippocampal region	Geometry	6831.5	1296.6	484682508	822	0	0	0	0	NaN	0	143331.5	2705.2
JKAY22.3e_2_Scan1_[4291,35714]_component_data_merged_Region 6.ome.tif	Subiculum	SUB	Retrohippocampal region	Geometry	2441.2	3360.7	502	822	0	0	0	0	NaN	0	929634.5	6841.2
JKAY22.3e_2_Scan1_[4291,35714]_component_data_merged_Region 6.ome.tif	Olfactory areas	OLF	Cortical plate	Polygon	2185.9	5881.2	698	695	0	0	0	0	NaN	0	1854.8	303.83
JKAY22.3e_2_Scan1_[4291,35714]_component_data_merged_Region 6.ome.tif	Cortical amygdalar area	COA	Olfactory areas	Polygon	2185.9	5881.2	631	698	0	0	0	0	NaN	0	1854.8	303.83
JKAY22.3e_2_Scan1_[4291,35714]_component_data_merged_Region 6.ome.tif	Cortical amygdalar area, posterior part	COAp	Cortical amygdalar area	Polygon	2185.9	5881.2	647	631	0	0	0	0	NaN	0	1854.8	303.83
JKAY22.3e_2_Scan1_[4291,35714]_component_data_merged_Region 6.ome.tif	Cortical amygdalar area, posterior part, medial zone	COApm	Cortical amygdalar area, posterior part	Polygon	2185.9	5881.2	663	647	0	0	0	0	NaN	0	1854.8	303.83
JKAY22.3e_2_Scan1_[4291,35714]_component_data_merged_Region 6.ome.tif	Isocortex	Isocortex	Cortical plate	Geometry	3737.2	1931.2	315	695	0	0	0	0	NaN	0	5270617.5	20810
JKAY22.3e_2_Scan1_[4291,35714]_component_data_merged_Region 6.ome.tif	Temporal association areas	TEa	Isocortex	Geometry	816.72	2986.2	541	315	0	0	0	0	NaN	0	828762.3	4445.7
JKAY22.3e_2_Scan1_[4291,35714]_component_data_merged_Region 6.ome.tif	Temporal association areas, layer 1	TEa1	Temporal association areas	Polygon	570.55	2914.1	97	541	0	0	0	0	NaN	0	184947.7	3425.7
JKAY22.3e_2_Scan1_[4291,35714]_component_data_merged_Region 6.ome.tif	Temporal association areas, layer 2/3	TEa2/3	Temporal association areas	Polygon	711.6	2928.8	1127	541	0	0	0	0	NaN	0	237579.4	3270.4
JKAY22.3e_2_Scan1_[4291,35714]_component_data_merged_Region 6.ome.tif	Temporal association areas, layer 6a	TEa6a	Temporal association areas	Polygon	1198.8	3148	729	541	0	0	0	0	NaN	0	67730	1222.1
JKAY22.3e_2_Scan1_[4291,35714]_component_data_merged_Region 6.ome.tif	Temporal association areas, layer 4	TEa4	Temporal association areas	Geometry	843.1	2948.2	234	541	0	0	0	0	NaN	0	106266	2451.4
JKAY22.3e_2_Scan1_[4291,35714]_component_data_merged_Region 6.ome.tif	Temporal association areas, layer 6b	TEa6b	Temporal association areas	Polygon	1301.9	3196.3	786	541	0	0	0	0	NaN	0	9993.3	554.16
JKAY22.3e_2_Scan1_[4291,35714]_component_data_merged_Region 6.ome.tif	Temporal association areas, layer 5	TEa5	Temporal association areas	Geometry	983.37	3066.6	289	541	0	0	0	0	NaN	0	222245	2311.6
JKAY22.3e_2_Scan1_[4291,35714]_component_data_merged_Region 6.ome.tif	Visual areas	VIS	Isocortex	Geometry	4212.7	1681.2	669	315	0	0	0	0	NaN	0	2980952.7	15607
JKAY22.3e_2_Scan1_[4291,35714]_component_data_merged_Region 6.ome.tif	posteromedial visual area	VISpm	Visual areas	Polygon	4139.6	521.41	533	669	0	0	0	0	NaN	0	8103.5	420.83
JKAY22.3e_2_Scan1_[4291,35714]_component_data_merged_Region 6.ome.tif	posteromedial visual area, layer 2/3	VISpm2/3	posteromedial visual area	Polygon	4139.7	546.39	41	533	0	0	0	0	NaN	0	4315	274.59
JKAY22.3e_2_Scan1_[4291,35714]_component_data_merged_Region 6.ome.tif	posteromedial visual area, layer 1	VISpm1	posteromedial visual area	Polygon	4140.1	490.46	805	533	0	0	0	0	NaN	0	3699.7	260.34
JKAY22.3e_2_Scan1_[4291,35714]_component_data_merged_Region 6.ome.tif	posteromedial visual area, layer 4	VISpm4	posteromedial visual area	Polygon	4123.8	603.18	501	533	0	0	0	0	NaN	0	88.82	41.92
JKAY22.3e_2_Scan1_[4291,35714]_component_data_merged_Region 6.ome.tif	Laterointermediate area	VISli	Visual areas	Geometry	1603.9	2219.1	312782574	669	0	0	0	0	NaN	0	305469.6	2863.1
JKAY22.3e_2_Scan1_[4291,35714]_component_data_merged_Region 6.ome.tif	Laterointermediate area, layer 2/3	VISli2/3	Laterointermediate area	Polygon	1351.4	2146.9	312782582	312782574	0	0	0	0	NaN	0	64164.1	1261.5
JKAY22.3e_2_Scan1_[4291,35714]_component_data_merged_Region 6.ome.tif	Laterointermediate area, layer 1	VISli1	Laterointermediate area	Geometry	1358	2095.1	312782578	312782574	0	0	0	0	NaN	0	35147.9	1169.7
JKAY22.3e_2_Scan1_[4291,35714]_component_data_merged_Region 6.ome.tif	Laterointermediate area, layer 5	VISli5	Laterointermediate area	Polygon	1661.7	2241.9	312782590	312782574	0	0	0	0	NaN	0	96735.9	1403.4
