Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Allen ID	Parent Allen ID	Side	Area µm^2	Perimeter µm
JKAY22.3e_3_Scan2_[5442,31195]_component_data_merged_Region 2.ome.tif	Cerebellum	CB	Image	Geometry	4223.1	2534.9	512	8	0	11903146	46104.7
JKAY22.3e_3_Scan2_[5442,31195]_component_data_merged_Region 2.ome.tif	Cerebellar cortex	CBX	Cerebellum	Geometry	4251.5	2536.8	528	512	0	11651396.4	44571.7
JKAY22.3e_3_Scan2_[5442,31195]_component_data_merged_Region 2.ome.tif	Hemispheric regions	HEM	Cerebellar cortex	Geometry	4588.2	2552.5	1073	528	0	7383654	29884.6
JKAY22.3e_3_Scan2_[5442,31195]_component_data_merged_Region 2.ome.tif	Copula pyramidis	COPY	Hemispheric regions	Polygon	6749.6	3400	1033	1073	0	9877.4	489.37
JKAY22.3e_3_Scan2_[5442,31195]_component_data_merged_Region 2.ome.tif	Paraflocculus	PFL	Hemispheric regions	Geometry	6578.5	3940.4	1041	1073	0	1190376.1	8816.3
JKAY22.3e_3_Scan2_[5442,31195]_component_data_merged_Region 2.ome.tif	Flocculus	FL	Hemispheric regions	Geometry	3060.9	4231.1	1049	1073	0	621756.2	5236.5
JKAY22.3e_3_Scan2_[5442,31195]_component_data_merged_Region 2.ome.tif	Simple lobule	SIM	Hemispheric regions	Geometry	3618.2	1999.6	1007	1073	0	4399432.7	17931.1
JKAY22.3e_3_Scan2_[5442,31195]_component_data_merged_Region 2.ome.tif	Ansiform lobule	AN	Hemispheric regions	Polygon	7020.6	2318.2	1017	1073	0	1162211.4	5343.6
JKAY22.3e_3_Scan2_[5442,31195]_component_data_merged_Region 2.ome.tif	Crus 1	ANcr1	Ansiform lobule	Polygon	7020.6	2318.2	1056	1017	0	1162211.4	5343.6
JKAY22.3e_3_Scan2_[5442,31195]_component_data_merged_Region 2.ome.tif	Vermal regions	VERM	Cerebellar cortex	Geometry	3668.8	2509.7	645	528	0	4267742.3	22005.6
JKAY22.3e_3_Scan2_[5442,31195]_component_data_merged_Region 2.ome.tif	Central lobule	CENT	Vermal regions	Geometry	3817	2397.4	920	645	0	2266465.8	12661.3
JKAY22.3e_3_Scan2_[5442,31195]_component_data_merged_Region 2.ome.tif	Lobule II	CENT2	Central lobule	Geometry	3658.5	2459.1	976	920	0	1125880.3	4979.1
JKAY22.3e_3_Scan2_[5442,31195]_component_data_merged_Region 2.ome.tif	Lobule III	CENT3	Central lobule	Geometry	3973.4	2336.4	984	920	0	1140585.5	10996.6
JKAY22.3e_3_Scan2_[5442,31195]_component_data_merged_Region 2.ome.tif	Culmen	CUL	Vermal regions	Geometry	3501.1	2636.9	928	645	0	2001276.5	14166.6
JKAY22.3e_3_Scan2_[5442,31195]_component_data_merged_Region 2.ome.tif	Lobules IV-V	CUL4, 5	Culmen	Geometry	3501.1	2636.9	1091	928	0	2001276.5	14166.6
JKAY22.3e_3_Scan2_[5442,31195]_component_data_merged_Region 2.ome.tif	Brain stem	BS	Image	Geometry	3694.6	3732.3	343	8	0	20111043.4	60638.6
JKAY22.3e_3_Scan2_[5442,31195]_component_data_merged_Region 2.ome.tif	Hindbrain	HB	Brain stem	Geometry	3760.2	4602.8	1065	343	0	14840641.3	50526.2
JKAY22.3e_3_Scan2_[5442,31195]_component_data_merged_Region 2.ome.tif	Pons	P	Hindbrain	Geometry	3378.8	4320.7	771	1065	0	9279062.7	42058.9
JKAY22.3e_3_Scan2_[5442,31195]_component_data_merged_Region 2.ome.tif	Pons, behavioral state related	P-sat	Pons	Geometry	3775.2	3745.7	1117	771	0	879338.6	10160.6
JKAY22.3e_3_Scan2_[5442,31195]_component_data_merged_Region 2.ome.tif	Nucleus incertus	NI	Pons, behavioral state related	Polygon	3669.3	3891.7	604	1117	0	394203.4	3378.8
JKAY22.3e_3_Scan2_[5442,31195]_component_data_merged_Region 2.ome.tif	Subceruleus nucleus	SLC	Pons, behavioral state related	Geometry	4040.2	3614.7	350	1117	0	125435.6	1953.3
JKAY22.3e_3_Scan2_[5442,31195]_component_data_merged_Region 2.ome.tif	Sublaterodorsal nucleus	SLD	Pons, behavioral state related	Geometry	3912	3671.3	358	1117	0	195692.4	2284.8
JKAY22.3e_3_Scan2_[5442,31195]_component_data_merged_Region 2.ome.tif	Locus ceruleus	LC	Pons, behavioral state related	Geometry	4745.7	3113.1	147	1117	0	32714.3	1050
JKAY22.3e_3_Scan2_[5442,31195]_component_data_merged_Region 2.ome.tif	Laterodorsal tegmental nucleus	LDT	Pons, behavioral state related	Polygon	3124.5	3130.1	162	1117	0	65977.3	994.55
JKAY22.3e_3_Scan2_[5442,31195]_component_data_merged_Region 2.ome.tif	Nucleus raphe pontis	RPO	Pons, behavioral state related	Polygon	3668.6	4276.1	238	1117	0	65316.9	1298.7
JKAY22.3e_3_Scan2_[5442,31195]_component_data_merged_Region 2.ome.tif	Pons, sensory related	P-sen	Pons	Geometry	3192	4336.4	1132	771	0	2082438.9	23629.2
JKAY22.3e_3_Scan2_[5442,31195]_component_data_merged_Region 2.ome.tif	Principal sensory nucleus of the trigeminal	PSV	Pons, sensory related	Geometry	3251.6	4776.1	7	1132	0	858647	6358.3
JKAY22.3e_3_Scan2_[5442,31195]_component_data_merged_Region 2.ome.tif	Parabrachial nucleus	PB	Pons, sensory related	Geometry	3372.7	3263.7	867	1132	0	889575.7	15216
JKAY22.3e_3_Scan2_[5442,31195]_component_data_merged_Region 2.ome.tif	Koelliker-Fuse subnucleus	KF	Parabrachial nucleus	Geometry	2486.4	3904.5	123	867	0	110958.8	2160
