Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Allen ID	Parent Allen ID	Side	Num Detections	Num Positive	Positive %	Num Positive per mm^2	Area µm^2	Perimeter µm
JKAY22.3e_1_Scan2_[6309,39625]_component_data_merged_Region 2.ome.tif	root	root	Image	Geometry	5448.7	3571.6	997	0	0	254	254	100	4.852	52346611.6	40830.6
JKAY22.3e_1_Scan2_[6309,39625]_component_data_merged_Region 2.ome.tif	Basic cell groups and regions	grey	root	Geometry	5437.6	3494.4	8	997	0	254	254	100	5.373	47274371.4	105695.1
JKAY22.3e_1_Scan2_[6309,39625]_component_data_merged_Region 2.ome.tif	Cerebellum	CB	Basic cell groups and regions	Geometry	5771.4	5734	512	8	0	0	0	NaN	0	24012.3	3104.3
JKAY22.3e_1_Scan2_[6309,39625]_component_data_merged_Region 2.ome.tif	Cerebrum	CH	Basic cell groups and regions	Geometry	5402.3	3422	567	8	0	0	0	NaN	0	28846585.2	61383.4
JKAY22.3e_1_Scan2_[6309,39625]_component_data_merged_Region 2.ome.tif	Cerebral cortex	CTX	Cerebrum	Geometry	5402.3	3422	688	567	0	0	0	NaN	0	28846585.2	61383.4
JKAY22.3e_1_Scan2_[6309,39625]_component_data_merged_Region 2.ome.tif	Cortical plate	CTXpl	Cerebral cortex	Geometry	5427.1	3394.9	695	688	0	0	0	NaN	0	28511372.8	63102.7
JKAY22.3e_1_Scan2_[6309,39625]_component_data_merged_Region 2.ome.tif	Hippocampal formation	HPF	Cortical plate	Geometry	5718	4370.2	1089	695	0	0	0	NaN	0	15044778.9	34375.8
JKAY22.3e_1_Scan2_[6309,39625]_component_data_merged_Region 2.ome.tif	Hippocampal region	HIP	Hippocampal formation	Geometry	3886.7	4186.4	1080	1089	0	0	0	NaN	0	6679429.9	15871.7
JKAY22.3e_1_Scan2_[6309,39625]_component_data_merged_Region 2.ome.tif	Dentate gyrus	DG	Hippocampal region	Geometry	5837.3	4264.6	726	1080	0	0	0	NaN	0	3172501.6	15598.5
JKAY22.3e_1_Scan2_[6309,39625]_component_data_merged_Region 2.ome.tif	Dentate gyrus, granule cell layer	DG-sg	Dentate gyrus	Geometry	6087.8	4300.6	632	726	0	0	0	NaN	0	859979	14468.7
JKAY22.3e_1_Scan2_[6309,39625]_component_data_merged_Region 2.ome.tif	Dentate gyrus, molecular layer	DG-mo	Dentate gyrus	Geometry	5648.3	4201.2	10703	726	0	0	0	NaN	0	2057802.9	20718.5
JKAY22.3e_1_Scan2_[6309,39625]_component_data_merged_Region 2.ome.tif	Dentate gyrus, polymorph layer	DG-po	Dentate gyrus	Geometry	6518.1	4654.9	10704	726	0	0	0	NaN	0	254536.9	4426.9
JKAY22.3e_1_Scan2_[6309,39625]_component_data_merged_Region 2.ome.tif	Ammon's horn	CA	Hippocampal region	Geometry	2122	4115.6	375	1080	0	0	0	NaN	0	3506928.3	13192.4
JKAY22.3e_1_Scan2_[6309,39625]_component_data_merged_Region 2.ome.tif	Field CA1	CA1	Ammon's horn	Polygon	1932.9	4086.6	382	375	0	0	0	NaN	0	2655601.3	8711.6
JKAY22.3e_1_Scan2_[6309,39625]_component_data_merged_Region 2.ome.tif	Field CA3	CA3	Ammon's horn	Polygon	2713.5	4205.8	463	375	0	0	0	NaN	0	851326.2	4480.7
JKAY22.3e_1_Scan2_[6309,39625]_component_data_merged_Region 2.ome.tif	Retrohippocampal region	RHP	Hippocampal formation	Geometry	7184.8	4521	822	1089	0	0	0	NaN	0	8330114	29499.1
JKAY22.3e_1_Scan2_[6309,39625]_component_data_merged_Region 2.ome.tif	Prosubiculum	ProS	Retrohippocampal region	Geometry	8545.7	4618.3	484682470	822	0	0	0	NaN	0	2562215.5	9372.9
JKAY22.3e_1_Scan2_[6309,39625]_component_data_merged_Region 2.ome.tif	Postsubiculum	POST	Retrohippocampal region	Geometry	6564.9	2518.4	1037	822	0	0	0	NaN	0	1023746.3	7593.9
JKAY22.3e_1_Scan2_[6309,39625]_component_data_merged_Region 2.ome.tif	Presubiculum	PRE	Retrohippocampal region	Geometry	8167.9	3393.1	1084	822	0	0	0	NaN	0	94229.5	1814.4
JKAY22.3e_1_Scan2_[6309,39625]_component_data_merged_Region 2.ome.tif	Hippocampo-amygdalar transition area	HATA	Retrohippocampal region	Geometry	5955.3	5843.6	589508447	822	0	0	0	NaN	0	357441.8	3766
JKAY22.3e_1_Scan2_[6309,39625]_component_data_merged_Region 2.ome.tif	Entorhinal area	ENT	Retrohippocampal region	Geometry	6695.8	5316.2	909	822	0	0	0	NaN	0	3463407	11505.7
JKAY22.3e_1_Scan2_[6309,39625]_component_data_merged_Region 2.ome.tif	Entorhinal area, lateral part	ENTl	Entorhinal area	Geometry	6130.2	5074.1	918	909	0	0	0	NaN	0	2720587.1	9826.3
JKAY22.3e_1_Scan2_[6309,39625]_component_data_merged_Region 2.ome.tif	Entorhinal area, lateral part, layer 2	ENTl2	Entorhinal area, lateral part	Geometry	6516.1	5171.8	20	918	0	0	0	NaN	0	679239.7	7244.5
