Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Allen ID	Parent Allen ID	Side	Num Detections	Num Negative	Num Positive	Positive %	Num Positive per mm^2	Area µm^2	Perimeter µm
JKAY22.3e_2_Scan1_[4291,35714]_component_data_merged_Region 4.ome.tif	root	root	Image	Geometry	4655	3579.7	997	0	0	1105	883	222	20.09	5.483	40485292.7	45669.7
JKAY22.3e_2_Scan1_[4291,35714]_component_data_merged_Region 4.ome.tif	Basic cell groups and regions	grey	root	Geometry	4644.1	3475.7	8	997	0	1100	878	222	20.18	6.092	36440748.4	91014.1
JKAY22.3e_2_Scan1_[4291,35714]_component_data_merged_Region 4.ome.tif	Cerebellum	CB	Basic cell groups and regions	Geometry	7220.5	4081.2	512	8	0	0	0	0	NaN	0	575606.3	8701.8
JKAY22.3e_2_Scan1_[4291,35714]_component_data_merged_Region 4.ome.tif	Cerebellar cortex	CBX	Cerebellum	Geometry	7548.7	4012.7	528	512	0	0	0	0	NaN	0	386911.3	5014.7
JKAY22.3e_2_Scan1_[4291,35714]_component_data_merged_Region 4.ome.tif	Hemispheric regions	HEM	Cerebellar cortex	Geometry	7664.5	4261.8	1073	528	0	0	0	0	NaN	0	252241.2	4056.1
JKAY22.3e_2_Scan1_[4291,35714]_component_data_merged_Region 4.ome.tif	Flocculus	FL	Hemispheric regions	Polygon	7746.1	4568.6	1049	1073	0	0	0	0	NaN	0	191381.6	2308.4
JKAY22.3e_2_Scan1_[4291,35714]_component_data_merged_Region 4.ome.tif	Simple lobule	SIM	Hemispheric regions	Geometry	7408.3	3296.1	1007	1073	0	0	0	0	NaN	0	60861.5	1747.7
JKAY22.3e_2_Scan1_[4291,35714]_component_data_merged_Region 4.ome.tif	Vermal regions	VERM	Cerebellar cortex	Polygon	7332.2	3545.5	645	528	0	0	0	0	NaN	0	134670.9	1735.4
JKAY22.3e_2_Scan1_[4291,35714]_component_data_merged_Region 4.ome.tif	Culmen	CUL	Vermal regions	Polygon	7332.2	3545.5	928	645	0	0	0	0	NaN	0	134670.9	1735.4
JKAY22.3e_2_Scan1_[4291,35714]_component_data_merged_Region 4.ome.tif	Lobules IV-V	CUL4, 5	Culmen	Polygon	7332.2	3545.5	1091	928	0	0	0	0	NaN	0	134670.9	1735.4
JKAY22.3e_2_Scan1_[4291,35714]_component_data_merged_Region 4.ome.tif	Cerebrum	CH	Basic cell groups and regions	Geometry	4035.1	3092.6	567	8	0	0	0	0	NaN	0	12947053	23982.9
JKAY22.3e_2_Scan1_[4291,35714]_component_data_merged_Region 4.ome.tif	Cerebral cortex	CTX	Cerebrum	Geometry	4035.1	3092.6	688	567	0	0	0	0	NaN	0	12947053	23982.9
JKAY22.3e_2_Scan1_[4291,35714]_component_data_merged_Region 4.ome.tif	Cortical plate	CTXpl	Cerebral cortex	Geometry	4035.1	3092.6	695	688	0	0	0	0	NaN	0	12947053	23982.9
